,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,53.4,$39.04,1.37,$12.29,4.34,$10.20,5.23,$3.04,17.57,$16.20B,$17.69B,0.92,$0.43B,$2.79B,0.16,$0.88B,$0.76B,86.41%,$0.88B,$0.32B,36.13%,$0.88B,0,0.00%,$0.88B,0,0.00%,$0.88B,$0.32B,35.90%,$0.88B,$0.22B,24.69%,$0.22B,$2.79B,7.99%,$0.22B,$1.62B,13.96%,$0.22B,$20.91B,1.09%,$0.32B,$3.22B,10.27%,$236,$39,$197,$0,$116,$155,$82,$0,$82,$11,$70,$70,$70,$0,$0,$71,72,$0.99,$0.98,$665,$0,$0,$16200,$123,$3345,$1165,$73,$4706,$20905,$17686,$431,$0,$431,$18117,$71,$568,$-58,$2789,$20905,$211,$31,$44,$75,$-81,$0,$13,$-0,$-69,$218,$-9,$0,$0,$0,$-774,$-774,$-651,$-1435,$58,$-368,$-310,$3,$3,$-65,$1797,$1426,$209,$6,$-65
1,2018-06-30,55.67,$38.52,1.45,$11.77,4.73,$8.96,6.21,$2.62,21.25,$15.79B,$17.20B,0.92,$0.33B,$2.75B,0.12,$0.84B,$0.74B,87.91%,$0.84B,$0.31B,36.61%,$0.84B,0,0.00%,$0.84B,0,0.00%,$0.84B,$0.29B,33.89%,$0.84B,$0.19B,22.27%,$0.19B,$2.75B,6.97%,$0.19B,$1.59B,12.28%,$0.19B,$20.28B,0.96%,$0.31B,$3.08B,10.07%,$228,$32,$196,$0,$114,$146,$81,$0,$81,$12,$69,$69,$69,$0,$0,$71,72,$0.97,$0.96,$525,$0,$0,$15788,$126,$3133,$1166,$70,$4495,$20283,$17201,$331,$0,$331,$17532,$71,$522,$-47,$2751,$20283,$141,$20,$22,$43,$-12,$0,$-6,$-0,$-18,$165,$-7,$0,$0,$0,$-540,$-540,$-432,$-979,$-42,$59,$17,$3,$3,$-40,$904,$883,$69,$4,$-40
2,2018-03-31,54.41,$37.89,1.44,$11.37,4.79,$7.84,6.94,$2.39,22.77,$15.42B,$16.68B,0.92,$0.37B,$2.70B,0.14,$0.81B,$0.73B,89.30%,$0.81B,$0.30B,37.39%,$0.81B,0,0.00%,$0.81B,0,0.00%,$0.81B,$0.28B,34.44%,$0.81B,$0.17B,21.03%,$0.17B,$2.70B,6.40%,$0.17B,$1.54B,11.38%,$0.17B,$19.76B,0.89%,$0.30B,$3.08B,9.92%,$218,$26,$192,$0,$110,$136,$83,$0,$83,$13,$70,$70,$70,$0,$0,$71,72,$0.99,$0.97,$553,$0,$0,$15420,$126,$2974,$1167,$69,$4336,$19756,$16680,$373,$0,$373,$17053,$71,$471,$-41,$2703,$19756,$70,$10,$3,$13,$34,$0,$-9,$-0,$25,$108,$-3,$0,$0,$0,$-365,$-365,$-69,$-437,$0,$125,$125,$1,$1,$-20,$321,$426,$98,$2,$-20
3,2017-12-31,52.93,$37.48,1.41,$10.86,4.87,$7.42,7.14,$2.09,25.33,$15.28B,$16.24B,0.94,$0.37B,$2.67B,0.14,$0.78B,$0.70B,90.46%,$0.78B,$0.29B,36.73%,$0.78B,0,0.00%,$0.78B,0,0.00%,$0.78B,$0.26B,33.12%,$0.78B,$0.15B,19.20%,$0.15B,$2.67B,5.63%,$0.15B,$1.50B,10.10%,$0.15B,$19.28B,0.79%,$0.29B,$3.04B,9.28%,$201,$23,$178,$0,$105,$128,$73,$-3,$71,$61,$9,$9,$9,$0,$0,$71,72,$0.14,$0.12,$456,$0,$0,$15281,$127,$2641,$1169,$64,$4000,$19281,$16239,$373,$0,$373,$16612,$71,$419,$-25,$2669,$19281,$150,$43,$140,$183,$-118,$0,$60,$0,$-58,$275,$-13,$0,$0,$0,$-800,$-800,$-1170,$-1983,$-225,$0,$-225,$4,$4,$-78,$1989,$1690,$-18,$17,$-78
4,2017-09-30,51.48,$37.57,1.37,$12.05,4.27,$9.04,5.69,$2.62,19.65,$15.29B,$16.28B,0.94,$0.40B,$2.67B,0.15,$0.77B,$0.71B,91.86%,$0.77B,$0.30B,38.24%,$0.77B,0,0.00%,$0.77B,0,0.00%,$0.77B,$0.25B,32.56%,$0.77B,$0.19B,24.16%,$0.19B,$2.67B,7.13%,$0.19B,$1.50B,12.88%,$0.19B,$19.35B,1.02%,$0.30B,$3.07B,9.54%,$197,$21,$176,$0,$104,$125,$72,$-21,$51,$10,$40,$40,$40,$0,$0,$71,72,$0.57,$0.56,$709,$0,$0,$15293,$142,$2687,$1170,$62,$4061,$19354,$16283,$398,$0,$398,$16681,$71,$425,$-25,$2673,$19354,$140,$32,$74,$106,$-157,$0,$40,$0,$-117,$129,$-12,$0,$0,$0,$-833,$-833,$-847,$-1691,$-200,$1147,$947,$3,$3,$-59,$905,$1797,$235,$15,$-59
5,2017-06-30,47.39,$37.11,1.28,$11.94,3.97,$7.29,6.5,$2.27,20.88,$14.99B,$15.71B,0.95,$0.44B,$2.64B,0.17,$0.71B,$0.66B,93.22%,$0.71B,$0.28B,38.98%,$0.71B,0,0.00%,$0.71B,0,0.00%,$0.71B,$0.22B,30.37%,$0.71B,$0.16B,22.32%,$0.16B,$2.64B,6.09%,$0.16B,$1.47B,11.10%,$0.16B,$18.78B,0.89%,$0.28B,$3.08B,8.77%,$197,$17,$180,$0,$104,$121,$76,$-0,$75,$23,$52,$52,$52,$0,$0,$71,71,$0.73,$0.73,$619,$0,$0,$14986,$146,$2413,$1171,$65,$3795,$18781,$15706,$436,$0,$436,$16142,$71,$405,$-34,$2639,$18781,$100,$21,$51,$72,$-92,$0,$8,$0,$-84,$87,$-10,$0,$0,$0,$-555,$-555,$-680,$-1246,$-162,$1192,$1030,$2,$2,$-39,$310,$1303,$145,$7,$-39
6,2017-03-31,49.78,$36.56,1.36,$11.87,4.19,$7.29,6.83,$2.21,22.52,$14.33B,$14.55B,0.99,$0.49B,$2.60B,0.19,$0.62B,$0.58B,93.98%,$0.62B,$0.24B,38.86%,$0.62B,0,0.00%,$0.62B,0,0.00%,$0.62B,$0.18B,28.62%,$0.62B,$0.13B,21.46%,$0.13B,$2.60B,6.00%,$0.13B,$1.43B,10.65%,$0.13B,$17.64B,0.85%,$0.24B,$3.09B,9.05%,$181,$13,$168,$0,$104,$117,$64,$-4,$60,$12,$48,$48,$48,$0,$0,$71,71,$0.67,$0.67,$442,$0,$0,$14334,$143,$1923,$1172,$65,$3303,$17637,$14546,$491,$0,$491,$15037,$71,$372,$-38,$2600,$17637,$48,$10,$26,$36,$11,$0,$-19,$0,$-8,$76,$-2,$0,$0,$0,$-66,$-66,$-285,$-353,$-107,$131,$24,$2,$2,$-19,$238,$245,$-33,$4,$-19
7,2016-12-31,52.46,$36.57,1.43,$11.91,4.41,$6.70,7.83,$2.14,24.51,$14.12B,$14.18B,1.0,$0.60B,$2.58B,0.23,$0.53B,$0.50B,94.56%,$0.53B,$0.21B,39.59%,$0.53B,0,0.00%,$0.53B,0,0.00%,$0.53B,$0.15B,27.95%,$0.53B,$0.11B,20.26%,$0.11B,$2.58B,5.98%,$0.11B,$1.41B,10.20%,$0.11B,$17.36B,0.81%,$0.21B,$3.18B,9.93%,$199,$12,$187,$0,$103,$115,$84,$-18,$66,$19,$47,$47,$47,$0,$0,$49,50,$0.70,$0.67,$474,$0,$0,$14120,$145,$1858,$1174,$58,$3235,$17355,$14176,$598,$0,$598,$14774,$71,$340,$-40,$2582,$17355,$108,$33,$38,$71,$148,$0,$-46,$0,$101,$281,$-18,$0,$326,$0,$-13,$-13,$-838,$-543,$24,$0,$24,$2,$2,$-49,$522,$498,$236,$13,$-49
8,2016-09-30,42.51,$36.37,1.17,$10.67,3.98,$4.01,10.61,$2.14,19.87,$14.15B,$14.14B,1.0,$0.68B,$2.56B,0.26,$0.44B,$0.41B,94.94%,$0.44B,$0.17B,37.93%,$0.44B,0,0.00%,$0.44B,0,0.00%,$0.44B,$0.12B,27.36%,$0.44B,$0.09B,20.00%,$0.09B,$2.56B,6.15%,$0.09B,$1.39B,9.86%,$0.09B,$17.38B,0.77%,$0.17B,$3.24B,10.03%,$131,$7,$125,$0,$73,$80,$52,$-37,$14,$3,$11,$11,$11,$0,$0,$49,50,$0.23,$0.23,$557,$0,$0,$14148,$144,$1867,$1173,$51,$3236,$17384,$14143,$677,$0,$677,$14820,$70,$311,$-25,$2564,$17384,$61,$21,$19,$40,$-61,$0,$-35,$0,$-96,$5,$-10,$0,$326,$0,$7,$7,$-565,$-242,$52,$10,$62,$4,$4,$-30,$520,$555,$318,$6,$-30
9,2016-06-30,35.72,$27.45,1.3,$10.61,3.37,$5.42,6.59,$2.57,13.9,$8.08B,$8.46B,0.96,$0.00B,$1.05B,0.0,$0.40B,$0.38B,94.79%,$0.40B,$0.15B,36.72%,$0.40B,0,0.00%,$0.40B,0,0.00%,$0.40B,$0.14B,34.49%,$0.40B,$0.10B,24.81%,$0.10B,$1.05B,9.77%,$0.10B,$0.73B,14.22%,$0.10B,$9.51B,1.07%,$0.15B,$1.05B,13.65%,$104,$5,$98,$0,$59,$64,$39,$-3,$36,$11,$26,$26,$26,$0,$0,$38,39,$0.67,$0.67,$233,$0,$0,$8079,$103,$1011,$321,$0,$1435,$9514,$8464,$0,$0,$0,$8464,$38,$311,$-26,$1050,$9514,$49,$13,$4,$17,$-17,$0,$-4,$0,$-21,$45,$-4,$0,$0,$0,$56,$56,$-379,$-327,$129,$159,$288,$1,$1,$-20,$7,$276,$-6,$2,$-20
