,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,8.7,$5.10,1.71,$17.79,0.49,$2.54,3.43,$0.71,12.25,$0.52B,$0.26B,2.01,$0.06B,$0.64B,0.1,$2.23B,$0.84B,37.85%,$2.23B,$0.12B,5.30%,$2.23B,$0.12B,5.30%,$2.23B,$0.21B,9.43%,$2.23B,$0.12B,5.21%,$2.23B,$0.09B,4.09%,$0.09B,$0.64B,14.04%,$0.09B,$0.51B,17.75%,$0.09B,$1.06B,8.38%,$0.12B,$0.70B,16.76%,$545,$348,$197,$0,$174,$522,$23,$-0,$22,$6,$17,$17,$17,$46,$23,$125,125,$0.13,$0.13,$239,$224,$0,$521,$394,$0,$136,$13,$543,$1063,$259,$61,$97,$163,$422,$1,$608,$-0,$641,$1063,$46,$46,$-1,$45,$0,$9,$10,$6,$9,$100,$-20,$0,$0,$-2,$0,$-2,$0,$-21,$-8,$0,$-8,$-28,$-28,$-22,$-3,$-61,$18,$10,$-22
1,2018-04-30,9.83,$5.11,1.92,$18.03,0.55,$2.29,4.29,$0.76,12.94,$0.56B,$0.30B,1.88,$0.05B,$0.66B,0.08,$2.26B,$0.86B,37.82%,$2.26B,$0.13B,5.75%,$2.26B,$0.13B,5.75%,$2.26B,$0.22B,9.91%,$2.26B,$0.13B,5.71%,$2.26B,$0.10B,4.29%,$0.10B,$0.66B,15.10%,$0.10B,$0.53B,19.12%,$0.10B,$1.12B,8.92%,$0.13B,$0.71B,18.61%,$562,$335,$227,$0,$186,$521,$40,$-0,$40,$11,$29,$29,$29,$63,$40,$125,125,$0.23,$0.23,$255,$254,$0,$562,$408,$0,$136,$11,$554,$1116,$299,$50,$99,$156,$455,$1,$602,$-0,$661,$1116,$29,$22,$-0,$22,$0,$-21,$9,$12,$11,$62,$-10,$0,$0,$-1,$0,$-1,$0,$-11,$-4,$0,$-4,$1,$1,$-11,$-3,$-17,$33,$5,$-11
2,2018-01-31,9.32,$5.15,1.81,$18.18,0.51,$1.93,4.82,$0.79,11.8,$0.52B,$0.27B,1.93,$0.05B,$0.66B,0.08,$2.28B,$0.87B,37.89%,$2.28B,$0.15B,6.35%,$2.28B,$0.15B,6.35%,$2.28B,$0.24B,10.56%,$2.28B,$0.14B,6.26%,$2.28B,$0.10B,4.47%,$0.10B,$0.66B,16.18%,$0.10B,$0.52B,20.60%,$0.10B,$1.09B,9.41%,$0.15B,$0.71B,21.01%,$588,$366,$222,$0,$192,$558,$30,$-0,$29,$1,$28,$28,$28,$52,$30,$125,125,$0.22,$0.22,$220,$234,$0,$515,$421,$0,$136,$16,$573,$1088,$267,$54,$103,$164,$431,$1,$600,$-0,$656,$1088,$101,$96,$6,$102,$-0,$-1,$2,$-5,$-36,$167,$-49,$0,$0,$-10,$0,$-10,$0,$-58,$-16,$0,$-16,$-25,$-25,$-43,$-7,$-91,$18,$21,$-43
3,2017-10-31,7.76,$4.97,1.56,$18.14,0.43,$2.54,3.06,$0.67,11.58,$0.50B,$0.27B,1.86,$0.06B,$0.64B,0.09,$2.30B,$0.86B,37.28%,$2.30B,$0.14B,5.92%,$2.30B,$0.14B,5.92%,$2.30B,$0.24B,10.32%,$2.30B,$0.14B,5.88%,$2.30B,$0.09B,3.83%,$0.09B,$0.64B,14.22%,$0.09B,$0.50B,18.21%,$0.09B,$1.08B,8.08%,$0.14B,$0.69B,19.93%,$532,$336,$197,$0,$171,$507,$25,$-0,$25,$8,$17,$17,$17,$49,$25,$125,125,$0.13,$0.13,$186,$265,$0,$500,$425,$0,$136,$17,$577,$1077,$268,$57,$108,$173,$442,$1,$582,$0,$635,$1077,$73,$74,$4,$78,$1,$-33,$19,$5,$-56,$95,$-27,$0,$0,$-10,$0,$-10,$0,$-37,$-13,$0,$-13,$-24,$-24,$-32,$-6,$-74,$-16,$15,$-32
4,2017-07-31,8.8,$4.82,1.83,$18.51,0.48,$2.84,3.1,$0.72,12.22,$0.47B,$0.26B,1.78,$0.06B,$0.62B,0.1,$2.36B,$0.89B,37.65%,$2.36B,$0.14B,6.01%,$2.36B,$0.14B,6.01%,$2.36B,$0.25B,10.42%,$2.36B,$0.14B,5.97%,$2.36B,$0.10B,4.02%,$0.10B,$0.62B,15.45%,$0.10B,$0.48B,19.83%,$0.10B,$1.07B,8.65%,$0.14B,$0.68B,20.81%,$579,$369,$209,$0,$174,$543,$35,$-0,$35,$12,$23,$23,$23,$60,$35,$126,126,$0.18,$0.18,$186,$235,$0,$471,$444,$0,$136,$17,$596,$1067,$264,$61,$112,$185,$449,$1,$566,$0,$618,$1067,$56,$50,$4,$54,$0,$-3,$-1,$5,$-43,$67,$-18,$0,$0,$-0,$0,$-0,$0,$-19,$-9,$0,$-9,$-20,$-20,$-21,$-6,$-56,$-7,$10,$-21
5,2017-04-30,13.17,$4.74,2.78,$18.82,0.7,$3.19,4.12,$0.71,18.55,$0.49B,$0.30B,1.65,$0.07B,$0.61B,0.11,$2.42B,$0.92B,38.09%,$2.42B,$0.15B,6.00%,$2.42B,$0.15B,6.00%,$2.42B,$0.25B,10.38%,$2.42B,$0.14B,5.91%,$2.42B,$0.10B,3.93%,$0.10B,$0.61B,15.50%,$0.10B,$0.48B,19.93%,$0.10B,$1.11B,8.55%,$0.15B,$0.68B,21.19%,$584,$346,$237,$0,$183,$529,$55,$-0,$54,$21,$34,$34,$34,$80,$55,$126,126,$0.26,$0.26,$170,$274,$0,$491,$461,$0,$136,$18,$615,$1106,$297,$65,$116,$195,$492,$1,$553,$-0,$613,$1106,$34,$25,$7,$32,$0,$-42,$6,$6,$-49,$17,$-10,$0,$0,$-0,$0,$-0,$0,$-10,$-5,$0,$-5,$-8,$-8,$-11,$-6,$-30,$-23,$6,$-11
6,2017-01-31,12.78,$4.73,2.7,$19.07,0.67,$3.29,3.89,$0.68,18.79,$0.48B,$0.30B,1.58,$0.07B,$0.61B,0.11,$2.48B,$0.95B,38.19%,$2.48B,$0.14B,5.69%,$2.48B,$0.14B,5.69%,$2.48B,$0.25B,10.09%,$2.48B,$0.14B,5.61%,$2.48B,$0.09B,3.71%,$0.09B,$0.61B,15.01%,$0.09B,$0.47B,19.29%,$0.09B,$1.11B,8.22%,$0.14B,$0.68B,20.49%,$601,$387,$213,$0,$192,$579,$21,$-0,$21,$7,$14,$14,$14,$48,$21,$129,129,$0.11,$0.11,$193,$232,$0,$478,$477,$0,$136,$18,$631,$1109,$303,$69,$119,$197,$500,$1,$541,$-0,$609,$1109,$91,$109,$5,$114,$27,$1,$-13,$-8,$26,$231,$-32,$0,$0,$-0,$0,$-0,$0,$-32,$-8,$0,$-8,$-92,$-92,$-42,$-6,$-147,$52,$21,$-42
7,2016-10-31,11.0,$4.79,2.3,$18.98,0.58,$2.64,4.17,$0.42,26.19,$0.46B,$0.28B,1.62,$0.08B,$0.62B,0.12,$2.51B,$0.95B,37.88%,$2.51B,$0.11B,4.23%,$2.51B,$0.11B,4.23%,$2.51B,$0.22B,8.61%,$2.51B,$0.10B,4.11%,$2.51B,$0.06B,2.27%,$0.06B,$0.62B,9.19%,$0.06B,$0.48B,11.76%,$0.06B,$1.11B,5.03%,$0.11B,$0.69B,15.16%,$597,$367,$230,$0,$188,$566,$31,$-1,$31,$7,$24,$24,$24,$58,$31,$129,129,$0.18,$0.18,$131,$261,$0,$461,$496,$0,$136,$18,$650,$1110,$284,$75,$123,$207,$491,$1,$538,$-0,$619,$1110,$78,$83,$-0,$82,$26,$-28,$-4,$-6,$-15,$145,$-36,$0,$0,$-0,$0,$-0,$0,$-36,$-8,$0,$-8,$-74,$-74,$-32,$-5,$-118,$-10,$15,$-32
8,2016-07-31,11.25,$4.62,2.44,$19.09,0.59,$2.26,4.98,$0.15,74.98,$0.45B,$0.30B,1.51,$0.08B,$0.61B,0.13,$2.56B,$0.97B,37.91%,$2.56B,$0.05B,1.92%,$2.56B,$0.05B,1.92%,$2.56B,$0.21B,8.06%,$2.56B,$0.05B,1.80%,$2.56B,$0.02B,0.82%,$0.02B,$0.61B,3.27%,$0.02B,$0.47B,4.15%,$0.02B,$1.12B,1.80%,$0.05B,$0.69B,6.77%,$636,$395,$241,$0,$187,$598,$38,$-0,$37,$14,$23,$23,$23,$65,$38,$129,129,$0.17,$0.17,$151,$236,$0,$452,$515,$0,$136,$19,$670,$1121,$299,$77,$126,$213,$512,$1,$514,$0,$610,$1121,$54,$55,$-4,$52,$26,$-2,$-3,$-3,$16,$122,$-25,$0,$0,$-0,$0,$-0,$0,$-26,$-5,$0,$-5,$-55,$-55,$-21,$-4,$-86,$11,$10,$-21
9,2016-04-30,11.73,$4.63,2.53,$19.11,0.61,$2.01,5.84,$0.00,0.0,$0.45B,$0.30B,1.52,$0.08B,$0.61B,0.13,$2.61B,$0.99B,38.10%,$2.61B,$-0.02B,-0.58%,$2.61B,$-0.02B,-0.58%,$2.61B,$0.21B,8.17%,$2.61B,$-0.02B,-0.65%,$2.61B,0,0.00%,$0.00B,$0.61B,0.00%,$0.00B,$0.48B,0.00%,$0.00B,$1.14B,0.00%,$-0.02B,$0.69B,-2.00%,$643,$381,$262,$0,$208,$592,$51,$-0,$50,$19,$31,$31,$31,$79,$51,$132,132,$0.23,$0.23,$107,$268,$17,$451,$535,$0,$136,$14,$686,$1136,$297,$80,$129,$226,$523,$1,$502,$0,$613,$1136,$31,$28,$1,$29,$0,$-34,$5,$-4,$-28,$33,$-13,$0,$0,$-0,$0,$-0,$0,$-13,$-3,$0,$-3,$-35,$-35,$-11,$-4,$-53,$-33,$6,$-11
