,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,35.91,$15.90,2.26,$9.75,3.68,$3.75,9.57,$1.17,30.69,$2.72B,$1.97B,1.38,$0.05B,$12.34B,0.0,$7.57B,$2.65B,35.06%,$7.57B,$1.51B,19.89%,$7.57B,$1.51B,19.89%,$7.57B,$2.57B,33.96%,$7.57B,$1.55B,20.50%,$7.57B,$1.22B,16.07%,$1.22B,$12.34B,9.59%,$1.22B,$10.65B,11.16%,$1.22B,$14.88B,7.81%,$1.51B,$12.39B,11.82%,$1718,$1122,$596,$31,$220,$1379,$340,$14,$354,$84,$270,$270,$263,$583,$340,$776,776,$0.34,$0.34,$876,$457,$265,$2717,$9352,$577,$1687,$405,$12163,$14881,$1973,$52,$454,$572,$2545,$2529,$3910,$0,$12335,$14881,$1124,$779,$59,$838,$63,$-177,$37,$-157,$-233,$1506,$-630,$-7,$0,$-34,$1,$-33,$24,$-645,$0,$2,$2,$0,$0,$-1213,$74,$-1137,$-277,$1,$-1213
1,2018-06-30,35.92,$16.00,2.25,$9.94,3.61,$3.88,9.25,$1.60,22.45,$3.58B,$3.14B,1.14,$0.05B,$12.41B,0.0,$7.72B,$2.74B,35.55%,$7.72B,$1.58B,20.43%,$7.72B,$1.58B,20.43%,$7.72B,$2.66B,34.41%,$7.72B,$1.61B,20.91%,$7.72B,$1.29B,16.71%,$1.29B,$12.41B,10.21%,$1.29B,$10.64B,11.84%,$1.29B,$16.14B,8.35%,$1.58B,$12.46B,12.44%,$1803,$1115,$688,$31,$239,$1398,$405,$16,$421,$83,$338,$338,$331,$668,$405,$776,776,$0.43,$0.43,$1705,$401,$299,$3579,$9599,$593,$1774,$442,$12558,$16137,$3140,$54,$465,$587,$3727,$2607,$3744,$0,$12411,$16137,$793,$535,$50,$585,$66,$-110,$-77,$-214,$-334,$821,$-376,$-5,$0,$-23,$0,$-22,$2,$-401,$0,$0,$0,$0,$0,$0,$84,$84,$505,$1,$0
2,2018-03-31,38.86,$17.43,2.23,$9.99,3.89,$4.03,9.65,$1.62,23.99,$3.15B,$1.90B,1.66,$0.06B,$13.52B,0.0,$7.76B,$2.74B,35.29%,$7.76B,$1.58B,20.36%,$7.76B,$1.58B,20.36%,$7.76B,$2.67B,34.40%,$7.76B,$1.62B,20.86%,$7.76B,$1.30B,16.81%,$1.30B,$13.52B,10.48%,$1.30B,$11.68B,12.11%,$1.30B,$16.01B,8.58%,$1.58B,$13.57B,12.65%,$1834,$1178,$656,$32,$234,$1460,$374,$5,$379,$71,$308,$308,$298,$647,$374,$776,776,$0.39,$0.38,$1263,$379,$291,$3149,$9746,$614,$1841,$503,$12860,$16009,$1902,$55,$464,$589,$2491,$2653,$4746,$0,$13518,$16009,$379,$272,$28,$300,$54,$-82,$-161,$-240,$-428,$250,$-150,$-2,$0,$-7,$0,$-6,$-0,$-159,$0,$3,$3,$0,$0,$0,$-3,$-0,$92,$0,$0
3,2017-12-31,35.44,$16.07,2.21,$9.89,3.58,$4.15,8.54,$1.65,21.48,$2.68B,$2.16B,1.24,$0.05B,$12.46B,0.0,$7.68B,$2.72B,35.46%,$7.68B,$1.58B,20.53%,$7.68B,$1.58B,20.53%,$7.68B,$2.65B,34.56%,$7.68B,$1.62B,21.09%,$7.68B,$1.32B,17.13%,$1.32B,$12.46B,10.84%,$1.32B,$10.61B,12.47%,$1.32B,$15.21B,8.88%,$1.58B,$12.52B,12.95%,$2210,$1498,$712,$38,$286,$1824,$386,$12,$397,$64,$334,$334,$324,$671,$386,$776,777,$0.42,$0.41,$1152,$298,$74,$2677,$9740,$544,$1852,$308,$12536,$15213,$2157,$54,$369,$593,$2750,$2617,$4551,$0,$12463,$15213,$1620,$1077,$1,$1078,$-40,$0,$20,$-89,$-109,$2393,$-902,$-381,$0,$-19,$59,$40,$4,$-1239,$-2,$0,$-2,$0,$0,$-1293,$61,$-1234,$-76,$1,$-1293
4,2017-09-30,34.11,$15.62,2.18,$9.34,3.65,$3.88,8.8,$1.59,21.45,$2.57B,$1.79B,1.44,$0.00B,$12.12B,0.0,$7.26B,$2.61B,36.03%,$7.26B,$1.50B,20.62%,$7.26B,$1.50B,20.62%,$7.26B,$2.52B,34.75%,$7.26B,$1.52B,20.98%,$7.26B,$1.24B,17.13%,$1.24B,$12.12B,10.49%,$1.24B,$10.64B,12.00%,$1.24B,$14.40B,8.60%,$1.50B,$12.12B,12.59%,$1868,$1180,$687,$31,$245,$1457,$411,$5,$416,$69,$348,$348,$336,$669,$411,$776,776,$0.43,$0.43,$1023,$299,$91,$2572,$9384,$527,$1483,$320,$11824,$14396,$1788,$0,$322,$490,$2277,$2568,$3656,$0,$12119,$14396,$1233,$791,$-5,$786,$-39,$-54,$33,$-248,$-307,$1520,$-544,$-4,$0,$-10,$71,$61,$-15,$-502,$0,$9,$9,$0,$0,$-1269,$54,$-1205,$-186,$1,$-1269
5,2017-06-30,33.64,$15.04,2.24,$9.32,3.61,$3.47,9.69,$1.55,21.7,$3.38B,$2.96B,1.14,$0.05B,$11.67B,0.01,$7.24B,$2.56B,35.36%,$7.24B,$1.45B,20.01%,$7.24B,$1.45B,20.01%,$7.24B,$2.48B,34.30%,$7.24B,$1.48B,20.47%,$7.24B,$1.21B,16.72%,$1.21B,$11.67B,10.35%,$1.21B,$10.16B,11.87%,$1.21B,$15.18B,8.49%,$1.45B,$11.72B,12.33%,$1843,$1161,$682,$32,$242,$1435,$408,$18,$426,$69,$357,$357,$346,$681,$408,$776,776,$0.45,$0.45,$1848,$309,$70,$3381,$9377,$506,$1510,$287,$11795,$15176,$2961,$53,$328,$547,$3508,$2568,$3320,$0,$11668,$15176,$817,$533,$-5,$528,$38,$-64,$-129,$-234,$-390,$879,$-321,$-3,$0,$-37,$41,$4,$8,$-311,$0,$-0,$-0,$0,$0,$0,$2,$1,$570,$0,$0
6,2017-03-31,32.45,$15.82,2.05,$9.18,3.53,$3.27,9.91,$1.54,21.07,$2.82B,$1.63B,1.73,$0.05B,$12.27B,0.0,$7.13B,$2.52B,35.40%,$7.13B,$1.44B,20.17%,$7.13B,$1.44B,20.17%,$7.13B,$2.46B,34.44%,$7.13B,$1.47B,20.65%,$7.13B,$1.21B,16.92%,$1.21B,$12.27B,10.47%,$1.21B,$10.78B,12.04%,$1.21B,$14.44B,8.59%,$1.44B,$12.32B,12.43%,$1756,$1115,$641,$30,$240,$1385,$371,$9,$380,$63,$317,$317,$309,$632,$371,$776,777,$0.40,$0.40,$1417,$269,$59,$2822,$9206,$512,$1497,$289,$11617,$14439,$1630,$52,$320,$536,$2166,$2498,$4128,$0,$12273,$14439,$380,$260,$5,$265,$84,$-31,$-191,$-164,$-301,$343,$-148,$-2,$0,$-1,$27,$26,$-1,$-125,$0,$10,$10,$0,$0,$0,$-3,$7,$222,$0,$0
7,2016-12-31,30.13,$14.60,2.06,$9.14,3.3,$3.14,9.58,$1.59,18.95,$2.52B,$1.98B,1.27,$0.05B,$11.33B,0.0,$7.10B,$2.55B,35.86%,$7.10B,$1.49B,20.92%,$7.10B,$1.49B,20.92%,$7.10B,$2.49B,35.04%,$7.10B,$1.53B,21.48%,$7.10B,$1.25B,17.62%,$1.25B,$11.33B,10.99%,$1.25B,$9.86B,12.66%,$1.25B,$13.79B,9.00%,$1.49B,$11.37B,12.99%,$1788,$1184,$604,$31,$253,$1482,$306,$-6,$300,$40,$260,$260,$252,$539,$306,$776,777,$0.33,$0.33,$1175,$229,$66,$2519,$8987,$471,$1462,$255,$11275,$13794,$1980,$49,$285,$489,$2469,$2394,$4195,$0,$11325,$13794,$1525,$1002,$33,$1035,$-142,$36,$77,$-247,$-276,$2005,$-725,$-9,$0,$-39,$63,$24,$41,$-669,$-5,$1,$-4,$0,$0,$-1313,$5,$-1312,$26,$1,$-1313
8,2016-09-30,33.45,$14.84,2.25,$8.02,4.17,$3.44,9.73,$1.65,20.28,$2.22B,$1.64B,1.35,$0.05B,$11.51B,0.0,$6.23B,$2.36B,37.96%,$6.23B,$1.42B,22.88%,$6.23B,$1.42B,22.88%,$6.23B,$2.44B,39.15%,$6.23B,$1.54B,24.77%,$6.23B,$1.28B,20.50%,$1.28B,$11.51B,11.14%,$1.28B,$9.99B,12.85%,$1.28B,$13.62B,9.18%,$1.42B,$11.56B,12.39%,$1849,$1217,$632,$30,$239,$1486,$363,$12,$375,$62,$313,$313,$303,$630,$363,$776,776,$0.39,$0.39,$571,$249,$78,$2218,$9017,$480,$1518,$260,$11398,$13617,$1638,$51,$283,$467,$2105,$2451,$3557,$0,$11511,$13617,$1253,$769,$-3,$767,$-285,$23,$69,$-491,$-684,$1052,$-389,$-4,$0,$-8,$36,$28,$48,$-316,$-5,$1,$-4,$0,$0,$-1345,$2,$-1347,$-614,$1,$-1345
9,2016-06-30,33.1,$14.12,2.34,$7.90,4.19,$3.87,8.55,$1.73,19.13,$3.04B,$2.92B,1.04,$0.05B,$10.96B,0.01,$6.13B,$2.43B,39.58%,$6.13B,$1.50B,24.45%,$6.13B,$1.50B,24.45%,$6.13B,$2.49B,40.51%,$6.13B,$1.61B,26.28%,$6.13B,$1.34B,21.88%,$1.34B,$10.96B,11.75%,$1.34B,$9.45B,13.47%,$1.34B,$14.34B,9.66%,$1.50B,$11.01B,13.08%,$1736,$1089,$647,$29,$220,$1339,$398,$19,$417,$67,$350,$350,$342,$654,$398,$776,776,$0.44,$0.44,$1618,$214,$96,$3044,$8893,$506,$1510,$264,$11297,$14341,$2920,$49,$286,$465,$3385,$2397,$3182,$0,$10956,$14341,$858,$502,$-4,$498,$-101,$53,$-32,$-520,$-600,$615,$-211,$-2,$0,$-4,$7,$3,$16,$-193,$-5,$-2,$-6,$0,$0,$-0,$30,$24,$444,$0,$-0
