,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.4,$3.61,2.33,$4.92,1.71,$4.40,1.91,$-0.35,0.0,$0.09B,$1.31B,0.07,$0.00B,$0.18B,0.0,$0.25B,$0.06B,23.17%,$0.25B,$-0.00B,-1.63%,$0.25B,$-0.00B,-1.63%,$0.25B,$0.02B,8.54%,$0.25B,$-0.00B,-1.63%,$0.25B,$-0.06B,-25.20%,$-0.06B,$0.18B,-30.58%,$-0.06B,$0.15B,-35.99%,$-0.06B,$1.60B,-3.79%,$-0.00B,$0.18B,-1.97%,$61,$37,$24,$0,$18,$56,$6,$0,$6,$20,$-15,$-15,$-15,$11,$6,$50,50,$-0.30,$-0.30,$69,$0,$0,$85,$6,$1321,$30,$2,$1517,$1602,$1310,$0,$53,$111,$1421,$263,$-76,$5,$181,$1602,$-17,$15,$69,$84,$1,$0,$33,$10,$-1,$65,$-0,$0,$0,$0,$-42,$-42,$0,$-42,$0,$0,$0,$0,$0,$0,$-0,$-0,$23,$0,$0
1,2018-06-30,7.79,$3.71,2.1,$4.98,1.56,$4.45,1.75,$0.02,389.5,$0.08B,$1.31B,0.06,$0.00B,$0.20B,0.0,$0.25B,$0.04B,17.67%,$0.25B,$-0.01B,-2.81%,$0.25B,$-0.01B,-2.81%,$0.25B,$0.02B,7.23%,$0.25B,$-0.01B,-2.81%,$0.25B,$-0.04B,-17.67%,$-0.04B,$0.20B,-19.69%,$-0.04B,$0.17B,-22.98%,$-0.04B,$1.65B,-2.67%,$-0.01B,$0.20B,-3.13%,$60,$47,$12,$0,$16,$64,$-4,$0,$-4,$-2,$-3,$-3,$-3,$1,$-4,$50,50,$-0.05,$-0.05,$63,$0,$0,$79,$6,$1311,$30,$3,$1574,$1653,$1312,$0,$46,$143,$1455,$263,$-61,$7,$197,$1653,$-3,$10,$-2,$8,$1,$0,$32,$-0,$36,$42,$-0,$0,$0,$0,$-25,$-25,$0,$-25,$0,$0,$0,$0,$0,$0,$0,$0,$17,$0,$0
2,2018-03-31,7.32,$4.18,1.75,$5.00,1.46,$4.47,1.64,$0.08,91.5,$0.06B,$1.29B,0.04,$0.00B,$0.21B,0.0,$0.25B,$0.05B,18.00%,$0.25B,$-0.00B,-0.40%,$0.25B,$-0.00B,-0.40%,$0.25B,$0.02B,9.60%,$0.25B,$-0.00B,-0.40%,$0.25B,$-0.04B,-16.00%,$-0.04B,$0.21B,-16.75%,$-0.04B,$0.18B,-19.51%,$-0.04B,$1.65B,-2.44%,$-0.00B,$0.21B,-0.42%,$57,$46,$11,$0,$8,$55,$3,$0,$3,$3,$0,$0,$0,$8,$3,$50,50,$0.00,$0.00,$41,$0,$0,$56,$6,$1329,$31,$2,$1590,$1645,$1294,$0,$44,$142,$1436,$263,$-59,$16,$209,$1645,$0,$5,$-1,$4,$2,$0,$15,$-3,$18,$22,$-0,$0,$0,$0,$-27,$-27,$0,$-27,$0,$0,$0,$0,$0,$0,$0,$0,$-5,$0,$0
3,2017-12-31,7.35,$4.46,1.65,$5.04,1.46,$4.45,1.65,$0.12,61.25,$0.06B,$1.28B,0.05,$0.00B,$0.22B,0.0,$0.25B,$0.05B,18.18%,$0.25B,$-0.00B,-1.19%,$0.25B,$-0.00B,-1.19%,$0.25B,$0.02B,8.70%,$0.25B,$-0.00B,-1.19%,$0.25B,$-0.04B,-15.02%,$-0.04B,$0.22B,-15.20%,$-0.04B,$0.19B,-17.72%,$-0.04B,$1.64B,-2.33%,$-0.00B,$0.22B,-1.20%,$68,$57,$10,$0,$19,$77,$-9,$0,$-9,$35,$-44,$-44,$-44,$1,$-9,$50,50,$-0.89,$-0.89,$46,$0,$0,$63,$7,$1325,$31,$1,$1582,$1644,$1277,$0,$50,$144,$1421,$263,$-54,$26,$224,$1644,$-38,$24,$20,$45,$0,$0,$76,$-1,$87,$93,$-1,$0,$0,$1,$-84,$-84,$0,$-85,$0,$0,$0,$0,$0,$0,$3,$3,$11,$0,$0
4,2017-09-30,7.35,$5.28,1.39,$5.05,1.46,$4.62,1.59,$0.12,61.25,$0.06B,$1.25B,0.05,$0.00B,$0.26B,0.0,$0.25B,$0.04B,17.39%,$0.25B,$0.01B,2.37%,$0.25B,$0.01B,2.37%,$0.25B,$0.03B,9.88%,$0.25B,$0.01B,2.37%,$0.25B,$0.01B,2.37%,$0.01B,$0.26B,2.34%,$0.01B,$0.23B,2.74%,$0.01B,$1.65B,0.37%,$0.01B,$0.26B,2.34%,$64,$53,$11,$0,$7,$61,$3,$0,$3,$-0,$3,$3,$3,$8,$3,$50,50,$0.07,$0.07,$45,$0,$0,$60,$8,$1303,$36,$2,$1591,$1651,$1253,$0,$50,$134,$1387,$263,$-10,$23,$264,$1651,$6,$15,$-4,$11,$2,$0,$52,$-5,$52,$69,$-1,$0,$0,$0,$-60,$-60,$0,$-62,$0,$0,$0,$0,$0,$0,$2,$2,$9,$0,$0
5,2017-06-30,7.38,$5.15,1.43,$4.99,1.48,$4.63,1.59,$0.10,73.8,$0.05B,$1.23B,0.04,$0.00B,$0.26B,0.0,$0.25B,$0.04B,16.73%,$0.25B,$0.01B,3.19%,$0.25B,$0.01B,3.19%,$0.25B,$0.03B,10.36%,$0.25B,$0.01B,3.19%,$0.25B,$0.01B,2.39%,$0.01B,$0.26B,2.34%,$0.01B,$0.22B,2.75%,$0.01B,$1.62B,0.38%,$0.01B,$0.26B,3.13%,$61,$48,$13,$0,$10,$59,$2,$0,$2,$2,$1,$1,$1,$7,$2,$50,50,$0.01,$0.01,$34,$0,$0,$49,$8,$1286,$37,$2,$1575,$1624,$1232,$0,$49,$134,$1366,$263,$-14,$20,$258,$1624,$3,$10,$-3,$7,$1,$0,$32,$-3,$34,$43,$-1,$0,$0,$1,$-46,$-46,$0,$-46,$0,$0,$0,$0,$0,$0,$1,$1,$-2,$0,$0
6,2017-03-31,7.43,$5.08,1.46,$5.00,1.49,$4.63,1.6,$0.12,61.92,$0.06B,$1.22B,0.05,$0.00B,$0.25B,0.0,$0.25B,$0.04B,15.54%,$0.25B,$0.01B,3.59%,$0.25B,$0.01B,3.59%,$0.25B,$0.03B,10.36%,$0.25B,$0.01B,3.59%,$0.25B,$0.01B,2.39%,$0.01B,$0.25B,2.34%,$0.01B,$0.22B,2.74%,$0.01B,$1.61B,0.38%,$0.01B,$0.25B,3.51%,$60,$47,$12,$0,$11,$59,$1,$0,$1,$-1,$2,$2,$2,$6,$1,$50,50,$0.04,$0.04,$41,$0,$0,$56,$8,$1260,$37,$2,$1554,$1610,$1215,$0,$53,$141,$1356,$263,$-14,$17,$254,$1610,$2,$5,$-5,$-0,$2,$0,$15,$-2,$20,$22,$-0,$0,$0,$0,$-17,$-17,$0,$-17,$0,$0,$0,$0,$0,$0,$1,$1,$6,$0,$0
7,2016-12-31,9.82,$4.97,1.97,$4.90,2.0,$4.63,2.12,$0.04,245.5,$0.05B,$1.20B,0.04,$0.00B,$0.25B,0.0,$0.25B,$0.04B,14.63%,$0.25B,$0.01B,2.85%,$0.25B,$0.01B,2.85%,$0.25B,$0.02B,9.35%,$0.25B,$0.01B,2.85%,$0.25B,$0.00B,0.81%,$0.00B,$0.25B,0.78%,$0.00B,$0.21B,0.92%,$0.00B,$1.58B,0.13%,$0.01B,$0.25B,2.74%,$68,$60,$8,$0,$8,$68,$-0,$0,$-0,$-0,$0,$0,$0,$4,$-0,$50,50,$0.00,$0.00,$36,$0,$0,$52,$8,$1240,$38,$1,$1531,$1584,$1196,$0,$57,$139,$1335,$263,$-16,$14,$249,$1584,$2,$18,$-8,$10,$-1,$0,$75,$7,$91,$102,$-2,$0,$0,$-0,$-150,$-150,$0,$-152,$0,$0,$0,$0,$0,$0,$2,$2,$-47,$0,$0
8,2016-09-30,9.36,$5.25,1.78,$4.79,1.96,$4.35,2.15,0,0.0,$0.05B,$1.18B,0.04,$0.00B,$0.26B,0.0,$0.24B,$0.03B,14.17%,$0.24B,$0.01B,2.50%,$0.24B,$0.01B,2.50%,$0.24B,$0.02B,9.17%,$0.24B,$0.01B,2.50%,$0.24B,0,0.00%,$0.00B,$0.26B,0.00%,$0.00B,$0.23B,0.00%,$0.00B,$1.57B,0.00%,$0.01B,$0.26B,2.35%,$62,$52,$9,$0,$4,$57,$5,$0,$5,$2,$3,$3,$3,$9,$5,$50,50,$0.06,$0.06,$32,$0,$0,$47,$7,$1240,$38,$2,$1519,$1566,$1177,$0,$48,$127,$1304,$263,$-21,$32,$263,$1566,$2,$13,$-5,$8,$1,$0,$52,$-1,$59,$69,$-1,$0,$0,$-0,$-120,$-121,$0,$-122,$0,$0,$0,$0,$0,$0,$2,$2,$-51,$0,$0
9,2016-06-30,7.6,$5.21,1.46,$4.71,1.61,$4.24,1.79,$-0.05,0.0,$0.07B,$1.16B,0.06,$0.00B,$0.26B,0.0,$0.24B,$0.03B,12.71%,$0.24B,$0.00B,0.42%,$0.24B,$0.00B,0.42%,$0.24B,$0.02B,7.20%,$0.24B,$0.00B,0.42%,$0.24B,$-0.00B,-1.27%,$-0.00B,$0.26B,-1.19%,$-0.00B,$0.22B,-1.41%,$-0.00B,$1.55B,-0.20%,$0.00B,$0.26B,0.40%,$61,$51,$10,$0,$7,$59,$3,$0,$3,$1,$1,$1,$1,$7,$3,$50,50,$0.03,$0.03,$53,$0,$0,$69,$7,$1204,$38,$3,$1478,$1547,$1157,$0,$55,$129,$1286,$263,$-23,$33,$261,$1547,$-1,$8,$-0,$8,$0,$0,$32,$1,$36,$43,$-1,$0,$0,$-0,$-73,$-74,$0,$-74,$0,$0,$0,$0,$0,$0,$1,$1,$-30,$0,$0
