,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,1.84,$0.00,0.0,$4.61,0.4,$0.26,7.03,$0.23,8.0,$1.94B,$2.19B,0.89,$3.30B,$4.09B,0.81,$6.71B,$1.36B,20.29%,$6.71B,$0.89B,13.25%,$6.71B,$0.89B,13.25%,$6.71B,$1.14B,17.03%,$6.71B,$0.46B,6.89%,$6.71B,$0.29B,4.28%,$0.29B,$4.08B,6.63%,$0.29B,$0.97B,30.43%,$0.29B,$11.60B,2.27%,$0.89B,$7.39B,11.62%,$1540,$1328,$212,$0,$0,$1352,$188,$-217,$-30,$-7,$-23,$-23,$-17,$237,$188,$1509,1509,$-0.01,$-0.01,$342,$9,$339,$1939,$674,$2162,$3113,$1060,$9661,$11600,$2187,$3301,$911,$5327,$7514,$2030,$1661,$0,$4084,$11600,$107,$115,$-21,$94,$0,$0,$-53,$37,$-16,$-2,$-110,$0,$-42,$0,$204,$204,$0,$52,$-105,$0,$-105,$0,$0,$0,$31,$-75,$-25,$0,$0
1,2018-03-31,2.41,$0.00,0.0,$4.88,0.49,$0.70,3.45,$0.27,8.94,$2.13B,$2.33B,0.92,$3.43B,$4.54B,0.75,$6.79B,$1.31B,19.22%,$6.79B,$0.86B,12.62%,$6.79B,$0.86B,12.62%,$6.79B,$1.13B,16.57%,$6.79B,$0.55B,8.12%,$6.79B,$0.35B,5.11%,$0.35B,$4.54B,7.98%,$0.35B,$1.10B,39.01%,$0.35B,$12.53B,2.67%,$0.86B,$7.97B,11.30%,$1522,$1233,$289,$0,$0,$1294,$227,$-31,$196,$53,$143,$143,$143,$293,$227,$1461,1461,$0.10,$0.10,$265,$11,$398,$2131,$840,$2414,$3443,$971,$10397,$12528,$2327,$3426,$1007,$5657,$7984,$1940,$1856,$0,$4544,$12528,$143,$66,$76,$142,$81,$0,$-222,$-17,$-158,$-115,$0,$-58,$-25,$0,$200,$200,$0,$117,$-223,$0,$-223,$0,$0,$0,$34,$-189,$-187,$0,$0
2,2017-12-31,1.93,$3.57,0.54,$5.06,0.38,$0.91,2.11,$0.26,7.41,$2.67B,$2.71B,0.99,$3.77B,$4.49B,0.84,$6.80B,$1.32B,19.46%,$6.80B,$0.91B,13.34%,$6.80B,$0.91B,13.34%,$6.80B,$1.17B,17.25%,$6.80B,$0.52B,7.59%,$6.80B,$0.31B,4.60%,$0.31B,$4.49B,7.33%,$0.31B,$0.99B,38.69%,$0.31B,$13.23B,2.37%,$0.91B,$8.26B,12.22%,$2021,$1154,$868,$0,$0,$1540,$482,$-157,$325,$137,$188,$188,$188,$553,$482,$1458,1458,$0.11,$0.11,$687,$12,$316,$2674,$865,$2450,$3494,$937,$10556,$13230,$2713,$3767,$793,$6028,$8741,$1971,$1794,$-462,$4488,$13230,$314,$266,$231,$497,$-256,$0,$126,$209,$-16,$182,$-26,$-324,$0,$-1,$148,$147,$82,$-121,$-258,$0,$-258,$0,$0,$-169,$377,$-50,$11,$0,$-169
3,2017-09-30,2.32,$0.00,0.0,$4.77,0.49,$1.05,2.2,$0.10,23.2,$2.49B,$3.91B,0.64,$2.80B,$4.20B,0.67,$6.15B,$1.09B,17.68%,$6.15B,$0.71B,11.52%,$6.15B,$0.71B,11.52%,$6.15B,$0.96B,15.55%,$6.15B,$0.04B,0.60%,$6.15B,$0.03B,0.46%,$0.03B,$4.20B,0.69%,$0.03B,$0.71B,3.93%,$0.03B,$13.23B,0.22%,$0.71B,$7.00B,10.07%,$1624,$1632,$-8,$0,$0,$1632,$-8,$-22,$-29,$-3,$-26,$-26,$-27,$59,$-8,$1396,1396,$-0.02,$-0.02,$403,$15,$637,$2485,$885,$2730,$3498,$936,$10747,$13231,$3906,$2801,$791,$5122,$9029,$1991,$1784,$0,$4203,$13231,$126,$195,$348,$543,$0,$0,$0,$286,$286,$678,$-248,$0,$-72,$0,$105,$105,$-51,$-266,$-476,$0,$-476,$0,$0,$-85,$19,$-542,$-131,$0,$-85
4,2017-06-30,2.25,$0.00,0.0,$4.79,0.47,$1.36,1.66,$0.23,9.76,$2.46B,$3.67B,0.67,$2.93B,$4.17B,0.7,$6.03B,$1.43B,23.72%,$6.03B,$1.01B,16.76%,$6.03B,$1.01B,16.76%,$6.03B,$1.26B,20.95%,$6.03B,$0.24B,3.99%,$6.03B,$0.19B,3.13%,$0.19B,$4.17B,4.58%,$0.19B,$0.76B,20.32%,$0.19B,$13.07B,1.46%,$1.01B,$7.10B,14.09%,$1622,$1467,$156,$0,$0,$1467,$156,$-97,$59,$16,$43,$43,$43,$220,$156,$1256,1256,$0.03,$0.03,$638,$15,$509,$2455,$880,$2724,$3410,$1214,$10611,$13065,$3671,$2934,$810,$5226,$8898,$1962,$1771,$0,$4166,$13065,$150,$128,$163,$291,$0,$0,$0,$231,$231,$599,$-143,$0,$-58,$0,$-32,$-32,$-49,$-282,$-267,$0,$-267,$0,$0,$-84,$19,$-332,$-15,$0,$-84
5,2017-03-31,3.04,$0.00,0.0,$4.57,0.66,$1.24,2.46,$0.25,12.15,$2.52B,$3.62B,0.69,$3.11B,$4.23B,0.73,$5.77B,$1.42B,24.66%,$5.77B,$0.97B,16.83%,$5.77B,$0.97B,16.83%,$5.77B,$1.22B,21.18%,$5.77B,$0.26B,4.47%,$5.77B,$0.20B,3.54%,$0.20B,$4.23B,5.01%,$0.20B,$0.78B,20.85%,$0.20B,$13.29B,1.60%,$0.97B,$7.34B,13.56%,$1532,$1225,$307,$0,$0,$1255,$277,$-116,$161,$52,$109,$109,$109,$341,$277,$1253,1253,$0.09,$0.09,$536,$15,$509,$2515,$910,$3161,$3452,$880,$10778,$13293,$3623,$3107,$841,$5440,$9062,$2003,$1768,$0,$4231,$13293,$109,$64,$109,$173,$0,$0,$0,$-324,$-324,$168,$0,$-58,$-52,$0,$61,$61,$-4,$-52,$-165,$0,$-165,$0,$0,$0,$0,$-165,$-49,$0,$0
6,2016-12-31,2.11,$2.95,0.71,$4.24,0.5,$1.18,1.78,$0.16,13.16,$2.38B,$3.28B,0.72,$2.97B,$3.71B,0.8,$5.38B,$1.25B,23.13%,$5.38B,$0.82B,15.29%,$5.38B,$0.82B,15.29%,$5.38B,$1.06B,19.71%,$5.38B,$0.11B,1.95%,$5.38B,$0.10B,1.78%,$0.10B,$3.71B,2.50%,$0.10B,$0.61B,10.06%,$0.10B,$12.05B,0.80%,$0.82B,$6.67B,12.06%,$1370,$738,$632,$0,$0,$1088,$283,$-437,$-154,$-57,$-97,$-97,$-97,$336,$283,$1258,1258,$-0.08,$-0.08,$681,$14,$379,$2376,$1082,$2518,$3102,$940,$9676,$12052,$3282,$2965,$771,$5062,$8344,$1804,$1491,$-140,$3708,$12052,$96,$239,$1235,$1474,$-18,$0,$11,$-459,$-460,$348,$-34,$-293,$0,$401,$-145,$256,$-105,$-176,$42,$0,$42,$0,$0,$-194,$0,$-152,$20,$0,$-194
7,2016-09-30,2.35,$0.00,0.0,$3.15,0.74,$0.93,2.52,$0.16,14.66,$2.66B,$3.17B,0.84,$3.19B,$4.40B,0.73,$5.33B,$0.16B,2.94%,$5.33B,$0.52B,9.77%,$5.33B,$0.52B,9.77%,$5.33B,$0.78B,14.66%,$5.33B,$0.25B,4.74%,$5.33B,$0.20B,3.81%,$0.20B,$4.40B,5.19%,$0.20B,$1.58B,20.10%,$0.20B,$13.32B,1.67%,$0.52B,$7.59B,7.63%,$1510,$1174,$336,$0,$0,$1215,$295,$-120,$175,$42,$134,$134,$134,$367,$295,$1275,1275,$0.11,$0.11,$803,$12,$408,$2661,$1172,$3140,$3288,$942,$10662,$13324,$3170,$3189,$1584,$5289,$8459,$1942,$1837,$0,$4397,$12857,$198,$185,$564,$749,$0,$0,$0,$238,$238,$778,$0,$-260,$-224,$0,$452,$452,$-707,$-738,$-650,$0,$-650,$0,$0,$-34,$882,$198,$237,$0,$-34
8,2016-06-30,2.0,$0.00,0.0,$3.03,0.66,$0.75,2.66,$0.09,22.24,$2.33B,$3.25B,0.72,$3.09B,$3.95B,0.78,$5.19B,$0.22B,4.24%,$5.19B,$0.31B,5.94%,$5.19B,$0.31B,5.94%,$5.19B,$0.54B,10.35%,$5.19B,$0.13B,2.41%,$5.19B,$0.12B,2.26%,$0.12B,$3.95B,3.05%,$0.12B,$0.95B,8.27%,$0.12B,$12.21B,1.01%,$0.31B,$7.04B,4.66%,$1358,$1210,$148,$0,$0,$1242,$116,$-40,$76,$18,$58,$58,$58,$178,$116,$1263,1263,$0.05,$0.05,$695,$12,$332,$2329,$1099,$2900,$2995,$849,$9882,$12212,$3252,$3093,$770,$5013,$8264,$1798,$1581,$0,$3946,$12212,$59,$114,$231,$345,$0,$0,$0,$71,$71,$453,$-147,$0,$-184,$0,$435,$435,$-420,$-316,$-584,$0,$-584,$0,$0,$-32,$643,$27,$164,$0,$-32
9,2016-03-31,1.94,$0.00,0.0,$3.35,0.58,$0.63,3.05,$0.18,10.77,$1.92B,$3.08B,0.62,$2.67B,$3.34B,0.8,$5.58B,$0.72B,12.89%,$5.58B,$0.51B,9.04%,$5.58B,$0.51B,9.04%,$5.58B,$0.73B,12.98%,$5.58B,$0.31B,5.53%,$5.58B,$0.23B,4.17%,$0.23B,$3.34B,5.83%,$0.23B,$0.68B,11.25%,$0.23B,$10.65B,2.02%,$0.51B,$6.01B,7.57%,$1144,$1015,$129,$0,$0,$1015,$129,$-121,$8,$7,$1,$1,$1,$180,$129,$1280,1280,$0.00,$0.00,$511,$10,$282,$1922,$998,$2625,$2652,$741,$8723,$10645,$3084,$2670,$577,$4226,$7310,$1618,$1207,$0,$3335,$10645,$1,$51,$87,$138,$0,$0,$0,$-89,$-89,$154,$-53,$0,$-123,$0,$53,$53,$0,$-123,$43,$0,$43,$0,$0,$-6,$0,$38,$69,$0,$-6
