,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,77.55,$8.77,8.85,$63.97,1.21,$2.30,33.65,$2.00,38.78,$0.69B,$0.65B,1.06,$0.82B,$0.00B,0.0,$2.54B,$0.94B,36.90%,$2.54B,$0.18B,7.17%,$2.54B,$0.18B,7.17%,$2.54B,$0.25B,9.89%,$2.54B,$0.17B,6.50%,$2.54B,$0.08B,2.95%,$0.08B,$0.34B,23.11%,$0.08B,$-1.05B,-13.51%,$0.08B,$2.30B,4.31%,$0.18B,$1.16B,22.65%,$716,$472,$244,$0,$172,$674,$42,$-6,$36,$10,$25,$25,$16,$65,$42,$39,40,$0.41,$0.41,$115,$0,$0,$691,$89,$0,$1398,$87,$1613,$2303,$653,$818,$125,$1306,$1960,$0,$0,$0,$344,$2303,$63,$55,$13,$69,$12,$0,$-31,$-61,$-80,$68,$-22,$0,$-557,$0,$0,$0,$-22,$-601,$574,$0,$574,$7,$7,$-4,$-35,$543,$6,$0,$-4
1,2018-06-30,75.7,$8.43,8.99,$61.78,1.23,$2.13,35.61,$1.70,44.53,$0.63B,$0.57B,1.11,$0.42B,$0.33B,1.27,$2.44B,$0.90B,36.77%,$2.44B,$0.17B,7.13%,$2.44B,$0.17B,7.13%,$2.44B,$0.23B,9.54%,$2.44B,$0.16B,6.55%,$2.44B,$0.07B,2.66%,$0.07B,$0.33B,21.59%,$0.07B,$-0.41B,-16.75%,$0.07B,$1.58B,4.30%,$0.17B,$0.75B,26.05%,$667,$431,$237,$0,$175,$622,$46,$-4,$42,$13,$29,$29,$24,$62,$46,$39,40,$0.61,$0.60,$104,$0,$93,$632,$84,$0,$738,$72,$947,$1579,$570,$418,$55,$679,$1249,$415,$-89,$-52,$330,$1579,$37,$32,$8,$40,$39,$0,$-32,$-124,$-117,$-30,$-14,$0,$-99,$0,$0,$0,$-18,$-131,$-73,$0,$-73,$245,$245,$-15,$-3,$155,$-4,$0,$-2
2,2018-03-31,69.4,$8.19,8.48,$59.94,1.16,$2.16,32.12,$1.38,50.29,$0.63B,$0.57B,1.12,$0.43B,$0.32B,1.35,$2.36B,$0.87B,36.93%,$2.36B,$0.17B,7.16%,$2.36B,$0.17B,7.16%,$2.36B,$0.23B,9.61%,$2.36B,$0.16B,6.65%,$2.36B,$0.05B,2.20%,$0.05B,$0.32B,18.74%,$0.05B,$-0.42B,-13.53%,$0.05B,$1.58B,3.57%,$0.17B,$0.75B,26.16%,$552,$362,$190,$0,$156,$537,$16,$-2,$13,$5,$9,$9,$5,$32,$16,$39,40,$0.13,$0.13,$112,$0,$94,$632,$84,$0,$743,$63,$947,$1578,$565,$433,$53,$693,$1258,$413,$-111,$-38,$321,$1578,$9,$16,$2,$18,$51,$0,$-45,$-119,$-112,$-80,$-6,$0,$-80,$0,$0,$0,$-4,$-90,$187,$0,$187,$5,$5,$-2,$-13,$177,$3,$0,$-2
3,2017-12-31,60.31,$7.78,7.75,$57.92,1.04,$2.08,28.95,$1.25,48.25,$0.66B,$0.73B,0.92,$0.25B,$0.00B,0.0,$2.28B,$0.85B,37.27%,$2.28B,$0.17B,7.30%,$2.28B,$0.17B,7.30%,$2.28B,$0.22B,9.67%,$2.28B,$0.16B,6.81%,$2.28B,$0.05B,2.11%,$0.05B,$0.30B,18.97%,$0.05B,$-0.34B,-12.99%,$0.05B,$1.51B,3.48%,$0.17B,$0.55B,27.05%,$604,$338,$266,$0,$169,$526,$78,$-4,$74,$35,$39,$39,$30,$92,$78,$39,39,$0.78,$0.76,$109,$0,$0,$664,$84,$0,$638,$73,$843,$1508,$725,$247,$68,$480,$1205,$0,$0,$0,$303,$1508,$92,$53,$52,$105,$-40,$0,$9,$47,$16,$213,$-39,$0,$-59,$0,$0,$0,$-43,$-141,$-22,$0,$-22,$-35,$-35,$-4,$-23,$-84,$-5,$14,$-4
4,2017-09-30,49.63,$0.00,0.0,$57.38,0.86,$1.05,47.33,$1.53,32.44,$0.53B,$0.54B,0.99,$0.37B,$0.00B,0.0,$2.25B,$0.81B,36.09%,$2.25B,$0.16B,7.30%,$2.25B,$0.16B,7.30%,$2.25B,$0.22B,9.61%,$2.25B,$0.16B,6.90%,$2.25B,$0.06B,2.76%,$0.06B,$0.25B,26.90%,$0.06B,$-0.39B,-17.49%,$0.06B,$1.39B,4.77%,$0.16B,$0.62B,27.59%,$619,$414,$205,$0,$151,$584,$34,$-3,$31,$11,$20,$20,$6,$47,$34,$39,39,$0.16,$0.16,$110,$0,$0,$532,$81,$0,$636,$69,$853,$1385,$539,$370,$70,$596,$1135,$0,$0,$0,$250,$1385,$53,$39,$16,$56,$12,$0,$-16,$-54,$-57,$68,$-29,$0,$-55,$0,$0,$0,$-35,$-119,$102,$0,$102,$4,$4,$-4,$-58,$45,$-3,$0,$-4
5,2017-06-30,56.37,$6.07,9.28,$53.51,1.05,$0.87,64.88,$1.66,33.96,$0.53B,$0.48B,1.11,$0.42B,$0.24B,1.8,$2.09B,$0.77B,36.70%,$2.09B,$0.15B,7.37%,$2.09B,$0.15B,7.37%,$2.09B,$0.20B,9.76%,$2.09B,$0.15B,6.99%,$2.09B,$0.07B,3.16%,$0.07B,$0.24B,30.81%,$0.07B,$-0.39B,-19.63%,$0.07B,$1.36B,5.31%,$0.15B,$0.66B,27.07%,$586,$375,$211,$0,$156,$545,$41,$-2,$39,$13,$26,$26,$11,$56,$41,$39,39,$0.29,$0.29,$123,$0,$0,$531,$78,$0,$628,$46,$829,$1361,$477,$424,$45,$647,$1125,$405,$-165,$-57,$236,$1361,$33,$26,$10,$36,$11,$0,$-25,$-86,$-100,$-21,$-21,$0,$-51,$0,$0,$0,$-17,$-89,$157,$0,$157,$0,$0,$-13,$-30,$114,$10,$0,$-2
6,2017-03-31,47.09,$5.73,8.22,$51.00,0.92,$1.25,37.73,$1.93,24.4,$0.48B,$0.43B,1.11,$0.40B,$0.22B,1.81,$1.99B,$0.74B,37.44%,$1.99B,$0.15B,7.60%,$1.99B,$0.15B,7.60%,$1.99B,$0.20B,9.86%,$1.99B,$0.14B,7.25%,$1.99B,$0.08B,3.82%,$0.08B,$0.22B,38.48%,$0.08B,$-0.36B,-24.20%,$0.08B,$1.26B,6.41%,$0.15B,$0.63B,28.46%,$466,$300,$166,$0,$137,$453,$13,$-2,$11,$4,$7,$7,$1,$25,$13,$39,39,$0.04,$0.04,$98,$0,$0,$478,$69,$0,$586,$43,$781,$1258,$430,$402,$44,$606,$1036,$404,$-174,$-67,$223,$1258,$7,$12,$5,$17,$33,$0,$-26,$-117,$-110,$-82,$-7,$0,$-30,$0,$0,$0,$-11,$-47,$140,$0,$140,$3,$3,$-2,$-32,$110,$-15,$0,$-2
7,2016-12-31,36.66,$5.50,6.67,$48.77,0.75,$2.29,16.04,$1.74,21.07,$0.51B,$0.51B,0.99,$0.26B,$0.21B,1.23,$1.90B,$0.72B,37.80%,$1.90B,$0.15B,7.75%,$1.90B,$0.15B,7.75%,$1.90B,$0.19B,10.07%,$1.90B,$0.14B,7.38%,$1.90B,$0.07B,3.58%,$0.07B,$0.21B,37.73%,$0.07B,$-0.28B,-22.39%,$0.07B,$1.19B,5.91%,$0.15B,$0.47B,29.44%,$576,$347,$229,$0,$140,$500,$76,$-2,$74,$24,$50,$50,$44,$88,$76,$39,39,$1.15,$1.15,$113,$0,$0,$506,$65,$0,$488,$39,$684,$1190,$510,$261,$36,$468,$978,$400,$-174,$-71,$213,$1190,$92,$45,$25,$70,$-17,$0,$6,$5,$-5,$156,$-25,$0,$-82,$0,$0,$0,$-27,$-134,$17,$0,$17,$-11,$-11,$-3,$-17,$-15,$-3,$8,$-3
8,2016-09-30,41.91,$4.79,8.75,$48.33,0.87,$2.39,17.52,$1.52,27.57,$0.48B,$0.43B,1.12,$0.33B,$0.19B,1.8,$1.88B,$0.71B,37.99%,$1.88B,$0.14B,7.25%,$1.88B,$0.14B,7.25%,$1.88B,$0.18B,9.54%,$1.88B,$0.13B,6.87%,$1.88B,$0.06B,3.20%,$0.06B,$0.19B,36.53%,$0.06B,$-0.31B,-19.72%,$0.06B,$1.16B,5.33%,$0.14B,$0.52B,28.17%,$462,$301,$161,$0,$126,$438,$24,$-2,$22,$8,$13,$13,$10,$35,$24,$39,39,$0.25,$0.24,$109,$0,$0,$483,$64,$0,$498,$32,$678,$1160,$432,$333,$56,$543,$975,$399,$-217,$-56,$185,$1160,$41,$33,$19,$52,$25,$0,$-65,$-5,$-45,$48,$-16,$0,$-72,$0,$0,$0,$-18,$-107,$84,$0,$84,$0,$0,$-3,$-26,$55,$-7,$0,$-3
9,2016-06-30,34.01,$4.37,7.79,$47.40,0.72,$2.56,13.27,$1.48,22.98,$0.48B,$0.41B,1.17,$0.34B,$0.17B,2.0,$1.84B,$0.71B,38.53%,$1.84B,$0.14B,7.74%,$1.84B,$0.14B,7.74%,$1.84B,$0.18B,10.03%,$1.84B,$0.14B,7.36%,$1.84B,$0.06B,3.16%,$0.06B,$0.17B,32.40%,$0.06B,$-0.30B,-21.66%,$0.06B,$1.13B,5.29%,$0.14B,$0.51B,28.79%,$483,$295,$188,$0,$138,$445,$38,$-1,$37,$13,$24,$24,$21,$48,$38,$39,39,$0.55,$0.55,$97,$0,$0,$482,$64,$0,$473,$32,$649,$1131,$410,$337,$55,$552,$962,$398,$-226,$-61,$169,$1131,$28,$22,$12,$34,$11,$0,$-4,$-85,$-78,$-16,$-11,$0,$-46,$0,$0,$0,$-14,$-71,$86,$0,$86,$2,$2,$-2,$-15,$72,$-19,$2,$-2
