,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,23.5,$16.27,1.44,$8.05,2.92,$5.04,4.66,$0.79,29.75,$0.45B,$0.85B,0.53,$0.02B,$0.08B,0.25,$0.04B,$0.04B,90.00%,$0.04B,$0.01B,20.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.00%,$0.04B,$0.00B,10.00%,$0.00B,$0.08B,4.82%,$0.00B,$0.08B,4.82%,$0.00B,$0.96B,0.41%,$0.01B,$0.10B,7.96%,$10,$1,$9,$0,$7,$8,$2,$0,$2,$0,$1,$1,$1,$0,$0,$5,5,$0.31,$0.31,$14,$0,$0,$449,$20,$449,$0,$36,$514,$963,$853,$20,$10,$30,$883,$1,$93,$-18,$80,$963,$0,$0,$0,$0,$0,$0,$0,$0,$0,$9,$-0,$0,$0,$0,$40,$40,$-29,$11,$-10,$-49,$-59,$0,$0,$-4,$37,$-25,$-5,$0,$-4
1,2018-06-30,23.75,$16.65,1.43,$7.97,2.98,$4.30,5.52,$0.81,29.32,$0.44B,$0.85B,0.51,$0.02B,$0.08B,0.25,$0.04B,$0.04B,90.00%,$0.04B,$0.01B,20.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.00%,$0.04B,$0.01B,12.50%,$0.01B,$0.08B,5.81%,$0.01B,$0.08B,5.81%,$0.01B,$0.96B,0.51%,$0.01B,$0.10B,7.73%,$10,$1,$9,$0,$7,$8,$2,$0,$2,$0,$2,$2,$2,$0,$0,$5,5,$0.35,$0.35,$14,$0,$0,$436,$20,$464,$0,$36,$527,$963,$851,$20,$10,$30,$881,$1,$93,$-16,$82,$963,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$0,$0,$0,$0,$29,$29,$-14,$15,$-10,$-57,$-67,$0,$0,$-2,$44,$-26,$-5,$0,$-2
2,2018-03-31,21.62,$16.76,1.29,$7.99,2.71,$3.73,5.79,$0.82,26.37,$0.44B,$0.89B,0.5,$0.00B,$0.08B,0.0,$0.04B,$0.04B,90.00%,$0.04B,$0.01B,20.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.00%,$0.04B,$0.01B,12.50%,$0.01B,$0.08B,5.63%,$0.01B,$0.08B,5.63%,$0.01B,$0.98B,0.50%,$0.01B,$0.08B,7.53%,$10,$1,$9,$0,$7,$8,$2,$0,$2,$0,$2,$2,$2,$0,$0,$5,5,$0.36,$0.36,$33,$0,$0,$443,$20,$470,$0,$36,$533,$976,$885,$0,$9,$9,$894,$1,$92,$-15,$82,$976,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3,$-0,$0,$0,$-19,$25,$6,$-2,$4,$-30,$-45,$-75,$0,$0,$-1,$65,$-11,$-5,$0,$-1
3,2017-12-31,22.61,$18.07,1.25,$7.93,2.85,$3.49,6.49,$0.75,30.14,$0.43B,$0.87B,0.49,$0.03B,$0.09B,0.34,$0.04B,$0.04B,92.31%,$0.04B,$0.01B,20.51%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.51%,$0.04B,$0.00B,10.26%,$0.00B,$0.09B,4.43%,$0.00B,$0.09B,4.43%,$0.00B,$0.99B,0.39%,$0.01B,$0.12B,7.10%,$10,$1,$9,$0,$7,$8,$2,$0,$2,$3,$-1,$-1,$-1,$0,$0,$5,5,$-0.23,$-0.22,$19,$0,$0,$426,$21,$505,$0,$36,$567,$993,$865,$30,$10,$40,$905,$1,$92,$-8,$88,$993,$4,$4,$4,$8,$0,$0,$-0,$-2,$-1,$11,$-3,$0,$0,$47,$-6,$41,$-12,$26,$10,$-6,$4,$0,$0,$-5,$-39,$-40,$-4,$0,$-5
4,2017-09-30,24.12,$18.78,1.28,$7.84,3.08,$3.78,6.39,$1.32,18.28,$0.44B,$0.90B,0.49,$0.02B,$0.09B,0.22,$0.04B,$0.04B,92.11%,$0.04B,$0.01B,21.05%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,21.05%,$0.04B,$0.01B,18.42%,$0.01B,$0.09B,7.82%,$0.01B,$0.09B,7.82%,$0.01B,$1.03B,0.68%,$0.01B,$0.11B,7.31%,$10,$1,$9,$0,$7,$8,$2,$0,$2,$0,$2,$2,$2,$0,$0,$5,5,$0.33,$0.33,$50,$0,$0,$444,$21,$518,$0,$36,$582,$1026,$904,$20,$10,$30,$934,$1,$92,$-5,$92,$1026,$0,$0,$0,$0,$0,$0,$0,$0,$0,$8,$-3,$0,$0,$19,$-16,$3,$1,$1,$0,$-1,$-1,$0,$0,$-4,$-5,$-10,$-1,$0,$-4
5,2017-06-30,24.93,$18.96,1.32,$7.84,3.18,$6.37,3.92,$1.35,18.47,$0.43B,$0.90B,0.48,$0.02B,$0.09B,0.22,$0.04B,$0.04B,92.11%,$0.04B,$0.01B,21.05%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,21.05%,$0.04B,$0.01B,18.42%,$0.01B,$0.09B,7.71%,$0.01B,$0.09B,7.71%,$0.01B,$1.02B,0.68%,$0.01B,$0.11B,7.22%,$10,$1,$9,$0,$7,$8,$2,$0,$2,$0,$2,$2,$2,$0,$0,$5,5,$0.37,$0.36,$31,$0,$0,$425,$20,$530,$0,$35,$592,$1018,$895,$20,$9,$29,$925,$1,$92,$-4,$93,$1018,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$-2,$0,$0,$40,$-26,$14,$1,$13,$0,$-35,$-35,$0,$0,$-2,$20,$-18,$0,$0,$-2
6,2017-03-31,23.32,$18.05,1.29,$7.75,3.01,$7.52,3.1,$1.35,17.27,$0.50B,$0.93B,0.53,$0.02B,$0.09B,0.23,$0.04B,$0.04B,92.11%,$0.04B,$0.01B,21.05%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,21.05%,$0.04B,$0.01B,18.42%,$0.01B,$0.09B,7.71%,$0.01B,$0.09B,7.71%,$0.01B,$1.05B,0.68%,$0.01B,$0.11B,7.22%,$9,$1,$9,$0,$7,$8,$2,$0,$2,$0,$1,$1,$1,$0,$0,$5,5,$0.29,$0.29,$101,$0,$0,$495,$19,$490,$0,$35,$553,$1048,$931,$20,$9,$29,$960,$1,$91,$-8,$88,$1048,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2,$-1,$0,$0,$-25,$10,$-15,$1,$-15,$0,$-9,$-9,$0,$0,$-1,$29,$19,$6,$0,$-1
7,2016-12-31,24.3,$17.42,1.39,$7.76,3.13,$7.41,3.28,$1.37,17.74,$0.47B,$0.91B,0.51,$0.02B,$0.09B,0.24,$0.04B,$0.04B,92.11%,$0.04B,$0.01B,21.05%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,21.05%,$0.04B,$0.01B,21.05%,$0.01B,$0.09B,8.79%,$0.01B,$0.09B,8.79%,$0.01B,$1.03B,0.79%,$0.01B,$0.11B,7.21%,$9,$1,$8,$0,$6,$7,$2,$0,$2,$0,$2,$2,$2,$0,$0,$5,5,$0.35,$0.35,$70,$0,$0,$465,$19,$496,$0,$35,$560,$1025,$911,$20,$10,$30,$940,$1,$91,$-11,$85,$1025,$7,$4,$1,$4,$-1,$0,$0,$-0,$-1,$10,$-1,$0,$0,$-6,$-76,$-82,$32,$-51,$0,$46,$46,$0,$0,$-5,$7,$48,$7,$0,$-5
8,2016-09-30,21.65,$19.88,1.09,$8.00,2.7,$7.59,2.85,$1.51,14.34,$0.51B,$0.90B,0.57,$0.02B,$0.10B,0.21,$0.04B,$0.04B,94.87%,$0.04B,$0.01B,23.08%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,23.08%,$0.04B,$0.01B,20.51%,$0.01B,$0.10B,8.77%,$0.01B,$0.10B,8.77%,$0.01B,$1.03B,0.80%,$0.01B,$0.12B,8.09%,$10,$1,$9,$0,$7,$7,$2,$0,$2,$0,$2,$2,$2,$0,$0,$5,5,$0.36,$0.36,$102,$0,$0,$512,$18,$457,$0,$35,$513,$1025,$899,$20,$9,$29,$928,$1,$90,$2,$97,$1025,$0,$0,$0,$0,$0,$0,$0,$0,$0,$18,$-0,$0,$0,$-37,$-26,$-63,$16,$-48,$0,$14,$14,$0,$0,$-4,$27,$37,$8,$0,$-4
9,2016-06-30,20.2,$19.02,1.06,$8.03,2.51,$5.21,3.88,$1.53,13.2,$0.44B,$0.89B,0.5,$0.02B,$0.09B,0.22,$0.04B,$0.04B,94.87%,$0.04B,$0.01B,23.08%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,23.08%,$0.04B,$0.01B,20.51%,$0.01B,$0.09B,9.07%,$0.01B,$0.09B,9.17%,$0.01B,$1.02B,0.81%,$0.01B,$0.11B,8.31%,$10,$1,$9,$0,$7,$7,$2,$0,$2,$0,$2,$2,$2,$0,$0,$5,5,$0.36,$0.36,$42,$0,$0,$443,$18,$514,$0,$34,$571,$1015,$893,$20,$9,$29,$922,$1,$90,$-2,$93,$1015,$0,$0,$0,$0,$0,$0,$0,$0,$0,$9,$-0,$0,$0,$25,$-82,$-58,$26,$-32,$0,$9,$9,$0,$0,$-2,$26,$32,$9,$0,$-2
