,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,11.05,$5.49,2.01,$6.89,1.6,$0.23,48.85,$0.18,61.39,$0.11B,$0.02B,4.94,$0.02B,$0.16B,0.14,$0.21B,$0.07B,34.13%,$0.21B,$0.00B,1.92%,$0.21B,$0.00B,1.92%,$0.21B,$0.01B,6.25%,$0.21B,$0.00B,1.44%,$0.21B,$0.01B,4.33%,$0.01B,$0.16B,5.49%,$0.01B,$0.08B,10.91%,$0.01B,$0.21B,4.34%,$0.00B,$0.19B,2.19%,$56,$36,$20,$0,$16,$52,$4,$-0,$4,$-0,$4,$4,$4,$6,$4,$30,30,$0.14,$0.14,$3,$61,$0,$108,$23,$0,$80,$1,$105,$212,$22,$23,$0,$26,$48,$0,$-307,$1,$164,$212,$4,$7,$2,$8,$-4,$-3,$0,$0,$-4,$8,$-2,$0,$-0,$0,$0,$0,$0,$-2,$2,$0,$2,$-4,$-4,$-1,$-1,$-4,$1,$2,$-1
1,2018-06-30,8.23,$5.46,1.51,$6.57,1.25,$-0.58,0.0,$0.13,63.32,$0.10B,$0.02B,4.37,$0.02B,$0.16B,0.1,$0.20B,$0.07B,33.33%,$0.20B,$-0.00B,-0.51%,$0.20B,$-0.00B,-0.51%,$0.20B,$0.01B,3.54%,$0.20B,$-0.00B,-1.01%,$0.20B,$0.00B,1.52%,$0.00B,$0.16B,1.85%,$0.00B,$0.08B,3.79%,$0.00B,$0.21B,1.44%,$-0.00B,$0.18B,-0.55%,$46,$30,$16,$0,$16,$46,$-0,$-1,$-1,$-0,$-1,$-1,$-1,$2,$-0,$30,30,$-0.03,$-0.03,$3,$61,$0,$101,$24,$0,$81,$2,$106,$207,$23,$16,$0,$20,$43,$0,$-311,$1,$164,$207,$-0,$4,$1,$6,$3,$-3,$0,$0,$3,$8,$-2,$0,$-0,$0,$0,$0,$0,$-2,$-5,$0,$-5,$-0,$-0,$0,$-0,$-5,$1,$1,$0
2,2018-03-31,6.73,$5.48,1.23,$6.07,1.11,$-1.08,0.0,$0.04,168.36,$0.10B,$0.02B,4.79,$0.02B,$0.17B,0.09,$0.18B,$0.06B,32.24%,$0.18B,$-0.01B,-2.73%,$0.18B,$-0.01B,-2.73%,$0.18B,$0.00B,1.09%,$0.18B,$-0.01B,-2.73%,$0.18B,0,0.00%,$0.00B,$0.17B,0.00%,$0.00B,$0.08B,0.00%,$0.00B,$0.20B,0.00%,$-0.01B,$0.18B,-2.85%,$53,$35,$18,$0,$17,$53,$0,$-0,$0,$-0,$0,$0,$0,$3,$0,$30,30,$0.01,$0.01,$2,$53,$0,$96,$24,$0,$82,$1,$107,$203,$20,$15,$0,$19,$39,$0,$-310,$1,$165,$203,$0,$2,$0,$2,$-0,$5,$0,$-1,$5,$7,$-1,$0,$0,$0,$0,$0,$0,$-1,$-6,$0,$-6,$0,$0,$0,$0,$-6,$0,$0,$0
3,2017-12-31,7.83,$5.43,1.44,$5.69,1.38,$-1.24,0.0,$-0.02,0.0,$0.10B,$0.02B,5.03,$0.02B,$0.16B,0.13,$0.17B,$0.05B,30.81%,$0.17B,$-0.01B,-2.91%,$0.17B,$-0.01B,-2.91%,$0.17B,0,0.00%,$0.17B,$-0.01B,-3.49%,$0.17B,$-0.00B,-0.58%,$-0.00B,$0.16B,-0.63%,$-0.00B,$0.08B,-1.00%,$-0.00B,$0.21B,-0.50%,$-0.01B,$0.18B,-2.93%,$53,$35,$17,$0,$16,$52,$0,$-0,$-0,$-6,$6,$6,$6,$2,$0,$30,30,$0.20,$0.20,$2,$58,$0,$99,$24,$0,$83,$1,$108,$207,$20,$21,$0,$25,$44,$0,$-310,$0,$163,$207,$-1,$5,$-4,$2,$-9,$1,$0,$-1,$-9,$-9,$-3,$0,$-79,$0,$0,$0,$0,$-82,$-2,$0,$-2,$0,$0,$0,$-0,$-2,$-93,$1,$0
4,2017-09-30,7.48,$5.18,1.45,$5.29,1.41,$-0.78,0.0,$-0.27,0.0,$0.11B,$0.02B,4.53,$0.03B,$0.16B,0.18,$0.16B,$0.05B,30.00%,$0.16B,$-0.01B,-3.75%,$0.16B,$-0.01B,-3.75%,$0.16B,$-0.00B,-1.88%,$0.16B,$-0.01B,-5.00%,$0.16B,$-0.01B,-5.00%,$-0.01B,$0.16B,-5.06%,$-0.01B,$0.07B,-7.11%,$-0.01B,$0.22B,-4.00%,$-0.01B,$0.18B,-3.64%,$46,$30,$15,$0,$14,$47,$-1,$0,$-1,$1,$-2,$-2,$-2,$0,$-1,$30,30,$-0.05,$-0.05,$2,$67,$0,$106,$24,$0,$85,$0,$109,$216,$24,$27,$0,$37,$60,$0,$-316,$-0,$156,$216,$-7,$4,$1,$5,$-9,$-8,$0,$-1,$-15,$-17,$-2,$0,$-79,$0,$0,$0,$0,$-81,$5,$0,$5,$0,$0,$0,$-0,$4,$-93,$1,$0
5,2017-06-30,6.63,$5.21,1.27,$5.08,1.31,$-0.05,0.0,$-0.23,0.0,$0.14B,$0.02B,6.8,$0.00B,$0.16B,0.0,$0.15B,$0.05B,29.41%,$0.15B,$-0.00B,-2.61%,$0.15B,$-0.00B,-2.61%,$0.15B,0,0.00%,$0.15B,$-0.01B,-4.58%,$0.15B,$-0.01B,-3.92%,$-0.01B,$0.16B,-3.76%,$-0.01B,$0.12B,-4.72%,$-0.01B,$0.19B,-3.00%,$-0.00B,$0.16B,-2.50%,$31,$22,$9,$0,$13,$35,$-4,$0,$-4,$0,$-4,$-4,$-4,$-3,$-4,$30,30,$-0.12,$-0.12,$63,$55,$0,$143,$11,$0,$32,$0,$43,$186,$21,$0,$0,$9,$30,$0,$-315,$-1,$156,$186,$-5,$2,$1,$3,$1,$-8,$0,$-0,$-5,$-8,$-1,$0,$0,$0,$0,$0,$0,$-1,$-23,$0,$-23,$-0,$-0,$0,$0,$-23,$-31,$0,$0
6,2017-03-31,5.44,$5.31,1.02,$5.01,1.09,$0.39,13.84,$-0.21,0.0,$0.15B,$0.02B,7.35,$0.00B,$0.16B,0.0,$0.15B,$0.04B,29.14%,$0.15B,$-0.00B,-1.32%,$0.15B,$-0.00B,-1.32%,$0.15B,$0.00B,1.32%,$0.15B,$-0.01B,-3.97%,$0.15B,$-0.01B,-3.31%,$-0.01B,$0.16B,-3.08%,$-0.01B,$0.13B,-3.87%,$-0.01B,$0.19B,-2.41%,$-0.00B,$0.16B,-1.23%,$42,$29,$12,$0,$13,$42,$-0,$-1,$-1,$0,$-1,$-1,$-1,$1,$-0,$30,30,$-0.05,$-0.05,$74,$44,$0,$145,$11,$0,$32,$0,$43,$188,$20,$0,$0,$9,$29,$0,$-311,$-1,$159,$188,$-1,$2,$0,$2,$-1,$2,$0,$0,$2,$2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-23,$0,$-23,$-0,$-0,$0,$0,$-23,$-21,$0,$0
7,2016-12-31,5.34,$5.36,1.0,$4.86,1.1,$0.36,15.02,$-0.29,0.0,$0.17B,$0.04B,4.11,$0.00B,$0.16B,0.0,$0.15B,$0.04B,29.25%,$0.15B,$-0.01B,-4.08%,$0.15B,$-0.01B,-4.08%,$0.15B,$-0.00B,-1.36%,$0.15B,$-0.01B,-6.12%,$0.15B,$-0.01B,-5.44%,$-0.01B,$0.16B,-4.84%,$-0.01B,$0.13B,-6.07%,$-0.01B,$0.21B,-3.71%,$-0.01B,$0.16B,-3.52%,$41,$29,$12,$0,$13,$42,$-1,$-1,$-2,$-0,$-1,$-1,$-1,$-1,$-1,$30,30,$-0.06,$-0.06,$95,$45,$0,$167,$11,$0,$32,$0,$44,$210,$41,$0,$0,$9,$50,$0,$-310,$-1,$161,$210,$-9,$3,$2,$5,$3,$5,$0,$3,$8,$5,$-3,$0,$-1,$10,$0,$10,$0,$7,$0,$0,$0,$-5,$-5,$0,$0,$-5,$6,$0,$0
8,2016-09-30,5.13,$5.42,0.95,$4.85,1.06,$0.32,16.14,$-0.88,0.0,$0.17B,$0.04B,3.93,$0.00B,$0.16B,0.0,$0.15B,$0.05B,30.67%,$0.15B,$-0.04B,-24.00%,$0.15B,$-0.04B,-24.00%,$0.15B,$-0.00B,-2.00%,$0.15B,$-0.04B,-26.00%,$0.15B,$-0.03B,-18.67%,$-0.03B,$0.16B,-16.62%,$-0.03B,$0.13B,-20.74%,$-0.03B,$0.22B,-12.74%,$-0.04B,$0.16B,-20.14%,$39,$27,$12,$0,$11,$39,$1,$-0,$0,$1,$-0,$-0,$-0,$3,$1,$30,30,$-0.01,$-0.01,$96,$45,$0,$171,$11,$0,$33,$0,$45,$215,$43,$0,$0,$9,$53,$0,$-308,$-1,$163,$215,$-8,$4,$-0,$4,$-0,$7,$0,$3,$10,$5,$-2,$0,$-1,$10,$0,$10,$0,$7,$0,$0,$0,$-5,$-5,$0,$0,$-5,$8,$0,$0
9,2016-06-30,4.13,$5.47,0.76,$4.74,0.87,$-0.01,0.0,$-2.34,0.0,$0.17B,$0.04B,4.21,$0.00B,$0.17B,0.0,$0.15B,$0.05B,32.00%,$0.15B,$-0.04B,-25.33%,$0.15B,$-0.04B,-25.33%,$0.15B,$-0.00B,-2.67%,$0.15B,$-0.04B,-26.67%,$0.15B,$-0.08B,-52.00%,$-0.08B,$0.17B,-44.01%,$-0.08B,$0.13B,-57.35%,$-0.08B,$0.22B,-33.62%,$-0.04B,$0.17B,-19.77%,$29,$21,$8,$0,$12,$31,$-2,$-1,$-3,$0,$-3,$-3,$-3,$-1,$-2,$31,31,$-0.10,$-0.10,$98,$47,$0,$171,$11,$0,$33,$0,$45,$216,$41,$0,$1,$9,$50,$0,$-306,$-1,$166,$216,$-7,$2,$1,$3,$6,$5,$0,$2,$11,$6,$-1,$0,$-1,$0,$0,$0,$0,$-2,$0,$0,$0,$-4,$-4,$0,$0,$-4,$-0,$0,$0
