,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,49.41,$12.79,3.86,$22.13,2.23,$9.24,5.35,$2.10,23.53,$0.36B,$0.26B,1.37,$1.74B,$1.03B,1.69,$1.84B,$0.90B,48.99%,$1.84B,$0.26B,14.08%,$1.84B,$0.26B,14.08%,$1.84B,$0.45B,24.63%,$1.84B,$0.19B,10.33%,$1.84B,$0.17B,9.46%,$0.17B,$1.03B,17.10%,$0.17B,$-2.08B,-8.40%,$0.17B,$4.14B,4.23%,$0.26B,$2.77B,9.50%,$452,$230,$221,$0,$113,$392,$60,$-16,$44,$21,$23,$23,$22,$110,$60,$81,82,$0.28,$0.27,$98,$0,$0,$361,$453,$42,$3112,$173,$3781,$4142,$264,$1738,$1001,$2848,$3112,$0,$963,$-107,$1030,$4142,$109,$146,$43,$189,$3,$0,$-22,$-35,$-46,$252,$-41,$-25,$-138,$0,$1,$1,$0,$-203,$5,$0,$5,$-67,$-67,$0,$-13,$-75,$-23,$30,$0
1,2018-06-30,51.9,$12.65,4.1,$22.30,2.33,$9.53,5.44,$2.19,23.7,$0.36B,$0.27B,1.31,$1.76B,$1.02B,1.72,$1.87B,$0.92B,49.14%,$1.87B,$0.26B,13.96%,$1.87B,$0.26B,13.96%,$1.87B,$0.45B,24.17%,$1.87B,$0.19B,10.11%,$1.87B,$0.18B,9.79%,$0.18B,$1.02B,18.09%,$0.18B,$-2.11B,-8.86%,$0.18B,$4.16B,4.45%,$0.26B,$2.78B,9.62%,$488,$239,$249,$0,$112,$399,$90,$-17,$73,$17,$56,$59,$59,$138,$90,$81,82,$0.72,$0.71,$85,$0,$0,$358,$454,$42,$3136,$167,$3799,$4157,$274,$1759,$993,$2859,$3133,$0,$940,$-103,$1024,$4157,$87,$96,$31,$127,$0,$0,$-27,$-29,$-65,$148,$-21,$-19,$-141,$0,$1,$1,$0,$-180,$51,$0,$51,$-46,$-46,$0,$-12,$-6,$-36,$20,$0
2,2018-03-31,45.23,$12.35,3.66,$21.88,2.07,$9.39,4.82,$1.96,23.08,$0.38B,$0.30B,1.27,$1.66B,$1.01B,1.65,$1.86B,$0.90B,48.22%,$1.86B,$0.25B,13.42%,$1.86B,$0.25B,13.42%,$1.86B,$0.44B,23.55%,$1.86B,$0.18B,9.48%,$1.86B,$0.17B,8.89%,$0.17B,$1.01B,16.20%,$0.17B,$-2.05B,-8.25%,$0.17B,$4.07B,4.06%,$0.25B,$2.67B,9.38%,$445,$239,$206,$0,$115,$400,$44,$-17,$27,$-1,$28,$28,$28,$92,$44,$81,83,$0.35,$0.34,$124,$0,$0,$376,$444,$39,$3053,$156,$3691,$4067,$297,$1660,$998,$2762,$3059,$0,$882,$-93,$1008,$4067,$28,$48,$17,$65,$13,$0,$5,$-10,$7,$100,$-10,$-10,$-21,$0,$1,$1,$0,$-39,$-46,$0,$-46,$-3,$-3,$0,$-11,$-59,$2,$9,$0
3,2017-12-31,46.21,$12.46,3.71,$21.61,2.14,$9.30,4.97,$1.80,25.67,$0.38B,$0.31B,1.24,$1.68B,$1.01B,1.67,$1.85B,$0.88B,47.38%,$1.85B,$0.24B,12.86%,$1.85B,$0.24B,12.86%,$1.85B,$0.42B,22.80%,$1.85B,$0.17B,9.13%,$1.85B,$0.15B,8.21%,$0.15B,$1.01B,14.90%,$0.15B,$-2.05B,-7.74%,$0.15B,$4.08B,3.77%,$0.24B,$2.69B,9.12%,$454,$230,$225,$0,$113,$389,$65,$-19,$46,$-19,$65,$65,$65,$113,$65,$83,85,$0.78,$0.76,$119,$0,$0,$383,$448,$39,$3056,$152,$3694,$4077,$309,$1684,$974,$2760,$3070,$0,$877,$-94,$1008,$4077,$152,$183,$22,$205,$16,$0,$-45,$55,$26,$384,$-40,$-35,$-190,$0,$-5,$-5,$8,$-262,$153,$0,$153,$-198,$-198,$0,$-28,$-73,$47,$36,$0
4,2017-09-30,46.22,$12.21,3.78,$21.61,2.14,$9.41,4.91,$1.06,43.6,$0.45B,$0.34B,1.33,$1.71B,$1.01B,1.69,$1.87B,$0.87B,46.42%,$1.87B,$0.23B,12.34%,$1.87B,$0.23B,12.34%,$1.87B,$0.41B,22.06%,$1.87B,$0.13B,7.05%,$1.87B,$0.09B,4.86%,$0.09B,$1.01B,8.93%,$0.09B,$-2.06B,-4.72%,$0.09B,$4.14B,2.28%,$0.23B,$2.71B,9.02%,$483,$244,$239,$0,$131,$421,$62,$-19,$43,$12,$31,$31,$31,$109,$62,$83,85,$0.37,$0.36,$163,$0,$0,$448,$454,$37,$3065,$134,$3691,$4140,$336,$1705,$963,$2798,$3134,$0,$812,$-97,$1006,$4140,$87,$136,$43,$179,$-6,$0,$-41,$51,$6,$272,$-28,$-26,$-188,$0,$0,$0,$0,$-242,$198,$0,$198,$-126,$-126,$0,$-28,$44,$73,$30,$0
5,2017-06-30,43.38,$12.46,3.48,$21.80,1.99,$9.69,4.47,$1.09,39.8,$0.40B,$0.35B,1.15,$1.50B,$1.05B,1.43,$1.91B,$0.88B,45.90%,$1.91B,$0.26B,13.33%,$1.91B,$0.26B,13.33%,$1.91B,$0.44B,22.79%,$1.91B,$0.14B,7.32%,$1.91B,$0.10B,4.97%,$0.10B,$1.05B,9.15%,$0.10B,$-1.85B,-5.06%,$0.10B,$3.98B,2.40%,$0.26B,$2.55B,10.06%,$474,$249,$225,$0,$104,$396,$78,$-18,$60,$19,$41,$41,$41,$123,$78,$85,86,$0.49,$0.48,$107,$0,$0,$398,$433,$103,$2898,$143,$3579,$3977,$346,$1501,$956,$2580,$2926,$0,$782,$-103,$1051,$3977,$57,$89,$40,$129,$-2,$0,$-74,$44,$-46,$140,$-20,$-17,$0,$0,$-70,$-70,$0,$-107,$35,$0,$35,$-36,$-36,$0,$-13,$-15,$17,$21,$0
6,2017-03-31,40.72,$12.00,3.39,$21.86,1.86,$9.92,4.11,$1.06,38.42,$0.39B,$0.39B,0.99,$1.46B,$1.02B,1.44,$1.94B,$0.89B,45.80%,$1.94B,$0.25B,13.05%,$1.94B,$0.25B,13.05%,$1.94B,$0.43B,22.38%,$1.94B,$0.14B,7.27%,$1.94B,$0.09B,4.85%,$0.09B,$1.02B,8.93%,$0.09B,$-1.90B,-5.02%,$0.09B,$3.92B,2.37%,$0.25B,$2.48B,9.84%,$440,$252,$188,$0,$112,$407,$33,$-13,$20,$6,$13,$13,$15,$77,$33,$84,86,$0.18,$0.18,$120,$0,$0,$388,$440,$40,$2913,$137,$3532,$3920,$391,$1464,$920,$2513,$2904,$0,$740,$-107,$1016,$3920,$15,$45,$22,$67,$11,$0,$-11,$16,$13,$96,$-9,$-8,$0,$0,$0,$0,$0,$-17,$-18,$0,$-18,$-17,$-17,$0,$-12,$-47,$30,$12,$0
7,2016-12-31,36.83,$11.89,3.1,$21.81,1.69,$9.76,3.77,$1.19,30.95,$0.37B,$0.38B,0.96,$1.50B,$1.00B,1.49,$1.95B,$0.91B,46.49%,$1.95B,$0.28B,14.23%,$1.95B,$0.28B,14.23%,$1.95B,$0.46B,23.35%,$1.95B,$0.16B,8.40%,$1.95B,$0.11B,5.43%,$0.11B,$1.00B,9.89%,$0.11B,$-1.91B,-6.00%,$0.11B,$3.91B,2.73%,$0.28B,$2.50B,10.93%,$475,$258,$217,$0,$114,$417,$58,$-49,$9,$3,$6,$6,$4,$104,$58,$88,89,$0.05,$0.04,$90,$0,$0,$366,$449,$41,$2914,$136,$3541,$3908,$381,$1497,$907,$2524,$2905,$0,$725,$-122,$1003,$3908,$107,$178,$131,$309,$-24,$0,$-29,$23,$-2,$414,$-45,$-36,$-415,$22,$-1,$21,$-7,$-482,$236,$0,$236,$-180,$-180,$0,$-15,$41,$-27,$40,$0
8,2016-09-30,39.22,$12.51,3.13,$20.79,1.89,$8.77,4.47,$1.57,24.98,$0.37B,$0.37B,1.02,$1.53B,$1.08B,1.41,$1.87B,$0.87B,46.76%,$1.87B,$0.25B,13.27%,$1.87B,$0.25B,13.27%,$1.87B,$0.42B,22.58%,$1.87B,$0.20B,10.75%,$1.87B,$0.14B,7.49%,$0.14B,$1.08B,12.92%,$0.14B,$-1.86B,-8.40%,$0.14B,$4.01B,3.66%,$0.25B,$2.61B,9.91%,$524,$275,$248,$0,$118,$438,$86,$-34,$51,$16,$35,$36,$35,$132,$86,$88,89,$0.40,$0.39,$88,$0,$0,$374,$444,$87,$2938,$167,$3638,$4012,$367,$1527,$927,$2564,$2931,$0,$721,$-112,$1081,$4012,$103,$132,$67,$198,$-37,$0,$-3,$23,$15,$317,$-35,$-27,$-415,$0,$-1,$-1,$2,$-476,$253,$0,$253,$-100,$-100,$0,$-14,$140,$-20,$30,$0
9,2016-06-30,38.48,$12.57,3.06,$19.21,2.0,$8.08,4.76,$1.49,25.83,$0.36B,$0.30B,1.18,$1.59B,$1.11B,1.43,$1.73B,$0.82B,47.37%,$1.73B,$0.23B,13.17%,$1.73B,$0.23B,13.17%,$1.73B,$0.39B,22.76%,$1.73B,$0.20B,11.38%,$1.73B,$0.13B,7.68%,$0.13B,$1.11B,12.54%,$0.13B,$-1.83B,-8.49%,$0.13B,$4.02B,3.57%,$0.23B,$2.70B,9.36%,$500,$265,$235,$0,$116,$424,$76,$-16,$61,$20,$40,$40,$40,$121,$76,$89,90,$0.46,$0.45,$83,$0,$0,$359,$455,$86,$2938,$179,$3660,$4019,$304,$1585,$919,$2605,$2909,$0,$686,$-118,$1110,$4019,$68,$86,$31,$117,$-20,$0,$-22,$3,$-12,$173,$-28,$-18,$-415,$0,$-1,$-1,$-0,$-461,$288,$0,$288,$-19,$-19,$0,$-7,$262,$-27,$19,$0
