,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,6.4,$0.66,9.64,$45.43,0.14,$-3.34,0.0,$-1.74,0.0,$0.74B,$0.52B,1.41,$1.60B,$0.04B,41.13,$3.54B,$0.44B,12.36%,$3.54B,$0.14B,3.90%,$3.54B,$0.14B,3.93%,$3.54B,$0.28B,7.78%,$3.54B,$-0.09B,-2.49%,$3.54B,$-0.15B,-4.36%,$-0.15B,$0.05B,-174.50%,$-0.15B,$-0.21B,83.92%,$-0.15B,$2.18B,-6.40%,$0.14B,$1.65B,8.13%,$954,$849,$104,$0,$42,$932,$22,$-37,$-16,$0,$-16,$-16,$-16,$54,$22,$78,78,$-0.21,$-0.21,$66,$364,$11,$735,$1116,$25,$264,$37,$1442,$2178,$522,$1600,$2,$1605,$2127,$43,$0,$-4,$51,$2178,$-73,$98,$55,$153,$29,$-34,$-33,$-68,$-109,$-29,$-41,$0,$45,$0,$6,$6,$4,$14,$-402,$0,$-402,$0,$0,$0,$-31,$-433,$-449,$3,$0
1,2018-06-30,7.45,$0.86,8.62,$46.39,0.16,$-3.06,0.0,$-1.83,0.0,$0.69B,$0.47B,1.45,$1.60B,$0.05B,29.68,$3.61B,$0.46B,12.78%,$3.61B,$0.15B,4.10%,$3.61B,$0.15B,4.13%,$3.61B,$0.31B,8.45%,$3.61B,$-0.10B,-2.72%,$3.61B,$-0.16B,-4.46%,$-0.16B,$0.07B,-127.78%,$-0.16B,$-0.20B,99.84%,$-0.16B,$2.15B,-6.28%,$0.15B,$1.67B,8.08%,$946,$822,$123,$0,$43,$902,$44,$-94,$-50,$1,$-51,$-51,$-51,$76,$44,$78,78,$-0.65,$-0.64,$39,$334,$4,$689,$1136,$25,$269,$25,$1455,$2145,$474,$1600,$2,$1604,$2078,$59,$0,$-5,$67,$2145,$-57,$65,$51,$116,$20,$-3,$-18,$-60,$-83,$-23,$-33,$0,$28,$0,$6,$6,$3,$5,$-402,$0,$-402,$0,$0,$0,$-55,$-457,$-476,$3,$0
2,2018-03-31,7.05,$1.50,4.7,$46.67,0.15,$-3.17,0.0,$-1.06,0.0,$1.12B,$0.89B,1.26,$1.60B,$0.10B,15.72,$3.63B,$0.48B,13.28%,$3.63B,$0.16B,4.38%,$3.63B,$0.16B,4.41%,$3.63B,$0.33B,9.01%,$3.63B,$-0.04B,-0.99%,$3.63B,$-0.10B,-2.78%,$-0.10B,$0.12B,-61.12%,$-0.10B,$-0.16B,72.53%,$-0.10B,$2.61B,-3.71%,$0.16B,$1.71B,8.08%,$751,$637,$113,$0,$55,$709,$41,$-44,$-3,$-0,$-3,$-3,$-5,$74,$41,$78,78,$-0.06,$-0.06,$497,$325,$0,$1120,$1150,$35,$274,$27,$1486,$2606,$887,$1599,$2,$1604,$2491,$109,$0,$-7,$115,$2606,$-5,$33,$7,$40,$44,$-8,$-9,$-71,$-54,$-19,$-17,$0,$28,$0,$-4,$-4,$-1,$6,$-1,$0,$-1,$0,$0,$0,$-4,$-5,$-18,$1,$0
3,2017-12-31,7.7,$1.56,4.93,$48.38,0.16,$-3.44,0.0,$-1.08,0.0,$1.19B,$0.93B,1.29,$1.64B,$0.11B,15.44,$3.77B,$0.50B,13.25%,$3.77B,$0.16B,4.17%,$3.77B,$0.16B,4.20%,$3.77B,$0.34B,8.95%,$3.77B,$-0.03B,-0.85%,$3.77B,$-0.10B,-2.71%,$-0.10B,$0.12B,-53.75%,$-0.10B,$-0.16B,76.69%,$-0.10B,$2.69B,-3.70%,$0.16B,$1.76B,7.48%,$884,$787,$97,$0,$55,$852,$32,$-50,$-19,$0,$-19,$-19,$-82,$71,$32,$78,78,$-1.05,$-1.08,$514,$314,$0,$1192,$1159,$35,$279,$24,$1497,$2689,$926,$1638,$2,$1643,$2569,$113,$0,$-7,$120,$2689,$-104,$179,$18,$198,$-159,$-9,$71,$-43,$-120,$-27,$-70,$0,$485,$0,$0,$0,$39,$453,$-13,$0,$-13,$0,$0,$0,$96,$83,$510,$12,$0
4,2017-09-30,8.35,$2.63,3.18,$47.66,0.18,$-3.93,0.0,$-1.27,0.0,$0.83B,$0.61B,1.36,$1.99B,$0.19B,10.68,$3.70B,$0.46B,12.45%,$3.70B,$0.14B,3.70%,$3.70B,$0.14B,3.70%,$3.70B,$0.31B,8.37%,$3.70B,$-0.05B,-1.46%,$3.70B,$-0.10B,-2.65%,$-0.10B,$0.20B,-45.69%,$-0.10B,$-0.12B,84.30%,$-0.10B,$2.81B,-3.54%,$0.14B,$2.19B,6.19%,$1027,$899,$128,$0,$55,$994,$32,$-59,$-26,$-0,$-26,$-26,$-23,$84,$32,$78,78,$-0.30,$-0.30,$27,$324,$125,$834,$1410,$10,$326,$234,$1980,$2813,$613,$1987,$8,$1999,$2612,$194,$0,$-8,$202,$2813,$-20,$139,$-8,$132,$-119,$15,$19,$-57,$-115,$-3,$-45,$0,$0,$0,$0,$0,$-0,$-46,$-17,$0,$-17,$0,$0,$0,$88,$71,$22,$8,$0
5,2017-06-30,4.25,$2.92,1.46,$46.94,0.09,$-5.04,0.0,$-1.39,0.0,$0.77B,$0.56B,1.36,$1.99B,$0.21B,9.55,$3.64B,$0.44B,12.16%,$3.64B,$0.12B,3.16%,$3.64B,$0.12B,3.16%,$3.64B,$0.29B,7.91%,$3.64B,$-0.07B,-1.89%,$3.64B,$-0.11B,-2.96%,$-0.11B,$0.22B,-45.47%,$-0.11B,$-0.12B,104.60%,$-0.11B,$2.79B,-3.89%,$0.12B,$2.21B,5.15%,$967,$823,$144,$0,$48,$912,$55,$-43,$12,$0,$12,$12,$9,$98,$55,$78,78,$0.12,$0.15,$27,$439,$1,$769,$1633,$10,$339,$37,$2019,$2789,$564,$1986,$1,$2001,$2565,$216,$0,$-8,$224,$2789,$3,$88,$-13,$75,$-26,$-38,$8,$-69,$-114,$-36,$-30,$0,$0,$0,$0,$0,$-0,$-30,$-14,$0,$-14,$0,$0,$0,$102,$88,$22,$3,$0
6,2017-03-31,3.8,$2.78,1.37,$47.17,0.08,$-6.00,0.0,$-3.40,0.0,$0.70B,$0.50B,1.41,$2.02B,$0.20B,10.25,$3.65B,$0.43B,11.78%,$3.65B,$0.06B,1.56%,$3.65B,$0.06B,1.56%,$3.65B,$0.24B,6.58%,$3.65B,$-0.23B,-6.28%,$3.65B,$-0.26B,-7.18%,$-0.26B,$0.21B,-99.05%,$-0.26B,$-0.13B,306.43%,$-0.26B,$2.75B,-9.34%,$0.06B,$2.24B,2.53%,$887,$757,$130,$0,$47,$847,$39,$-38,$1,$-0,$2,$2,$-6,$84,$39,$77,78,$-0.08,$-0.08,$5,$436,$2,$702,$1655,$10,$348,$34,$2046,$2748,$497,$2024,$1,$2038,$2535,$206,$0,$-8,$213,$2748,$-6,$45,$-7,$37,$4,$-43,$10,$-52,$-72,$-41,$-17,$0,$0,$0,$0,$0,$-0,$-17,$27,$0,$27,$0,$0,$0,$32,$58,$0,$2,$0
7,2016-12-31,4.0,$2.86,1.4,$45.17,0.09,$-6.87,0.0,$-4.19,0.0,$0.64B,$0.50B,1.29,$1.99B,$0.20B,9.83,$3.48B,$0.39B,11.11%,$3.48B,$-0.00B,-0.03%,$3.48B,$-0.00B,-0.03%,$3.48B,$0.19B,5.32%,$3.48B,$-0.30B,-8.58%,$3.48B,$-0.32B,-9.27%,$-0.32B,$0.22B,-97.28%,$-0.32B,$-0.09B,870.27%,$-0.32B,$2.73B,-11.23%,$-0.00B,$2.21B,-0.04%,$822,$763,$59,$0,$12,$811,$11,$-52,$-41,$7,$-48,$-48,$-78,$44,$11,$77,77,$-1.00,$-1.00,$4,$358,$1,$641,$1632,$10,$311,$40,$2084,$2725,$498,$1994,$3,$2008,$2507,$211,$0,$-8,$219,$2725,$-329,$185,$170,$356,$-39,$42,$18,$-51,$-23,$4,$-138,$0,$0,$0,$-17,$-17,$0,$-154,$209,$0,$209,$0,$0,$0,$-60,$149,$-1,$6,$0
8,2016-09-30,4.51,$3.85,1.17,$42.72,0.11,$-4.54,0.0,$-4.74,0.0,$0.72B,$0.55B,1.31,$1.98B,$0.28B,7.15,$3.27B,$0.30B,9.21%,$3.27B,$-0.02B,-0.52%,$3.27B,$-0.02B,-0.52%,$3.27B,$0.16B,4.93%,$3.27B,$-0.30B,-9.12%,$3.27B,$-0.36B,-11.10%,$-0.36B,$0.29B,-84.96%,$-0.36B,$-0.07B,-1190.16%,$-0.36B,$2.84B,-12.42%,$-0.02B,$2.27B,-0.74%,$967,$856,$110,$0,$54,$957,$10,$-51,$-41,$-8,$-33,$-33,$-33,$62,$10,$77,77,$-0.42,$-0.42,$18,$410,$1,$724,$1695,$6,$366,$48,$2116,$2840,$552,$1980,$1,$1994,$2546,$288,$0,$-11,$294,$2840,$-249,$152,$123,$275,$-70,$16,$12,$-36,$-65,$-19,$-115,$0,$0,$0,$-12,$-12,$0,$-127,$221,$0,$221,$-2,$-2,$0,$-60,$158,$12,$4,$0
9,2016-06-30,4.9,$4.34,1.13,$45.20,0.11,$-2.02,0.0,$-5.01,0.0,$0.76B,$0.59B,1.3,$1.97B,$0.31B,6.3,$3.44B,$0.36B,10.34%,$3.44B,$-0.02B,-0.49%,$3.44B,$-0.02B,-0.49%,$3.44B,$0.15B,4.39%,$3.44B,$-0.31B,-9.12%,$3.44B,$-0.38B,-11.10%,$-0.38B,$0.33B,-70.12%,$-0.38B,$-0.04B,-293.28%,$-0.38B,$2.91B,-12.81%,$-0.02B,$2.30B,-0.72%,$973,$842,$131,$0,$51,$976,$-3,$-145,$-148,$0,$-148,$-148,$-145,$50,$-3,$77,77,$-1.89,$-1.89,$32,$445,$5,$764,$1705,$7,$376,$55,$2143,$2907,$587,$1973,$1,$1988,$2575,$319,$0,$-6,$332,$2907,$-216,$100,$102,$202,$-60,$-10,$35,$1,$-38,$-52,$-86,$0,$0,$0,$-13,$-13,$0,$-99,$244,$0,$244,$-2,$-2,$0,$-65,$177,$27,$3,$0
