,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.65,$-2.77,-3.12,$16.32,0.53,$3.78,2.29,$0.67,12.91,$0.07B,$0.09B,0.81,$0.19B,$-0.08B,-2.52,$0.43B,$0.24B,55.53%,$0.43B,$0.02B,4.15%,$0.43B,$0.02B,4.15%,$0.43B,$0.06B,13.59%,$0.43B,$0.01B,1.38%,$0.43B,$0.02B,4.38%,$0.02B,$-0.08B,-25.33%,$0.02B,$-0.10B,-20.82%,$0.02B,$0.26B,7.55%,$0.02B,$0.12B,15.42%,$110,$50,$60,$0,$49,$110,$-0,$-3,$-3,$1,$-4,$-4,$-4,$10,$-0,$26,26,$-0.15,$-0.15,$50,$0,$0,$73,$157,$0,$23,$7,$189,$262,$90,$190,$56,$247,$337,$0,$-76,$2,$-75,$262,$-2,$29,$2,$31,$-1,$0,$0,$7,$20,$48,$-12,$0,$-19,$0,$0,$0,$0,$-31,$4,$0,$4,$0,$0,$-0,$0,$4,$20,$0,$-0
1,2018-06-30,14.55,$-2.67,-5.45,$15.96,0.91,$3.45,4.22,$0.32,45.47,$0.08B,$0.09B,0.91,$0.19B,$-0.07B,-2.59,$0.42B,$0.23B,55.32%,$0.42B,$0.01B,2.84%,$0.42B,$0.01B,2.84%,$0.42B,$0.05B,12.53%,$0.42B,$0.00B,0.00%,$0.42B,$0.01B,2.36%,$0.01B,$-0.07B,-12.31%,$0.01B,$-0.09B,-10.61%,$0.01B,$0.26B,4.10%,$0.01B,$0.12B,10.76%,$112,$50,$62,$0,$49,$109,$4,$-3,$1,$-0,$1,$1,$1,$14,$4,$26,27,$0.02,$0.02,$59,$0,$0,$78,$154,$0,$17,$4,$178,$256,$85,$187,$55,$243,$328,$0,$-72,$2,$-73,$256,$2,$20,$0,$20,$0,$0,$0,$21,$21,$43,$-9,$0,$-7,$0,$0,$0,$-0,$-16,$1,$0,$1,$0,$0,$-0,$0,$1,$28,$0,$-0
2,2018-03-31,7.6,$-2.70,-2.81,$15.70,0.48,$3.07,2.48,$0.28,27.14,$0.08B,$0.07B,1.08,$0.20B,$-0.07B,-2.65,$0.41B,$0.23B,55.47%,$0.41B,$0.01B,2.92%,$0.41B,$0.01B,2.92%,$0.41B,$0.05B,12.90%,$0.41B,$-0.00B,-0.24%,$0.41B,$0.01B,2.19%,$0.01B,$-0.07B,-10.62%,$0.01B,$-0.09B,-9.60%,$0.01B,$0.25B,3.76%,$0.01B,$0.12B,10.96%,$107,$48,$59,$0,$45,$103,$4,$-3,$1,$0,$1,$1,$1,$14,$4,$26,27,$0.04,$0.04,$54,$0,$0,$80,$151,$0,$14,$4,$172,$252,$74,$195,$57,$252,$325,$0,$-72,$2,$-74,$252,$1,$10,$0,$10,$-0,$0,$0,$14,$19,$30,$-6,$0,$0,$0,$0,$0,$-0,$-6,$-1,$0,$-1,$0,$0,$-0,$0,$-1,$24,$0,$-0
3,2017-12-31,5.55,$-2.87,-1.93,$15.43,0.36,$2.70,2.05,$0.13,42.69,$0.07B,$0.06B,1.09,$0.19B,$-0.08B,-2.49,$0.40B,$0.22B,55.33%,$0.40B,$0.01B,1.99%,$0.40B,$0.01B,1.99%,$0.40B,$0.05B,12.41%,$0.40B,$-0.01B,-1.24%,$0.40B,$0.01B,1.24%,$0.01B,$-0.08B,-5.68%,$0.01B,$-0.09B,-5.32%,$0.01B,$0.24B,2.12%,$0.01B,$0.12B,7.55%,$105,$45,$60,$0,$40,$96,$10,$-3,$7,$-14,$21,$21,$21,$21,$10,$27,27,$0.82,$0.82,$30,$0,$0,$68,$151,$0,$11,$5,$169,$237,$63,$194,$57,$252,$315,$0,$-75,$1,$-78,$237,$4,$42,$7,$49,$0,$0,$0,$-24,$-24,$28,$-23,$0,$-15,$0,$0,$0,$-3,$-42,$-2,$0,$-2,$0,$0,$-0,$0,$-2,$-15,$0,$-0
4,2017-09-30,7.0,$-3.73,-1.87,$15.28,0.46,$2.56,2.73,$-0.64,0.0,$0.07B,$0.08B,0.95,$0.19B,$-0.10B,-1.95,$0.39B,$0.21B,54.31%,$0.39B,$-0.00B,-0.25%,$0.39B,$-0.00B,-0.25%,$0.39B,$0.04B,10.41%,$0.39B,$-0.01B,-3.55%,$0.39B,$-0.02B,-4.06%,$-0.02B,$-0.10B,17.78%,$-0.02B,$-0.11B,17.11%,$-0.02B,$0.23B,-6.79%,$-0.00B,$0.09B,-0.96%,$99,$46,$53,$0,$42,$105,$-6,$-3,$-9,$4,$-13,$-13,$-13,$4,$-6,$25,25,$-0.53,$-0.53,$59,$0,$0,$73,$142,$0,$10,$4,$158,$231,$77,$194,$59,$253,$331,$0,$-96,$1,$-100,$231,$-17,$31,$7,$39,$-0,$0,$0,$0,$13,$35,$-9,$0,$-9,$0,$0,$0,$-2,$-20,$-2,$0,$-2,$0,$0,$-0,$0,$-1,$14,$0,$-0
5,2017-06-30,4.7,$-3.26,-1.44,$15.20,0.31,$1.66,2.84,$-0.35,0.0,$0.08B,$0.07B,1.06,$0.19B,$-0.09B,-2.24,$0.39B,$0.21B,54.31%,$0.39B,$0.00B,0.51%,$0.39B,$0.00B,0.51%,$0.39B,$0.05B,11.68%,$0.39B,$-0.01B,-2.79%,$0.39B,$-0.01B,-2.28%,$-0.01B,$-0.09B,10.40%,$-0.01B,$-0.09B,10.26%,$-0.01B,$0.24B,-3.76%,$0.00B,$0.11B,1.85%,$100,$44,$56,$0,$42,$96,$4,$-3,$0,$1,$-0,$-0,$-0,$14,$4,$25,25,$-0.02,$-0.02,$67,$0,$0,$76,$157,$0,$1,$2,$161,$237,$71,$194,$58,$253,$324,$0,$-83,$1,$-87,$237,$-3,$21,$1,$23,$0,$0,$0,$11,$11,$30,$-7,$0,$0,$0,$0,$0,$-0,$-7,$-1,$0,$-1,$0,$0,$-0,$0,$-1,$22,$0,$-0
6,2017-03-31,3.55,$-3.27,-1.08,$15.09,0.24,$1.26,2.82,$0.46,7.72,$0.07B,$0.07B,0.99,$0.20B,$-0.09B,-2.23,$0.40B,$0.21B,53.67%,$0.40B,$-0.00B,-0.76%,$0.40B,$-0.00B,-0.76%,$0.40B,$0.04B,10.63%,$0.40B,$0.02B,5.82%,$0.40B,$0.01B,3.04%,$0.01B,$-0.09B,-14.12%,$0.01B,$-0.09B,-13.87%,$0.01B,$0.24B,4.91%,$-0.00B,$0.11B,-2.73%,$99,$45,$54,$0,$44,$99,$-0,$-3,$-3,$-0,$-3,$-3,$-3,$11,$-0,$27,27,$-0.11,$-0.11,$60,$0,$0,$71,$163,$0,$1,$3,$168,$239,$72,$195,$60,$255,$327,$0,$-82,$0,$-87,$239,$-3,$11,$1,$12,$0,$-0,$0,$6,$9,$18,$-3,$0,$0,$0,$0,$0,$0,$-3,$-1,$0,$-1,$0,$0,$-0,$0,$-0,$14,$0,$-0
7,2016-12-31,2.5,$-3.23,-0.78,$15.41,0.16,$1.20,2.09,$0.29,8.62,$0.06B,$0.07B,0.9,$0.20B,$-0.09B,-2.27,$0.40B,$0.21B,53.40%,$0.40B,$-0.01B,-1.76%,$0.40B,$-0.01B,-1.76%,$0.40B,$0.04B,9.82%,$0.40B,$0.02B,4.53%,$0.40B,$0.01B,2.02%,$0.01B,$-0.09B,-8.99%,$0.01B,$-0.09B,-8.86%,$0.01B,$0.24B,3.08%,$-0.01B,$0.11B,-5.79%,$96,$45,$51,$0,$39,$95,$1,$-3,$-2,$-1,$-0,$-0,$-0,$12,$1,$26,26,$-0.01,$0.01,$46,$0,$0,$59,$171,$0,$1,$4,$177,$236,$65,$195,$61,$256,$322,$0,$-79,$-0,$-86,$236,$8,$45,$-36,$10,$0,$0,$0,$3,$3,$21,$-20,$0,$0,$0,$0,$0,$-0,$-20,$-32,$0,$-32,$0,$0,$-0,$0,$-32,$-31,$0,$-0
8,2016-09-30,3.09,$-3.36,-0.92,$15.74,0.2,$0.92,3.37,$3.77,0.82,$0.06B,$0.07B,0.85,$0.20B,$-0.09B,-2.27,$0.40B,$0.22B,53.98%,$0.40B,$0.07B,16.92%,$0.40B,$0.07B,16.92%,$0.40B,$0.12B,28.86%,$0.40B,$0.11B,27.36%,$0.40B,$0.10B,23.63%,$0.10B,$-0.09B,-103.83%,$0.10B,$-0.09B,-102.43%,$0.10B,$0.25B,34.39%,$0.07B,$0.11B,50.09%,$99,$46,$53,$0,$43,$101,$-3,$-4,$-6,$-1,$-6,$-6,$-6,$9,$-3,$26,26,$-0.21,$-0.21,$48,$0,$0,$62,$176,$0,$1,$5,$183,$245,$73,$195,$63,$258,$331,$0,$-79,$-1,$-86,$245,$8,$34,$-35,$-1,$1,$0,$0,$0,$10,$17,$-14,$0,$0,$0,$0,$0,$0,$-14,$-32,$0,$-32,$0,$0,$-0,$0,$-31,$-28,$0,$-0
9,2016-06-30,2.72,$-3.16,-0.86,$16.12,0.17,$0.71,3.83,$3.09,0.88,$0.07B,$0.08B,0.85,$0.20B,$-0.08B,-2.4,$0.41B,$0.22B,53.56%,$0.41B,$0.05B,12.53%,$0.41B,$0.05B,12.53%,$0.41B,$0.10B,24.57%,$0.41B,$0.09B,22.60%,$0.41B,$0.08B,19.41%,$0.08B,$-0.08B,-68.10%,$0.08B,$-0.08B,-67.38%,$0.08B,$0.26B,26.29%,$0.05B,$0.11B,37.36%,$101,$47,$54,$0,$45,$102,$-1,$35,$34,$13,$21,$21,$21,$10,$-1,$26,26,$0.81,$0.79,$59,$0,$0,$69,$182,$0,$1,$3,$188,$257,$82,$195,$61,$257,$339,$0,$-74,$-1,$-81,$257,$14,$23,$-37,$-14,$1,$0,$0,$8,$24,$24,$-10,$0,$0,$0,$0,$0,$0,$-10,$-31,$0,$-31,$0,$0,$-0,$0,$-31,$-17,$0,$-0
