,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,90.2,$46.92,1.92,$20.12,4.48,$16.34,5.52,$5.95,15.16,$59.11B,$57.24B,1.03,$6.42B,$7.79B,0.82,$3.50B,$3.29B,94.01%,$3.50B,$1.52B,43.29%,$3.50B,0,0.00%,$3.50B,0,0.00%,$3.50B,$1.47B,41.81%,$3.50B,$1.03B,29.42%,$1.03B,$7.79B,12.96%,$1.03B,$7.79B,12.96%,$1.03B,$71.45B,1.44%,$1.52B,$14.20B,11.23%,$909,$76,$833,$0,$440,$516,$393,$-12,$381,$63,$318,$318,$316,$0,$0,$167,170,$1.89,$1.86,$5975,$0,$0,$59114,$472,$11862,$0,$0,$12334,$71448,$57244,$6418,$0,$6418,$63662,$1141,$8587,$-611,$7786,$71448,$925,$93,$64,$157,$-36,$0,$0,$0,$-17,$967,$-65,$0,$0,$0,$-37,$-37,$129,$27,$1850,$74,$1924,$-787,$-787,$-161,$-1976,$-1000,$-6,$41,$-161
1,2018-06-30,90.92,$47.27,1.92,$19.60,4.64,$15.59,5.83,$5.35,16.99,$59.61B,$58.33B,1.02,$5.58B,$8.08B,0.69,$3.45B,$3.28B,95.16%,$3.45B,$1.47B,42.48%,$3.45B,0,0.00%,$3.45B,0,0.00%,$3.45B,$1.42B,41.11%,$3.45B,$0.94B,27.23%,$0.94B,$8.08B,11.71%,$0.94B,$8.08B,11.71%,$0.94B,$71.99B,1.30%,$1.47B,$13.66B,11.16%,$898,$60,$838,$0,$408,$468,$430,$-11,$419,$93,$326,$326,$324,$0,$0,$171,174,$1.90,$1.87,$5794,$0,$0,$59605,$467,$11915,$0,$0,$12382,$71987,$58325,$5583,$0,$5583,$63908,$1141,$8374,$-589,$8079,$71987,$607,$62,$19,$81,$-38,$0,$0,$0,$-89,$614,$-41,$0,$0,$0,$-32,$-32,$-643,$-716,$1000,$48,$1048,$-291,$-291,$-104,$-736,$-83,$-185,$34,$-104
2,2018-03-31,95.59,$46.38,2.06,$18.94,5.05,$15.78,6.06,$4.61,20.74,$59.90B,$58.74B,1.02,$5.59B,$8.00B,0.7,$3.36B,$3.22B,95.95%,$3.36B,$1.35B,40.26%,$3.36B,0,0.00%,$3.36B,0,0.00%,$3.36B,$1.30B,38.77%,$3.36B,$0.82B,24.34%,$0.82B,$8.00B,10.22%,$0.82B,$8.00B,10.22%,$0.82B,$72.34B,1.14%,$1.35B,$13.59B,10.40%,$834,$41,$793,$0,$442,$483,$351,$-16,$335,$54,$281,$281,$279,$0,$0,$172,175,$1.62,$1.59,$6969,$0,$0,$59896,$468,$11971,$0,$0,$12439,$72335,$58741,$5594,$0,$5594,$64335,$1141,$8110,$-553,$8000,$72335,$281,$32,$38,$70,$-26,$0,$0,$0,$-48,$358,$-20,$0,$0,$0,$-33,$-33,$-94,$-147,$1000,$38,$1038,$-128,$-128,$-53,$-77,$780,$991,$24,$-53
3,2017-12-31,86.24,$46.07,1.87,$18.43,4.68,$16.03,5.38,$4.13,20.88,$58.90B,$58.98B,1.0,$4.62B,$7.96B,0.58,$3.29B,$3.17B,96.32%,$3.29B,$1.28B,38.89%,$3.29B,0,0.00%,$3.29B,0,0.00%,$3.29B,$1.23B,37.52%,$3.29B,$0.74B,22.44%,$0.74B,$7.96B,9.25%,$0.74B,$7.96B,9.25%,$0.74B,$71.57B,1.02%,$1.28B,$12.59B,9.94%,$863,$33,$830,$0,$487,$520,$343,$-13,$330,$218,$112,$112,$112,$0,$0,$174,178,$0.64,$0.64,$5941,$0,$0,$58897,$466,$12204,$0,$0,$12670,$71567,$58982,$4622,$0,$4622,$63604,$1141,$7887,$-451,$7963,$71567,$743,$127,$168,$295,$-33,$0,$0,$0,$8,$1103,$-69,$0,$0,$0,$81,$81,$-150,$-138,$-516,$-15,$-531,$-442,$-442,$-180,$-1185,$-2338,$-1373,$39,$-180
4,2017-09-30,75.49,$46.09,1.64,$17.83,4.23,$12.52,6.03,$4.42,17.08,$59.21B,$59.35B,1.0,$4.64B,$8.03B,0.58,$3.18B,$3.06B,96.32%,$3.18B,$1.18B,37.20%,$3.18B,0,0.00%,$3.18B,0,0.00%,$3.18B,$1.13B,35.57%,$3.18B,$0.79B,24.83%,$0.79B,$8.03B,9.94%,$0.79B,$8.03B,9.94%,$0.79B,$72.02B,1.09%,$1.18B,$12.67B,9.12%,$854,$33,$821,$0,$480,$513,$341,$-7,$334,$108,$226,$226,$224,$0,$0,$174,177,$1.29,$1.26,$6296,$0,$0,$59208,$467,$12342,$0,$0,$12809,$72017,$59346,$4637,$0,$4637,$63983,$1141,$7746,$-359,$8034,$72017,$631,$96,$19,$115,$-21,$0,$0,$0,$7,$850,$-43,$0,$0,$0,$22,$22,$-165,$-186,$-516,$484,$-32,$-306,$-306,$-128,$-1212,$-1678,$-1014,$29,$-128
5,2017-06-30,72.18,$45.39,1.59,$17.27,4.18,$9.84,7.34,$4.00,18.04,$58.59B,$58.32B,1.01,$5.14B,$6.84B,0.75,$3.08B,$2.96B,96.29%,$3.08B,$1.07B,34.93%,$3.08B,0,0.00%,$3.08B,0,0.00%,$3.08B,$1.01B,32.81%,$3.08B,$0.71B,23.19%,$0.71B,$7.99B,9.07%,$0.71B,$7.99B,9.07%,$0.71B,$71.45B,0.98%,$1.07B,$13.13B,8.14%,$805,$29,$776,$0,$460,$489,$316,$-14,$302,$99,$203,$203,$202,$0,$0,$175,179,$1.15,$1.13,$5721,$0,$0,$58589,$484,$12374,$0,$0,$12858,$71447,$58319,$5143,$0,$5143,$63462,$2110,$7580,$-361,$7985,$71447,$405,$63,$26,$89,$-1,$0,$0,$0,$-18,$650,$-27,$0,$0,$0,$-8,$-8,$-358,$-393,$-16,$516,$500,$-175,$-175,$-81,$-2088,$-1844,$-1587,$24,$-81
6,2017-03-31,67.35,$44.69,1.51,$16.96,3.97,$7.43,9.06,$3.45,19.52,$60.15B,$59.89B,1.0,$5.15B,$7.93B,0.65,$3.01B,$2.90B,96.25%,$3.01B,$0.96B,31.78%,$3.01B,0,0.00%,$3.01B,0,0.00%,$3.01B,$0.85B,28.33%,$3.01B,$0.61B,20.39%,$0.61B,$7.93B,7.89%,$0.61B,$7.93B,7.89%,$0.61B,$72.98B,0.84%,$0.96B,$13.08B,7.19%,$767,$26,$741,$0,$462,$488,$279,$-11,$268,$66,$202,$202,$200,$0,$0,$175,180,$1.15,$1.11,$8411,$0,$0,$60150,$488,$12338,$0,$0,$12826,$72976,$59893,$5153,$0,$5153,$65046,$1141,$7431,$-379,$7930,$72976,$202,$33,$29,$62,$3,$0,$0,$0,$8,$404,$-12,$0,$0,$0,$29,$29,$759,$776,$0,$16,$16,$-49,$-49,$-40,$-6,$-79,$1101,$18,$-40
7,2016-12-31,66.67,$44.47,1.5,$16.77,3.98,$6.51,10.24,$2.68,24.88,$60.11B,$60.02B,1.0,$5.16B,$7.80B,0.66,$2.96B,$2.85B,96.22%,$2.96B,$0.76B,25.78%,$2.96B,0,0.00%,$2.96B,0,0.00%,$2.96B,$0.67B,22.64%,$2.96B,$0.47B,15.98%,$0.47B,$7.80B,6.13%,$0.47B,$7.80B,6.13%,$0.47B,$72.98B,0.66%,$0.76B,$12.96B,5.99%,$751,$29,$722,$0,$476,$505,$246,$-20,$226,$62,$164,$164,$163,$0,$0,$172,177,$0.93,$0.92,$7310,$0,$0,$60108,$501,$12369,$0,$0,$12870,$72978,$60022,$5160,$0,$5160,$65182,$1141,$7331,$-383,$7796,$72978,$477,$129,$229,$358,$-20,$0,$0,$0,$17,$502,$-95,$0,$0,$0,$-59,$-59,$-116,$-270,$2150,$2,$2152,$-163,$-163,$-152,$-998,$839,$1071,$34,$-152
8,2016-09-30,46.17,$44.91,1.03,$16.52,2.8,$8.33,5.54,$2.47,18.69,$61.11B,$60.51B,1.01,$5.89B,$7.73B,0.76,$2.93B,$2.82B,96.35%,$2.93B,$0.67B,23.00%,$2.93B,0,0.00%,$2.93B,0,0.00%,$2.93B,$0.60B,20.50%,$2.93B,$0.43B,14.50%,$0.43B,$7.73B,5.55%,$0.43B,$7.73B,5.55%,$0.43B,$74.12B,0.59%,$0.67B,$13.62B,5.55%,$752,$30,$722,$0,$489,$519,$233,$-20,$213,$64,$149,$149,$148,$0,$0,$171,176,$0.87,$0.84,$8132,$0,$0,$61112,$528,$12484,$0,$0,$13012,$74124,$60507,$5890,$0,$5890,$66397,$1141,$7262,$-292,$7727,$74124,$313,$98,$173,$271,$-8,$0,$0,$0,$63,$402,$-71,$0,$0,$0,$36,$36,$-272,$-307,$2800,$-11,$2789,$-190,$-190,$-112,$-689,$1798,$1893,$30,$-112
9,2016-06-30,39.93,$44.24,0.9,$16.16,2.47,$9.68,4.12,$2.37,16.85,$58.22B,$57.67B,1.01,$5.92B,$7.69B,0.77,$2.89B,$2.78B,96.43%,$2.89B,$0.64B,22.17%,$2.89B,0,0.00%,$2.89B,0,0.00%,$2.89B,$0.59B,20.33%,$2.89B,$0.41B,14.24%,$0.41B,$7.69B,5.39%,$0.41B,$7.69B,5.39%,$0.41B,$71.28B,0.58%,$0.64B,$13.62B,5.60%,$741,$28,$713,$0,$514,$542,$199,$-53,$146,$42,$104,$104,$103,$0,$0,$173,177,$0.60,$0.58,$4210,$0,$0,$58217,$544,$12519,$0,$0,$13063,$71280,$57665,$5921,$0,$5921,$63586,$1141,$7157,$-295,$7694,$71280,$164,$63,$172,$235,$-7,$0,$0,$0,$33,$244,$-54,$0,$0,$0,$54,$54,$-1380,$-1380,$2800,$-11,$2789,$-106,$-106,$-74,$-3510,$-901,$-2037,$25,$-74
