,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,170.21,$68.54,2.48,$11.66,14.6,$16.89,10.08,$13.26,12.84,$41.52B,$38.15B,1.09,$3.42B,$23.30B,0.15,$3.97B,$3.97B,100.00%,$3.97B,$2.50B,62.82%,$3.97B,$2.50B,62.82%,$3.97B,$2.71B,68.08%,$3.97B,$2.68B,67.53%,$3.97B,$4.52B,113.67%,$4.52B,$23.30B,19.72%,$4.52B,$-3.72B,-108.75%,$4.52B,$70.36B,6.33%,$2.50B,$26.72B,9.70%,$904,$0,$904,$0,$234,$354,$550,$12,$562,$150,$412,$412,$412,$604,$550,$340,341,$1.21,$1.21,$1489,$0,$39639,$41515,$363,$0,$27013,$1474,$28849,$70364,$38154,$3420,$612,$8914,$47068,$3,$5346,$19,$23296,$70364,$1577,$157,$44,$201,$-28,$0,$23,$-3,$153,$1930,$-61,$0,$0,$2,$20,$22,$0,$-39,$1185,$0,$1185,$10,$10,$-1900,$-63,$-768,$1124,$51,$-1900
1,2018-06-30,163.92,$68.11,2.41,$11.63,14.1,$15.04,10.9,$12.96,12.65,$40.30B,$37.18B,1.08,$3.42B,$23.12B,0.15,$3.96B,$3.96B,100.00%,$3.96B,$2.51B,63.48%,$3.96B,$2.51B,63.48%,$3.96B,$2.72B,68.66%,$3.96B,$2.73B,68.89%,$3.96B,$4.41B,111.44%,$4.41B,$23.12B,19.80%,$4.41B,$-3.92B,-92.21%,$4.41B,$69.20B,6.02%,$2.51B,$26.54B,10.13%,$1060,$0,$1060,$0,$248,$393,$667,$90,$757,$191,$566,$566,$566,$718,$667,$339,341,$1.67,$1.66,$1180,$0,$38687,$40301,$380,$0,$27043,$1476,$28899,$69199,$37180,$3419,$614,$8896,$46076,$3,$5173,$19,$23124,$69199,$1165,$103,$-17,$86,$-75,$0,$-4,$5,$97,$1348,$-30,$0,$0,$2,$20,$22,$0,$-8,$1187,$0,$1187,$8,$8,$-1663,$-43,$-510,$830,$34,$-1663
2,2018-03-31,161.08,$67.09,2.4,$11.24,14.34,$13.37,12.05,$12.52,12.87,$41.06B,$39.45B,1.04,$2.23B,$22.77B,0.1,$3.83B,$3.83B,100.00%,$3.83B,$2.45B,64.10%,$3.83B,$2.45B,64.10%,$3.83B,$2.66B,69.52%,$3.83B,$2.61B,68.18%,$3.83B,$4.26B,111.45%,$4.26B,$22.77B,19.64%,$4.26B,$-4.29B,-79.00%,$4.26B,$69.92B,5.64%,$2.45B,$25.01B,10.24%,$1109,$0,$1109,$0,$270,$368,$741,$48,$789,$190,$599,$599,$599,$793,$741,$339,341,$1.76,$1.76,$875,$0,$39736,$41055,$387,$0,$27067,$1410,$28865,$69919,$39445,$2234,$621,$7701,$47147,$3,$4845,$20,$22773,$69919,$599,$52,$17,$69,$-85,$0,$-6,$-16,$158,$825,$-18,$0,$0,$1,$0,$1,$0,$-17,$0,$0,$0,$4,$4,$-1425,$-15,$-1435,$-628,$18,$-1425
3,2017-12-31,144.86,$66.07,2.19,$10.72,13.52,$12.47,11.62,$11.94,12.13,$46.91B,$45.67B,1.03,$2.23B,$22.41B,0.1,$3.65B,$3.65B,100.00%,$3.65B,$2.31B,63.43%,$3.65B,$2.31B,63.43%,$3.65B,$2.52B,69.14%,$3.65B,$2.53B,69.30%,$3.65B,$4.06B,111.50%,$4.06B,$22.41B,19.21%,$4.06B,$-4.68B,-68.02%,$4.06B,$75.79B,5.28%,$2.31B,$24.65B,9.89%,$900,$0,$900,$0,$238,$362,$538,$36,$575,$-2365,$2939,$2939,$2939,$590,$538,$339,340,$8.68,$8.63,$1994,$0,$44553,$46907,$400,$0,$27091,$1394,$28885,$75791,$45673,$2233,$616,$7707,$53379,$3,$4497,$14,$22412,$75791,$4063,$209,$-2415,$-2207,$6,$0,$5,$-31,$-17,$1840,$-82,$0,$4,$3,$255,$258,$0,$180,$0,$0,$0,$37,$37,$-1994,$-29,$-1985,$35,$58,$-1994
4,2017-09-30,130.85,$61.52,2.13,$10.76,12.16,$12.17,10.75,$4.41,29.67,$49.39B,$47.22B,1.05,$2.23B,$20.86B,0.11,$3.66B,$3.66B,100.00%,$3.66B,$2.31B,63.26%,$3.66B,$2.31B,63.26%,$3.66B,$2.53B,69.11%,$3.66B,$2.55B,69.57%,$3.66B,$1.50B,40.95%,$1.50B,$20.86B,7.26%,$1.50B,$-6.25B,-22.99%,$1.50B,$78.32B,1.99%,$2.31B,$23.10B,10.12%,$891,$0,$891,$0,$234,$323,$568,$40,$607,$299,$309,$309,$309,$618,$568,$339,340,$0.91,$0.91,$1719,$0,$47283,$49393,$389,$0,$27114,$1427,$28931,$78323,$47223,$2233,$567,$10236,$57459,$3,$2974,$12,$20864,$78323,$1124,$157,$139,$296,$-24,$0,$10,$-29,$-129,$1291,$-53,$0,$0,$0,$254,$254,$0,$201,$0,$0,$0,$30,$30,$-1770,$-29,$-1769,$-277,$43,$-1770
5,2017-06-30,120.15,$61.35,1.96,$10.63,11.31,$11.98,10.03,$4.89,24.57,$49.50B,$47.67B,1.04,$2.23B,$20.78B,0.11,$3.61B,$3.61B,100.00%,$3.61B,$2.27B,62.93%,$3.61B,$2.27B,62.93%,$3.61B,$2.49B,69.02%,$3.61B,$2.49B,68.91%,$3.61B,$1.66B,46.05%,$1.66B,$20.78B,8.02%,$1.66B,$-6.36B,-25.81%,$1.66B,$78.54B,2.32%,$2.27B,$23.01B,9.89%,$925,$0,$925,$0,$225,$319,$605,$32,$637,$222,$416,$416,$416,$658,$605,$339,340,$1.23,$1.22,$1447,$0,$47634,$49497,$400,$0,$27138,$1509,$29047,$78544,$47670,$2232,$547,$10097,$57767,$3,$2890,$13,$20777,$78544,$816,$106,$28,$135,$-51,$0,$-1,$-17,$-167,$783,$-38,$0,$0,$1,$242,$242,$0,$205,$0,$0,$0,$23,$23,$-1546,$-11,$-1534,$-546,$28,$-1546
6,2017-03-31,113.35,$60.72,1.87,$10.58,10.71,$11.90,9.53,$4.62,24.53,$46.37B,$44.81B,1.04,$2.23B,$20.55B,0.11,$3.59B,$3.59B,100.00%,$3.59B,$2.23B,62.09%,$3.59B,$2.23B,62.09%,$3.59B,$2.45B,68.27%,$3.59B,$2.42B,67.30%,$3.59B,$1.57B,43.62%,$1.57B,$20.55B,7.53%,$1.57B,$-6.61B,-24.51%,$1.57B,$75.48B,2.27%,$2.23B,$22.79B,9.67%,$929,$0,$929,$0,$230,$328,$601,$106,$707,$307,$400,$400,$400,$654,$601,$338,340,$1.18,$1.18,$1375,$0,$44567,$46369,$412,$0,$27162,$1534,$29108,$75476,$44805,$2232,$577,$10117,$54922,$3,$2698,$11,$20554,$75476,$400,$53,$14,$68,$-62,$0,$12,$-67,$52,$519,$-20,$0,$0,$1,$244,$244,$0,$224,$0,$0,$0,$11,$11,$-1323,$-12,$-1324,$-580,$15,$-1323
7,2016-12-31,109.47,$60.14,1.82,$10.61,10.32,$11.93,9.17,$4.53,24.17,$40.03B,$38.95B,1.03,$2.23B,$20.34B,0.11,$3.60B,$3.60B,100.00%,$3.60B,$2.20B,61.25%,$3.60B,$2.20B,61.25%,$3.60B,$2.43B,67.57%,$3.60B,$2.29B,63.64%,$3.60B,$1.53B,42.67%,$1.53B,$20.34B,7.35%,$1.53B,$-6.85B,-24.19%,$1.53B,$69.37B,2.28%,$2.20B,$22.57B,9.53%,$913,$0,$913,$0,$245,$373,$540,$54,$594,$221,$373,$373,$373,$598,$540,$337,339,$1.11,$1.10,$1952,$0,$37715,$40032,$425,$0,$27186,$1727,$29338,$69369,$38946,$2231,$561,$10083,$49029,$3,$2525,$-14,$20341,$69369,$1534,$225,$-40,$185,$-8,$0,$-3,$-26,$24,$1743,$-92,$0,$9,$42,$95,$137,$0,$54,$130,$0,$130,$52,$52,$-1787,$-15,$-1621,$176,$66,$-1787
8,2016-09-30,96.03,$62.92,1.53,$10.33,9.3,$11.26,8.53,$4.29,22.38,$33.78B,$31.89B,1.06,$2.23B,$21.27B,0.11,$3.50B,$3.50B,100.00%,$3.50B,$2.13B,60.98%,$3.50B,$2.13B,60.98%,$3.50B,$2.36B,67.42%,$3.50B,$2.16B,61.87%,$3.50B,$1.45B,41.56%,$1.45B,$21.27B,6.94%,$1.45B,$-5.95B,-23.02%,$1.45B,$63.25B,2.18%,$2.13B,$23.50B,9.20%,$842,$0,$842,$0,$220,$316,$525,$24,$549,$76,$473,$473,$473,$581,$525,$338,339,$1.40,$1.39,$1504,$0,$31877,$33776,$427,$0,$27210,$1838,$29475,$63251,$31886,$2231,$552,$10100,$41986,$3,$3459,$23,$21265,$63251,$1161,$168,$-46,$122,$-19,$0,$6,$-59,$-50,$1232,$-63,$0,$9,$-5,$-5,$-10,$0,$-64,$130,$0,$130,$30,$30,$-1584,$-16,$-1441,$-272,$42,$-1584
9,2016-06-30,88.99,$62.45,1.42,$10.36,8.59,$10.92,8.15,$3.96,22.47,$38.03B,$36.42B,1.04,$2.23B,$21.07B,0.11,$3.50B,$3.50B,100.00%,$3.50B,$2.12B,60.59%,$3.50B,$2.12B,60.59%,$3.50B,$2.35B,67.07%,$3.50B,$2.13B,60.79%,$3.50B,$1.34B,38.24%,$1.34B,$21.07B,6.39%,$1.34B,$-6.16B,-21.24%,$1.34B,$67.63B,1.88%,$2.12B,$23.30B,9.15%,$906,$0,$906,$0,$228,$343,$563,$3,$566,$246,$320,$320,$320,$618,$563,$337,339,$0.95,$0.95,$1241,$0,$36359,$38027,$438,$0,$27234,$1926,$29598,$67626,$36420,$2230,$549,$10132,$46552,$3,$3189,$113,$21074,$67626,$688,$112,$76,$188,$-71,$0,$7,$-45,$-122,$754,$-40,$0,$0,$-4,$-4,$-8,$0,$-47,$130,$0,$130,$20,$20,$-1382,$-6,$-1238,$-532,$30,$-1382
