,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.8,$0.55,10.56,$1.18,4.93,$-2.87,0.0,$-0.62,0.0,$0.06B,$0.02B,2.4,$0.01B,$0.02B,0.83,$0.04B,$0.04B,100.00%,$0.04B,$-0.02B,-52.78%,$0.04B,$-0.02B,-52.78%,$0.04B,$-0.02B,-52.78%,$0.04B,$-0.02B,-50.00%,$0.04B,$-0.02B,-50.00%,$-0.02B,$0.02B,-81.82%,$-0.02B,$0.02B,-81.82%,$-0.02B,$0.06B,-25.35%,$-0.02B,$0.03B,-53.52%,$8,$0,$8,$10,$3,$12,$-5,$0,$-5,$0,$-5,$-5,$-5,$-5,$-5,$30,30,$-0.15,$-0.15,$50,$0,$0,$57,$0,$0,$0,$1,$1,$58,$24,$14,$0,$18,$42,$0,$-183,$-0,$17,$58,$-14,$-0,$3,$3,$0,$0,$0,$-11,$-14,$-26,$-0,$0,$0,$23,$0,$23,$0,$23,$0,$0,$0,$0,$0,$0,$-0,$0,$-3,$3,$0
1,2018-06-30,4.28,$0.66,6.46,$1.24,3.45,$-2.77,0.0,$-0.60,0.0,$0.07B,$0.03B,2.35,$0.01B,$0.02B,0.68,$0.04B,$0.04B,100.00%,$0.04B,$-0.02B,-47.37%,$0.04B,$-0.02B,-47.37%,$0.04B,$-0.02B,-47.37%,$0.04B,$-0.02B,-44.74%,$0.04B,$-0.02B,-44.74%,$-0.02B,$0.02B,-66.67%,$-0.02B,$0.02B,-66.67%,$-0.02B,$0.07B,-21.59%,$-0.02B,$0.03B,-46.15%,$9,$0,$9,$11,$3,$13,$-5,$0,$-4,$0,$-4,$-4,$-4,$-5,$-5,$30,30,$-0.15,$-0.15,$58,$0,$0,$65,$0,$0,$0,$2,$2,$67,$28,$14,$0,$19,$47,$0,$-178,$-0,$20,$67,$-10,$-0,$1,$1,$0,$0,$0,$-8,$-9,$-17,$-0,$0,$0,$13,$0,$13,$0,$13,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$2,$0
2,2018-03-31,5.87,$0.78,7.56,$1.31,4.49,$-2.90,0.0,$-0.64,0.0,$0.07B,$0.03B,2.41,$0.01B,$0.02B,0.57,$0.04B,$0.04B,100.00%,$0.04B,$-0.02B,-46.15%,$0.04B,$-0.02B,-46.15%,$0.04B,$-0.02B,-46.15%,$0.04B,$-0.02B,-46.15%,$0.04B,$-0.02B,-46.15%,$-0.02B,$0.02B,-62.07%,$-0.02B,$0.02B,-62.07%,$-0.02B,$0.08B,-20.75%,$-0.02B,$0.04B,-42.60%,$10,$0,$10,$12,$3,$15,$-5,$0,$-5,$0,$-5,$-5,$-5,$-5,$-5,$30,30,$-0.17,$-0.17,$67,$0,$0,$74,$0,$0,$0,$3,$3,$77,$31,$13,$0,$23,$53,$0,$-174,$-0,$23,$77,$-5,$-0,$-1,$-1,$0,$0,$0,$-4,$-2,$-8,$-0,$0,$0,$9,$0,$9,$0,$9,$0,$0,$0,$0,$0,$0,$0,$0,$1,$1,$0
3,2017-12-31,4.62,$0.93,4.99,$1.25,3.69,$-2.94,0.0,$-0.61,0.0,$0.08B,$0.03B,2.82,$0.01B,$0.03B,0.47,$0.04B,$0.04B,100.00%,$0.04B,$-0.02B,-47.22%,$0.04B,$-0.02B,-47.22%,$0.04B,$-0.02B,-47.22%,$0.04B,$-0.02B,-47.22%,$0.04B,$-0.02B,-47.22%,$-0.02B,$0.03B,-60.71%,$-0.02B,$0.03B,-60.71%,$-0.02B,$0.08B,-19.21%,$-0.02B,$0.04B,-41.46%,$9,$0,$9,$11,$2,$13,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$29,29,$-0.15,$-0.15,$75,$0,$0,$79,$0,$0,$0,$3,$3,$82,$28,$13,$0,$26,$54,$0,$-168,$-0,$28,$82,$-17,$0,$5,$5,$0,$0,$0,$-27,$-21,$-33,$-0,$0,$0,$-40,$0,$-40,$0,$-40,$12,$0,$12,$20,$20,$0,$0,$31,$-42,$4,$0
4,2017-09-30,5.49,$1.04,5.27,$0.94,5.83,$-0.59,0.0,$-0.81,0.0,$0.09B,$0.03B,2.69,$0.01B,$0.03B,0.42,$0.03B,$0.03B,100.00%,$0.03B,$-0.02B,-85.19%,$0.03B,$-0.02B,-81.48%,$0.03B,$-0.02B,-85.19%,$0.03B,$-0.02B,-81.48%,$0.03B,$-0.02B,-81.48%,$-0.02B,$0.03B,-83.02%,$-0.02B,$0.03B,-83.02%,$-0.02B,$0.09B,-24.86%,$-0.02B,$0.04B,-63.45%,$10,$0,$10,$11,$2,$14,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$30,30,$-0.13,$-0.13,$85,$0,$0,$87,$0,$0,$0,$3,$3,$89,$32,$13,$0,$26,$58,$0,$-164,$-0,$31,$89,$-13,$0,$6,$6,$0,$0,$0,$-21,$-16,$-23,$-0,$0,$0,$-52,$0,$-52,$0,$-52,$12,$0,$12,$20,$20,$0,$0,$31,$-44,$3,$0
5,2017-06-30,5.76,$1.14,5.04,$0.62,9.24,$-0.60,0.0,$-0.99,0.0,$0.10B,$0.04B,2.77,$0.01B,$0.03B,0.37,$0.02B,$0.02B,100.00%,$0.02B,$-0.03B,-152.94%,$0.02B,$-0.03B,-147.06%,$0.02B,$-0.03B,-152.94%,$0.02B,$-0.03B,-147.06%,$0.02B,$-0.03B,-147.06%,$-0.03B,$0.03B,-97.09%,$-0.03B,$0.03B,-97.09%,$-0.03B,$0.10B,-33.56%,$-0.03B,$0.05B,-80.00%,$10,$0,$10,$13,$2,$15,$-5,$-0,$-5,$0,$-5,$-5,$-5,$-5,$-5,$28,28,$-0.19,$-0.19,$88,$0,$0,$96,$0,$0,$0,$3,$3,$99,$35,$13,$0,$30,$65,$0,$-160,$-0,$34,$99,$-9,$0,$-2,$-2,$0,$0,$0,$-11,$-9,$-20,$-0,$0,$0,$-54,$0,$-54,$0,$-54,$12,$0,$12,$20,$20,$0,$0,$31,$-42,$2,$0
6,2017-03-31,5.77,$0.74,7.76,$0.27,21.57,$-0.43,0.0,$-1.10,0.0,$0.08B,$0.03B,2.39,$0.01B,$0.02B,0.65,$0.01B,$0.01B,100.00%,$0.01B,$-0.03B,-385.71%,$0.01B,$-0.03B,-371.43%,$0.01B,$-0.03B,-385.71%,$0.01B,$-0.03B,-371.43%,$0.01B,$-0.03B,-371.43%,$-0.03B,$0.02B,-107.22%,$-0.03B,$0.02B,-107.22%,$-0.03B,$0.08B,-45.02%,$-0.03B,$0.03B,-96.43%,$7,$0,$7,$8,$3,$11,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$26,26,$-0.14,$-0.14,$81,$0,$0,$81,$0,$0,$0,$2,$2,$84,$34,$13,$0,$30,$64,$0,$-154,$-0,$19,$84,$-4,$0,$4,$4,$0,$0,$0,$-7,$-8,$-8,$-0,$0,$0,$-45,$0,$-45,$0,$-45,$12,$0,$12,$0,$0,$0,$0,$12,$-42,$1,$0
7,2016-12-31,5.27,$0.83,6.32,0,0.0,$-0.46,0.0,$-1.31,0.0,$0.08B,$0.04B,2.03,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.02B,-106.42%,$-0.03B,$0.02B,-106.42%,$-0.03B,$0.08B,-63.39%,$-0.03B,$0.02B,-107.14%,$0,$0,$0,$7,$3,$10,$-10,$0,$-9,$0,$-9,$-9,$-9,$-10,$-9,$23,23,$-0.35,$-0.35,$77,$0,$0,$80,$0,$0,$0,$2,$2,$82,$40,$0,$0,$21,$61,$0,$-151,$-0,$22,$82,$-30,$0,$3,$3,$0,$0,$0,$49,$53,$27,$-0,$0,$0,$4,$0,$4,$0,$4,$0,$0,$0,$14,$14,$0,$0,$14,$44,$3,$0
8,2016-09-30,2.0,$1.12,1.78,0,0.0,$-2.86,0.0,$-1.26,0.0,$0.03B,$0.00B,8.12,$0.00B,$0.03B,0.04,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.03B,-85.25%,$-0.03B,$0.03B,-85.25%,$-0.03B,$0.03B,-73.76%,$-0.03B,$0.03B,-82.54%,$0,$0,$0,$5,$2,$7,$-7,$0,$-7,$0,$-7,$-7,$-7,$-7,$-7,$22,22,$-0.31,$-0.31,$31,$0,$0,$32,$0,$0,$0,$1,$1,$33,$4,$1,$0,$1,$5,$0,$-142,$0,$28,$33,$-21,$0,$2,$3,$0,$0,$0,$1,$1,$-17,$-0,$0,$0,$6,$0,$6,$0,$6,$0,$0,$0,$12,$12,$0,$0,$12,$0,$2,$0
9,2016-06-30,2.06,$1.26,1.63,0,0.0,$-2.89,0.0,$-1.26,0.0,$0.03B,$0.00B,9.61,$0.00B,$0.03B,0.04,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.03B,-74.63%,$-0.03B,$0.03B,-74.63%,$-0.03B,$0.03B,-65.36%,$-0.03B,$0.03B,-72.46%,$0,$0,$0,$4,$2,$6,$-6,$0,$-6,$0,$-6,$-6,$-6,$-6,$-6,$22,22,$-0.30,$-0.30,$30,$0,$0,$31,$0,$0,$0,$1,$1,$32,$3,$1,$0,$1,$4,$0,$-135,$0,$28,$32,$-14,$0,$2,$2,$0,$0,$0,$1,$0,$-12,$-0,$0,$0,$6,$0,$6,$0,$6,$0,$0,$0,$5,$5,$0,$0,$5,$-0,$2,$0
