,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,22.52,$4.83,4.67,$4.12,5.47,$5.81,3.88,$0.53,42.49,$0.62B,$0.37B,1.69,$1.22B,$2.09B,0.58,$1.87B,$1.14B,60.74%,$1.87B,$-0.01B,-0.43%,$1.87B,$-0.01B,-0.43%,$1.87B,$0.43B,22.86%,$1.87B,$-0.09B,-4.54%,$1.87B,$0.24B,12.66%,$0.24B,$2.09B,10.33%,$0.24B,$2.09B,10.33%,$0.24B,$4.18B,5.31%,$-0.01B,$3.31B,-0.23%,$545,$240,$305,$10,$24,$369,$176,$-14,$162,$39,$122,$122,$122,$298,$176,$441,443,$0.28,$0.28,$316,$12,$3,$620,$3366,$158,$0,$35,$3559,$4179,$366,$1219,$110,$1719,$2085,$48,$1363,$2,$2094,$4179,$282,$292,$202,$494,$-7,$-5,$32,$8,$13,$789,$28,$0,$0,$0,$-73,$-73,$0,$-45,$-237,$0,$-237,$-582,$-582,$-81,$-8,$-908,$-164,$16,$-81
1,2018-06-30,23.74,$4.88,4.86,$3.72,6.39,$4.32,5.49,$0.29,81.86,$0.99B,$0.59B,1.67,$1.22B,$2.15B,0.57,$1.71B,$1.07B,62.50%,$1.71B,$-0.14B,-8.41%,$1.71B,$-0.14B,-8.41%,$1.71B,$0.32B,18.52%,$1.71B,$-0.22B,-12.97%,$1.71B,$0.13B,7.77%,$0.13B,$2.15B,5.47%,$0.13B,$2.15B,5.47%,$0.13B,$4.40B,2.83%,$-0.14B,$3.37B,-3.93%,$453,$210,$244,$55,$27,$375,$78,$-23,$55,$12,$42,$42,$42,$164,$78,$451,453,$0.09,$0.09,$741,$20,$4,$987,$3225,$148,$0,$36,$3409,$4397,$591,$1219,$109,$1652,$2243,$48,$1267,$2,$2154,$4397,$160,$169,$148,$317,$39,$-12,$7,$24,$70,$547,$260,$0,$0,$0,$-63,$-63,$0,$197,$0,$0,$0,$-420,$-420,$-55,$-8,$-482,$261,$10,$-55
2,2018-03-31,23.86,$5.31,4.49,$3.70,6.45,$2.84,8.4,$0.25,95.43,$1.24B,$0.51B,2.42,$1.22B,$2.41B,0.51,$1.72B,$1.14B,66.03%,$1.72B,$-0.17B,-9.60%,$1.72B,$-0.17B,-9.60%,$1.72B,$0.36B,20.71%,$1.72B,$-0.24B,-13.96%,$1.72B,$0.11B,6.57%,$0.11B,$2.41B,4.42%,$0.11B,$2.41B,4.42%,$0.11B,$4.54B,2.30%,$-0.17B,$3.63B,-4.27%,$473,$137,$336,$4,$31,$296,$177,$-20,$157,$40,$117,$117,$117,$260,$177,$460,462,$0.26,$0.25,$965,$12,$7,$1236,$3146,$121,$0,$36,$3302,$4538,$510,$1218,$82,$1621,$2132,$48,$1252,$2,$2407,$4538,$117,$83,$80,$163,$50,$-4,$-14,$-15,$-8,$273,$490,$0,$0,$0,$-35,$-35,$0,$455,$0,$0,$0,$-207,$-207,$-28,$-8,$-243,$485,$5,$-28
3,2017-12-31,28.39,$5.48,5.18,$3.79,7.5,$1.32,21.56,$0.22,129.06,$0.77B,$0.63B,1.21,$1.22B,$2.52B,0.48,$1.76B,$1.17B,66.04%,$1.76B,$-0.15B,-8.62%,$1.76B,$-0.15B,-8.62%,$1.76B,$0.42B,23.92%,$1.76B,$-0.23B,-12.93%,$1.76B,$0.10B,5.78%,$0.10B,$2.52B,3.88%,$0.10B,$2.52B,3.88%,$0.10B,$4.73B,2.01%,$-0.15B,$3.74B,-3.79%,$401,$149,$252,$5,$34,$839,$-439,$-20,$-459,$-415,$-44,$-44,$-44,$-294,$-439,$464,466,$-0.10,$-0.10,$480,$8,$4,$765,$3072,$86,$0,$804,$3962,$4727,$630,$1218,$99,$1573,$2203,$48,$1162,$2,$2524,$4727,$100,$574,$302,$876,$-25,$1,$-3,$-5,$-78,$898,$-649,$0,$0,$0,$-57,$-57,$0,$-706,$0,$0,$0,$-124,$-124,$-79,$-8,$-211,$-18,$33,$-79
4,2017-09-30,26.51,$5.72,4.64,$3.62,7.33,$0.94,28.16,$-0.31,0.0,$0.72B,$0.44B,1.64,$1.29B,$2.65B,0.49,$1.68B,$1.09B,64.86%,$1.68B,$-0.16B,-9.29%,$1.68B,$-0.16B,-9.29%,$1.68B,$0.42B,24.72%,$1.68B,$-0.23B,-13.88%,$1.68B,$-0.15B,-8.76%,$-0.15B,$2.65B,-5.57%,$-0.15B,$2.65B,-5.57%,$-0.15B,$5.13B,-2.84%,$-0.16B,$3.93B,-3.80%,$385,$147,$238,$6,$32,$345,$40,$-15,$25,$7,$18,$18,$18,$187,$40,$462,465,$0.04,$0.04,$510,$13,$6,$718,$4235,$149,$0,$27,$4411,$5129,$438,$1285,$96,$2046,$2484,$48,$1230,$3,$2645,$5129,$145,$429,$162,$591,$29,$-2,$-5,$-22,$-17,$719,$-554,$0,$0,$0,$-23,$-23,$0,$-577,$0,$0,$0,$-68,$-68,$-56,$-6,$-130,$12,$26,$-56
5,2017-06-30,24.8,$5.71,4.34,$3.46,7.18,$0.72,34.49,$-0.37,0.0,$0.74B,$0.23B,3.14,$1.52B,$2.64B,0.58,$1.60B,$1.03B,64.09%,$1.60B,$-0.19B,-11.97%,$1.60B,$-0.19B,-11.97%,$1.60B,$0.37B,23.19%,$1.60B,$-0.28B,-17.21%,$1.60B,$-0.18B,-10.91%,$-0.18B,$2.64B,-6.49%,$-0.18B,$2.64B,-6.49%,$-0.18B,$5.22B,-3.31%,$-0.19B,$4.16B,-4.55%,$460,$151,$309,$4,$32,$403,$57,$-20,$37,$16,$22,$22,$22,$203,$57,$465,467,$0.05,$0.05,$517,$11,$14,$736,$4203,$141,$0,$140,$4484,$5219,$234,$1521,$167,$2343,$2577,$48,$1236,$1,$2642,$5219,$127,$282,$120,$401,$14,$-0,$-4,$-2,$1,$530,$-392,$0,$0,$0,$-14,$-14,$0,$-405,$0,$0,$0,$-68,$-68,$-33,$-6,$-106,$18,$18,$-33
6,2017-03-31,23.6,$5.82,4.06,$3.00,7.87,$0.52,45.81,$-0.56,0.0,$0.75B,$0.22B,3.34,$1.52B,$2.71B,0.56,$1.39B,$0.83B,59.67%,$1.39B,$-0.32B,-22.93%,$1.39B,$-0.32B,-22.93%,$1.39B,$0.25B,17.83%,$1.39B,$-0.41B,-29.48%,$1.39B,$-0.26B,-18.69%,$-0.26B,$2.71B,-9.44%,$-0.26B,$2.71B,-9.44%,$-0.26B,$5.24B,-4.84%,$-0.32B,$4.23B,-7.46%,$518,$152,$366,$6,$33,$328,$190,$-21,$169,$63,$106,$106,$106,$326,$190,$465,467,$0.23,$0.23,$537,$12,$4,$748,$4328,$136,$0,$32,$4496,$5244,$224,$1521,$164,$2313,$2537,$48,$1237,$1,$2707,$5244,$106,$136,$31,$167,$-2,$1,$0,$-14,$-4,$269,$-208,$0,$0,$0,$-8,$-8,$0,$-216,$0,$0,$0,$0,$0,$-9,$-5,$-15,$39,$8,$-9
7,2016-12-31,23.03,$5.52,4.17,$2.54,9.06,$0.44,52.25,$-0.91,0.0,$0.72B,$0.26B,2.78,$1.52B,$2.57B,0.59,$1.16B,$0.61B,52.64%,$1.16B,$-0.56B,-48.83%,$1.16B,$-0.56B,-48.83%,$1.16B,$0.03B,2.60%,$1.16B,$-0.66B,-57.06%,$1.16B,$-0.42B,-36.10%,$-0.42B,$2.57B,-14.82%,$-0.42B,$2.57B,-14.82%,$-0.42B,$5.12B,-7.61%,$-0.56B,$4.09B,-12.97%,$316,$140,$176,$15,$24,$760,$-443,$-21,$-464,$-171,$-293,$-293,$-293,$-301,$-443,$457,457,$-0.63,$-0.63,$499,$13,$3,$716,$4250,$130,$0,$27,$4407,$5123,$258,$1521,$161,$2297,$2555,$48,$1099,$1,$2568,$5123,$-417,$595,$283,$878,$-71,$3,$11,$-0,$-63,$397,$-325,$0,$0,$0,$-28,$-28,$0,$-353,$-497,$0,$-497,$995,$995,$-36,$-8,$454,$498,$26,$-36
8,2016-09-30,25.42,$6.16,4.13,$2.53,10.05,$-0.20,0.0,$-0.55,0.0,$0.66B,$0.20B,3.33,$1.52B,$2.86B,0.53,$1.12B,$0.57B,50.89%,$1.12B,$-0.28B,-24.73%,$1.12B,$-0.28B,-24.73%,$1.12B,$0.33B,29.11%,$1.12B,$-0.38B,-33.66%,$1.12B,$-0.24B,-20.98%,$-0.24B,$2.86B,-8.79%,$-0.24B,$2.86B,-8.79%,$-0.24B,$5.53B,-4.26%,$-0.28B,$4.38B,-6.40%,$310,$133,$177,$3,$28,$307,$4,$-22,$-18,$-8,$-10,$-10,$-10,$144,$4,$465,465,$-0.02,$-0.02,$501,$13,$4,$656,$4723,$128,$0,$26,$4876,$5532,$197,$1520,$164,$2472,$2669,$48,$1401,$-0,$2863,$5532,$-124,$453,$-31,$422,$-1,$3,$-12,$-18,$-39,$258,$-196,$0,$0,$0,$-24,$-24,$0,$-220,$-497,$0,$-497,$995,$995,$-27,$-8,$463,$501,$23,$-27
9,2016-06-30,25.34,$6.19,4.1,$2.60,9.74,$-0.88,0.0,$-0.57,0.0,$0.66B,$0.23B,2.89,$1.52B,$2.88B,0.53,$1.12B,$0.56B,50.04%,$1.12B,$-0.28B,-25.29%,$1.12B,$-0.28B,-25.29%,$1.12B,$0.33B,29.24%,$1.12B,$-0.39B,-34.53%,$1.12B,$-0.24B,-21.61%,$-0.24B,$2.88B,-9.69%,$-0.24B,$2.88B,-9.69%,$-0.24B,$5.57B,-4.38%,$-0.28B,$4.40B,-6.61%,$247,$136,$111,$4,$29,$317,$-70,$-27,$-97,$-34,$-63,$-63,$-63,$79,$-70,$465,465,$-0.14,$-0.14,$517,$15,$5,$659,$4763,$124,$0,$25,$4911,$5570,$228,$1520,$163,$2464,$2693,$48,$1420,$-0,$2878,$5570,$-114,$312,$-29,$283,$2,$1,$-17,$-3,$-16,$152,$-110,$0,$0,$0,$-18,$-18,$0,$-128,$-477,$0,$-477,$995,$995,$-18,$-8,$492,$517,$18,$-18
