,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,77.4,$27.86,2.78,$31.20,2.48,$20.15,3.84,$5.05,15.33,$14.72B,$7.40B,1.99,$14.90B,$32.08B,0.47,$37.10B,$22.87B,61.65%,$37.10B,$9.77B,26.32%,$37.10B,$9.77B,26.32%,$37.10B,$16.09B,43.38%,$37.10B,$8.63B,23.25%,$37.10B,$5.97B,16.09%,$5.97B,$32.08B,19.13%,$5.97B,$32.08B,19.13%,$5.97B,$70.56B,8.42%,$9.77B,$46.98B,20.73%,$10165,$3633,$6532,$0,$1798,$6979,$3186,$-280,$2906,$1033,$1873,$1873,$1861,$4769,$3186,$1163,1173,$1.60,$1.59,$6677,$1239,$0,$14723,$44736,$9553,$0,$1209,$55833,$70556,$7401,$14902,$8884,$31076,$38477,$18,$32495,$-5442,$32079,$70556,$4427,$4610,$297,$4907,$-147,$-165,$-43,$-51,$40,$9151,$-4739,$0,$0,$996,$0,$996,$78,$-3665,$-4970,$0,$-4970,$-1952,$-1952,$-1009,$-111,$-8042,$-2596,$0,$-1009
1,2018-06-30,69.34,$26.87,2.58,$28.45,2.44,$28.94,2.4,$3.80,18.25,$11.61B,$6.64B,1.75,$14.89B,$31.22B,0.48,$34.13B,$20.54B,60.17%,$34.13B,$7.58B,22.20%,$34.13B,$7.58B,22.20%,$34.13B,$14.02B,41.08%,$34.13B,$6.37B,18.67%,$34.13B,$4.53B,13.26%,$4.53B,$31.22B,14.67%,$4.53B,$31.22B,14.67%,$4.53B,$68.94B,6.29%,$7.58B,$46.11B,15.80%,$9240,$3133,$6107,$0,$1704,$6383,$2857,$-238,$2619,$965,$1654,$1654,$1640,$4384,$2857,$1172,1181,$1.40,$1.39,$6005,$1093,$0,$11608,$46306,$9435,$0,$1188,$57328,$68936,$6638,$14885,$8883,$31076,$37714,$18,$30967,$-5637,$31222,$68936,$2554,$3027,$307,$3334,$455,$-21,$-282,$-148,$91,$5741,$-3226,$0,$0,$1257,$0,$1257,$-58,$-2027,$-4952,$0,$-4952,$-1104,$-1104,$-675,$-48,$-6779,$-3079,$0,$-675
2,2018-03-31,58.81,$26.25,2.24,$27.81,2.11,$36.76,1.6,$-0.37,0.0,$13.19B,$7.11B,1.86,$16.71B,$30.72B,0.54,$33.77B,$20.29B,60.09%,$33.77B,$0.77B,2.28%,$33.77B,$0.77B,2.28%,$33.77B,$7.40B,21.92%,$33.77B,$-0.61B,-1.80%,$33.77B,$-0.55B,-1.64%,$-0.55B,$30.72B,-1.80%,$-0.55B,$30.72B,-1.80%,$-0.55B,$70.73B,-0.74%,$0.77B,$47.43B,1.57%,$8961,$3809,$5152,$0,$1453,$6883,$2078,$-302,$1776,$876,$900,$900,$888,$3578,$2078,$1180,1186,$0.75,$0.75,$7048,$1053,$0,$13187,$45997,$9572,$0,$1572,$57540,$70727,$7109,$16709,$8950,$32900,$40009,$18,$29663,$-5371,$30718,$70727,$900,$1500,$56,$1556,$139,$12,$-181,$-22,$-86,$2399,$-1366,$0,$0,$1593,$0,$1593,$-305,$-78,$-2888,$0,$-2888,$-518,$-518,$-338,$-32,$-3776,$-1330,$0,$-338
3,2017-12-31,54.15,$26.17,2.07,$26.48,2.04,$36.58,1.48,$-0.50,0.0,$16.51B,$9.40B,1.76,$17.13B,$30.80B,0.56,$32.58B,$19.17B,58.84%,$32.58B,$-1.12B,-3.44%,$32.58B,$-1.12B,-3.44%,$32.58B,$6.09B,18.68%,$32.58B,$-2.62B,-8.03%,$32.58B,$-0.86B,-2.62%,$-0.86B,$30.80B,-2.68%,$-0.86B,$30.80B,-2.68%,$-0.86B,$73.36B,-1.09%,$-1.12B,$47.93B,-2.14%,$8736,$3653,$5083,$0,$1799,$7092,$1644,$-319,$1325,$-273,$1598,$1598,$1579,$3363,$1644,$1221,1221,$1.26,$1.27,$10097,$1060,$0,$16512,$45683,$9599,$0,$1107,$56850,$73362,$9397,$17128,$8900,$33164,$42561,$18,$29391,$-5518,$30801,$73362,$-793,$7207,$1077,$8284,$-886,$-55,$265,$69,$15,$7077,$9269,$0,$0,$-1790,$0,$-1790,$283,$7762,$-7876,$0,$-7876,$-3063,$-3063,$-1305,$-112,$-12356,$2715,$0,$-1305
4,2017-09-30,49.11,$25.69,1.91,$25.15,1.95,$23.85,2.06,$-1.85,0.0,$16.95B,$7.13B,2.38,$19.67B,$30.71B,0.64,$31.10B,$18.05B,58.04%,$31.10B,$-2.39B,-7.68%,$31.10B,$-2.39B,-7.68%,$31.10B,$5.26B,16.90%,$31.10B,$-3.95B,-12.69%,$31.10B,$-2.47B,-7.94%,$-2.47B,$30.71B,-7.48%,$-2.47B,$30.71B,-7.48%,$-2.47B,$74.86B,-2.99%,$-2.39B,$50.39B,-4.29%,$7195,$2999,$4196,$0,$1507,$6197,$998,$-345,$653,$217,$436,$436,$420,$2695,$998,$1212,1215,$0.35,$0.34,$11691,$1023,$0,$16954,$46669,$9696,$0,$1081,$57907,$74861,$7131,$19673,$9180,$37018,$44149,$18,$28130,$-5292,$30712,$74861,$-2391,$5488,$1803,$7291,$65,$-15,$-212,$-12,$63,$4596,$10666,$0,$0,$-2583,$0,$-2583,$148,$8231,$-6594,$0,$-6594,$-2110,$-2110,$-986,$-80,$-9770,$3301,$0,$-986
5,2017-06-30,42.87,$25.06,1.71,$24.46,1.75,$10.89,3.94,$-3.03,0.0,$19.88B,$9.93B,2.0,$19.67B,$30.50B,0.65,$30.42B,$17.10B,56.19%,$30.42B,$-4.59B,-15.07%,$30.42B,$-4.59B,-15.07%,$30.42B,$3.90B,12.80%,$30.42B,$-6.26B,-20.56%,$30.42B,$-3.93B,-12.91%,$-3.93B,$30.50B,-11.41%,$-3.93B,$30.50B,-11.41%,$-3.93B,$78.00B,-4.49%,$-4.59B,$50.17B,-7.76%,$8882,$3019,$5863,$0,$1618,$12832,$-3950,$-411,$-4361,$-935,$-3426,$-3426,$-3440,$-2233,$-3950,$1237,1237,$-2.78,$-2.78,$11800,$1019,$0,$19879,$46846,$9681,$0,$1076,$58125,$78004,$9926,$19670,$9075,$37579,$47505,$18,$28033,$-6342,$30499,$78004,$-2827,$3791,$2330,$6121,$313,$-3,$-178,$-135,$72,$3541,$8756,$0,$0,$-2653,$0,$-2653,$120,$6223,$-4079,$0,$-4079,$-1138,$-1138,$-662,$-64,$-5943,$3924,$0,$-662
6,2017-03-31,48.36,$28.78,1.68,$21.76,2.22,$0.22,219.44,$-1.11,0.0,$10.73B,$7.53B,1.43,$25.34B,$35.60B,0.71,$27.12B,$14.20B,52.35%,$27.12B,$-1.87B,-6.91%,$27.12B,$-1.87B,-6.91%,$27.12B,$7.33B,27.04%,$27.12B,$-3.54B,-13.05%,$27.12B,$-1.56B,-5.75%,$-1.56B,$35.60B,-4.30%,$-1.56B,$35.60B,-4.30%,$-1.56B,$87.97B,-1.70%,$-1.87B,$60.94B,-2.98%,$7771,$3742,$4029,$0,$1619,$7583,$188,$-420,$-232,$-831,$599,$599,$586,$2262,$188,$1243,1249,$0.47,$0.47,$3361,$1097,$0,$10728,$54440,$21153,$0,$1130,$77245,$87973,$7526,$25340,$9404,$44846,$52372,$18,$31804,$-5961,$35601,$87973,$599,$2074,$-798,$1276,$78,$-76,$-129,$10,$-38,$1790,$-931,$0,$0,$-203,$0,$-203,$160,$-974,$-839,$0,$-839,$-158,$-158,$-331,$-16,$-1344,$-501,$0,$-331
7,2016-12-31,48.37,$28.47,1.7,$19.56,2.47,$-1.48,0.0,$-2.91,0.0,$8.61B,$6.91B,1.25,$26.19B,$35.23B,0.74,$24.36B,$12.45B,51.11%,$24.36B,$-3.88B,-15.92%,$24.36B,$-3.88B,-15.92%,$24.36B,$5.61B,23.02%,$24.36B,$-5.53B,-22.70%,$24.36B,$-3.62B,-14.84%,$-3.62B,$35.23B,-9.71%,$-3.62B,$35.23B,-9.71%,$-3.62B,$89.77B,-3.81%,$-3.88B,$61.41B,-6.03%,$7254,$3291,$3963,$0,$1710,$6880,$374,$-382,$-8,$11,$-19,$-19,$-35,$2531,$374,$1245,1245,$-0.03,$-0.03,$3660,$1018,$0,$8609,$58331,$21091,$0,$1160,$81163,$89772,$6909,$26186,$9950,$47637,$54546,$18,$31548,$-6193,$35226,$89772,$-3559,$9487,$-959,$8528,$820,$44,$-524,$105,$-481,$4403,$-3583,$0,$0,$-51,$0,$-51,$-225,$-3859,$2343,$0,$2343,$-189,$-189,$-1253,$-137,$764,$1242,$0,$-1253
8,2016-09-30,41.69,$29.42,1.42,$19.19,2.17,$-2.57,0.0,$-5.66,0.0,$9.64B,$7.54B,1.28,$27.35B,$36.46B,0.75,$23.87B,$10.46B,43.83%,$23.87B,$-8.90B,-37.27%,$23.87B,$-8.90B,-37.27%,$23.87B,$0.93B,3.91%,$23.87B,$-10.57B,-44.29%,$23.87B,$-7.03B,-29.45%,$-7.03B,$36.46B,-18.29%,$-7.03B,$36.46B,-18.29%,$-7.03B,$94.28B,-7.25%,$-8.90B,$63.81B,-13.72%,$6516,$3276,$3240,$0,$1890,$7714,$-1198,$-456,$-1654,$-628,$-1026,$-1026,$-1040,$1335,$-1198,$1246,1246,$-0.84,$-0.84,$4324,$1108,$0,$9641,$61649,$21283,$0,$1130,$84643,$94284,$7537,$27353,$11433,$50291,$57828,$18,$31896,$-5444,$36456,$94284,$-3540,$7330,$-609,$6721,$1112,$22,$-515,$46,$-171,$2960,$-3451,$0,$0,$-229,$0,$-229,$-232,$-3912,$3755,$0,$3755,$-52,$-52,$-940,$-93,$2670,$1722,$0,$-940
9,2016-06-30,41.56,$30.55,1.36,$20.00,2.08,$-3.47,0.0,$-5.69,0.0,$9.26B,$7.35B,1.26,$27.35B,$37.83B,0.72,$24.86B,$10.40B,41.83%,$24.86B,$-9.15B,-36.80%,$24.86B,$-9.15B,-36.80%,$24.86B,$0.54B,2.17%,$24.86B,$-10.66B,-42.87%,$24.86B,$-7.06B,-28.40%,$-7.06B,$37.83B,-17.45%,$-7.06B,$37.83B,-17.45%,$-7.06B,$96.05B,-7.07%,$-9.15B,$65.18B,-13.82%,$5575,$2612,$2963,$0,$1809,$6812,$-1237,$-407,$-1644,$-586,$-1058,$-1058,$-1071,$1204,$-1237,$1245,1245,$-0.86,$-0.86,$4152,$1150,$0,$9259,$63685,$21385,$0,$1086,$86795,$96054,$7348,$27346,$11341,$50875,$58223,$18,$33248,$-5371,$37831,$96054,$-2514,$4797,$-365,$4432,$1097,$-23,$-454,$-51,$-221,$1680,$-2591,$0,$0,$-1292,$0,$-1292,$-304,$-4187,$3767,$0,$3767,$-45,$-45,$-626,$-79,$3017,$495,$0,$-626
