,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,79.84,$53.04,1.51,$63.65,1.25,$31.28,2.55,$8.14,9.81,$1.05B,$1.03B,1.02,$0.92B,$2.24B,0.41,$2.70B,$1.87B,69.20%,$2.70B,$0.40B,14.77%,$2.70B,$0.40B,14.77%,$2.70B,$0.40B,14.77%,$2.70B,$0.39B,14.40%,$2.70B,$0.35B,12.92%,$0.35B,$2.24B,15.94%,$0.35B,$2.14B,16.60%,$0.35B,$4.37B,8.05%,$0.40B,$3.16B,12.92%,$672,$230,$443,$0,$234,$598,$74,$-5,$69,$11,$58,$58,$58,$74,$74,$42,42,$1.36,$1.36,$750,$93,$12,$1052,$2973,$166,$93,$60,$3314,$4365,$1031,$919,$131,$1096,$2127,$29,$2271,$-4,$2238,$4365,$0,$0,$0,$0,$0,$0,$0,$0,$0,$298,$0,$0,$0,$0,$0,$0,$0,$-130,$0,$0,$0,$0,$0,$0,$0,$-237,$-68,$0,$0
1,2018-06-30,94.62,$52.54,1.8,$63.34,1.49,$36.58,2.59,$9.23,10.25,$1.14B,$1.09B,1.05,$0.91B,$2.22B,0.41,$2.69B,$1.91B,71.13%,$2.69B,$0.45B,16.59%,$2.69B,$0.45B,16.59%,$2.69B,$0.45B,16.59%,$2.69B,$0.44B,16.37%,$2.69B,$0.40B,14.73%,$0.40B,$2.22B,18.50%,$0.40B,$2.13B,19.25%,$0.40B,$4.40B,9.23%,$0.45B,$3.13B,14.67%,$634,$219,$416,$0,$222,$577,$57,$0,$57,$7,$50,$50,$50,$57,$57,$42,42,$1.18,$1.18,$830,$87,$10,$1137,$2920,$171,$90,$58,$3262,$4399,$1089,$914,$132,$1094,$2182,$29,$2252,$-4,$2217,$4399,$0,$0,$0,$0,$0,$0,$0,$0,$0,$267,$0,$0,$0,$0,$0,$0,$0,$-106,$0,$0,$0,$0,$0,$0,$0,$-175,$-13,$0,$0
2,2018-03-31,127.63,$52.22,2.44,$61.93,2.06,$38.07,3.35,$9.54,13.38,$1.15B,$1.06B,1.08,$0.89B,$2.20B,0.4,$2.63B,$1.92B,72.91%,$2.63B,$0.47B,17.81%,$2.63B,$0.47B,17.81%,$2.63B,$0.47B,17.81%,$2.63B,$0.45B,17.28%,$2.63B,$0.41B,15.41%,$0.41B,$2.20B,19.48%,$0.41B,$2.12B,20.26%,$0.41B,$4.33B,9.62%,$0.47B,$3.09B,15.65%,$715,$199,$516,$0,$241,$572,$143,$5,$148,$12,$136,$136,$136,$143,$143,$42,42,$3.22,$3.22,$847,$85,$12,$1145,$2864,$155,$85,$57,$3185,$4330,$1062,$889,$131,$1065,$2127,$29,$2239,$-4,$2203,$4330,$0,$0,$0,$0,$0,$0,$0,$0,$0,$145,$0,$0,$0,$0,$0,$0,$0,$-74,$0,$0,$0,$0,$0,$0,$0,$-113,$-42,$0,$0
3,2017-12-31,132.16,$49.88,2.65,$59.59,2.22,$37.79,3.5,$8.73,15.14,$1.20B,$1.10B,1.09,$0.88B,$2.10B,0.42,$2.53B,$1.86B,73.42%,$2.53B,$0.44B,17.44%,$2.53B,$0.44B,17.44%,$2.53B,$0.44B,17.44%,$2.53B,$0.42B,16.53%,$2.53B,$0.37B,14.64%,$0.37B,$2.10B,18.41%,$0.37B,$2.02B,19.13%,$0.37B,$4.25B,8.99%,$0.44B,$2.98B,14.94%,$680,$186,$494,$0,$246,$555,$125,$-9,$115,$10,$105,$105,$105,$125,$125,$42,42,$2.48,$2.48,$944,$82,$12,$1198,$2826,$66,$81,$57,$3054,$4253,$1102,$876,$123,$1050,$2152,$29,$2140,$-4,$2101,$4253,$370,$164,$40,$204,$-3,$0,$25,$131,$153,$727,$-110,$10,$0,$0,$-287,$-287,$-191,$-578,$-99,$0,$-99,$1,$1,$-107,$0,$-205,$-93,$7,$-107
4,2017-09-30,122.09,$45.68,2.67,$57.75,2.11,$35.38,3.45,$8.61,14.18,$1.09B,$1.04B,1.05,$0.92B,$2.04B,0.45,$2.45B,$1.80B,73.34%,$2.45B,$0.38B,15.68%,$2.45B,$0.38B,15.68%,$2.45B,$0.38B,15.68%,$2.45B,$0.40B,16.41%,$2.45B,$0.36B,14.54%,$0.36B,$2.04B,18.30%,$0.36B,$1.97B,19.02%,$0.36B,$4.18B,8.87%,$0.38B,$2.96B,13.20%,$659,$173,$486,$0,$239,$538,$121,$-1,$120,$14,$105,$105,$105,$121,$121,$42,42,$2.48,$2.48,$816,$79,$8,$1085,$2780,$156,$77,$61,$3098,$4183,$1036,$919,$133,$1105,$2141,$28,$2081,$-2,$2043,$4183,$0,$0,$0,$0,$0,$0,$0,$0,$0,$523,$0,$0,$0,$0,$0,$0,$0,$-344,$0,$0,$0,$0,$0,$0,$0,$-261,$-82,$0,$0
5,2017-06-30,114.0,$44.03,2.59,$55.64,2.05,$32.14,3.55,$7.91,14.41,$1.21B,$0.98B,1.24,$0.97B,$1.97B,0.49,$2.36B,$1.72B,72.77%,$2.36B,$0.34B,14.46%,$2.36B,$0.34B,14.46%,$2.36B,$0.34B,14.46%,$2.36B,$0.37B,15.65%,$2.36B,$0.33B,13.78%,$0.33B,$1.97B,17.31%,$0.33B,$1.90B,18.00%,$0.33B,$4.08B,8.29%,$0.34B,$2.93B,11.92%,$574,$154,$420,$0,$210,$495,$79,$-8,$71,$12,$59,$59,$59,$79,$79,$42,42,$1.38,$1.38,$924,$79,$7,$1213,$2708,$1,$74,$61,$2868,$4080,$982,$965,$119,$1130,$2112,$28,$2009,$-2,$1969,$4080,$0,$0,$0,$0,$0,$0,$0,$0,$0,$330,$0,$0,$0,$0,$0,$0,$0,$-242,$0,$0,$0,$0,$0,$0,$0,$-177,$-88,$0,$0
6,2017-03-31,108.88,$43.08,2.53,$53.80,2.02,$30.67,3.55,$7.71,14.12,$1.13B,$0.85B,1.33,$1.01B,$1.93B,0.52,$2.28B,$1.65B,72.22%,$2.28B,$0.30B,13.08%,$2.28B,$0.30B,13.08%,$2.28B,$0.30B,13.08%,$2.28B,$0.36B,15.71%,$2.28B,$0.32B,14.09%,$0.32B,$1.93B,17.70%,$0.32B,$1.86B,18.42%,$0.32B,$3.95B,8.34%,$0.30B,$2.93B,10.59%,$615,$159,$456,$0,$217,$499,$116,$-4,$112,$11,$101,$101,$101,$116,$116,$42,42,$2.38,$2.38,$840,$78,$7,$1131,$2659,$1,$71,$57,$2817,$3948,$851,$1008,$122,$1171,$2022,$28,$1968,$-2,$1926,$3948,$0,$0,$0,$0,$0,$0,$0,$0,$0,$133,$0,$0,$0,$0,$0,$0,$0,$-75,$0,$0,$0,$0,$0,$0,$0,$-120,$-62,$0,$0
7,2016-12-31,87.68,$43.81,2.0,$52.51,1.67,$30.36,2.89,$8.04,10.91,$1.07B,$0.86B,1.24,$0.96B,$1.84B,0.52,$2.22B,$1.61B,72.35%,$2.22B,$0.28B,12.43%,$2.22B,$0.28B,12.43%,$2.22B,$0.28B,12.43%,$2.22B,$0.37B,16.79%,$2.22B,$0.34B,15.08%,$0.34B,$1.84B,19.11%,$0.34B,$1.77B,19.92%,$0.34B,$3.85B,8.83%,$0.28B,$2.80B,10.01%,$601,$167,$434,$0,$224,$534,$68,$31,$99,$8,$91,$91,$91,$68,$68,$42,42,$2.12,$2.12,$815,$75,$8,$1069,$2624,$1,$70,$53,$2777,$3846,$863,$961,$108,$1141,$2004,$28,$1887,$-2,$1842,$3846,$335,$159,$-59,$100,$-10,$0,$19,$150,$160,$595,$-80,$15,$0,$0,$-67,$-67,$-47,$-180,$-163,$0,$-163,$0,$0,$-86,$0,$-249,$127,$8,$-86
8,2016-09-30,84.39,$42.14,2.0,$50.45,1.67,$23.64,3.57,$5.82,14.5,$1.03B,$0.94B,1.1,$1.00B,$1.77B,0.56,$2.15B,$1.51B,69.90%,$2.15B,$0.25B,11.47%,$2.15B,$0.25B,11.47%,$2.15B,$0.25B,11.47%,$2.15B,$-0.13B,-5.95%,$2.15B,$-0.16B,-7.62%,$-0.16B,$1.77B,-9.71%,$-0.16B,$1.70B,-10.14%,$-0.16B,$3.81B,-4.36%,$0.25B,$2.77B,9.09%,$568,$163,$406,$0,$213,$490,$78,$9,$87,$13,$74,$74,$74,$78,$78,$42,42,$1.75,$1.75,$772,$70,$16,$1031,$2631,$1,$74,$51,$2781,$3812,$935,$1000,$65,$1105,$2040,$28,$1818,$-1,$1772,$3812,$0,$0,$0,$0,$0,$0,$0,$0,$0,$385,$0,$0,$0,$0,$0,$0,$0,$-170,$0,$0,$0,$0,$0,$0,$0,$-198,$17,$0,$0
9,2016-06-30,49.83,$40.81,1.22,$49.47,1.01,$19.94,2.5,$4.21,11.84,$1.01B,$0.93B,1.09,$1.04B,$1.72B,0.6,$2.13B,$1.43B,67.17%,$2.13B,$0.22B,10.32%,$2.13B,$0.22B,10.32%,$2.13B,$0.22B,10.32%,$2.13B,$-0.21B,-9.62%,$2.13B,$-0.23B,-10.88%,$-0.23B,$1.72B,-13.08%,$-0.23B,$1.64B,-13.61%,$-0.23B,$3.79B,-6.01%,$0.22B,$2.75B,7.85%,$495,$145,$350,$0,$200,$459,$36,$24,$60,$6,$55,$55,$55,$36,$36,$42,42,$1.29,$1.29,$764,$69,$9,$1011,$2628,$1,$73,$53,$2779,$3790,$930,$1035,$69,$1144,$2074,$28,$1766,$-1,$1716,$3790,$0,$0,$0,$0,$0,$0,$0,$0,$0,$267,$0,$0,$0,$0,$0,$0,$0,$-125,$0,$0,$0,$0,$0,$0,$0,$-140,$3,$0,$0
