,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,15.25,$9.85,1.55,$13.15,1.16,$2.96,5.15,$0.81,18.83,$0.02B,$0.01B,1.89,$0.00B,$0.04B,0.0,$0.06B,$0.05B,77.97%,$0.06B,$0.01B,8.47%,$0.06B,$0.01B,8.47%,$0.06B,$0.01B,15.25%,$0.06B,$0.01B,8.47%,$0.06B,$0.01B,10.17%,$0.01B,$0.04B,14.12%,$0.01B,$0.04B,14.12%,$0.01B,$0.06B,10.34%,$0.01B,$0.05B,11.70%,$18,$4,$14,$0,$9,$16,$2,$0,$2,$0,$2,$2,$2,$3,$2,$4,5,$0.36,$0.36,$14,$0,$0,$17,$39,$0,$0,$0,$40,$57,$9,$0,$0,$4,$13,$0,$23,$0,$44,$57,$3,$2,$1,$3,$0,$-0,$0,$-2,$-2,$4,$-4,$0,$0,$0,$0,$0,$1,$-3,$0,$0,$0,$1,$1,$-1,$0,$-0,$1,$1,$-1
1,2018-06-30,14.97,$9.54,1.57,$13.10,1.14,$3.40,4.4,$1.03,14.54,$0.02B,$0.02B,1.35,$0.00B,$0.04B,0.0,$0.06B,$0.05B,76.27%,$0.06B,$0.01B,8.47%,$0.06B,$0.01B,8.47%,$0.06B,$0.01B,13.56%,$0.06B,$0.01B,8.47%,$0.06B,$0.01B,8.47%,$0.01B,$0.04B,12.12%,$0.01B,$0.04B,12.12%,$0.01B,$0.06B,8.77%,$0.01B,$0.04B,12.12%,$17,$4,$13,$0,$9,$16,$1,$0,$1,$0,$1,$1,$1,$2,$1,$4,5,$0.16,$0.16,$21,$0,$0,$24,$39,$0,$0,$0,$40,$64,$18,$0,$0,$3,$21,$0,$22,$0,$43,$64,$2,$1,$1,$2,$1,$-0,$1,$6,$7,$11,$-3,$0,$0,$0,$0,$0,$1,$-2,$0,$0,$0,$0,$0,$-1,$0,$-0,$9,$0,$-1
2,2018-03-31,15.08,$9.42,1.6,$13.05,1.16,$3.23,4.67,$1.03,14.64,$0.02B,$0.01B,1.42,$0.00B,$0.04B,0.0,$0.06B,$0.04B,75.86%,$0.06B,$0.01B,8.62%,$0.06B,$0.01B,8.62%,$0.06B,$0.01B,13.79%,$0.06B,$0.01B,8.62%,$0.06B,$0.01B,8.62%,$0.01B,$0.04B,12.50%,$0.01B,$0.04B,12.50%,$0.01B,$0.06B,9.01%,$0.01B,$0.04B,12.50%,$12,$2,$10,$0,$7,$11,$1,$0,$1,$0,$1,$1,$1,$2,$1,$4,4,$0.22,$0.22,$13,$0,$0,$16,$38,$0,$0,$0,$40,$56,$11,$0,$0,$3,$14,$0,$21,$0,$42,$56,$1,$1,$0,$1,$1,$-0,$0,$1,$0,$2,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$-0,$0,$0,$1,$0,$-0
3,2017-12-31,16.09,$9.22,1.74,$12.93,1.24,$3.51,4.58,$0.93,17.3,$0.02B,$0.01B,1.42,$0.00B,$0.04B,0.0,$0.06B,$0.04B,75.44%,$0.06B,$0.01B,8.77%,$0.06B,$0.01B,8.77%,$0.06B,$0.01B,14.04%,$0.06B,$0.01B,8.77%,$0.06B,$0.01B,8.77%,$0.01B,$0.04B,12.90%,$0.01B,$0.04B,12.90%,$0.01B,$0.06B,9.17%,$0.01B,$0.04B,12.90%,$12,$3,$9,$0,$6,$11,$1,$0,$1,$-1,$2,$2,$2,$2,$1,$4,4,$0.43,$0.43,$12,$0,$0,$15,$37,$0,$0,$0,$39,$55,$11,$0,$0,$3,$14,$0,$21,$0,$41,$55,$4,$3,$-1,$2,$0,$0,$0,$0,$1,$7,$-4,$0,$0,$0,$0,$0,$0,$-4,$0,$0,$0,$0,$0,$-1,$0,$-1,$3,$1,$-1
4,2017-09-30,12.18,$8.82,1.38,$12.89,0.95,$2.89,4.22,$0.66,18.46,$0.01B,$0.01B,1.41,$0.00B,$0.04B,0.0,$0.06B,$0.04B,75.44%,$0.06B,$0.01B,8.77%,$0.06B,$0.01B,8.77%,$0.06B,$0.01B,14.04%,$0.06B,$0.01B,8.77%,$0.06B,$0.00B,7.02%,$0.00B,$0.04B,10.60%,$0.00B,$0.04B,10.60%,$0.00B,$0.05B,7.51%,$0.01B,$0.04B,13.25%,$18,$4,$13,$0,$9,$16,$2,$0,$2,$1,$1,$1,$1,$2,$2,$4,4,$0.22,$0.22,$11,$0,$0,$14,$37,$0,$0,$0,$39,$53,$10,$0,$0,$4,$15,$0,$19,$0,$39,$53,$2,$2,$1,$2,$-0,$-0,$0,$1,$1,$6,$-3,$0,$0,$0,$0,$0,$0,$-3,$0,$0,$0,$0,$0,$-1,$0,$-0,$2,$1,$-1
5,2017-06-30,10.8,$8.64,1.25,$12.74,0.85,$2.00,5.4,$0.65,16.62,$0.02B,$0.02B,1.21,$0.00B,$0.04B,0.0,$0.06B,$0.04B,75.00%,$0.06B,$0.01B,8.93%,$0.06B,$0.01B,8.93%,$0.06B,$0.01B,14.29%,$0.06B,$0.01B,8.93%,$0.06B,$0.00B,7.14%,$0.00B,$0.04B,10.81%,$0.00B,$0.04B,10.81%,$0.00B,$0.06B,7.69%,$0.01B,$0.04B,13.51%,$16,$4,$12,$0,$8,$15,$1,$0,$1,$0,$1,$1,$1,$2,$1,$4,4,$0.16,$0.16,$15,$0,$0,$19,$37,$0,$0,$0,$39,$58,$16,$0,$0,$4,$20,$0,$18,$0,$38,$58,$1,$1,$0,$2,$-0,$-0,$1,$5,$7,$10,$-3,$0,$0,$0,$0,$0,$0,$-3,$0,$0,$0,$0,$0,$-0,$0,$-0,$7,$0,$-0
6,2017-03-31,10.3,$8.53,1.21,$12.36,0.83,$0.39,26.63,$1.02,10.1,$0.01B,$0.01B,1.35,$0.00B,$0.04B,0.0,$0.05B,$0.04B,74.07%,$0.05B,$0.01B,14.81%,$0.05B,$0.01B,14.81%,$0.05B,$0.01B,20.37%,$0.05B,$0.01B,14.81%,$0.05B,$0.01B,9.26%,$0.01B,$0.04B,13.79%,$0.01B,$0.04B,13.79%,$0.01B,$0.05B,9.90%,$0.01B,$0.04B,22.07%,$11,$2,$9,$0,$6,$11,$1,$0,$1,$0,$1,$1,$1,$2,$1,$4,4,$0.12,$0.12,$11,$0,$0,$14,$36,$0,$0,$0,$38,$52,$10,$0,$0,$4,$15,$0,$18,$0,$37,$52,$1,$1,$0,$1,$-0,$-0,$-0,$2,$2,$3,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$-0,$0,$-0,$2,$0,$-0
7,2016-12-31,9.77,$8.45,1.16,$12.19,0.8,$0.23,42.19,$0.97,10.07,$0.01B,$0.01B,1.39,$0.00B,$0.04B,0.0,$0.05B,$0.04B,73.58%,$0.05B,$0.01B,15.09%,$0.05B,$0.01B,15.09%,$0.05B,$0.01B,18.87%,$0.05B,$0.01B,15.09%,$0.05B,$0.00B,7.55%,$0.00B,$0.04B,11.27%,$0.00B,$0.04B,11.27%,$0.00B,$0.05B,8.08%,$0.01B,$0.04B,22.22%,$12,$2,$9,$0,$7,$10,$1,$0,$1,$1,$1,$1,$1,$2,$1,$4,4,$0.16,$0.16,$8,$0,$0,$12,$35,$0,$0,$0,$38,$50,$9,$0,$0,$4,$13,$0,$18,$0,$37,$50,$4,$3,$-3,$-0,$-0,$0,$0,$0,$1,$5,$-4,$0,$0,$-0,$0,$-0,$1,$-4,$-2,$0,$-2,$0,$0,$-1,$-0,$-3,$-2,$1,$-1
8,2016-09-30,9.94,$8.38,1.19,$12.05,0.82,$0.09,109.62,$1.03,9.65,$0.01B,$0.01B,1.21,$0.00B,$0.04B,0.0,$0.05B,$0.04B,75.00%,$0.05B,$0.01B,17.31%,$0.05B,$0.01B,17.31%,$0.05B,$0.01B,19.23%,$0.05B,$0.01B,17.31%,$0.05B,$0.00B,7.69%,$0.00B,$0.04B,11.59%,$0.00B,$0.04B,11.59%,$0.00B,$0.05B,8.29%,$0.01B,$0.04B,25.17%,$17,$4,$12,$0,$9,$15,$2,$0,$2,$1,$1,$1,$1,$2,$2,$4,4,$0.22,$0.21,$7,$0,$1,$11,$36,$0,$0,$0,$38,$48,$9,$0,$0,$4,$12,$0,$17,$0,$36,$48,$4,$2,$-3,$-1,$-0,$-0,$1,$-1,$0,$3,$-4,$0,$0,$0,$0,$0,$0,$-4,$-2,$0,$-2,$0,$0,$-1,$-0,$-3,$-4,$0,$-1
9,2016-06-30,10.6,$8.18,1.29,$12.16,0.87,$0.47,22.5,$1.01,10.49,$0.01B,$0.01B,1.07,$0.00B,$0.04B,0.0,$0.05B,$0.04B,75.00%,$0.05B,$0.01B,15.38%,$0.05B,$0.01B,15.38%,$0.05B,$0.01B,19.23%,$0.05B,$0.01B,15.38%,$0.05B,$0.00B,7.69%,$0.00B,$0.04B,11.94%,$0.00B,$0.04B,11.94%,$0.00B,$0.05B,8.56%,$0.01B,$0.04B,23.02%,$14,$4,$10,$0,$8,$10,$4,$-0,$4,$2,$2,$2,$2,$5,$4,$4,4,$0.53,$0.53,$12,$0,$0,$14,$35,$0,$0,$0,$38,$52,$13,$0,$0,$4,$17,$0,$17,$0,$35,$52,$3,$1,$-3,$-1,$-0,$0,$3,$-1,$2,$3,$-3,$0,$0,$0,$0,$0,$0,$-3,$-2,$0,$-2,$0,$0,$-1,$0,$-3,$-3,$0,$-1
