,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,26.85,$10.73,2.5,$21.18,1.27,$3.51,7.64,$-0.84,0.0,$0.07B,$0.04B,1.8,$0.13B,$0.15B,0.87,$0.29B,$0.16B,55.24%,$0.29B,$-0.00B,-1.05%,$0.29B,$-0.00B,-1.05%,$0.29B,$0.04B,12.94%,$0.29B,$-0.01B,-3.50%,$0.29B,$-0.01B,-3.85%,$-0.01B,$0.15B,-7.67%,$-0.01B,$-0.08B,12.26%,$-0.01B,$0.33B,-3.40%,$-0.00B,$0.28B,-1.08%,$69,$33,$36,$9,$19,$64,$5,$-2,$4,$-2,$6,$6,$6,$8,$5,$14,14,$0.41,$0.41,$5,$1,$0,$70,$11,$0,$229,$1,$257,$327,$39,$132,$0,$137,$176,$0,$-11,$0,$151,$327,$10,$10,$9,$19,$-4,$0,$-2,$-7,$-14,$15,$-1,$0,$0,$0,$0,$0,$0,$-1,$-12,$7,$-5,$0,$0,$-4,$0,$-9,$5,$7,$-4
1,2018-06-30,32.78,$10.24,3.2,$21.08,1.55,$3.81,8.6,$-1.09,0.0,$0.07B,$0.04B,1.69,$0.13B,$0.14B,0.92,$0.28B,$0.16B,54.93%,$0.28B,$-0.00B,-0.70%,$0.28B,$-0.00B,-0.70%,$0.28B,$0.04B,13.38%,$0.28B,$-0.01B,-3.52%,$0.28B,$-0.02B,-5.28%,$-0.02B,$0.14B,-10.34%,$-0.02B,$-0.09B,15.31%,$-0.02B,$0.32B,-4.59%,$-0.00B,$0.28B,-0.71%,$68,$33,$35,$9,$21,$66,$2,$-2,$1,$0,$0,$0,$0,$5,$2,$14,14,$0.02,$0.02,$1,$1,$0,$66,$11,$0,$232,$1,$257,$323,$39,$133,$0,$140,$179,$0,$-16,$0,$144,$323,$4,$6,$8,$14,$-4,$-0,$-2,$-3,$-11,$8,$-0,$0,$0,$0,$0,$0,$0,$-0,$-10,$7,$-4,$0,$0,$-3,$0,$-6,$1,$5,$-3
2,2018-03-31,29.0,$10.12,2.87,$21.12,1.37,$4.41,6.57,$-1.00,0.0,$0.07B,$0.04B,1.61,$0.14B,$0.14B,0.96,$0.28B,$0.16B,55.28%,$0.28B,$0.00B,0.00%,$0.28B,$0.00B,0.00%,$0.28B,$0.04B,14.44%,$0.28B,$-0.01B,-2.82%,$0.28B,$-0.01B,-4.58%,$-0.01B,$0.14B,-8.77%,$-0.01B,$-0.09B,12.44%,$-0.01B,$0.33B,-3.93%,$0.00B,$0.28B,0.00%,$71,$32,$39,$9,$20,$63,$8,$-2,$6,$2,$4,$4,$4,$11,$8,$13,13,$0.29,$0.29,$2,$1,$0,$65,$11,$0,$235,$1,$260,$325,$41,$136,$0,$142,$183,$0,$-14,$0,$143,$325,$4,$3,$3,$7,$-3,$0,$0,$-4,$-7,$3,$-0,$0,$0,$0,$0,$0,$0,$-0,$-9,$8,$-0,$0,$0,$-1,$0,$-2,$1,$2,$-1
3,2017-12-31,29.75,$9.89,3.01,$20.65,1.44,$4.91,6.06,$-1.27,0.0,$0.06B,$0.04B,1.42,$0.14B,$0.14B,1.0,$0.28B,$0.15B,54.51%,$0.28B,$-0.00B,-1.81%,$0.28B,$-0.00B,-1.81%,$0.28B,$0.04B,13.36%,$0.28B,$-0.01B,-4.69%,$0.28B,$-0.02B,-6.14%,$-0.02B,$0.14B,-11.22%,$-0.02B,$-0.10B,15.35%,$-0.02B,$0.32B,-5.09%,$-0.00B,$0.27B,-1.73%,$78,$30,$48,$13,$23,$96,$-18,$-3,$-21,$0,$-22,$-22,$-21,$13,$-18,$13,13,$-1.57,$-1.57,$1,$1,$0,$58,$12,$0,$237,$0,$260,$318,$41,$137,$0,$141,$182,$0,$-19,$0,$136,$318,$-17,$42,$13,$55,$-8,$0,$1,$-8,$-14,$24,$-1,$0,$0,$0,$0,$0,$0,$-1,$-12,$0,$-12,$0,$0,$-12,$-1,$-25,$-2,$7,$-12
4,2017-09-30,29.15,$11.40,2.56,$19.70,1.48,$3.36,8.68,$0.45,64.78,$0.05B,$0.04B,1.24,$0.14B,$0.16B,0.87,$0.26B,$0.14B,51.52%,$0.26B,$0.02B,6.44%,$0.26B,$0.02B,6.44%,$0.26B,$0.03B,12.12%,$0.26B,$0.01B,3.79%,$0.26B,$0.01B,2.27%,$0.01B,$0.16B,3.82%,$0.01B,$-0.11B,-5.22%,$0.01B,$0.34B,1.77%,$0.02B,$0.29B,5.73%,$67,$33,$34,$8,$18,$61,$6,$-2,$4,$1,$2,$2,$2,$9,$6,$13,13,$0.17,$0.17,$1,$1,$0,$51,$12,$0,$268,$0,$290,$341,$41,$136,$0,$143,$184,$0,$4,$0,$157,$341,$4,$10,$9,$19,$-4,$1,$4,$-5,$-5,$18,$-0,$0,$0,$0,$0,$0,$0,$-0,$-5,$-4,$-9,$0,$0,$-10,$0,$-19,$-1,$5,$-10
5,2017-06-30,32.03,$11.39,2.81,$19.56,1.64,$1.83,17.47,$0.40,80.06,$0.05B,$0.04B,1.14,$0.14B,$0.16B,0.87,$0.26B,$0.14B,51.53%,$0.26B,$0.02B,5.73%,$0.26B,$0.02B,5.73%,$0.26B,$0.03B,11.83%,$0.26B,$0.01B,3.44%,$0.26B,$0.01B,2.29%,$0.01B,$0.16B,3.83%,$0.01B,$-0.11B,-5.12%,$0.01B,$0.34B,1.77%,$0.02B,$0.29B,5.00%,$68,$32,$36,$8,$21,$63,$4,$-2,$3,$1,$2,$2,$2,$8,$4,$13,13,$0.11,$0.11,$2,$1,$0,$48,$12,$0,$270,$0,$292,$340,$42,$136,$0,$141,$183,$0,$6,$0,$157,$340,$2,$7,$5,$12,$-3,$1,$5,$-0,$2,$16,$-0,$0,$0,$0,$0,$0,$0,$-0,$-3,$-7,$-10,$0,$0,$-6,$0,$-16,$-0,$3,$-6
6,2017-03-31,27.18,$11.53,2.36,$19.63,1.38,$0.05,583.23,$0.44,61.77,$0.05B,$0.04B,1.24,$0.14B,$0.16B,0.9,$0.26B,$0.13B,51.15%,$0.26B,$0.02B,6.11%,$0.26B,$0.02B,6.11%,$0.26B,$0.03B,12.21%,$0.26B,$0.01B,3.82%,$0.26B,$0.01B,2.29%,$0.01B,$0.16B,3.82%,$0.01B,$-0.12B,-5.05%,$0.01B,$0.34B,1.76%,$0.02B,$0.30B,5.25%,$64,$31,$33,$8,$19,$61,$3,$-2,$1,$1,$0,$0,$0,$7,$3,$13,13,$0.02,$0.02,$2,$1,$0,$45,$13,$0,$273,$0,$292,$336,$36,$140,$0,$144,$180,$0,$7,$0,$156,$336,$0,$4,$3,$6,$-1,$0,$1,$3,$3,$10,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$-5,$-7,$0,$0,$-3,$0,$-10,$-0,$1,$-3
7,2016-12-31,22.69,$11.67,1.94,$20.19,1.12,$-0.62,0.0,$0.29,78.25,$0.05B,$0.03B,1.44,$0.15B,$0.16B,0.93,$0.27B,$0.14B,51.12%,$0.27B,$0.01B,5.22%,$0.27B,$0.01B,5.22%,$0.27B,$0.03B,10.82%,$0.27B,$0.01B,2.99%,$0.27B,$0.00B,1.49%,$0.00B,$0.16B,2.52%,$0.00B,$-0.12B,-3.37%,$0.00B,$0.34B,1.15%,$0.01B,$0.31B,4.56%,$65,$31,$33,$9,$18,$60,$4,$-2,$2,$0,$2,$2,$2,$8,$4,$13,13,$0.15,$0.15,$2,$2,$0,$45,$13,$0,$276,$0,$295,$339,$31,$147,$0,$150,$181,$0,$10,$0,$158,$339,$4,$14,$11,$25,$-4,$0,$-6,$-18,$-27,$2,$-0,$0,$-163,$11,$0,$11,$0,$-152,$151,$0,$151,$1,$1,$-25,$-0,$127,$-23,$5,$-25
8,2016-09-30,24.82,$11.55,2.15,$19.31,1.29,$1.97,12.58,$0.44,56.4,$0.05B,$0.03B,1.41,$0.15B,$0.16B,0.96,$0.25B,$0.13B,51.42%,$0.25B,$0.02B,6.07%,$0.25B,$0.02B,6.07%,$0.25B,$0.03B,10.53%,$0.25B,$0.01B,4.45%,$0.25B,$0.01B,2.02%,$0.01B,$0.16B,3.62%,$0.01B,$-0.12B,-7.09%,$0.01B,$0.34B,1.75%,$0.02B,$0.31B,6.01%,$65,$32,$33,$8,$18,$60,$4,$-2,$3,$1,$2,$2,$2,$8,$4,$13,13,$0.12,$0.12,$4,$2,$0,$48,$14,$0,$276,$0,$295,$343,$34,$151,$0,$152,$186,$0,$11,$0,$156,$343,$2,$11,$8,$19,$-1,$0,$-5,$-16,$-23,$-3,$-0,$0,$-163,$11,$0,$11,$0,$-152,$154,$0,$154,$1,$1,$-22,$-0,$133,$-21,$4,$-22
9,2016-06-30,37.57,$11.70,3.21,$18.48,2.03,$4.50,8.34,$0.63,59.63,$0.05B,$0.04B,1.34,$0.15B,$0.16B,0.96,$0.23B,$0.12B,51.54%,$0.23B,$0.02B,6.61%,$0.23B,$0.02B,6.61%,$0.23B,$0.02B,10.13%,$0.23B,$0.01B,5.29%,$0.23B,$0.01B,2.64%,$0.01B,$0.16B,5.06%,$0.01B,$-0.12B,-28.57%,$0.01B,$0.35B,2.67%,$0.02B,$0.31B,7.80%,$68,$34,$35,$8,$19,$63,$5,$-2,$4,$2,$2,$2,$2,$9,$5,$13,13,$0.15,$0.15,$4,$2,$0,$51,$14,$0,$278,$0,$297,$348,$38,$151,$0,$151,$190,$0,$14,$0,$158,$348,$0,$7,$5,$12,$-3,$-0,$-4,$-15,$-21,$-8,$-0,$0,$-163,$11,$0,$11,$0,$-152,$155,$0,$155,$1,$1,$-17,$0,$139,$-21,$3,$-17
