,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,98.6,$17.62,5.6,$72.00,1.37,$7.42,13.29,$6.05,16.3,$1.17B,$0.32B,3.67,$0.80B,$0.81B,0.98,$3.40B,$1.49B,43.77%,$3.40B,$0.37B,10.78%,$3.40B,$0.37B,10.78%,$3.40B,$0.46B,13.43%,$3.40B,$0.33B,9.78%,$3.40B,$0.28B,8.34%,$0.28B,$0.81B,34.08%,$0.28B,$0.17B,148.50%,$0.28B,$2.20B,13.64%,$0.37B,$1.61B,24.27%,$924,$536,$387,$0,$294,$820,$104,$-10,$94,$22,$72,$72,$71,$126,$104,$46,46,$1.55,$1.53,$124,$693,$0,$1167,$361,$0,$641,$29,$1031,$2198,$318,$798,$183,$1068,$1387,$0,$843,$-32,$811,$2198,$152,$68,$25,$92,$-68,$-146,$-3,$-5,$-223,$21,$-47,$0,$0,$0,$0,$0,$0,$-47,$180,$0,$180,$-144,$-144,$-63,$-1,$-28,$-55,$12,$-63
1,2018-06-30,108.39,$17.40,6.23,$71.94,1.51,$9.36,11.58,$6.23,17.4,$1.05B,$0.31B,3.36,$0.68B,$0.81B,0.84,$3.43B,$1.51B,43.96%,$3.43B,$0.39B,11.46%,$3.43B,$0.39B,11.46%,$3.43B,$0.48B,14.09%,$3.43B,$0.36B,10.56%,$3.43B,$0.30B,8.61%,$0.30B,$0.81B,35.82%,$0.30B,$0.17B,163.89%,$0.30B,$2.08B,14.33%,$0.39B,$1.49B,26.65%,$696,$386,$310,$0,$263,$639,$57,$-9,$48,$11,$37,$37,$37,$79,$57,$46,47,$0.80,$0.79,$183,$663,$0,$1051,$364,$0,$641,$28,$1033,$2084,$313,$683,$192,$961,$1273,$0,$845,$-36,$810,$2084,$80,$45,$24,$69,$76,$-117,$-4,$0,$-45,$103,$-31,$0,$0,$0,$0,$0,$0,$-31,$65,$0,$65,$-88,$-88,$-42,$0,$-66,$5,$10,$-42
2,2018-03-31,103.69,$18.14,5.71,$71.40,1.45,$9.34,11.1,$6.22,16.67,$0.94B,$0.23B,4.14,$0.62B,$0.86B,0.72,$3.42B,$1.50B,43.81%,$3.42B,$0.40B,11.68%,$3.42B,$0.40B,11.68%,$3.42B,$0.49B,14.31%,$3.42B,$0.37B,10.86%,$3.42B,$0.30B,8.64%,$0.30B,$0.86B,36.61%,$0.30B,$0.21B,177.25%,$0.30B,$1.98B,14.46%,$0.40B,$1.47B,27.50%,$756,$423,$332,$0,$280,$695,$60,$-7,$53,$10,$42,$42,$42,$83,$60,$47,47,$0.90,$0.89,$180,$479,$0,$935,$369,$0,$643,$28,$1040,$1975,$226,$618,$189,$894,$1120,$0,$885,$-31,$855,$1975,$42,$22,$19,$41,$9,$68,$-95,$-2,$-20,$64,$-14,$0,$0,$0,$0,$0,$0,$-14,$0,$0,$0,$-27,$-27,$-21,$0,$-48,$2,$5,$-21
3,2017-12-31,116.56,$18.17,6.41,$70.44,1.65,$9.64,12.09,$6.28,18.56,$1.02B,$0.33B,3.08,$0.62B,$0.86B,0.72,$3.40B,$1.48B,43.63%,$3.40B,$0.42B,12.29%,$3.40B,$0.42B,12.29%,$3.40B,$0.51B,14.88%,$3.40B,$0.39B,11.50%,$3.40B,$0.30B,8.85%,$0.30B,$0.86B,38.21%,$0.30B,$0.21B,202.69%,$0.30B,$2.07B,14.86%,$0.42B,$1.48B,29.33%,$1028,$567,$461,$0,$326,$881,$146,$-8,$138,$2,$136,$136,$134,$169,$146,$48,48,$2.84,$2.81,$178,$549,$0,$1021,$378,$0,$644,$28,$1050,$2071,$331,$617,$180,$882,$1214,$0,$886,$-29,$857,$2071,$303,$86,$-40,$46,$-18,$-21,$41,$-21,$-19,$330,$-69,$0,$-158,$0,$0,$0,$0,$-228,$36,$0,$36,$-180,$-180,$-71,$-8,$-223,$-121,$18,$-71
4,2017-09-30,97.63,$16.28,6.0,$67.64,1.44,$9.82,9.95,$5.20,18.77,$1.05B,$0.33B,3.18,$0.69B,$0.77B,0.89,$3.31B,$1.43B,43.33%,$3.31B,$0.41B,12.43%,$3.31B,$0.41B,12.43%,$3.31B,$0.50B,15.00%,$3.31B,$0.39B,11.64%,$3.31B,$0.25B,7.62%,$0.25B,$0.77B,32.71%,$0.25B,$0.13B,147.37%,$0.25B,$2.11B,12.64%,$0.41B,$1.46B,29.39%,$948,$544,$404,$0,$283,$818,$130,$-7,$123,$41,$82,$82,$82,$152,$130,$47,48,$1.73,$1.71,$105,$610,$0,$1052,$382,$0,$646,$27,$1055,$2107,$331,$687,$179,$1004,$1335,$0,$798,$-26,$772,$2107,$167,$63,$12,$75,$-66,$-81,$41,$-18,$-124,$118,$-52,$0,$-159,$0,$0,$0,$0,$-211,$106,$0,$106,$-151,$-151,$-53,$-2,$-101,$-194,$13,$-53
5,2017-06-30,87.57,$15.63,5.6,$65.86,1.33,$9.35,9.36,$5.09,17.2,$1.00B,$0.31B,3.17,$0.66B,$0.75B,0.88,$3.26B,$1.41B,43.10%,$3.26B,$0.41B,12.64%,$3.26B,$0.41B,12.64%,$3.26B,$0.49B,15.12%,$3.26B,$0.39B,11.84%,$3.26B,$0.25B,7.70%,$0.25B,$0.75B,32.53%,$0.25B,$0.12B,118.26%,$0.25B,$2.03B,12.86%,$0.41B,$1.41B,30.01%,$692,$389,$303,$0,$250,$627,$64,$-7,$58,$20,$38,$38,$38,$86,$64,$48,48,$0.78,$0.77,$174,$610,$0,$996,$382,$0,$632,$23,$1038,$2034,$314,$662,$175,$970,$1284,$0,$780,$-31,$750,$2034,$84,$41,$13,$54,$57,$-91,$17,$-13,$-31,$107,$-34,$0,$-144,$0,$0,$0,$0,$-178,$81,$0,$81,$-101,$-101,$-36,$0,$-56,$-126,$10,$-36
6,2017-03-31,88.01,$15.91,5.53,$64.21,1.37,$8.56,10.29,$5.02,17.53,$0.84B,$0.23B,3.72,$0.58B,$0.77B,0.75,$3.21B,$1.38B,43.16%,$3.21B,$0.41B,12.82%,$3.21B,$0.41B,12.82%,$3.21B,$0.49B,15.25%,$3.21B,$0.38B,11.97%,$3.21B,$0.25B,7.76%,$0.25B,$0.77B,32.10%,$0.25B,$0.14B,98.52%,$0.25B,$1.89B,12.96%,$0.41B,$1.35B,30.29%,$733,$417,$316,$0,$248,$654,$78,$-7,$72,$25,$47,$47,$47,$99,$78,$48,49,$0.96,$0.95,$154,$435,$0,$844,$386,$0,$634,$23,$1044,$1888,$227,$582,$173,$889,$1116,$0,$805,$-34,$772,$1888,$47,$20,$7,$27,$18,$82,$-74,$-15,$11,$84,$-18,$0,$-144,$0,$0,$0,$0,$-162,$1,$0,$1,$-51,$-51,$-18,$0,$-68,$-145,$5,$-18
7,2016-12-31,84.31,$16.10,5.24,$63.23,1.33,$9.19,9.17,$5.11,16.5,$1.06B,$0.28B,3.81,$0.58B,$0.79B,0.74,$3.20B,$1.38B,43.12%,$3.20B,$0.43B,13.32%,$3.20B,$0.43B,13.32%,$3.20B,$0.50B,15.70%,$3.20B,$0.40B,12.35%,$3.20B,$0.26B,8.01%,$0.26B,$0.79B,32.20%,$0.26B,$0.30B,82.91%,$0.26B,$1.95B,13.28%,$0.43B,$1.37B,30.97%,$934,$524,$410,$0,$283,$795,$139,$-7,$132,$45,$87,$87,$85,$159,$139,$50,50,$1.74,$1.73,$299,$488,$0,$1057,$386,$0,$485,$19,$890,$1947,$278,$580,$170,$881,$1158,$0,$822,$-35,$788,$1947,$258,$75,$15,$89,$5,$-17,$32,$2,$22,$369,$-88,$0,$0,$0,$0,$0,$0,$-88,$0,$0,$0,$-293,$-293,$-66,$-4,$-364,$-82,$17,$-66
8,2016-09-30,84.33,$15.64,5.39,$61.25,1.38,$7.52,11.21,$4.74,17.79,$1.05B,$0.28B,3.71,$0.58B,$0.78B,0.75,$3.13B,$1.33B,42.57%,$3.13B,$0.40B,12.87%,$3.13B,$0.40B,12.87%,$3.13B,$0.48B,15.27%,$3.13B,$0.37B,11.95%,$3.13B,$0.24B,7.76%,$0.24B,$0.78B,29.75%,$0.24B,$0.29B,73.58%,$0.24B,$1.94B,12.52%,$0.40B,$1.36B,28.85%,$901,$526,$376,$0,$255,$771,$131,$-7,$124,$43,$81,$81,$81,$149,$131,$50,50,$1.62,$1.60,$141,$553,$0,$1045,$388,$0,$486,$18,$892,$1938,$282,$581,$170,$879,$1162,$0,$808,$-32,$776,$1938,$171,$55,$10,$65,$-63,$-81,$35,$-10,$-120,$117,$-71,$0,$0,$0,$0,$0,$0,$-71,$0,$0,$0,$-241,$-241,$-50,$4,$-287,$-241,$13,$-50
9,2016-06-30,103.19,$15.27,6.76,$59.48,1.73,$7.93,13.01,$4.65,22.19,$1.02B,$0.27B,3.77,$0.58B,$0.77B,0.76,$3.08B,$1.31B,42.37%,$3.08B,$0.40B,13.05%,$3.08B,$0.40B,13.05%,$3.08B,$0.47B,15.39%,$3.08B,$0.37B,12.14%,$3.08B,$0.24B,7.82%,$0.24B,$0.77B,28.91%,$0.24B,$0.28B,69.60%,$0.24B,$1.91B,12.34%,$0.40B,$1.35B,28.45%,$639,$357,$282,$0,$228,$576,$63,$-7,$56,$20,$36,$36,$36,$82,$63,$50,51,$0.72,$0.71,$205,$587,$0,$1022,$386,$0,$487,$18,$890,$1912,$271,$581,$165,$875,$1146,$1,$797,$-31,$767,$1912,$90,$37,$10,$48,$57,$-115,$18,$-13,$-52,$86,$-50,$0,$0,$0,$0,$0,$0,$-50,$0,$0,$0,$-184,$-184,$-34,$4,$-214,$-176,$9,$-34
