,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.38,$4.92,1.7,$14.79,0.57,$4.55,1.84,$-7.86,0.0,$0.13B,$0.18B,0.73,$1.24B,$0.52B,2.39,$0.31B,$0.31B,100.00%,$0.31B,$0.02B,6.77%,$0.31B,$0.02B,6.77%,$0.31B,$0.18B,57.42%,$0.31B,$-0.13B,-43.23%,$0.31B,$-0.12B,-39.03%,$-0.12B,$0.52B,69.14%,$-0.12B,$0.17B,46.10%,$-0.12B,$2.09B,-9.97%,$0.02B,$1.76B,2.13%,$103,$0,$103,$0,$28,$60,$43,$-41,$2,$5,$-3,$-3,$-3,$82,$43,$105,105,$-0.03,$-0.03,$32,$0,$19,$131,$1594,$0,$350,$1,$1963,$2094,$180,$1243,$5,$1393,$1573,$53,$0,$14,$521,$2094,$-79,$116,$74,$190,$-42,$0,$21,$-1,$-22,$89,$-92,$0,$0,$0,$0,$0,$-8,$-100,$-25,$0,$-25,$0,$0,$0,$7,$-19,$-29,$4,$0
1,2018-06-30,10.51,$-27.21,-0.39,$18.34,0.57,$1.86,5.66,$-9.53,0.0,$0.20B,$0.19B,1.07,$1.15B,$-0.44B,-2.61,$0.27B,$0.27B,100.00%,$0.27B,$-0.01B,-4.01%,$0.27B,$-0.01B,-4.01%,$0.27B,$0.15B,54.74%,$0.27B,$-0.16B,-58.76%,$0.27B,$-0.14B,-52.19%,$-0.14B,$-0.44B,36.93%,$-0.14B,$-0.44B,36.93%,$-0.14B,$0.92B,-15.62%,$-0.01B,$0.71B,-1.50%,$61,$0,$61,$0,$20,$54,$7,$-42,$-34,$-0,$-34,$-34,$-34,$46,$7,$15,15,$-2.22,$-2.22,$158,$0,$4,$202,$699,$0,$0,$1,$719,$921,$189,$1153,$11,$1175,$1364,$8,$-1003,$0,$-442,$921,$-76,$77,$61,$138,$-1,$0,$25,$1,$25,$87,$13,$0,$-2,$0,$0,$0,$0,$11,$0,$0,$0,$0,$0,$0,$-1,$-1,$97,$3,$0
2,2018-03-31,7.31,$-25.37,-0.29,$18.50,0.4,$-6.72,0.0,$-8.76,0.0,$0.21B,$0.17B,1.25,$1.13B,$-0.41B,-2.76,$0.27B,$0.27B,100.00%,$0.27B,$-0.01B,-2.92%,$0.27B,$-0.01B,-2.92%,$0.27B,$0.15B,56.20%,$0.27B,$-0.15B,-54.01%,$0.27B,$-0.13B,-47.45%,$-0.13B,$-0.41B,36.83%,$-0.13B,$-0.41B,36.83%,$-0.13B,$0.91B,-14.28%,$-0.01B,$0.72B,-1.07%,$73,$0,$73,$0,$22,$78,$-5,$-36,$-41,$1,$-42,$-42,$-42,$33,$-5,$15,15,$-2.78,$-2.78,$51,$0,$121,$209,$682,$0,$0,$1,$702,$910,$168,$1131,$10,$1153,$1320,$8,$-969,$0,$-410,$910,$-42,$38,$39,$78,$1,$0,$-16,$0,$-14,$22,$-46,$0,$0,$0,$0,$0,$0,$-46,$15,$0,$15,$0,$0,$0,$-0,$15,$-10,$2,$0
3,2017-12-31,8.46,$-23.94,-0.35,$17.47,0.48,$-7.54,0.0,$-7.59,0.0,$0.30B,$0.17B,1.8,$1.11B,$-0.37B,-3.01,$0.26B,$0.26B,100.00%,$0.26B,$-0.00B,-0.39%,$0.26B,$-0.00B,-0.39%,$0.26B,$0.16B,62.35%,$0.26B,$-0.13B,-50.59%,$0.26B,$-0.11B,-43.53%,$-0.11B,$-0.37B,34.50%,$-0.11B,$-0.37B,34.50%,$-0.11B,$0.93B,-12.34%,$-0.00B,$0.74B,-0.13%,$73,$0,$73,$0,$23,$97,$-24,$-37,$-61,$-19,$-42,$-42,$-42,$17,$-24,$15,15,$-2.88,$-2.88,$61,$0,$203,$303,$608,$0,$0,$1,$628,$930,$168,$1111,$10,$1131,$1300,$8,$0,$-927,$-369,$930,$-111,$159,$64,$223,$-16,$0,$80,$-1,$63,$175,$-179,$0,$0,$0,$0,$0,$0,$-179,$0,$0,$0,$0,$0,$0,$-0,$-0,$-5,$6,$0
4,2017-09-30,6.08,$-21.29,-0.29,$16.54,0.37,$-11.79,0.0,$-9.21,0.0,$0.07B,$0.11B,0.58,$1.09B,$-0.33B,-3.32,$0.23B,$0.23B,100.00%,$0.23B,$0.02B,7.39%,$0.23B,$0.02B,7.39%,$0.23B,$0.18B,76.96%,$0.23B,$-0.12B,-51.74%,$0.23B,$-0.12B,-53.91%,$-0.12B,$-0.33B,41.72%,$-0.12B,$-0.33B,41.72%,$-0.12B,$0.90B,-13.94%,$0.02B,$0.76B,2.22%,$67,$0,$67,$0,$22,$56,$11,$-36,$-25,$-0,$-25,$-25,$-25,$54,$11,$15,15,$-1.67,$-1.67,$25,$0,$6,$65,$833,$0,$0,$1,$834,$900,$112,$1090,$16,$1116,$1228,$8,$-885,$0,$-328,$900,$-69,$118,$25,$143,$-12,$0,$29,$-1,$17,$91,$-131,$0,$0,$0,$0,$0,$0,$-131,$0,$0,$0,$0,$0,$0,$-0,$-0,$-41,$4,$0
5,2017-06-30,7.07,$-19.72,-0.36,$16.12,0.44,$-16.70,0.0,$-9.86,0.0,$0.08B,$0.11B,0.68,$1.07B,$-0.31B,-3.51,$0.21B,$0.14B,64.32%,$0.21B,$-0.09B,-43.66%,$0.21B,$-0.09B,-43.66%,$0.21B,$0.07B,30.99%,$0.21B,$-0.12B,-57.75%,$0.21B,$-0.13B,-59.62%,$-0.13B,$-0.31B,46.99%,$-0.13B,$-0.31B,46.99%,$-0.13B,$0.90B,-14.33%,$-0.09B,$0.77B,-11.97%,$61,$0,$61,$0,$21,$51,$10,$-31,$-21,$1,$-21,$-21,$-21,$50,$10,$15,15,$-1.45,$-1.45,$35,$0,$8,$75,$825,$0,$0,$1,$826,$902,$111,$1070,$16,$1097,$1207,$8,$-860,$0,$-305,$902,$-44,$75,$11,$86,$-10,$0,$24,$-1,$14,$56,$-86,$0,$0,$0,$0,$0,$0,$-86,$0,$0,$0,$0,$0,$0,$-0,$-0,$-31,$3,$0
6,2017-03-31,9.23,$-18.67,-0.49,$15.47,0.6,$-20.08,0.0,$-7.99,0.0,$0.06B,$0.07B,0.78,$1.05B,$-0.29B,-3.68,$0.19B,$0.12B,60.62%,$0.19B,$-0.13B,-65.28%,$0.19B,$-0.13B,-65.28%,$0.19B,$0.03B,16.06%,$0.19B,$-0.10B,-50.26%,$0.19B,$-0.10B,-52.33%,$-0.10B,$-0.29B,41.10%,$-0.10B,$-0.29B,41.10%,$-0.10B,$0.87B,-10.95%,$-0.13B,$0.77B,-15.36%,$54,$0,$54,$0,$22,$51,$2,$-25,$-22,$0,$-23,$-23,$-23,$38,$2,$14,14,$-1.61,$-1.61,$30,$0,$3,$58,$807,$0,$0,$1,$808,$866,$74,$1051,$16,$1077,$1151,$8,$-839,$0,$-285,$866,$-23,$35,$4,$39,$-2,$0,$-11,$0,$-13,$3,$-38,$0,$0,$0,$0,$0,$0,$-38,$0,$0,$0,$0,$0,$0,$-0,$-0,$-35,$1,$0
7,2016-12-31,9.85,$-19.46,-0.51,$15.42,0.64,$-22.09,0.0,$-12.08,0.0,$0.09B,$0.09B,0.98,$1.05B,$-0.27B,-3.85,$0.18B,$0.09B,52.27%,$0.18B,$-0.18B,-104.55%,$0.18B,$-0.18B,-104.55%,$0.18B,$-0.02B,-13.07%,$0.18B,$-0.13B,-72.16%,$0.18B,$-0.14B,-76.70%,$-0.14B,$-0.27B,58.82%,$-0.14B,$-0.27B,58.82%,$-0.14B,$0.89B,-13.82%,$-0.18B,$0.77B,-20.99%,$48,$0,$48,$0,$22,$54,$-6,$-46,$-51,$3,$-55,$-55,$-55,$35,$-6,$12,12,$-3.90,$-3.90,$66,$0,$2,$90,$799,$0,$0,$1,$800,$890,$92,$1045,$16,$1069,$1161,$7,$-816,$0,$-271,$890,$-135,$159,$-32,$127,$-4,$0,$-12,$0,$-16,$-24,$-30,$0,$0,$0,$0,$0,$0,$-30,$-3,$0,$-3,$0,$0,$0,$-11,$-15,$-68,$5,$0
8,2016-09-30,7.64,$-16.44,-0.46,$16.46,0.46,$-31.82,0.0,$-38.85,0.0,$0.08B,$0.06B,1.32,$1.03B,$-0.22B,-4.66,$0.18B,$0.09B,52.00%,$0.18B,$-0.47B,-268.00%,$0.18B,$-0.47B,-268.00%,$0.18B,$-0.29B,-164.57%,$0.18B,$-0.37B,-213.71%,$0.18B,$-0.37B,-210.86%,$-0.37B,$-0.22B,180.44%,$-0.37B,$-0.22B,180.44%,$-0.37B,$0.89B,-35.03%,$-0.47B,$0.81B,-49.23%,$50,$76,$-26,$0,$22,$149,$-99,$69,$-29,$-1,$-28,$-28,$-28,$-57,$-99,$12,12,$-2.32,$-2.32,$27,$0,$31,$77,$808,$0,$0,$1,$809,$886,$58,$1026,$16,$1047,$1106,$7,$-761,$0,$-220,$886,$-80,$119,$-56,$63,$0,$0,$-37,$0,$-37,$-55,$-39,$0,$0,$0,$0,$0,$0,$-39,$-3,$0,$-3,$0,$0,$0,$-10,$-14,$-107,$4,$0
9,2016-06-30,4.2,$-82.87,-0.05,$19.02,0.22,$-35.75,0.0,$-95.58,0.0,$0.13B,$0.09B,1.51,$1.15B,$-0.21B,-5.53,$0.19B,$0.17B,93.01%,$0.19B,$-0.97B,-519.35%,$0.19B,$-0.97B,-519.35%,$0.19B,$-0.75B,-401.08%,$0.19B,$-0.92B,-495.16%,$0.19B,$-0.89B,-476.34%,$-0.89B,$-0.21B,733.75%,$-0.89B,$-0.21B,733.75%,$-0.89B,$1.05B,-72.95%,$-0.97B,$0.94B,-87.44%,$41,$0,$41,$0,$24,$63,$-23,$28,$5,$0,$5,$5,$5,$15,$-23,$12,12,$0.41,$0.41,$67,$0,$45,$131,$915,$0,$0,$1,$916,$1047,$87,$1145,$16,$1168,$1254,$6,$-732,$0,$-207,$1047,$-52,$77,$-48,$29,$0,$0,$-9,$-0,$-9,$-31,$-32,$0,$0,$0,$0,$0,$0,$-32,$-3,$0,$-3,$0,$0,$0,$-0,$-4,$-67,$2,$0
