,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,121.8,$45.41,2.68,$76.59,1.59,$3.52,34.62,$10.25,11.88,$2.20B,$0.67B,3.27,$1.59B,$2.71B,0.59,$4.73B,$1.25B,26.33%,$4.73B,$0.53B,11.20%,$4.73B,$0.53B,11.20%,$4.73B,$0.72B,15.26%,$4.73B,$0.47B,9.87%,$4.73B,$0.64B,13.50%,$0.64B,$2.71B,24.05%,$0.64B,$0.27B,363.07%,$0.64B,$5.43B,11.80%,$0.53B,$4.29B,12.49%,$1181,$867,$314,$12,$165,$1041,$140,$-18,$122,$25,$97,$97,$100,$186,$140,$60,60,$1.66,$1.64,$781,$489,$57,$2201,$763,$0,$2437,$31,$3231,$5432,$673,$1587,$269,$2054,$2727,$79,$3287,$-111,$2706,$5432,$523,$143,$-249,$-105,$-207,$-62,$13,$7,$-315,$103,$-96,$0,$-20,$0,$0,$0,$769,$654,$0,$0,$0,$-273,$-273,$-70,$-10,$-353,$402,$18,$-70
1,2018-06-30,107.97,$44.67,2.42,$72.97,1.48,$6.50,16.62,$9.98,10.82,$2.17B,$0.70B,3.1,$1.59B,$2.67B,0.59,$4.55B,$1.22B,26.73%,$4.55B,$0.53B,11.53%,$4.55B,$0.53B,11.53%,$4.55B,$0.71B,15.64%,$4.55B,$0.47B,10.30%,$4.55B,$0.63B,13.73%,$0.63B,$2.67B,24.14%,$0.63B,$0.21B,390.63%,$0.63B,$5.43B,12.17%,$0.53B,$4.26B,13.21%,$1236,$904,$332,$14,$160,$1076,$160,$-14,$146,$32,$115,$115,$114,$206,$160,$61,61,$1.86,$1.85,$762,$491,$54,$2169,$753,$0,$2467,$39,$3259,$5428,$700,$1587,$276,$2056,$2756,$79,$3212,$-103,$2672,$5428,$423,$97,$-243,$-146,$-195,$-60,$66,$9,$-271,$-3,$-67,$0,$-19,$0,$0,$0,$760,$674,$0,$0,$0,$-231,$-231,$-46,$-10,$-286,$384,$13,$-46
2,2018-03-31,103.72,$44.78,2.32,$68.06,1.52,$8.71,11.91,$9.71,10.68,$2.22B,$0.71B,3.14,$1.59B,$2.72B,0.58,$4.30B,$1.17B,27.25%,$4.30B,$0.51B,11.88%,$4.30B,$0.51B,11.88%,$4.30B,$0.69B,16.11%,$4.30B,$0.46B,10.76%,$4.30B,$0.61B,14.25%,$0.61B,$2.72B,24.14%,$0.61B,$0.22B,339.61%,$0.61B,$5.50B,12.67%,$0.51B,$4.31B,13.79%,$985,$735,$249,$14,$149,$890,$95,$-16,$78,$20,$58,$58,$310,$146,$95,$62,62,$4.98,$4.94,$979,$490,$49,$2218,$746,$0,$2502,$38,$3286,$5504,$706,$1586,$300,$2077,$2783,$79,$3120,$-69,$2721,$5504,$310,$51,$-243,$-192,$-27,$-56,$27,$15,$-81,$33,$-43,$0,$-1,$0,$0,$0,$758,$715,$0,$0,$0,$-120,$-120,$-23,$-5,$-148,$601,$7,$-23
3,2017-12-31,112.51,$40.88,2.75,$64.16,1.75,$8.88,12.67,$5.71,19.7,$1.65B,$0.66B,2.5,$1.59B,$2.53B,0.63,$4.09B,$1.15B,28.09%,$4.09B,$0.51B,12.35%,$4.09B,$0.51B,12.35%,$4.09B,$0.68B,16.50%,$4.09B,$0.47B,11.47%,$4.09B,$0.37B,8.92%,$0.37B,$2.53B,14.67%,$0.37B,$0.01B,176.97%,$0.37B,$5.30B,8.15%,$0.51B,$4.12B,14.82%,$1330,$979,$351,$17,$200,$1195,$135,$-15,$121,$-13,$134,$134,$115,$184,$135,$63,64,$1.83,$1.82,$378,$449,$74,$1645,$731,$0,$2517,$35,$3655,$5300,$659,$1586,$289,$2113,$2772,$79,$2821,$-86,$2528,$5300,$366,$169,$-45,$124,$-54,$-49,$43,$-5,$-45,$459,$-160,$0,$-934,$0,$0,$0,$-0,$-1094,$997,$0,$997,$-270,$-270,$-92,$-8,$627,$-6,$13,$-92
4,2017-09-30,98.94,$39.45,2.51,$57.01,1.74,$10.69,9.26,$5.05,19.59,$1.36B,$0.64B,2.14,$0.78B,$2.44B,0.32,$3.65B,$1.07B,29.15%,$3.65B,$0.48B,13.19%,$3.65B,$0.48B,13.19%,$3.65B,$0.64B,17.49%,$3.65B,$0.46B,12.51%,$3.65B,$0.33B,8.92%,$0.33B,$2.44B,13.18%,$0.33B,$0.21B,98.19%,$0.33B,$4.32B,7.86%,$0.48B,$3.22B,15.33%,$1002,$718,$285,$12,$138,$868,$135,$-11,$124,$45,$79,$79,$86,$176,$135,$62,63,$1.38,$1.37,$148,$455,$43,$1362,$699,$0,$2231,$26,$2956,$4318,$636,$782,$282,$1246,$1882,$79,$2729,$-77,$2436,$4318,$250,$121,$9,$130,$-155,$-46,$61,$13,$-87,$300,$-106,$0,$-280,$0,$0,$0,$0,$-386,$0,$185,$185,$-262,$-262,$-69,$-8,$-155,$-239,$12,$-69
5,2017-06-30,93.76,$39.27,2.39,$56.45,1.66,$11.92,7.87,$3.53,26.56,$1.34B,$0.60B,2.22,$0.71B,$2.47B,0.29,$3.64B,$1.10B,30.31%,$3.64B,$0.53B,14.42%,$3.64B,$0.53B,14.42%,$3.64B,$0.68B,18.56%,$3.64B,$0.36B,9.94%,$3.64B,$0.23B,6.32%,$0.23B,$2.47B,9.29%,$0.23B,$0.29B,55.66%,$0.23B,$4.23B,5.67%,$0.53B,$3.18B,16.94%,$984,$697,$287,$13,$127,$838,$146,$-7,$140,$45,$95,$95,$102,$187,$146,$64,64,$1.59,$1.58,$140,$436,$42,$1336,$683,$0,$2186,$24,$2893,$4229,$602,$707,$271,$1155,$1756,$79,$2666,$-91,$2473,$4229,$164,$79,$6,$85,$-168,$-39,$72,$19,$-122,$135,$-66,$0,$-226,$0,$0,$0,$0,$-292,$0,$110,$110,$-147,$-147,$-46,$-8,$-90,$-249,$7,$-46
6,2017-03-31,104.22,$39.12,2.66,$56.42,1.85,$12.91,8.07,$3.70,28.17,$1.19B,$0.51B,2.34,$0.60B,$2.52B,0.24,$3.66B,$1.14B,31.14%,$3.66B,$0.56B,15.27%,$3.66B,$0.56B,15.27%,$3.66B,$0.70B,19.21%,$3.66B,$0.39B,10.75%,$3.66B,$0.24B,6.65%,$0.24B,$2.52B,9.80%,$0.24B,$0.32B,54.03%,$0.24B,$4.07B,6.01%,$0.56B,$3.12B,18.14%,$774,$548,$226,$12,$125,$685,$90,$-5,$84,$26,$58,$58,$62,$128,$90,$64,65,$0.95,$0.94,$134,$428,$44,$1191,$661,$0,$2196,$23,$2880,$4071,$508,$597,$273,$1044,$1553,$79,$2587,$-111,$2518,$4071,$62,$39,$3,$42,$-34,$-34,$31,$11,$-73,$32,$-30,$0,$-226,$0,$0,$0,$0,$-256,$0,$0,$0,$2,$2,$-23,$-7,$-28,$-256,$3,$-23
7,2016-12-31,107.66,$38.39,2.8,$56.72,1.9,$14.28,7.54,$3.81,28.26,$1.36B,$0.51B,2.64,$0.60B,$2.47B,0.24,$3.68B,$1.16B,31.48%,$3.68B,$0.58B,15.78%,$3.68B,$0.58B,15.78%,$3.68B,$0.72B,19.54%,$3.68B,$0.41B,11.18%,$3.68B,$0.25B,6.80%,$0.25B,$2.47B,10.21%,$0.25B,$0.51B,54.41%,$0.25B,$3.97B,6.20%,$0.58B,$3.06B,19.06%,$894,$626,$267,$13,$141,$781,$112,$-4,$109,$32,$77,$77,$76,$148,$112,$64,65,$1.17,$1.17,$385,$377,$57,$1355,$632,$0,$1953,$25,$2611,$3966,$514,$596,$217,$985,$1499,$79,$2547,$-122,$2467,$3966,$250,$138,$114,$252,$0,$-12,$22,$3,$35,$531,$-109,$0,$-186,$0,$0,$0,$1,$-293,$-150,$0,$-150,$-27,$-27,$-85,$0,$-261,$-25,$-3,$-85
8,2016-09-30,99.82,$38.05,2.62,$56.26,1.77,$14.71,6.78,$3.89,25.66,$1.40B,$0.52B,2.67,$0.60B,$2.45B,0.24,$3.66B,$1.14B,31.25%,$3.66B,$0.60B,16.27%,$3.66B,$0.60B,16.27%,$3.66B,$0.73B,19.98%,$3.66B,$0.42B,11.45%,$3.66B,$0.26B,7.00%,$0.26B,$2.45B,10.59%,$0.26B,$0.53B,62.10%,$0.26B,$3.96B,6.36%,$0.60B,$3.04B,19.74%,$991,$667,$324,$12,$136,$813,$178,$-149,$29,$38,$-10,$-10,$-10,$213,$178,$64,64,$-0.15,$-0.15,$355,$386,$0,$1400,$624,$0,$1917,$23,$2564,$3963,$524,$596,$229,$993,$1516,$79,$2494,$-92,$2447,$3963,$174,$102,$138,$240,$-94,$-21,$43,$8,$-38,$355,$-77,$0,$-103,$0,$0,$0,$1,$-180,$-150,$0,$-150,$-15,$-15,$-62,$-5,$-232,$-55,$-3,$-62
9,2016-06-30,102.51,$38.67,2.65,$55.61,1.84,$15.01,6.83,$5.60,18.3,$1.46B,$0.67B,2.17,$0.60B,$2.49B,0.24,$3.64B,$1.12B,30.63%,$3.64B,$0.58B,15.91%,$3.64B,$0.58B,15.91%,$3.64B,$0.71B,19.59%,$3.64B,$0.54B,14.92%,$3.64B,$0.37B,10.16%,$0.37B,$2.49B,15.43%,$0.37B,$0.43B,102.78%,$0.37B,$4.17B,9.12%,$0.58B,$3.09B,19.34%,$997,$676,$321,$12,$132,$818,$179,$-8,$171,$55,$115,$115,$115,$213,$179,$64,65,$1.78,$1.75,$398,$386,$0,$1462,$626,$0,$2058,$26,$2710,$4172,$673,$596,$249,$1008,$1682,$79,$2527,$-91,$2490,$4172,$184,$67,$-5,$62,$-120,$-19,$61,$4,$-65,$180,$-46,$0,$-103,$0,$0,$0,$0,$-149,$0,$0,$0,$-1,$-1,$-39,$-5,$-45,$-13,$-5,$-39
