,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2015-12-31,46.33,$25.82,1.79,$4.36,10.63,$0.92,50.28,$1.08,42.9,$6.27B,$5.20B,1.21,$2.83B,$9.83B,0.29,$1.68B,$1.21B,72.01%,$1.68B,$0.06B,3.51%,$1.68B,$0.06B,3.51%,$1.68B,$0.07B,4.10%,$1.68B,$0.46B,27.57%,$1.68B,$0.39B,22.99%,$0.39B,$9.83B,10.05%,$0.39B,$1.06B,31.74%,$0.39B,$18.35B,4.01%,$0.06B,$12.67B,0.95%,$1362,$290,$1072,$363,$494,$1147,$215,$-363,$-148,$37,$-185,$-160,$-165,$-19,$215,$550,550,$-0.30,$-0.30,$4591,$0,$148,$6268,$858,$2216,$8769,$0,$12078,$18346,$5197,$2833,$14,$3318,$8515,$1,$1266,$86,$9831,$18346,$370,$49,$-210,$-162,$-155,$0,$324,$49,$262,$471,$-99,$-3,$413,$-223,$-653,$-877,$-117,$-683,$0,$2374,$2374,$-46,$66,$0,$-89,$2352,$2148,$99,$0
1,2015-09-30,31.59,$0.00,0.0,$4.58,6.9,$-1.69,0.0,$0.92,34.34,$4.05B,$2.97B,1.36,$2.65B,$2.03B,1.31,$1.65B,$1.19B,72.20%,$1.65B,$0.04B,2.67%,$1.65B,$0.04B,2.67%,$1.65B,$0.04B,2.67%,$1.65B,$0.38B,23.14%,$1.65B,$0.35B,21.02%,$0.35B,$2.03B,19.14%,$0.35B,$1.42B,27.45%,$0.35B,$7.75B,5.48%,$0.04B,$4.68B,1.16%,$1106,$222,$884,$340,$434,$996,$110,$334,$444,$49,$395,$363,$360,$64,$110,$547,643,$0.66,$0.59,$2715,$0,$0,$4052,$836,$2090,$608,$0,$3698,$7749,$2970,$2650,$0,$2752,$5722,$0,$1284,$123,$2027,$7749,$370,$39,$-258,$-219,$-216,$0,$295,$-231,$-118,$32,$-78,$-3,$-374,$-124,$-450,$-575,$-38,$-1067,$0,$348,$348,$-24,$1276,$0,$-20,$1604,$574,$70,$0
2,2015-06-30,36.31,$0.00,0.0,$5.06,7.17,$-1.63,0.0,$-0.02,0.0,$4.31B,$2.85B,1.51,$2.65B,$1.84B,1.44,$1.52B,$1.10B,72.20%,$1.52B,$0.02B,1.05%,$1.52B,$0.02B,1.05%,$1.52B,$0.02B,1.05%,$1.52B,$-0.03B,-1.78%,$1.52B,$0.00B,0.13%,$0.00B,$1.84B,0.12%,$0.00B,$1.26B,0.16%,$0.00B,$7.38B,0.04%,$0.02B,$4.49B,0.48%,$1073,$198,$875,$344,$436,$978,$95,$89,$184,$29,$155,$167,$170,$32,$95,$548,607,$0.31,$0.29,$3305,$0,$564,$4306,$0,$1380,$581,$248,$2209,$7378,$2853,$2650,$0,$2684,$5537,$1,$926,$0,$1841,$7378,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2015-03-31,29.31,$0.00,0.0,$4.65,6.31,$-1.63,0.0,$-0.03,0.0,$2.71B,$2.11B,1.28,$1.30B,$1.71B,0.76,$1.38B,$1.00B,72.41%,$1.38B,$0.01B,1.01%,$1.38B,$0.01B,1.01%,$1.38B,$0.01B,1.01%,$1.38B,$-0.03B,-2.03%,$1.38B,$0.00B,0.07%,$0.00B,$1.71B,0.06%,$0.00B,$1.14B,0.08%,$0.00B,$5.15B,0.02%,$0.01B,$3.01B,0.50%,$1098,$185,$914,$355,$468,$1008,$90,$54,$144,$50,$94,$79,$84,$-8,$90,$530,574,$0.17,$0.16,$1939,$0,$415,$2710,$0,$839,$574,$944,$2358,$5153,$2112,$1300,$0,$1333,$3444,$1,$903,$0,$1709,$5153,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2014-12-31,22.75,$0.00,0.0,$4.11,5.54,$-1.63,0.0,$0.11,206.82,$2.75B,$2.05B,1.34,$1.30B,$1.67B,0.78,$1.26B,$0.92B,73.07%,$1.26B,$0.05B,4.05%,$1.26B,$0.05B,4.05%,$1.26B,$0.05B,4.05%,$1.26B,$0.02B,1.67%,$1.26B,$0.04B,3.18%,$0.04B,$1.67B,2.60%,$0.04B,$1.24B,3.26%,$0.04B,$5.04B,0.95%,$0.05B,$2.97B,1.92%,$1187,$196,$991,$328,$459,$983,$204,$28,$232,$47,$185,$190,$185,$-44,$204,$543,577,$0.34,$0.32,$2027,$0,$431,$2752,$0,$907,$430,$113,$1449,$5043,$2049,$1300,$0,$1321,$3371,$0,$923,$0,$1673,$5043,$15,$29,$0,$29,$0,$0,$0,$0,$229,$316,$-772,$0,$-15,$0,$0,$-786,$63,$-1510,$0,$869,$0,$0,$-12,$0,$17,$874,$-296,$0,$0
5,2014-09-30,28.38,$0.00,0.0,$3.75,7.57,$0.95,29.98,$0.38,74.68,$2.64B,$1.67B,1.58,$1.30B,$1.62B,0.8,$1.19B,$0.87B,73.67%,$1.19B,$0.13B,11.05%,$1.19B,$0.13B,11.05%,$1.19B,$0.13B,11.05%,$1.19B,$0.13B,10.55%,$1.19B,$0.12B,10.04%,$0.12B,$1.62B,8.04%,$0.12B,$1.36B,9.78%,$0.12B,$4.61B,3.11%,$0.13B,$2.92B,5.23%,$946,$166,$781,$300,$385,$851,$95,$39,$134,$78,$56,$52,$48,$36,$95,$526,555,$0.09,$0.09,$1795,$0,$515,$2638,$0,$826,$262,$312,$1400,$4605,$1671,$1300,$0,$1312,$2982,$1,$972,$0,$1623,$4605,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2014-06-30,32.02,$0.00,0.0,$3.46,9.25,$0.95,33.83,$0.47,68.13,$2.37B,$1.43B,1.65,$0.94B,$1.45B,0.64,$1.09B,$0.81B,74.38%,$1.09B,$0.16B,14.75%,$1.09B,$0.16B,14.75%,$1.09B,$0.16B,14.75%,$1.09B,$0.16B,14.56%,$1.09B,$0.15B,13.36%,$0.15B,$1.45B,10.36%,$0.15B,$1.18B,12.67%,$0.15B,$3.83B,4.42%,$0.16B,$2.39B,7.46%,$884,$173,$711,$285,$366,$824,$60,$-32,$28,$22,$7,$11,$12,$30,$60,$520,548,$0.02,$0.02,$1736,$0,$310,$2368,$0,$488,$276,$362,$1126,$3832,$1433,$935,$0,$946,$2379,$0,$927,$0,$1453,$3832,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
7,2014-03-31,25.21,$0.00,0.0,$3.26,7.73,$0.95,26.63,$0.52,48.48,$2.36B,$1.09B,2.16,$0.94B,$1.40B,0.67,$1.01B,$0.76B,75.07%,$1.01B,$0.17B,17.28%,$1.01B,$0.17B,17.28%,$1.01B,$0.17B,17.28%,$1.01B,$0.18B,17.68%,$1.01B,$0.16B,15.59%,$0.16B,$1.40B,11.77%,$0.16B,$1.13B,14.31%,$0.16B,$3.44B,5.47%,$0.17B,$2.34B,9.20%,$836,$185,$650,$277,$307,$768,$67,$-18,$49,$33,$16,$6,$4,$29,$67,$473,507,$0.01,$0.01,$1857,$0,$252,$2363,$0,$441,$276,$119,$835,$3441,$1093,$935,$0,$946,$2039,$0,$903,$0,$1402,$3441,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2013-12-31,24.81,$0.00,0.0,$3.09,8.03,$0.95,26.21,$0.55,45.11,$2.37B,$1.05B,2.26,$0.94B,$1.44B,0.65,$0.93B,$0.71B,75.56%,$0.93B,$0.18B,19.51%,$0.93B,$0.18B,19.51%,$0.93B,$0.18B,19.51%,$0.93B,$0.19B,20.36%,$0.93B,$0.16B,17.47%,$0.16B,$1.44B,12.90%,$0.16B,$1.21B,15.60%,$0.16B,$3.44B,6.50%,$0.18B,$2.38B,11.15%,$664,$186,$478,$259,$278,$723,$-60,$-6,$-66,$8,$-74,$-89,$-78,$36,$-60,$462,462,$-0.17,$-0.17,$1902,$0,$220,$2373,$0,$472,$237,$123,$832,$3439,$1052,$935,$0,$945,$1997,$1,$908,$0,$1442,$3439,$150,$20,$0,$20,$0,$0,$0,$0,$177,$405,$-108,$0,$-20,$0,$0,$-367,$-181,$-675,$0,$833,$0,$0,$52,$0,$-6,$878,$614,$0,$0
9,2013-09-30,29.18,$0.00,0.0,$2.94,9.92,$0.62,46.75,$0.52,56.12,$1.67B,$0.92B,1.82,$0.18B,$1.30B,0.14,$0.87B,$0.66B,76.04%,$0.87B,$0.17B,19.70%,$0.87B,$0.17B,19.70%,$0.87B,$0.17B,19.70%,$0.87B,$0.18B,20.62%,$0.87B,$0.15B,17.40%,$0.15B,$1.30B,12.94%,$0.15B,$1.07B,15.77%,$0.15B,$2.41B,7.13%,$0.17B,$1.48B,12.69%,$648,$176,$472,$372,$383,$931,$-283,$54,$-229,$15,$-244,$-260,$-245,$65,$-283,$453,453,$-0.54,$-0.54,$1099,$0,$314,$1666,$0,$250,$231,$37,$517,$2407,$915,$180,$0,$190,$1105,$0,$858,$0,$1301,$2407,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
