,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,77.15,$18.93,4.08,$26.94,2.86,$8.27,9.33,$2.45,31.49,$8.73B,$2.69B,3.24,$0.62B,$10.98B,0.06,$15.82B,$6.17B,38.97%,$15.82B,$2.77B,17.47%,$15.82B,$2.77B,17.47%,$15.82B,$3.25B,20.56%,$15.82B,$2.70B,17.03%,$15.82B,$1.44B,9.07%,$1.44B,$10.98B,13.26%,$1.44B,$6.92B,20.67%,$1.44B,$15.27B,9.51%,$2.77B,$11.60B,24.08%,$4078,$2480,$1598,$0,$734,$3333,$745,$-83,$662,$185,$477,$477,$477,$872,$745,$579,580,$0.82,$0.82,$4763,$0,$777,$8727,$1362,$93,$4058,$643,$6547,$15274,$2693,$624,$750,$1603,$4296,$6,$11041,$-188,$10978,$15274,$1453,$367,$250,$617,$-313,$0,$-5,$-58,$-376,$1890,$-281,$0,$-479,$-477,$160,$-317,$0,$-1077,$-89,$-75,$-164,$-852,$-852,$-352,$0,$-1368,$-586,$199,$-352
1,2018-06-30,78.78,$18.36,4.29,$26.27,3.0,$7.81,10.09,$2.47,31.89,$8.30B,$2.54B,3.27,$0.65B,$10.65B,0.06,$15.51B,$6.00B,38.66%,$15.51B,$2.67B,17.20%,$15.51B,$2.67B,17.20%,$15.51B,$3.14B,20.27%,$15.51B,$2.69B,17.35%,$15.51B,$1.45B,9.37%,$1.45B,$10.65B,13.43%,$1.45B,$6.55B,20.56%,$1.45B,$14.81B,9.74%,$2.67B,$11.30B,23.19%,$4006,$2417,$1589,$0,$805,$3336,$670,$-47,$623,$168,$455,$456,$456,$793,$670,$585,586,$0.78,$0.78,$4247,$0,$852,$8303,$1345,$80,$4096,$615,$6503,$14806,$2537,$649,$750,$1621,$4158,$6,$10681,$-94,$10648,$14806,$976,$240,$185,$425,$-330,$0,$-3,$-140,$-473,$1028,$-187,$0,$-478,$-246,$100,$-146,$0,$-811,$-64,$-75,$-139,$-847,$-847,$-236,$0,$-1222,$-1024,$130,$-236
2,2018-03-31,80.07,$18.75,4.27,$25.65,3.12,$7.51,10.66,$2.49,32.16,$8.99B,$2.47B,3.64,$0.67B,$10.99B,0.06,$15.18B,$5.82B,38.33%,$15.18B,$2.60B,17.16%,$15.18B,$2.60B,17.16%,$15.18B,$3.06B,20.16%,$15.18B,$2.70B,17.81%,$15.18B,$1.47B,9.67%,$1.47B,$10.99B,13.61%,$1.47B,$7.32B,20.42%,$1.47B,$15.05B,9.98%,$2.60B,$11.66B,22.66%,$3912,$2401,$1511,$0,$711,$3219,$693,$4,$697,$177,$520,$520,$520,$810,$693,$587,589,$0.89,$0.88,$4989,$0,$856,$8990,$1333,$83,$3668,$577,$6055,$15045,$2469,$673,$732,$1588,$4057,$6,$10856,$63,$10988,$15045,$520,$117,$63,$180,$-273,$0,$86,$-148,$-335,$388,$-96,$0,$-1,$8,$-138,$-130,$0,$-227,$-39,$-75,$-114,$-256,$-256,$-118,$0,$-488,$-326,$59,$-118
3,2017-12-31,70.47,$18.14,3.88,$24.85,2.84,$7.36,9.57,$2.53,27.85,$9.11B,$2.84B,3.21,$0.70B,$10.67B,0.07,$14.81B,$5.66B,38.20%,$14.81B,$2.48B,16.75%,$14.81B,$2.48B,16.75%,$14.81B,$2.92B,19.74%,$14.81B,$2.66B,17.93%,$14.81B,$1.50B,10.16%,$1.50B,$10.67B,14.29%,$1.50B,$6.98B,21.56%,$1.50B,$15.22B,10.49%,$2.48B,$11.37B,22.03%,$3828,$2360,$1468,$0,$700,$3171,$657,$56,$713,$732,$-19,$-18,$-18,$779,$657,$593,595,$-0.02,$-0.03,$5056,$0,$833,$9111,$1324,$235,$3685,$448,$6110,$15221,$2839,$698,$765,$1713,$4552,$6,$10544,$70,$10669,$15221,$1504,$443,$360,$803,$-249,$0,$16,$419,$186,$2407,$-284,$0,$-216,$-366,$284,$-82,$0,$-582,$-95,$75,$-20,$-1700,$-1700,$-265,$0,$-1985,$-109,$221,$-265
4,2017-09-30,71.83,$18.61,3.86,$24.09,2.98,$6.00,11.97,$3.24,22.17,$8.56B,$2.60B,3.29,$0.72B,$10.98B,0.07,$14.44B,$5.57B,38.59%,$14.44B,$2.39B,16.51%,$14.44B,$2.39B,16.51%,$14.44B,$2.81B,19.43%,$14.44B,$2.50B,17.32%,$14.44B,$1.94B,13.42%,$1.94B,$10.98B,18.38%,$1.94B,$7.41B,27.54%,$1.94B,$14.58B,13.74%,$2.39B,$11.70B,21.10%,$3766,$2337,$1429,$0,$674,$3118,$648,$10,$658,$164,$494,$495,$495,$762,$648,$590,592,$0.84,$0.84,$4713,$0,$552,$8557,$1304,$262,$3565,$428,$6023,$14580,$2600,$723,$159,$1001,$3601,$6,$10721,$44,$10979,$14580,$1522,$321,$127,$448,$-284,$0,$-5,$-61,$-350,$1571,$-204,$0,$-72,$-335,$189,$-146,$0,$-422,$-62,$0,$-62,$-1411,$-1411,$-179,$0,$-1652,$-457,$161,$-179
5,2017-06-30,65.61,$17.77,3.69,$23.40,2.8,$5.05,12.99,$3.13,20.96,$8.10B,$2.42B,3.35,$0.75B,$10.48B,0.07,$14.13B,$5.52B,39.07%,$14.13B,$2.32B,16.42%,$14.13B,$2.32B,16.42%,$14.13B,$2.73B,19.28%,$14.13B,$2.46B,17.39%,$14.13B,$1.89B,13.35%,$1.89B,$10.48B,18.19%,$1.89B,$7.01B,27.34%,$1.89B,$13.94B,13.59%,$2.32B,$11.23B,20.80%,$3670,$2261,$1409,$0,$709,$3064,$606,$29,$635,$165,$470,$470,$470,$709,$606,$589,591,$0.80,$0.80,$4378,$0,$632,$8099,$1284,$198,$3470,$430,$5839,$13938,$2415,$747,$155,$1040,$3455,$6,$10316,$33,$10483,$13938,$1027,$207,$134,$341,$-103,$0,$2,$-406,$-507,$798,$-126,$0,$-6,$-480,$314,$-166,$0,$-298,$-42,$150,$108,$-1440,$-1440,$-89,$0,$-1421,$-877,$109,$-89
6,2017-03-31,58.68,$16.95,3.46,$22.72,2.58,$4.40,13.33,$2.74,21.42,$7.84B,$2.59B,3.03,$0.77B,$9.98B,0.08,$13.83B,$5.44B,39.36%,$13.83B,$2.31B,16.67%,$13.83B,$2.31B,16.67%,$13.83B,$2.70B,19.52%,$13.83B,$2.42B,17.48%,$13.83B,$1.67B,12.07%,$1.67B,$9.98B,16.34%,$1.67B,$6.50B,24.69%,$1.67B,$13.63B,12.19%,$2.31B,$10.76B,20.91%,$3546,$2194,$1352,$0,$686,$2976,$570,$79,$649,$92,$557,$557,$557,$674,$570,$605,607,$0.92,$0.92,$4274,$0,$529,$7842,$1306,$110,$3486,$427,$5787,$13629,$2585,$772,$155,$1061,$3646,$6,$9935,$-17,$9983,$13629,$557,$104,$72,$176,$-86,$0,$13,$-328,$-401,$277,$-66,$0,$-6,$-90,$253,$163,$0,$91,$-21,$350,$329,$-1453,$-1453,$0,$0,$-1124,$-726,$54,$0
7,2016-12-31,55.24,$17.64,3.13,$22.11,2.5,$4.07,13.58,$2.54,21.75,$8.60B,$2.42B,3.56,$0.80B,$10.73B,0.07,$13.49B,$5.38B,39.88%,$13.49B,$2.29B,16.97%,$13.49B,$2.29B,16.97%,$13.49B,$2.67B,19.78%,$13.49B,$2.36B,17.48%,$13.49B,$1.55B,11.51%,$1.55B,$10.73B,15.34%,$1.55B,$7.22B,23.15%,$1.55B,$14.26B,11.53%,$2.29B,$11.53B,20.90%,$3462,$2078,$1384,$0,$730,$2901,$561,$-1,$560,$144,$416,$416,$416,$662,$561,$607,610,$0.68,$0.69,$5169,$0,$526,$8600,$1311,$62,$3505,$359,$5662,$14262,$2418,$797,$162,$1116,$3534,$6,$10478,$-114,$10728,$14262,$1553,$379,$138,$517,$-330,$0,$6,$-147,$-471,$1645,$-300,$0,$-334,$-80,$-249,$-329,$0,$-963,$-57,$-350,$-407,$-336,$-336,$0,$0,$-743,$-91,$217,$0
8,2016-09-30,47.04,$16.97,2.77,$21.71,2.17,$4.99,9.43,$2.55,18.45,$8.20B,$2.30B,3.56,$0.82B,$10.29B,0.08,$13.26B,$5.29B,39.93%,$13.26B,$2.28B,17.20%,$13.26B,$2.28B,17.20%,$13.26B,$2.65B,19.97%,$13.26B,$2.36B,17.79%,$13.26B,$1.56B,11.77%,$1.56B,$10.29B,15.99%,$1.56B,$6.87B,24.38%,$1.56B,$13.72B,11.86%,$2.28B,$11.11B,21.50%,$3453,$2077,$1376,$0,$701,$2870,$583,$30,$613,$170,$443,$444,$444,$680,$583,$606,609,$0.73,$0.73,$4859,$0,$426,$8200,$1323,$61,$3419,$329,$5517,$13717,$2301,$822,$140,$1124,$3424,$6,$10063,$-56,$10292,$13717,$1137,$278,$130,$408,$-261,$0,$12,$-265,$-514,$1041,$-213,$0,$-185,$-104,$-371,$-475,$0,$-873,$-41,$-350,$-391,$-357,$-357,$0,$0,$-748,$-575,$165,$0
9,2016-06-30,56.43,$16.24,3.47,$21.24,2.66,$5.69,9.92,$2.47,22.85,$7.76B,$2.12B,3.66,$0.84B,$9.86B,0.09,$12.99B,$5.17B,39.79%,$12.99B,$2.24B,17.25%,$12.99B,$2.24B,17.25%,$12.99B,$2.59B,19.95%,$12.99B,$2.29B,17.62%,$12.99B,$1.51B,11.65%,$1.51B,$9.86B,16.11%,$1.51B,$6.44B,24.94%,$1.51B,$13.14B,11.83%,$2.24B,$10.70B,21.83%,$3370,$2038,$1332,$0,$654,$2779,$591,$4,$595,$343,$252,$252,$252,$684,$591,$606,609,$0.42,$0.41,$4481,$0,$399,$7759,$1287,$60,$3419,$286,$5381,$13140,$2120,$840,$139,$1157,$3277,$6,$9619,$-96,$9863,$13140,$693,$181,$146,$327,$-187,$0,$6,$-411,$-592,$438,$-139,$0,$-151,$36,$-6,$30,$0,$-260,$-27,$-350,$-377,$-244,$-244,$0,$0,$-621,$-441,$116,$0
