,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,12.9,$0.63,20.33,$0.71,18.18,$-0.83,0.0,$-0.41,0.0,$0.03B,$0.00B,7.03,$0.01B,$0.02B,0.49,$0.02B,$0.01B,63.64%,$0.02B,$-0.01B,-63.64%,$0.02B,$-0.01B,-63.64%,$0.02B,$-0.01B,-63.64%,$0.02B,$-0.02B,-72.73%,$0.02B,$-0.02B,-68.18%,$-0.02B,$0.02B,-90.91%,$-0.02B,$0.02B,-90.91%,$-0.02B,$0.03B,-49.59%,$-0.01B,$0.03B,-55.45%,$6,$2,$4,$2,$4,$8,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$31,31,$-0.10,$-0.10,$25,$1,$0,$30,$2,$0,$0,$3,$4,$34,$4,$10,$0,$10,$14,$0,$-164,$0,$20,$34,$-12,$0,$5,$5,$-2,$0,$0,$-0,$-1,$-8,$-0,$-1,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$3,$3,$0,$14,$17,$8,$4,$0
1,2018-06-30,11.4,$0.69,16.61,$0.66,17.23,$-0.79,0.0,$-0.48,0.0,$0.03B,$0.00B,8.82,$0.01B,$0.02B,0.46,$0.02B,$0.01B,60.00%,$0.02B,$-0.01B,-65.00%,$0.02B,$-0.01B,-65.00%,$0.02B,$-0.01B,-65.00%,$0.02B,$-0.02B,-75.00%,$0.02B,$-0.01B,-70.00%,$-0.01B,$0.02B,-101.82%,$-0.01B,$0.02B,-101.82%,$-0.01B,$0.04B,-51.38%,$-0.01B,$0.03B,-59.77%,$6,$2,$4,$2,$6,$10,$-4,$-2,$-6,$0,$-6,$-6,$-6,$-4,$-4,$30,30,$-0.19,$-0.19,$25,$1,$0,$31,$2,$0,$0,$2,$4,$35,$3,$10,$0,$10,$13,$0,$-161,$-0,$22,$35,$-9,$0,$4,$4,$-1,$0,$0,$0,$-1,$-5,$-0,$-0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$3,$3,$0,$12,$14,$8,$3,$0
2,2018-03-31,7.05,$0.48,14.63,$0.60,11.77,$-0.73,0.0,$-0.33,0.0,$0.03B,$0.00B,6.15,$0.01B,$0.01B,0.68,$0.02B,$0.01B,55.56%,$0.02B,$-0.01B,-61.11%,$0.02B,$-0.01B,-61.11%,$0.02B,$-0.01B,-61.11%,$0.02B,$-0.01B,-61.11%,$0.02B,$-0.01B,-55.56%,$-0.01B,$0.01B,-97.56%,$-0.01B,$0.01B,-97.56%,$-0.01B,$0.03B,-41.67%,$-0.01B,$0.02B,-61.11%,$5,$2,$3,$2,$4,$8,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$29,29,$-0.10,$-0.10,$21,$1,$0,$25,$2,$0,$0,$2,$4,$28,$4,$10,$0,$10,$14,$0,$-155,$-1,$14,$28,$-3,$0,$0,$0,$-0,$0,$0,$0,$1,$-2,$-0,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$1,$1,$0,$6,$6,$4,$1,$0
3,2017-12-31,6.5,$0.35,18.35,$0.55,11.74,$-0.73,0.0,$-0.28,0.0,$0.02B,$0.01B,2.64,$0.01B,$0.01B,0.58,$0.02B,$0.01B,56.25%,$0.02B,$-0.01B,-62.50%,$0.02B,$-0.01B,-62.50%,$0.02B,$-0.01B,-56.25%,$0.02B,$-0.01B,-62.50%,$0.02B,$-0.01B,-56.25%,$-0.01B,$0.01B,-144.00%,$-0.01B,$0.01B,-144.00%,$-0.01B,$0.02B,-47.37%,$-0.01B,$0.02B,-80.00%,$5,$1,$3,$2,$4,$8,$-4,$-0,$-4,$0,$-3,$-3,$-3,$-4,$-4,$28,28,$-0.13,$-0.13,$17,$1,$0,$21,$1,$0,$0,$2,$3,$24,$8,$6,$0,$6,$14,$0,$-152,$-0,$10,$24,$-8,$0,$2,$2,$-1,$0,$0,$-0,$-0,$-6,$-1,$-1,$0,$0,$0,$0,$0,$-2,$5,$0,$5,$1,$1,$0,$14,$20,$12,$3,$0
4,2017-09-30,6.2,$0.33,18.64,$0.51,12.24,$-0.73,0.0,$-0.32,0.0,$0.02B,$0.01B,3.36,$0.01B,$0.01B,0.74,$0.01B,$0.01B,57.14%,$0.01B,$-0.01B,-78.57%,$0.01B,$-0.01B,-78.57%,$0.01B,$-0.01B,-71.43%,$0.01B,$-0.01B,-78.57%,$0.01B,$-0.01B,-78.57%,$-0.01B,$0.01B,-275.00%,$-0.01B,$0.01B,-275.00%,$-0.01B,$0.02B,-70.97%,$-0.01B,$0.02B,-112.82%,$4,$2,$2,$1,$4,$6,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$28,28,$-0.07,$-0.07,$15,$1,$0,$19,$1,$0,$0,$2,$3,$22,$6,$7,$0,$7,$13,$0,$-149,$-0,$9,$22,$-5,$0,$1,$1,$-1,$-0,$0,$-0,$-2,$-6,$-1,$-1,$0,$0,$0,$0,$0,$-1,$5,$0,$5,$0,$0,$0,$12,$17,$10,$2,$0
5,2017-06-30,4.3,$0.28,15.28,$0.47,9.23,$-0.73,0.0,$-0.36,0.0,$0.02B,$0.01B,3.17,$0.01B,$0.01B,1.0,$0.01B,$0.01B,58.33%,$0.01B,$-0.01B,-91.67%,$0.01B,$-0.01B,-91.67%,$0.01B,$-0.01B,-83.33%,$0.01B,$-0.01B,-91.67%,$0.01B,$-0.01B,-91.67%,$-0.01B,$0.01B,-550.00%,$-0.01B,$0.01B,-550.00%,$-0.01B,$0.02B,-86.27%,$-0.01B,$0.02B,-151.72%,$4,$1,$2,$0,$4,$6,$-2,$1,$-2,$0,$-2,$-2,$-2,$-2,$-2,$28,28,$-0.06,$-0.06,$16,$1,$0,$20,$1,$0,$0,$2,$2,$22,$6,$8,$0,$8,$14,$0,$-147,$0,$8,$22,$-3,$0,$0,$0,$-1,$-0,$0,$-0,$-1,$-4,$-0,$-0,$0,$0,$0,$0,$0,$-1,$5,$0,$5,$0,$0,$0,$10,$16,$11,$1,$0
6,2017-03-31,4.5,$-0.06,-73.17,$0.43,10.57,$-0.71,0.0,$-0.44,0.0,$0.01B,$0.01B,1.02,$0.00B,$-0.00B,-2.34,$0.01B,$0.01B,60.00%,$0.01B,$-0.01B,-120.00%,$0.01B,$-0.01B,-120.00%,$0.01B,$-0.01B,-110.00%,$0.01B,$-0.01B,-120.00%,$0.01B,$-0.01B,-120.00%,$-0.01B,$-0.00B,-1200.00%,$-0.01B,$-0.00B,-1200.00%,$-0.01B,$0.01B,-114.29%,$-0.01B,$0.00B,-218.18%,$3,$1,$2,$0,$3,$5,$-2,$0,$-2,$0,$-2,$-2,$-2,$-1,$-2,$26,26,$-0.06,$-0.06,$3,$1,$0,$6,$1,$0,$0,$1,$2,$8,$6,$4,$0,$4,$10,$0,$-146,$1,$-2,$8,$-2,$0,$-0,$0,$-0,$-0,$0,$-0,$-0,$-2,$-0,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
7,2016-12-31,5.45,$0.05,103.81,$0.37,14.54,$-0.68,0.0,$-0.47,0.0,$0.01B,$0.00B,1.83,$0.00B,$0.00B,3.05,$0.01B,$0.01B,55.56%,$0.01B,$-0.01B,-133.33%,$0.01B,$-0.01B,-133.33%,$0.01B,$-0.01B,-133.33%,$0.01B,$-0.01B,-133.33%,$0.01B,$-0.01B,-133.33%,$-0.01B,$0.00B,-400.00%,$-0.01B,$0.00B,-400.00%,$-0.01B,$0.01B,-109.09%,$-0.01B,$0.01B,-184.62%,$3,$1,$2,$2,$4,$8,$-5,$-0,$-5,$0,$-5,$-5,$-5,$-5,$-5,$25,25,$-0.18,$-0.18,$5,$1,$0,$8,$1,$0,$0,$1,$2,$10,$4,$4,$0,$4,$8,$0,$-144,$1,$1,$10,$-12,$0,$3,$3,$-1,$0,$0,$0,$2,$-7,$-0,$-0,$0,$2,$0,$2,$0,$2,$5,$0,$5,$0,$0,$0,$-0,$5,$-0,$3,$0
8,2016-09-30,6.4,$0.05,118.3,$0.32,19.74,$-0.79,0.0,$-0.39,0.0,$0.01B,$0.01B,1.81,$0.00B,$0.00B,3.25,$0.01B,$0.00B,50.00%,$0.01B,$-0.01B,-125.00%,$0.01B,$-0.01B,-125.00%,$0.01B,$-0.01B,-125.00%,$0.01B,$-0.01B,-137.50%,$0.01B,$-0.01B,-125.00%,$-0.01B,$0.00B,-210.53%,$-0.01B,$0.00B,-210.53%,$-0.01B,$0.01B,-88.89%,$-0.01B,$0.01B,-137.93%,$2,$1,$1,$1,$2,$5,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$25,25,$-0.09,$-0.09,$6,$1,$0,$9,$1,$0,$0,$1,$2,$11,$5,$4,$0,$4,$9,$0,$-140,$0,$1,$11,$-7,$0,$1,$1,$-1,$0,$0,$0,$1,$-6,$-0,$-0,$0,$2,$0,$2,$0,$2,$5,$0,$5,$0,$0,$0,$-0,$5,$1,$1,$0
9,2016-06-30,4.55,$0.15,29.7,$0.28,16.07,$-0.84,0.0,$-0.39,0.0,$0.01B,$0.00B,2.82,$0.01B,$0.00B,1.25,$0.01B,$0.00B,57.14%,$0.01B,$-0.01B,-142.86%,$0.01B,$-0.01B,-142.86%,$0.01B,$-0.01B,-142.86%,$0.01B,$-0.01B,-171.43%,$0.01B,$-0.01B,-157.14%,$-0.01B,$0.00B,-162.96%,$-0.01B,$0.00B,-162.96%,$-0.01B,$0.01B,-93.62%,$-0.01B,$0.01B,-125.00%,$2,$1,$1,$1,$3,$5,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$25,25,$-0.12,$-0.12,$9,$1,$0,$11,$1,$0,$0,$1,$2,$13,$4,$5,$0,$5,$9,$0,$-137,$0,$4,$13,$-5,$0,$1,$1,$-0,$0,$0,$0,$1,$-3,$-0,$-0,$0,$2,$0,$2,$0,$2,$5,$0,$5,$0,$0,$0,$-0,$5,$3,$1,$0
