,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,69.37,$24.75,2.8,$9.66,7.18,$-4.06,0.0,$1.56,44.47,$0.05B,$0.08B,0.61,$0.25B,$0.30B,0.84,$0.12B,$0.12B,100.00%,$0.12B,$0.04B,32.76%,$0.12B,$0.04B,32.76%,$0.12B,$0.06B,49.14%,$0.12B,$0.02B,17.24%,$0.12B,$0.02B,17.24%,$0.02B,$0.30B,6.84%,$0.02B,$0.23B,8.86%,$0.02B,$0.94B,2.18%,$0.04B,$0.55B,6.98%,$36,$0,$36,$0,$16,$19,$18,$-4,$14,$0,$14,$14,$14,$23,$18,$12,12,$1.15,$1.13,$5,$2,$12,$47,$721,$12,$66,$0,$897,$944,$77,$251,$253,$569,$646,$190,$108,$-0,$298,$944,$17,$15,$-1,$14,$-5,$0,$0,$-8,$-14,$17,$-37,$0,$0,$0,$0,$0,$0,$-37,$-4,$39,$35,$-2,$-3,$-11,$0,$21,$1,$0,$-11
1,2018-06-30,65.32,$23.87,2.74,$9.29,7.03,$-3.84,0.0,$1.33,49.11,$0.04B,$0.06B,0.63,$0.25B,$0.29B,0.88,$0.11B,$0.11B,100.00%,$0.11B,$0.03B,29.46%,$0.11B,$0.03B,29.46%,$0.11B,$0.05B,45.54%,$0.11B,$0.02B,15.18%,$0.11B,$0.02B,15.18%,$0.02B,$0.29B,5.83%,$0.02B,$0.22B,7.56%,$0.02B,$0.92B,1.86%,$0.03B,$0.54B,6.06%,$30,$0,$30,$0,$15,$20,$10,$-5,$5,$0,$5,$5,$5,$15,$10,$12,12,$0.39,$0.39,$4,$2,$10,$38,$708,$12,$66,$0,$880,$918,$61,$252,$249,$570,$631,$189,$99,$-0,$288,$918,$4,$10,$1,$11,$0,$0,$0,$-1,$-1,$13,$-21,$0,$0,$0,$0,$0,$0,$-21,$-4,$24,$20,$-3,$-4,$-7,$-1,$8,$0,$0,$-7
2,2018-03-31,60.24,$24.00,2.51,$9.23,6.53,$-4.02,0.0,$1.67,36.07,$0.04B,$0.05B,0.77,$0.25B,$0.29B,0.87,$0.11B,$0.11B,100.00%,$0.11B,$0.03B,30.91%,$0.11B,$0.03B,30.91%,$0.11B,$0.05B,46.36%,$0.11B,$0.02B,18.18%,$0.11B,$0.02B,18.18%,$0.02B,$0.29B,7.02%,$0.02B,$0.22B,8.93%,$0.02B,$0.90B,2.23%,$0.03B,$0.54B,6.46%,$25,$0,$25,$0,$16,$20,$5,$-6,$-1,$0,$-1,$-1,$-1,$9,$5,$12,12,$-0.10,$-0.10,$4,$2,$8,$36,$700,$11,$67,$0,$866,$902,$47,$252,$245,$565,$612,$192,$98,$-0,$290,$902,$-1,$5,$-0,$5,$2,$0,$0,$0,$-1,$2,$-7,$0,$0,$0,$0,$0,$0,$-7,$-1,$10,$9,$0,$0,$-4,$-0,$5,$0,$0,$-4
3,2017-12-31,56.81,$24.40,2.33,$9.15,6.21,$-3.91,0.0,$2.13,26.67,$0.04B,$0.04B,0.86,$0.25B,$0.29B,0.86,$0.11B,$0.11B,100.00%,$0.11B,$0.04B,32.71%,$0.11B,$0.04B,32.71%,$0.11B,$0.05B,47.66%,$0.11B,$0.03B,23.36%,$0.11B,$0.03B,23.36%,$0.03B,$0.29B,9.05%,$0.03B,$0.23B,11.30%,$0.03B,$0.90B,2.83%,$0.04B,$0.55B,6.91%,$25,$0,$25,$0,$17,$20,$5,$-3,$2,$0,$2,$2,$2,$10,$5,$12,12,$0.14,$0.14,$4,$2,$8,$36,$698,$11,$67,$0,$863,$899,$42,$253,$243,$563,$604,$192,$102,$-0,$294,$899,$25,$17,$3,$20,$-1,$0,$0,$-5,$-8,$37,$-53,$0,$-4,$0,$0,$0,$0,$-57,$50,$-16,$34,$1,$1,$-14,$1,$23,$2,$0,$-14
4,2017-09-30,58.4,$24.46,2.39,$8.95,6.52,$-5.49,0.0,$2.06,28.35,$0.05B,$0.04B,1.18,$0.26B,$0.29B,0.87,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,31.73%,$0.10B,$0.03B,31.73%,$0.10B,$0.05B,44.23%,$0.10B,$0.02B,23.08%,$0.10B,$0.02B,23.08%,$0.02B,$0.30B,9.16%,$0.02B,$0.23B,11.11%,$0.02B,$0.94B,2.81%,$0.03B,$0.55B,6.91%,$32,$0,$32,$0,$15,$19,$13,$-2,$11,$0,$11,$11,$11,$17,$13,$12,12,$0.92,$0.90,$8,$2,$10,$47,$684,$10,$67,$0,$892,$939,$40,$255,$263,$604,$644,$191,$104,$-1,$295,$939,$23,$13,$-0,$12,$-3,$0,$0,$-10,$-16,$20,$-37,$0,$-4,$0,$0,$0,$0,$-41,$53,$-17,$36,$1,$1,$-10,$1,$28,$7,$0,$-10
5,2017-06-30,54.37,$22.53,2.41,$8.93,6.09,$-6.45,0.0,$2.00,27.18,$0.03B,$0.06B,0.53,$0.21B,$0.26B,0.79,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,30.69%,$0.10B,$0.03B,30.69%,$0.10B,$0.04B,43.56%,$0.10B,$0.02B,22.77%,$0.10B,$0.02B,22.77%,$0.02B,$0.26B,9.28%,$0.02B,$0.22B,10.90%,$0.02B,$0.86B,2.83%,$0.03B,$0.47B,6.89%,$28,$0,$28,$0,$14,$17,$11,$-2,$8,$0,$8,$8,$8,$15,$11,$11,12,$0.75,$0.73,$3,$2,$9,$33,$648,$10,$43,$0,$822,$855,$63,$205,$240,$532,$594,$164,$97,$-1,$261,$855,$12,$8,$-1,$7,$-0,$0,$0,$-2,$-5,$15,$-24,$0,$1,$0,$0,$0,$0,$-23,$4,$11,$15,$1,$1,$-7,$1,$9,$1,$0,$-7
6,2017-03-31,51.77,$22.06,2.35,$8.84,5.85,$-7.33,0.0,$2.16,23.97,$0.03B,$0.05B,0.58,$0.21B,$0.25B,0.81,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,31.31%,$0.10B,$0.03B,31.31%,$0.10B,$0.04B,44.44%,$0.10B,$0.03B,25.25%,$0.10B,$0.03B,25.25%,$0.03B,$0.26B,10.41%,$0.03B,$0.21B,12.09%,$0.03B,$0.84B,3.19%,$0.03B,$0.46B,7.02%,$22,$0,$22,$0,$14,$17,$6,$-1,$4,$0,$4,$4,$4,$9,$6,$11,11,$0.36,$0.36,$3,$2,$8,$31,$637,$9,$43,$0,$807,$839,$54,$206,$238,$530,$583,$163,$92,$-1,$255,$839,$4,$4,$-1,$3,$2,$0,$0,$-1,$-0,$7,$-10,$0,$1,$0,$0,$0,$0,$-9,$4,$2,$6,$0,$0,$-3,$-0,$3,$1,$0,$-3
7,2016-12-31,54.12,$21.05,2.57,$8.79,6.16,$-7.94,0.0,$2.08,26.02,$0.03B,$0.06B,0.53,$0.20B,$0.24B,0.84,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,29.29%,$0.10B,$0.03B,29.29%,$0.10B,$0.04B,43.43%,$0.10B,$0.02B,24.24%,$0.10B,$0.02B,24.24%,$0.02B,$0.24B,10.29%,$0.02B,$0.21B,11.84%,$0.02B,$0.79B,3.17%,$0.03B,$0.43B,6.81%,$22,$0,$22,$0,$15,$19,$3,$-2,$1,$0,$1,$1,$1,$5,$3,$11,11,$0.07,$0.07,$2,$2,$8,$29,$601,$9,$30,$0,$755,$785,$55,$197,$211,$493,$548,$146,$91,$-1,$237,$785,$23,$13,$2,$15,$-2,$0,$0,$-3,$-5,$33,$-67,$0,$0,$0,$0,$0,$1,$-66,$27,$17,$44,$2,$2,$-13,$0,$33,$1,$0,$-13
8,2016-09-30,47.95,$21.21,2.26,$8.74,5.48,$-5.58,0.0,$2.21,21.7,$0.04B,$0.04B,0.88,$0.20B,$0.24B,0.84,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,30.61%,$0.10B,$0.03B,30.61%,$0.10B,$0.05B,45.92%,$0.10B,$0.03B,25.51%,$0.10B,$0.03B,25.51%,$0.03B,$0.24B,10.86%,$0.03B,$0.21B,12.52%,$0.03B,$0.77B,3.39%,$0.03B,$0.44B,7.20%,$29,$0,$29,$0,$14,$19,$11,$-1,$10,$0,$10,$10,$10,$15,$11,$11,11,$0.86,$0.84,$1,$2,$10,$36,$584,$9,$30,$0,$733,$770,$41,$200,$208,$490,$531,$145,$94,$-1,$238,$770,$23,$11,$2,$13,$-5,$0,$0,$-10,$-15,$21,$-47,$0,$0,$0,$0,$0,$1,$-47,$28,$6,$34,$1,$1,$-9,$0,$26,$0,$0,$-9
9,2016-06-30,53.87,$20.59,2.62,$8.67,6.22,$-0.76,0.0,$2.16,24.94,$0.03B,$0.03B,1.02,$0.20B,$0.23B,0.87,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,28.87%,$0.10B,$0.03B,28.87%,$0.10B,$0.04B,44.33%,$0.10B,$0.02B,24.74%,$0.10B,$0.02B,24.74%,$0.02B,$0.23B,10.58%,$0.02B,$0.20B,12.24%,$0.02B,$0.75B,3.32%,$0.03B,$0.43B,6.88%,$26,$0,$26,$0,$11,$15,$11,$-1,$10,$0,$10,$10,$10,$15,$11,$11,11,$0.90,$0.89,$1,$2,$9,$31,$568,$9,$30,$0,$714,$745,$30,$201,$202,$484,$514,$144,$87,$-1,$231,$745,$13,$7,$2,$9,$-1,$0,$0,$-10,$-13,$9,$-29,$0,$0,$0,$0,$0,$1,$-28,$29,$-5,$24,$1,$1,$-6,$0,$19,$0,$0,$-6
10,2016-03-31,42.98,$20.20,2.13,$8.73,4.92,$1.22,35.11,$2.04,21.07,$0.03B,$0.05B,0.63,$0.17B,$0.23B,0.76,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,27.55%,$0.10B,$0.03B,27.55%,$0.10B,$0.04B,41.84%,$0.10B,$0.02B,23.47%,$0.10B,$0.02B,23.47%,$0.02B,$0.23B,10.30%,$0.02B,$0.20B,11.95%,$0.02B,$0.72B,3.24%,$0.03B,$0.40B,6.80%,$22,$0,$22,$0,$14,$18,$4,$-1,$3,$0,$3,$3,$3,$8,$4,$11,11,$0.29,$0.28,$2,$2,$8,$29,$555,$9,$30,$0,$695,$724,$46,$171,$198,$451,$497,$146,$81,$-1,$227,$724,$3,$4,$0,$4,$1,$0,$0,$-3,$-6,$2,$-12,$0,$0,$0,$0,$0,$1,$-11,$-1,$13,$13,$0,$0,$-3,$0,$10,$1,$0,$-3
11,2015-12-31,35.99,$20.08,1.79,$8.61,4.18,$2.66,13.52,$2.04,17.64,$0.03B,$0.04B,0.73,$0.17B,$0.22B,0.77,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,28.13%,$0.10B,$0.03B,28.13%,$0.10B,$0.04B,42.71%,$0.10B,$0.02B,23.96%,$0.10B,$0.02B,23.96%,$0.02B,$0.23B,10.49%,$0.02B,$0.19B,12.22%,$0.02B,$0.71B,3.30%,$0.03B,$0.40B,6.84%,$21,$0,$21,$0,$16,$17,$4,$-2,$2,$0,$2,$2,$2,$7,$4,$11,11,$0.20,$0.20,$1,$2,$8,$27,$546,$8,$30,$1,$684,$711,$37,$172,$195,$449,$486,$145,$80,$-1,$225,$711,$23,$13,$-8,$5,$1,$0,$0,$17,$14,$41,$-48,$0,$0,$0,$0,$0,$-1,$-49,$2,$14,$16,$2,$2,$-12,$0,$6,$-2,$0,$-12
12,2015-09-30,34.32,$20.02,1.71,$8.60,3.99,$1.88,18.21,$2.05,16.74,$0.04B,$0.03B,1.22,$0.18B,$0.22B,0.79,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,27.08%,$0.10B,$0.03B,27.08%,$0.10B,$0.04B,42.71%,$0.10B,$0.02B,23.96%,$0.10B,$0.02B,23.96%,$0.02B,$0.22B,10.67%,$0.02B,$0.19B,12.47%,$0.02B,$0.71B,3.35%,$0.03B,$0.40B,6.62%,$28,$0,$28,$0,$14,$19,$9,$-1,$9,$0,$9,$9,$9,$13,$9,$11,11,$0.80,$0.79,$2,$2,$10,$39,$529,$8,$30,$6,$671,$710,$32,$177,$189,$454,$487,$143,$81,$-2,$224,$710,$21,$10,$-6,$5,$-3,$0,$0,$7,$2,$27,$0,$0,$0,$0,$0,$0,$-30,$-30,$1,$9,$10,$1,$1,$-9,$0,$3,$-0,$0,$-9
13,2015-06-30,31.86,$19.43,1.64,$8.54,3.73,$1.21,26.27,$2.02,15.77,$0.04B,$0.03B,1.43,$0.18B,$0.22B,0.82,$0.10B,$0.10B,100.00%,$0.10B,$0.03B,28.13%,$0.10B,$0.03B,28.13%,$0.10B,$0.04B,42.71%,$0.10B,$0.02B,22.92%,$0.10B,$0.02B,22.92%,$0.02B,$0.22B,10.37%,$0.02B,$0.19B,12.15%,$0.02B,$0.69B,3.28%,$0.03B,$0.39B,6.95%,$27,$0,$27,$0,$13,$17,$10,$-1,$9,$0,$9,$9,$9,$13,$10,$11,11,$0.79,$0.77,$3,$2,$9,$36,$515,$8,$30,$6,$658,$694,$25,$177,$188,$452,$477,$142,$75,$-2,$217,$694,$12,$7,$-7,$0,$-1,$0,$0,$7,$5,$17,$-14,$0,$0,$0,$0,$0,$0,$-14,$1,$2,$2,$1,$1,$-6,$0,$-2,$1,$0,$-6
