,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,28.53,$9.14,3.12,$3.19,8.94,$3.11,9.16,$0.85,33.56,$0.01B,$0.15B,0.04,$1.65B,$1.70B,0.97,$0.59B,$0.40B,67.46%,$0.59B,$0.22B,37.65%,$0.59B,$0.22B,37.65%,$0.59B,$0.36B,61.84%,$0.59B,$0.16B,26.75%,$0.59B,$0.16B,26.41%,$0.16B,$1.70B,9.33%,$0.16B,$1.70B,9.33%,$0.16B,$3.64B,4.32%,$0.22B,$3.35B,6.69%,$153,$49,$105,$0,$10,$94,$60,$-16,$43,$0,$43,$43,$43,$95,$60,$186,187,$0.23,$0.23,$6,$0,$0,$6,$3485,$0,$0,$149,$3634,$3640,$153,$1646,$80,$1785,$1938,$2,$-780,$0,$1702,$3640,$117,$107,$4,$111,$0,$0,$0,$-5,$6,$235,$-103,$0,$0,$0,$-13,$-13,$-70,$-185,$-9,$13,$3,$112,$112,$-165,$-2,$-52,$-3,$4,$-165
1,2018-06-30,32.22,$9.11,3.54,$3.17,10.18,$3.44,9.37,$0.83,38.82,$0.01B,$0.15B,0.07,$1.60B,$1.69B,0.95,$0.58B,$0.39B,67.13%,$0.58B,$0.21B,36.85%,$0.58B,$0.21B,36.85%,$0.58B,$0.36B,61.76%,$0.58B,$0.15B,26.30%,$0.58B,$0.15B,25.78%,$0.15B,$1.69B,9.07%,$0.15B,$1.69B,9.07%,$0.15B,$3.59B,4.20%,$0.21B,$3.29B,6.50%,$148,$50,$98,$0,$8,$93,$55,$-16,$39,$0,$39,$39,$38,$91,$55,$184,185,$0.21,$0.21,$10,$0,$0,$10,$3430,$0,$0,$145,$3575,$3585,$146,$1600,$80,$1745,$1891,$2,$-774,$0,$1693,$3585,$74,$71,$3,$74,$0,$0,$0,$-2,$8,$156,$-38,$0,$0,$0,$-10,$-10,$-53,$-101,$-8,$-34,$-42,$99,$99,$-110,$-2,$-55,$0,$3,$-110
2,2018-03-31,27.94,$8.87,3.15,$3.13,8.93,$3.45,8.09,$0.80,34.92,$0.01B,$0.12B,0.07,$1.69B,$1.62B,1.04,$0.57B,$0.38B,67.49%,$0.57B,$0.21B,36.20%,$0.57B,$0.21B,36.20%,$0.57B,$0.35B,61.69%,$0.57B,$0.15B,25.66%,$0.57B,$0.14B,25.13%,$0.14B,$1.62B,8.81%,$0.14B,$1.62B,8.81%,$0.14B,$3.57B,4.05%,$0.21B,$3.31B,6.31%,$143,$49,$94,$0,$9,$92,$50,$-16,$35,$0,$35,$35,$34,$86,$50,$182,183,$0.19,$0.19,$9,$0,$0,$9,$3417,$0,$0,$140,$3557,$3566,$123,$1689,$79,$1826,$1948,$2,$-748,$0,$1617,$3566,$35,$36,$2,$37,$0,$0,$0,$-0,$-6,$66,$-9,$0,$0,$0,$-8,$-8,$-40,$-57,$-8,$55,$47,$-0,$-0,$-55,$-1,$-9,$-0,$2,$-55
3,2017-12-31,28.35,$8.97,3.16,$3.08,9.2,$3.48,8.15,$0.75,37.8,$0.01B,$0.14B,0.06,$1.64B,$1.64B,1.0,$0.56B,$0.38B,67.62%,$0.56B,$0.20B,35.06%,$0.56B,$0.20B,35.06%,$0.56B,$0.34B,61.54%,$0.56B,$0.14B,24.33%,$0.56B,$0.13B,23.97%,$0.13B,$1.64B,8.22%,$0.13B,$1.64B,8.22%,$0.13B,$3.55B,3.83%,$0.20B,$3.27B,6.04%,$143,$45,$99,$0,$8,$88,$56,$-16,$40,$0,$40,$40,$40,$91,$56,$181,181,$0.21,$0.21,$9,$0,$0,$9,$3409,$0,$0,$127,$3536,$3545,$143,$1635,$77,$1767,$1910,$2,$-729,$0,$1635,$3545,$136,$148,$6,$155,$0,$0,$0,$-8,$3,$293,$-29,$0,$-70,$0,$15,$15,$-65,$-148,$-5,$38,$33,$32,$32,$-195,$-13,$-143,$2,$6,$-195
4,2017-09-30,25.19,$8.97,2.81,$3.03,8.31,$3.32,7.58,$0.66,38.16,$0.01B,$0.14B,0.08,$1.62B,$1.62B,1.0,$0.55B,$0.37B,67.21%,$0.55B,$0.18B,33.15%,$0.55B,$0.18B,33.15%,$0.55B,$0.34B,61.02%,$0.55B,$0.12B,22.40%,$0.55B,$0.12B,21.31%,$0.12B,$1.62B,7.15%,$0.12B,$1.62B,7.15%,$0.12B,$3.50B,3.36%,$0.18B,$3.24B,5.61%,$144,$47,$97,$0,$8,$92,$52,$-15,$38,$0,$38,$38,$37,$89,$52,$180,181,$0.21,$0.21,$10,$0,$0,$10,$3363,$0,$0,$129,$3493,$3503,$139,$1620,$72,$1741,$1880,$2,$-708,$-0,$1623,$3503,$96,$113,$5,$118,$0,$0,$0,$-9,$10,$224,$-36,$0,$0,$0,$6,$6,$-54,$-84,$-5,$23,$19,$1,$1,$-146,$-13,$-140,$-0,$4,$-146
5,2017-06-30,23.09,$9.00,2.57,$2.97,7.78,$1.55,14.9,$0.58,39.8,$0.01B,$0.13B,0.1,$1.61B,$1.62B,1.0,$0.54B,$0.36B,67.41%,$0.54B,$0.17B,31.66%,$0.54B,$0.17B,31.66%,$0.54B,$0.33B,61.08%,$0.54B,$0.11B,20.48%,$0.54B,$0.10B,19.18%,$0.10B,$1.62B,6.17%,$0.10B,$1.62B,6.17%,$0.10B,$3.49B,2.95%,$0.17B,$3.24B,5.22%,$139,$45,$94,$0,$9,$91,$48,$-15,$33,$0,$33,$33,$32,$85,$48,$180,181,$0.18,$0.18,$12,$0,$0,$12,$3352,$0,$0,$129,$3481,$3493,$127,$1614,$72,$1745,$1872,$2,$-692,$-1,$1621,$3493,$58,$76,$4,$80,$0,$0,$0,$-4,$9,$147,$-29,$0,$0,$0,$4,$4,$-25,$-50,$-4,$17,$12,$-0,$-0,$-97,$-11,$-96,$1,$3,$-97
6,2017-03-31,24.65,$9.10,2.71,$2.91,8.47,$0.21,117.94,$0.51,48.33,$0.01B,$0.10B,0.09,$1.60B,$1.64B,0.98,$0.53B,$0.35B,67.24%,$0.53B,$0.16B,29.52%,$0.53B,$0.16B,29.52%,$0.53B,$0.32B,60.57%,$0.53B,$0.10B,18.48%,$0.53B,$0.09B,17.14%,$0.09B,$1.64B,5.33%,$0.09B,$1.64B,5.33%,$0.09B,$3.47B,2.60%,$0.16B,$3.24B,4.79%,$133,$45,$88,$0,$9,$93,$40,$-15,$25,$0,$25,$25,$25,$79,$40,$180,181,$0.14,$0.14,$10,$0,$0,$10,$3327,$0,$0,$129,$3456,$3466,$104,$1599,$71,$1722,$1827,$2,$-681,$-1,$1639,$3466,$25,$39,$2,$41,$0,$0,$0,$-1,$2,$68,$-7,$0,$0,$0,$2,$2,$-16,$-21,$-7,$10,$3,$-0,$-0,$-49,$-2,$-48,$-1,$1,$-49
7,2016-12-31,25.15,$9.22,2.73,$2.85,8.84,$-0.70,0.0,$0.45,55.9,$0.01B,$0.09B,0.12,$1.60B,$1.66B,0.96,$0.51B,$0.34B,67.32%,$0.51B,$0.14B,28.18%,$0.51B,$0.14B,28.18%,$0.51B,$0.31B,60.27%,$0.51B,$0.09B,17.22%,$0.51B,$0.08B,15.46%,$0.08B,$1.66B,4.64%,$0.08B,$1.66B,4.64%,$0.08B,$3.48B,2.33%,$0.14B,$3.26B,4.54%,$133,$42,$90,$0,$9,$91,$42,$-15,$27,$0,$27,$27,$23,$82,$42,$178,180,$0.13,$0.13,$11,$0,$0,$11,$3327,$0,$0,$137,$3464,$3475,$94,$1596,$70,$1720,$1814,$2,$-659,$-2,$1661,$3475,$88,$164,$6,$171,$0,$0,$0,$-2,$6,$265,$-31,$0,$-367,$0,$-4,$-4,$-143,$-544,$261,$43,$305,$149,$72,$-156,$-1,$219,$-60,$5,$-149
8,2016-09-30,25.35,$9.74,2.6,$2.78,9.11,$-0.87,0.0,$0.52,48.76,$0.10B,$0.09B,1.02,$1.55B,$1.75B,0.89,$0.49B,$0.33B,67.14%,$0.49B,$0.13B,27.18%,$0.49B,$0.13B,27.18%,$0.49B,$0.30B,59.84%,$0.49B,$0.10B,20.08%,$0.49B,$0.09B,18.66%,$0.09B,$1.75B,5.42%,$0.09B,$1.75B,5.42%,$0.09B,$3.52B,2.79%,$0.13B,$3.30B,4.35%,$132,$42,$90,$0,$8,$93,$40,$-14,$25,$0,$25,$25,$23,$82,$40,$179,180,$0.13,$0.13,$95,$0,$0,$95,$3283,$0,$0,$141,$3424,$3519,$94,$1553,$60,$1674,$1767,$2,$-634,$-3,$1752,$3519,$61,$125,$5,$129,$0,$0,$0,$-5,$13,$203,$-337,$0,$0,$0,$-2,$-2,$-133,$-472,$262,$0,$262,$149,$149,$-116,$-1,$294,$25,$4,$-111
9,2016-06-30,28.51,$9.58,2.98,$2.73,10.44,$-0.23,0.0,$0.49,58.18,$0.01B,$0.10B,0.13,$1.43B,$1.71B,0.84,$0.48B,$0.32B,66.67%,$0.48B,$0.12B,26.00%,$0.48B,$0.12B,26.00%,$0.48B,$0.28B,59.12%,$0.48B,$0.09B,19.50%,$0.48B,$0.09B,18.03%,$0.09B,$1.71B,5.23%,$0.09B,$1.71B,5.23%,$0.09B,$3.36B,2.73%,$0.12B,$3.14B,4.22%,$127,$42,$85,$0,$8,$94,$33,$-13,$20,$0,$20,$20,$19,$75,$33,$178,179,$0.11,$0.11,$12,$0,$0,$12,$3208,$0,$0,$142,$3350,$3363,$97,$1430,$60,$1558,$1655,$2,$-628,$-5,$1708,$3363,$36,$82,$3,$85,$0,$0,$0,$-2,$4,$126,$-249,$0,$0,$0,$-4,$-4,$-94,$-347,$-14,$150,$136,$101,$101,$-77,$2,$162,$-59,$2,$-74
