,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.23,$1.74,1.28,$3.39,0.66,$-1.12,0.0,$-0.53,0.0,$0.04B,$0.02B,1.88,$0.01B,$0.05B,0.17,$0.09B,$0.03B,32.97%,$0.09B,$-0.02B,-16.48%,$0.09B,$-0.02B,-16.48%,$0.09B,$-0.01B,-14.29%,$0.09B,$-0.02B,-18.68%,$0.09B,$-0.02B,-16.48%,$-0.02B,$0.05B,-27.91%,$-0.02B,$0.02B,-69.77%,$-0.02B,$0.08B,-18.02%,$-0.02B,$0.06B,-24.10%,$25,$16,$8,$1,$8,$26,$-1,$-0,$-2,$-0,$-2,$-2,$-2,$-2,$-1,$29,29,$-0.05,$-0.05,$3,$16,$2,$35,$11,$0,$31,$2,$44,$79,$18,$8,$0,$11,$29,$0,$-116,$-4,$50,$79,$-10,$2,$1,$4,$-1,$-4,$1,$-0,$-4,$-10,$-1,$-0,$0,$0,$-1,$-1,$0,$-1,$2,$0,$2,$0,$0,$0,$-0,$2,$-9,$0,$0
1,2018-06-30,2.97,$1.80,1.65,$3.56,0.83,$-1.05,0.0,$-0.57,0.0,$0.04B,$0.02B,1.91,$0.01B,$0.05B,0.17,$0.09B,$0.03B,32.95%,$0.09B,$-0.02B,-18.18%,$0.09B,$-0.02B,-18.18%,$0.09B,$-0.01B,-13.64%,$0.09B,$-0.02B,-19.32%,$0.09B,$-0.02B,-17.05%,$-0.02B,$0.05B,-28.71%,$-0.02B,$0.02B,-81.08%,$-0.02B,$0.08B,-17.96%,$-0.02B,$0.06B,-26.12%,$23,$15,$8,$1,$9,$27,$-4,$-0,$-5,$0,$-5,$-5,$-5,$-2,$-4,$29,29,$-0.17,$-0.17,$7,$15,$1,$37,$11,$0,$31,$2,$45,$82,$19,$9,$0,$11,$30,$0,$-115,$-4,$51,$82,$-8,$3,$-0,$3,$-2,$-2,$2,$2,$1,$-5,$-1,$-0,$0,$0,$0,$0,$0,$-1,$1,$0,$1,$0,$0,$0,$-0,$1,$-5,$0,$0
2,2018-03-31,2.6,$1.99,1.3,$3.83,0.68,$-1.05,0.0,$-0.47,0.0,$0.04B,$0.02B,2.26,$0.01B,$0.06B,0.15,$0.09B,$0.03B,32.95%,$0.09B,$-0.01B,-15.91%,$0.09B,$-0.01B,-15.91%,$0.09B,$-0.01B,-12.50%,$0.09B,$-0.01B,-15.91%,$0.09B,$-0.01B,-13.64%,$-0.01B,$0.06B,-23.65%,$-0.01B,$0.02B,-77.42%,$-0.01B,$0.08B,-14.46%,$-0.01B,$0.07B,-23.53%,$22,$15,$7,$1,$9,$26,$-4,$0,$-4,$-0,$-3,$-3,$-3,$-3,$-4,$28,28,$-0.11,$-0.11,$10,$12,$1,$36,$11,$0,$33,$2,$48,$84,$16,$9,$0,$11,$27,$0,$-110,$-3,$57,$84,$-3,$1,$-0,$0,$-1,$1,$-1,$1,$0,$-3,$-0,$-0,$0,$0,$0,$0,$0,$-0,$1,$0,$1,$0,$0,$0,$-0,$1,$-2,$0,$0
3,2017-12-31,2.75,$2.02,1.36,$3.91,0.7,$-1.02,0.0,$-0.54,0.0,$0.04B,$0.02B,2.18,$0.01B,$0.06B,0.15,$0.08B,$0.03B,33.33%,$0.08B,$-0.01B,-16.67%,$0.08B,$-0.01B,-16.67%,$0.08B,$-0.01B,-13.10%,$0.08B,$-0.01B,-16.67%,$0.08B,$-0.01B,-15.48%,$-0.01B,$0.06B,-27.23%,$-0.01B,$0.02B,-108.33%,$-0.01B,$0.09B,-15.90%,$-0.01B,$0.07B,-24.67%,$21,$15,$7,$1,$8,$27,$-6,$-0,$-6,$-1,$-5,$-5,$-5,$-6,$-6,$22,22,$-0.22,$-0.22,$13,$14,$2,$41,$11,$0,$33,$2,$47,$88,$19,$9,$1,$12,$30,$0,$-109,$-4,$57,$88,$-13,$3,$1,$4,$-1,$-0,$-1,$2,$-1,$-9,$-1,$-1,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$19,$19,$0,$-0,$19,$8,$0,$0
4,2017-09-30,3.69,$2.08,1.77,$3.89,0.95,$-0.63,0.0,$-0.46,0.0,$0.03B,$0.02B,1.39,$0.01B,$0.04B,0.24,$0.08B,$0.03B,32.93%,$0.08B,$-0.01B,-13.41%,$0.08B,$-0.01B,-13.41%,$0.08B,$-0.01B,-8.54%,$0.08B,$-0.01B,-13.41%,$0.08B,$-0.01B,-13.41%,$-0.01B,$0.04B,-24.04%,$-0.01B,$0.01B,-122.22%,$-0.01B,$0.08B,-13.79%,$-0.01B,$0.05B,-20.18%,$22,$14,$7,$1,$8,$24,$-2,$-0,$-2,$-0,$-2,$-2,$-2,$-1,$-2,$21,21,$-0.09,$-0.09,$1,$14,$1,$30,$11,$0,$37,$2,$50,$80,$21,$11,$1,$15,$36,$0,$-103,$-4,$44,$80,$-7,$2,$-0,$2,$-2,$-1,$-0,$3,$-0,$-6,$-1,$-0,$0,$0,$0,$0,$0,$-1,$3,$0,$3,$0,$0,$0,$-0,$3,$-4,$0,$0
5,2017-06-30,3.84,$2.13,1.8,$3.97,0.97,$-0.29,0.0,$-0.39,0.0,$0.03B,$0.02B,1.36,$0.01B,$0.05B,0.19,$0.08B,$0.03B,34.94%,$0.08B,$-0.01B,-12.05%,$0.08B,$-0.01B,-12.05%,$0.08B,$-0.01B,-7.23%,$0.08B,$-0.01B,-12.05%,$0.08B,$-0.01B,-12.05%,$-0.01B,$0.05B,-20.94%,$-0.01B,$0.01B,-90.91%,$-0.01B,$0.08B,-12.38%,$-0.01B,$0.05B,-17.78%,$23,$14,$8,$1,$9,$24,$-2,$-0,$-2,$-0,$-2,$-2,$-2,$-1,$-2,$21,21,$-0.07,$-0.07,$2,$14,$2,$30,$11,$0,$36,$2,$50,$80,$22,$9,$1,$13,$35,$0,$-101,$-4,$45,$80,$-5,$1,$-0,$1,$-2,$-1,$-0,$4,$1,$-3,$-0,$-0,$0,$0,$0,$0,$0,$-1,$1,$0,$1,$0,$0,$0,$-0,$1,$-3,$0,$0
6,2017-03-31,4.74,$2.16,2.19,$4.00,1.18,$-0.14,0.0,$-0.39,0.0,$0.03B,$0.02B,1.53,$0.01B,$0.05B,0.19,$0.08B,$0.03B,36.14%,$0.08B,$-0.01B,-10.84%,$0.08B,$-0.01B,-10.84%,$0.08B,$-0.01B,-6.02%,$0.08B,$-0.01B,-10.84%,$0.08B,$-0.01B,-10.84%,$-0.01B,$0.05B,-18.00%,$-0.01B,$0.01B,-70.59%,$-0.01B,$0.08B,-10.98%,$-0.01B,$0.05B,-15.38%,$18,$12,$6,$1,$9,$22,$-4,$-0,$-4,$-0,$-4,$-4,$-4,$-3,$-4,$21,21,$-0.18,$-0.18,$3,$13,$2,$31,$11,$0,$36,$0,$48,$79,$21,$9,$1,$13,$34,$0,$-100,$-5,$45,$79,$-4,$1,$-0,$0,$-1,$-0,$1,$2,$2,$-1,$-0,$-0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-2,$0,$0
7,2016-12-31,6.93,$2.33,2.98,$4.14,1.67,$-0.09,0.0,$-0.34,0.0,$0.03B,$0.02B,1.81,$0.01B,$0.05B,0.18,$0.09B,$0.03B,37.21%,$0.09B,$-0.01B,-8.14%,$0.09B,$-0.01B,-8.14%,$0.09B,$-0.00B,-4.65%,$0.09B,$-0.01B,-9.30%,$0.09B,$-0.01B,-9.30%,$-0.01B,$0.05B,-15.09%,$-0.01B,$0.01B,-54.24%,$-0.01B,$0.08B,-9.52%,$-0.01B,$0.06B,-11.43%,$19,$13,$6,$0,$8,$22,$-3,$-0,$-3,$-0,$-3,$-3,$-3,$-2,$-3,$21,21,$-0.13,$-0.13,$5,$13,$3,$32,$11,$0,$36,$0,$48,$80,$18,$9,$1,$13,$31,$0,$-96,$-6,$49,$80,$-7,$3,$1,$4,$4,$-2,$0,$-0,$3,$-1,$-1,$-1,$0,$0,$0,$0,$0,$-2,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-3,$1,$0
8,2016-09-30,5.83,$2.51,2.32,$4.26,1.37,$-0.56,0.0,$-0.28,0.0,$0.04B,$0.02B,1.97,$0.01B,$0.05B,0.17,$0.09B,$0.03B,38.20%,$0.09B,$-0.01B,-5.62%,$0.09B,$-0.01B,-5.62%,$0.09B,$-0.00B,-2.25%,$0.09B,$-0.01B,-6.74%,$0.09B,$-0.01B,-6.74%,$-0.01B,$0.05B,-10.76%,$-0.01B,$0.02B,-36.36%,$-0.01B,$0.08B,-6.92%,$-0.01B,$0.06B,-7.81%,$23,$15,$9,$1,$8,$24,$-1,$-0,$-1,$-0,$-1,$-1,$-1,$0,$-1,$21,21,$-0.02,$-0.02,$7,$12,$2,$35,$11,$0,$38,$0,$49,$84,$18,$9,$1,$14,$32,$0,$-93,$-4,$52,$84,$-5,$2,$1,$4,$2,$-1,$0,$1,$2,$1,$-0,$-1,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-0,$1,$0
9,2016-06-30,5.05,$2.57,1.97,$4.34,1.16,$-1.16,0.0,$-0.26,0.0,$0.04B,$0.02B,2.0,$0.01B,$0.05B,0.16,$0.09B,$0.03B,37.36%,$0.09B,$-0.00B,-4.40%,$0.09B,$-0.00B,-4.40%,$0.09B,$-0.00B,-1.10%,$0.09B,$-0.01B,-5.49%,$0.09B,$-0.01B,-5.49%,$-0.01B,$0.05B,-8.62%,$-0.01B,$0.02B,-28.17%,$-0.01B,$0.09B,-5.65%,$-0.00B,$0.06B,-6.04%,$23,$14,$9,$1,$9,$24,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$21,21,$-0.07,$-0.07,$6,$13,$2,$35,$11,$0,$38,$0,$50,$85,$18,$9,$1,$14,$32,$0,$-93,$-4,$54,$85,$-4,$1,$1,$3,$2,$-1,$-0,$1,$1,$-0,$-0,$-0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-1,$1,$0
