,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,60.92,$113.61,0.54,$26.11,2.33,$8.08,7.54,$4.49,13.57,$1.76B,$8.02B,0.22,$8.30B,$24.65B,0.34,$18.68B,$7.72B,41.31%,$18.68B,$3.32B,17.77%,$18.68B,$3.32B,17.77%,$18.68B,$5.31B,28.41%,$18.68B,$3.26B,17.44%,$18.68B,$3.21B,17.15%,$3.21B,$24.65B,13.19%,$3.21B,$20.52B,15.92%,$3.21B,$41.75B,7.72%,$3.32B,$32.95B,10.37%,$5836,$2958,$2878,$0,$573,$4042,$1794,$-49,$1744,$37,$1707,$1707,$1707,$2304,$1794,$706,707,$2.42,$2.41,$526,$405,$0,$1755,$35178,$0,$4131,$689,$39998,$41753,$8020,$8297,$783,$9080,$17100,$365,$24921,$-1840,$24654,$41753,$2659,$1510,$4,$1514,$-61,$-19,$-94,$625,$285,$4436,$-2502,$0,$0,$0,$0,$0,$-104,$-2606,$347,$182,$529,$-1205,$-1205,$-1003,$-28,$-1707,$131,$49,$-1003
1,2018-05-31,64.13,$33.66,1.91,$25.45,2.52,$8.10,7.92,$3.91,16.4,$2.28B,$9.31B,0.25,$8.17B,$23.93B,0.34,$18.36B,$7.34B,39.99%,$18.36B,$2.92B,15.90%,$18.36B,$2.92B,15.90%,$18.36B,$4.87B,26.52%,$18.36B,$2.88B,15.69%,$18.36B,$2.83B,15.40%,$2.83B,$23.93B,11.69%,$2.83B,$19.80B,14.14%,$2.83B,$42.18B,6.85%,$2.92B,$32.11B,9.19%,$4357,$2681,$1676,$0,$605,$3798,$559,$5,$564,$3,$561,$561,$561,$1071,$559,$714,715,$0.79,$0.78,$1053,$402,$0,$2278,$35227,$0,$4133,$546,$39906,$42184,$9308,$8172,$771,$8943,$18251,$365,$23564,$-1855,$23933,$42184,$951,$1000,$-25,$975,$-35,$-16,$-14,$1472,$1158,$3087,$-2099,$0,$0,$0,$0,$0,$7,$-2092,$437,$398,$835,$-513,$-513,$-646,$-16,$-339,$658,$32,$-646
2,2018-02-28,66.2,$32.87,2.01,$24.78,2.67,$8.08,8.19,$3.65,18.14,$1.67B,$8.85B,0.19,$7.45B,$24.38B,0.31,$17.95B,$7.18B,39.98%,$17.95B,$2.86B,15.93%,$17.95B,$2.86B,15.93%,$17.95B,$4.76B,26.49%,$17.95B,$2.70B,15.05%,$17.95B,$2.65B,14.73%,$2.65B,$24.38B,11.05%,$2.65B,$20.17B,13.41%,$2.65B,$41.44B,6.48%,$2.86B,$31.83B,9.11%,$4232,$2709,$1523,$0,$616,$3813,$419,$-28,$390,$0,$390,$390,$391,$907,$419,$717,719,$0.54,$0.54,$453,$394,$0,$1667,$35027,$0,$4212,$535,$39774,$41441,$8851,$7445,$764,$8209,$17060,$365,$23360,$-1486,$24382,$41441,$391,$488,$2,$490,$-30,$1,$19,$369,$161,$1064,$-574,$0,$0,$0,$0,$0,$-17,$-591,$-494,$611,$117,$-218,$-218,$-323,$-4,$-428,$58,$18,$-323
3,2017-11-30,65.03,$111.59,0.58,$24.10,2.7,$8.11,8.02,$3.59,18.12,$1.60B,$8.80B,0.18,$6.99B,$24.22B,0.29,$17.51B,$7.01B,40.03%,$17.51B,$2.81B,16.04%,$17.51B,$2.81B,16.04%,$17.51B,$4.66B,26.58%,$17.51B,$2.67B,15.23%,$17.51B,$2.61B,14.88%,$2.61B,$24.22B,11.09%,$2.61B,$20.05B,13.50%,$2.61B,$40.78B,6.49%,$2.81B,$31.21B,9.05%,$4259,$2617,$1642,$0,$616,$3711,$548,$12,$560,$14,$546,$546,$546,$1026,$548,$722,725,$0.77,$0.76,$395,$387,$0,$1596,$34430,$0,$4167,$585,$39182,$40778,$8800,$6993,$769,$7762,$16562,$365,$23292,$-1782,$24216,$40778,$2606,$1846,$420,$2266,$6,$-49,$21,$348,$399,$5322,$-2944,$0,$0,$0,$0,$0,$-145,$-3089,$-760,$-29,$-789,$-552,$-552,$-1087,$-24,$-2452,$-208,$63,$-1087
4,2017-08-31,68.67,$32.36,2.12,$23.50,2.92,$7.61,9.03,$3.66,18.76,$1.66B,$7.97B,0.21,$7.72B,$24.17B,0.32,$17.19B,$6.98B,40.64%,$17.19B,$2.86B,16.63%,$17.19B,$2.86B,16.63%,$17.19B,$4.66B,27.12%,$17.19B,$2.72B,15.82%,$17.19B,$2.67B,15.52%,$2.67B,$24.17B,11.55%,$2.67B,$19.97B,14.12%,$2.67B,$40.64B,6.73%,$2.86B,$31.90B,9.23%,$5515,$3013,$2502,$0,$547,$4122,$1393,$-25,$1368,$39,$1329,$1329,$1329,$1865,$1393,$723,726,$1.84,$1.83,$489,$357,$0,$1661,$34172,$0,$4204,$606,$38982,$40643,$7969,$7723,$779,$8502,$16471,$365,$23066,$-1845,$24172,$40643,$2060,$1368,$459,$1827,$-1,$-18,$-101,$454,$359,$4298,$-2296,$0,$0,$0,$0,$0,$-123,$-2419,$-545,$-335,$-880,$-305,$-305,$-797,$-22,$-2004,$-114,$48,$-797
5,2017-05-31,62.5,$31.59,1.98,$22.80,2.74,$7.17,8.72,$3.76,16.62,$1.77B,$9.06B,0.2,$7.64B,$22.96B,0.33,$16.77B,$7.02B,41.84%,$16.77B,$3.03B,18.05%,$16.77B,$3.03B,18.05%,$16.77B,$4.80B,28.62%,$16.77B,$2.82B,16.79%,$16.77B,$2.76B,16.48%,$2.76B,$22.96B,12.13%,$2.76B,$18.73B,14.88%,$2.76B,$40.45B,7.02%,$3.03B,$30.60B,9.83%,$3945,$2436,$1509,$0,$553,$3445,$500,$-116,$384,$5,$379,$379,$379,$957,$500,$724,727,$0.52,$0.52,$597,$351,$0,$1774,$33823,$0,$4239,$615,$38677,$40451,$9058,$7635,$794,$8429,$17487,$365,$22026,$-2154,$22964,$40451,$730,$896,$61,$957,$-8,$-19,$-38,$1211,$1126,$2849,$-1859,$0,$0,$0,$0,$0,$-75,$-1934,$-440,$182,$-258,$-152,$-152,$-507,$-18,$-935,$-6,$34,$-507
6,2017-02-28,53.16,$25.99,2.05,$22.29,2.38,$6.78,7.84,$4.04,13.16,$1.60B,$7.47B,0.21,$7.80B,$22.66B,0.34,$16.53B,$6.95B,42.07%,$16.53B,$3.01B,18.18%,$16.53B,$3.01B,18.18%,$16.53B,$4.76B,28.79%,$16.53B,$3.04B,18.39%,$16.53B,$2.99B,18.08%,$2.99B,$22.66B,13.15%,$2.99B,$18.47B,16.16%,$2.99B,$38.70B,7.63%,$3.01B,$30.46B,9.73%,$3791,$2435,$1356,$0,$549,$3423,$368,$-14,$354,$2,$352,$352,$352,$807,$368,$725,728,$0.48,$0.48,$437,$361,$0,$1597,$32328,$0,$4190,$588,$37106,$38703,$7465,$7796,$782,$8578,$16043,$365,$21939,$-2440,$22660,$38703,$352,$439,$-7,$432,$-2,$-35,$-47,$209,$128,$932,$-412,$0,$0,$0,$0,$0,$-62,$-474,$-1,$-289,$-290,$-69,$-69,$-254,$-2,$-615,$-166,$20,$-254
7,2016-11-30,49.05,$31.13,1.58,$21.83,2.25,$6.68,7.35,$3.74,13.12,$1.69B,$7.07B,0.24,$8.30B,$22.60B,0.37,$16.39B,$7.01B,42.75%,$16.39B,$3.07B,18.74%,$16.39B,$3.07B,18.74%,$16.39B,$4.81B,29.34%,$16.39B,$2.83B,17.26%,$16.39B,$2.78B,16.96%,$2.78B,$22.60B,12.23%,$2.78B,$18.41B,15.05%,$2.78B,$38.88B,7.10%,$3.07B,$30.90B,9.93%,$3936,$2319,$1617,$0,$585,$3339,$597,$16,$613,$5,$608,$608,$608,$1032,$597,$745,747,$0.81,$0.81,$603,$322,$0,$1689,$32429,$0,$4185,$578,$37192,$38881,$7072,$8302,$910,$9212,$16284,$365,$21843,$-2454,$22597,$38881,$2779,$1738,$102,$1840,$-22,$1,$109,$377,$444,$5134,$-3062,$0,$0,$0,$0,$0,$-261,$-3323,$264,$447,$711,$-2300,$-2300,$-977,$-25,$-2591,$-792,$55,$-977
8,2016-08-31,46.3,$31.37,1.48,$21.33,2.17,$6.82,6.79,$3.26,14.2,$1.55B,$7.10B,0.22,$8.32B,$22.90B,0.36,$16.16B,$6.88B,42.57%,$16.16B,$2.98B,18.46%,$16.16B,$2.98B,18.46%,$16.16B,$4.71B,29.12%,$16.16B,$2.49B,15.38%,$16.16B,$2.44B,15.10%,$2.44B,$22.90B,10.60%,$2.44B,$18.65B,13.03%,$2.44B,$39.33B,6.22%,$2.98B,$31.22B,9.62%,$5097,$2563,$2534,$0,$529,$3535,$1562,$-97,$1465,$41,$1424,$1424,$1424,$2004,$1562,$737,739,$1.93,$1.93,$462,$314,$102,$1554,$32864,$0,$4254,$660,$37778,$39332,$7100,$8320,$1012,$9332,$16432,$365,$21488,$-2012,$22900,$39332,$2171,$1303,$142,$1445,$-35,$15,$88,$385,$448,$4110,$-2397,$0,$0,$0,$0,$0,$-225,$-2622,$73,$301,$374,$-2070,$-2070,$-721,$-9,$-2426,$-933,$40,$-721
9,2016-05-31,46.9,$30.59,1.53,$20.68,2.27,$6.92,6.78,$2.89,16.23,$1.60B,$7.84B,0.2,$8.18B,$22.79B,0.36,$15.95B,$6.74B,42.26%,$15.95B,$2.93B,18.38%,$15.95B,$2.93B,18.38%,$15.95B,$4.61B,28.91%,$15.95B,$2.27B,14.24%,$15.95B,$2.23B,14.00%,$2.23B,$22.79B,9.55%,$2.23B,$18.47B,11.70%,$2.23B,$39.85B,5.71%,$2.93B,$30.97B,9.48%,$3705,$2258,$1447,$0,$532,$3227,$478,$129,$607,$2,$605,$605,$605,$916,$478,$751,753,$0.81,$0.80,$519,$315,$108,$1600,$33244,$0,$4324,$683,$38251,$39851,$7841,$8183,$1036,$9219,$17060,$365,$20320,$-1648,$22791,$39851,$747,$861,$93,$954,$-40,$16,$36,$1030,$958,$2681,$-1947,$0,$0,$0,$0,$0,$-226,$-2173,$65,$379,$444,$-1361,$-1361,$-459,$-5,$-1381,$-876,$28,$-459
