,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.15,$3.35,1.24,$3.07,1.35,$0.59,7.04,$-1.16,0.0,$0.14B,$0.09B,1.53,$0.39B,$0.51B,0.77,$0.45B,$0.14B,29.80%,$0.45B,$-0.13B,-28.26%,$0.45B,$-0.13B,-28.26%,$0.45B,$0.00B,0.66%,$0.45B,$-0.15B,-32.89%,$0.45B,$-0.17B,-36.42%,$-0.17B,$0.56B,-32.45%,$-0.17B,$0.31B,-44.56%,$-0.17B,$1.10B,-17.02%,$-0.13B,$0.96B,-15.03%,$120,$82,$39,$0,$17,$133,$-13,$-6,$-19,$-5,$-14,$-14,$-14,$22,$-13,$166,166,$-0.09,$-0.09,$5,$7,$26,$138,$708,$0,$250,$2,$960,$1099,$90,$392,$30,$445,$535,$0,$-697,$-354,$563,$1099,$-69,$100,$9,$109,$0,$1,$0,$-6,$-14,$26,$-5,$0,$-182,$0,$0,$0,$0,$-186,$137,$0,$137,$0,$0,$0,$-3,$134,$-28,$8,$0
1,2018-06-30,4.36,$3.43,1.27,$3.09,1.41,$0.76,5.73,$-1.24,0.0,$0.13B,$0.08B,1.55,$0.40B,$0.52B,0.77,$0.43B,$0.13B,29.77%,$0.43B,$-0.14B,-31.63%,$0.43B,$-0.14B,-31.63%,$0.43B,$-0.01B,-1.86%,$0.43B,$-0.16B,-36.28%,$0.43B,$-0.17B,-40.23%,$-0.17B,$0.58B,-34.65%,$-0.17B,$0.32B,-41.46%,$-0.17B,$1.12B,-18.66%,$-0.14B,$0.98B,-16.57%,$130,$89,$41,$0,$23,$146,$-16,$-8,$-23,$-23,$0,$0,$-48,$19,$-16,$165,165,$-0.29,$-0.29,$5,$5,$29,$130,$734,$0,$251,$2,$988,$1118,$84,$400,$30,$459,$542,$0,$-682,$-352,$575,$1118,$-55,$65,$11,$76,$11,$3,$0,$-3,$-7,$14,$-3,$0,$-185,$0,$0,$0,$0,$-188,$151,$0,$151,$0,$0,$0,$-3,$148,$-28,$5,$0
2,2018-03-31,3.77,$3.11,1.21,$3.01,1.25,$0.76,4.93,$-1.06,0.0,$0.13B,$0.06B,2.14,$0.30B,$0.42B,0.72,$0.39B,$0.12B,30.61%,$0.39B,$-0.13B,-33.93%,$0.39B,$-0.13B,-33.93%,$0.39B,$-0.01B,-2.30%,$0.39B,$-0.15B,-38.52%,$0.39B,$-0.14B,-35.71%,$-0.14B,$0.42B,-28.66%,$-0.14B,$0.39B,-30.25%,$-0.14B,$0.81B,-15.96%,$-0.13B,$0.72B,-16.94%,$102,$77,$24,$0,$17,$154,$-53,$-4,$-56,$-1,$-55,$-55,$-55,$-22,$-53,$132,132,$-0.42,$-0.42,$42,$5,$11,$130,$647,$0,$29,$1,$677,$807,$61,$302,$25,$327,$387,$0,$-634,$-336,$420,$807,$-55,$31,$31,$61,$5,$2,$0,$1,$-3,$3,$0,$0,$-24,$0,$0,$0,$0,$-24,$32,$0,$32,$0,$0,$0,$-1,$31,$9,$2,$0
3,2017-12-31,2.73,$3.60,0.76,$2.99,0.91,$0.80,3.43,$-0.81,0.0,$0.13B,$0.08B,1.75,$0.28B,$0.48B,0.58,$0.38B,$0.13B,33.07%,$0.38B,$-0.10B,-25.72%,$0.38B,$-0.10B,-25.72%,$0.38B,$0.03B,7.35%,$0.38B,$-0.12B,-31.23%,$0.38B,$-0.11B,-27.82%,$-0.11B,$0.48B,-20.45%,$-0.11B,$0.45B,-21.50%,$-0.11B,$0.85B,-11.69%,$-0.10B,$0.75B,-12.05%,$101,$71,$31,$0,$19,$147,$-46,$-6,$-51,$-4,$-47,$-47,$-48,$-16,$-46,$128,128,$-0.37,$-0.37,$33,$7,$11,$132,$694,$0,$23,$5,$722,$854,$76,$278,$24,$302,$378,$0,$-579,$-328,$476,$854,$-105,$126,$34,$161,$-7,$-4,$0,$-3,$1,$57,$-9,$0,$0,$0,$0,$0,$1,$-9,$-81,$0,$-81,$65,$65,$0,$-2,$-18,$31,$7,$0
4,2017-09-30,2.85,$3.98,0.72,$3.05,0.93,$0.88,3.25,$-0.60,0.0,$0.14B,$0.07B,2.09,$0.31B,$0.53B,0.59,$0.37B,$0.13B,33.69%,$0.37B,$-0.07B,-18.06%,$0.37B,$-0.07B,-18.06%,$0.37B,$0.06B,16.17%,$0.37B,$-0.09B,-23.45%,$0.37B,$-0.07B,-19.95%,$-0.07B,$0.53B,-14.28%,$-0.07B,$0.50B,-15.06%,$-0.07B,$0.93B,-8.04%,$-0.07B,$0.83B,-8.09%,$97,$66,$32,$0,$16,$119,$-21,$-5,$-26,$-4,$-22,$-22,$-22,$11,$-21,$131,131,$-0.17,$-0.17,$54,$5,$6,$138,$756,$0,$25,$11,$792,$930,$66,$308,$30,$338,$404,$0,$-532,$-325,$526,$930,$-58,$97,$2,$99,$-3,$-2,$0,$-7,$4,$46,$-6,$0,$0,$0,$0,$0,$1,$-6,$-52,$0,$-52,$65,$65,$0,$-2,$11,$52,$5,$0
5,2017-06-30,2.1,$4.02,0.52,$3.28,0.64,$0.93,2.25,$-0.82,0.0,$0.12B,$0.05B,2.19,$0.30B,$0.53B,0.56,$0.38B,$0.13B,34.13%,$0.38B,$-0.10B,-25.13%,$0.38B,$-0.10B,-25.13%,$0.38B,$0.03B,8.99%,$0.38B,$-0.12B,-30.42%,$0.38B,$-0.09B,-24.87%,$-0.09B,$0.53B,-18.23%,$-0.09B,$0.51B,-19.30%,$-0.09B,$0.92B,-10.08%,$-0.10B,$0.83B,-11.33%,$92,$59,$33,$0,$14,$105,$-13,$-4,$-18,$-3,$-15,$-15,$-15,$18,$-13,$131,131,$-0.11,$-0.11,$27,$4,$6,$115,$766,$0,$26,$9,$801,$917,$53,$300,$29,$332,$385,$0,$-509,$-339,$532,$917,$-36,$64,$-1,$63,$-2,$-1,$0,$-7,$-13,$14,$-5,$0,$0,$0,$0,$0,$0,$-5,$-48,$0,$-48,$65,$65,$0,$-2,$15,$26,$4,$0
6,2017-03-31,2.99,$4.08,0.73,$3.58,0.84,$1.12,2.68,$-0.82,0.0,$0.11B,$0.06B,1.93,$0.30B,$0.54B,0.55,$0.39B,$0.14B,35.11%,$0.39B,$-0.09B,-22.39%,$0.39B,$-0.09B,-22.39%,$0.39B,$0.04B,10.94%,$0.39B,$-0.11B,-27.74%,$0.39B,$-0.09B,-22.90%,$-0.09B,$0.54B,-17.34%,$-0.09B,$0.51B,-18.41%,$-0.09B,$0.93B,-9.31%,$-0.09B,$0.84B,-10.22%,$91,$62,$30,$0,$14,$109,$-18,$-6,$-24,$-3,$-21,$-21,$-21,$15,$-18,$121,121,$-0.17,$-0.17,$27,$4,$6,$105,$782,$0,$28,$10,$820,$925,$55,$296,$29,$332,$386,$0,$-494,$-345,$539,$925,$-21,$33,$-0,$33,$3,$-0,$0,$-1,$-2,$10,$-3,$0,$0,$0,$0,$0,$0,$-3,$-44,$0,$-44,$65,$65,$0,$-2,$19,$25,$2,$0
7,2016-12-31,2.2,$4.40,0.5,$3.71,0.59,$1.14,1.93,$-0.90,0.0,$0.08B,$0.06B,1.37,$0.34B,$0.48B,0.71,$0.40B,$0.14B,34.51%,$0.40B,$-0.10B,-24.18%,$0.40B,$-0.10B,-24.18%,$0.40B,$0.04B,8.82%,$0.40B,$-0.12B,-29.22%,$0.40B,$-0.10B,-24.18%,$-0.10B,$0.48B,-18.24%,$-0.10B,$0.45B,-19.43%,$-0.10B,$0.91B,-9.55%,$-0.10B,$0.81B,-10.76%,$91,$61,$30,$0,$13,$106,$-15,$-4,$-19,$-3,$-16,$-16,$-16,$16,$-15,$107,107,$-0.15,$-0.15,$2,$3,$6,$83,$790,$0,$28,$10,$828,$910,$60,$338,$27,$374,$434,$0,$-473,$-363,$476,$910,$-96,$131,$40,$172,$7,$2,$0,$-7,$-14,$62,$-14,$0,$0,$0,$0,$0,$1,$-13,$-56,$0,$-56,$0,$0,$0,$-2,$-58,$-6,$5,$0
8,2016-09-30,1.14,$4.76,0.24,$3.78,0.3,$1.97,0.58,$-0.85,0.0,$0.09B,$0.07B,1.29,$0.36B,$0.52B,0.7,$0.40B,$0.14B,34.49%,$0.40B,$-0.09B,-23.33%,$0.40B,$-0.09B,-23.33%,$0.40B,$0.04B,9.43%,$0.40B,$-0.11B,-28.04%,$0.40B,$-0.09B,-22.58%,$-0.09B,$0.52B,-16.60%,$-0.09B,$0.48B,-17.70%,$-0.09B,$0.98B,-8.71%,$-0.09B,$0.87B,-10.16%,$104,$68,$36,$0,$14,$153,$-49,$-5,$-54,$-12,$-42,$-42,$-42,$-15,$-49,$107,107,$-0.39,$-0.39,$3,$4,$6,$90,$845,$0,$32,$11,$888,$978,$70,$358,$32,$393,$463,$0,$-457,$-340,$515,$978,$-80,$100,$29,$130,$-3,$1,$0,$-7,$-1,$49,$-11,$0,$0,$0,$0,$0,$-1,$-12,$-44,$0,$-44,$0,$0,$0,$-2,$-46,$-5,$5,$0
9,2016-06-30,1.8,$5.05,0.36,$3.80,0.47,$2.86,0.63,$-1.47,0.0,$0.10B,$0.08B,1.34,$0.38B,$0.55B,0.69,$0.41B,$0.14B,34.48%,$0.41B,$-0.17B,-41.38%,$0.41B,$-0.17B,-41.38%,$0.41B,$-0.03B,-8.37%,$0.41B,$-0.19B,-46.55%,$0.41B,$-0.16B,-38.67%,$-0.16B,$0.55B,-27.94%,$-0.16B,$0.51B,-29.81%,$-0.16B,$1.05B,-14.54%,$-0.17B,$0.92B,-17.72%,$107,$65,$42,$0,$15,$113,$-6,$-6,$-12,$-1,$-11,$-11,$-11,$27,$-6,$107,107,$-0.11,$-0.11,$2,$5,$4,$102,$906,$0,$32,$11,$950,$1052,$76,$375,$32,$430,$506,$0,$-415,$-349,$546,$1052,$-38,$67,$6,$73,$-6,$1,$0,$1,$0,$35,$-8,$0,$0,$0,$0,$0,$-2,$-9,$-28,$0,$-28,$0,$0,$0,$-2,$-30,$-6,$3,$0
