,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.05,$0.66,1.58,$0.01,0.0,$-1.61,0.0,$-0.51,0.0,$0.03B,$0.01B,3.06,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.02B,-65.12%,$-0.01B,$0.02B,-65.12%,$-0.01B,$0.03B,-33.33%,$-0.02B,$0.02B,-74.42%,$0,$0,$0,$1,$2,$3,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$33,33,$-0.10,$-0.10,$25,$0,$0,$32,$1,$0,$0,$0,$1,$33,$10,$0,$0,$0,$10,$0,$-455,$0,$22,$33,$-10,$2,$1,$2,$2,$0,$-1,$1,$0,$-8,$-0,$0,$0,$0,$0,$0,$0,$-0,$-10,$0,$-10,$7,$7,$0,$-2,$-5,$-13,$1,$0
1,2018-06-30,1.13,$0.75,1.51,0,0.0,$-2.13,0.0,$-0.60,0.0,$0.04B,$0.02B,2.3,$0.00B,$0.03B,0.0,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.03B,-75.29%,$-0.02B,$0.03B,-75.29%,$-0.02B,$0.04B,-34.59%,$-0.02B,$0.03B,-98.82%,$0,$0,$0,$1,$2,$3,$-3,$-1,$-3,$0,$-3,$-3,$-3,$-2,$-3,$30,30,$-0.10,$-0.10,$36,$0,$0,$43,$1,$0,$0,$0,$1,$44,$19,$0,$0,$0,$19,$0,$-451,$0,$25,$44,$-7,$1,$0,$2,$1,$0,$-2,$2,$-0,$-6,$-0,$0,$0,$0,$0,$0,$0,$-0,$-2,$0,$-2,$7,$7,$0,$0,$4,$-1,$1,$0
2,2018-03-31,1.59,$0.76,2.1,0,0.0,$-2.65,0.0,$-1.10,0.0,$0.04B,$0.02B,1.92,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.02B,-136.71%,$-0.03B,$0.02B,-136.71%,$-0.03B,$0.04B,-54.27%,$-0.03B,$0.02B,-113.68%,$0,$0,$0,$1,$2,$4,$-4,$-0,$-4,$0,$-4,$-4,$-4,$-3,$-4,$27,27,$-0.15,$-0.15,$35,$0,$0,$42,$1,$0,$0,$0,$1,$43,$22,$0,$0,$0,$22,$0,$-448,$0,$21,$43,$-4,$1,$0,$1,$1,$0,$-1,$1,$2,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-3,$0,$0
3,2017-12-31,1.69,$0.65,2.61,0,0.0,$-3.03,0.0,$-1.55,0.0,$0.05B,$0.03B,1.56,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.02B,-186.30%,$-0.03B,$0.02B,-188.89%,$-0.03B,$0.05B,-65.07%,$-0.03B,$0.02B,-124.53%,$0,$0,$0,$2,$3,$6,$-6,$1,$-4,$0,$-4,$-4,$-4,$-5,$-6,$24,24,$-0.07,$-0.07,$38,$0,$0,$47,$1,$0,$0,$0,$1,$48,$30,$0,$0,$0,$30,$0,$-451,$0,$18,$48,$-35,$3,$2,$5,$-7,$0,$-2,$8,$3,$-27,$-0,$0,$0,$0,$0,$0,$0,$-0,$-15,$0,$-15,$23,$23,$0,$-0,$8,$-19,$3,$0
4,2017-09-30,2.46,$0.78,3.17,$0.01,0.0,$-5.66,0.0,$-1.75,0.0,$0.05B,$0.03B,1.71,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$-0.04B,$0.02B,-190.00%,$-0.04B,$0.02B,-192.41%,$-0.04B,$0.05B,-67.86%,$-0.04B,$0.02B,-112.98%,$0,$0,$0,$5,$3,$8,$-8,$3,$-5,$0,$-5,$-5,$-5,$-8,$-8,$27,27,$-0.19,$-0.19,$46,$0,$0,$48,$1,$0,$0,$0,$1,$50,$28,$0,$0,$0,$28,$0,$-446,$0,$21,$50,$-31,$2,$3,$5,$-0,$0,$-1,$8,$6,$-20,$-0,$0,$0,$0,$0,$0,$0,$-0,$-14,$0,$-14,$23,$23,$0,$-0,$9,$-11,$2,$0
5,2017-06-30,3.76,$0.75,5.01,$0.01,0.0,$-7.64,0.0,$-2.34,0.0,$0.06B,$0.02B,2.44,$0.02B,$0.02B,0.82,$0.00B,0,nan%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$-0.05B,$0.02B,-216.87%,$-0.05B,$0.02B,-222.22%,$-0.05B,$0.06B,-75.63%,$-0.04B,$0.04B,-106.49%,$0,$0,$0,$6,$3,$9,$-9,$-5,$-14,$0,$-14,$-14,$-14,$-9,$-9,$23,23,$-0.60,$-0.60,$55,$0,$0,$57,$1,$0,$0,$0,$2,$58,$23,$16,$0,$16,$39,$0,$-441,$0,$19,$58,$-25,$1,$6,$8,$0,$0,$1,$2,$1,$-16,$-0,$0,$0,$0,$0,$0,$0,$-0,$-2,$0,$-2,$17,$17,$0,$0,$14,$-2,$2,$0
6,2017-03-31,2.67,$0.74,3.6,$0.02,163.65,$-9.26,0.0,$-3.36,0.0,$0.05B,$0.02B,2.46,$0.02B,$0.02B,1.2,$0.00B,0,nan%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$-0.05B,$0.02B,-225.29%,$-0.05B,$0.01B,-230.59%,$-0.05B,$0.05B,-81.67%,$-0.05B,$0.03B,-121.95%,$0,$0,$0,$7,$3,$10,$-10,$-1,$-11,$0,$-11,$-11,$-11,$-9,$-10,$19,19,$-0.60,$-0.60,$48,$0,$0,$51,$2,$0,$0,$0,$2,$53,$21,$18,$0,$18,$38,$0,$-427,$0,$15,$53,$-11,$1,$1,$2,$0,$0,$0,$1,$1,$-8,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-9,$1,$0
7,2016-12-31,2.23,$1.34,1.67,$0.02,137.13,$-10.02,0.0,$-3.90,0.0,$0.06B,$0.02B,3.11,$0.02B,$0.02B,0.76,$0.00B,0,nan%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$-0.05B,$0.03B,-192.45%,$-0.05B,$0.03B,-196.15%,$-0.05B,$0.06B,-77.86%,$-0.05B,$0.04B,-110.64%,$0,$0,$0,$6,$3,$10,$-10,$2,$-8,$0,$-8,$-8,$-8,$-10,$-10,$14,14,$-0.23,$-0.23,$57,$0,$0,$61,$2,$0,$0,$0,$2,$63,$20,$18,$0,$18,$38,$0,$-416,$0,$25,$63,$-51,$1,$3,$4,$4,$0,$-2,$0,$-3,$-50,$-1,$0,$0,$35,$0,$35,$0,$34,$24,$0,$24,$27,$27,$0,$0,$51,$35,$7,$0
8,2016-09-30,3.53,$1.46,2.42,$0.01,0.0,$-11.00,0.0,$-5.64,0.0,$0.06B,$0.02B,3.06,$0.02B,$0.02B,0.86,$0.00B,0,nan%,$0.00B,$-0.07B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.07B,inf%,$-0.07B,$0.02B,-208.00%,$-0.07B,$0.02B,-211.38%,$-0.07B,$0.06B,-97.74%,$-0.07B,$0.04B,-137.57%,$0,$0,$0,$9,$3,$12,$-12,$-0,$-12,$0,$-12,$-12,$-12,$-11,$-12,$15,15,$-0.80,$-0.80,$59,$0,$0,$62,$2,$0,$0,$0,$2,$64,$20,$20,$0,$20,$40,$0,$-408,$0,$24,$64,$-43,$1,$4,$5,$4,$0,$-3,$1,$-3,$-40,$-1,$0,$0,$35,$0,$35,$0,$34,$24,$0,$24,$19,$19,$0,$0,$43,$37,$5,$0
9,2016-06-30,13.38,$2.05,6.54,$0.01,0.0,$-11.50,0.0,$-5.52,0.0,$0.06B,$0.02B,3.81,$0.02B,$0.02B,0.94,$0.00B,0,nan%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$-0.06B,$0.02B,-145.45%,$-0.06B,$0.02B,-147.24%,$-0.06B,$0.06B,-86.02%,$-0.06B,$0.05B,-122.49%,$0,$0,$0,$12,$6,$19,$-18,$0,$-18,$0,$-18,$-18,$-18,$-18,$-18,$11,11,$-1.62,$-1.62,$56,$0,$0,$57,$2,$0,$0,$1,$3,$60,$15,$22,$0,$22,$37,$0,$-396,$0,$23,$60,$-31,$0,$4,$5,$4,$0,$-1,$1,$1,$-25,$-1,$0,$0,$35,$0,$35,$0,$34,$24,$0,$24,$1,$1,$0,$0,$25,$34,$4,$0
10,2016-03-31,16.08,$3.02,5.32,0,0.0,$-11.76,0.0,$-5.16,0.0,$0.07B,$0.02B,3.86,$0.02B,$0.03B,0.68,$0.00B,0,nan%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$-0.05B,$0.03B,-117.39%,$-0.05B,$0.03B,-118.68%,$-0.05B,$0.08B,-76.60%,$-0.06B,$0.06B,-116.50%,$0,$0,$0,$8,$4,$12,$-12,$-1,$-13,$0,$-13,$-13,$-13,$-12,$-12,$11,11,$-1.14,$-1.14,$68,$0,$0,$73,$2,$0,$0,$1,$3,$75,$19,$23,$0,$23,$42,$0,$-378,$0,$34,$75,$-13,$0,$2,$2,$4,$0,$-2,$-1,$-3,$-13,$-0,$0,$0,$35,$0,$35,$0,$35,$24,$0,$24,$0,$0,$0,$0,$24,$46,$1,$0
