,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.5,$0.30,15.09,$59.85,0.08,$-11.37,0.0,$-6.98,0.0,$2.44B,$1.58B,1.55,$2.34B,$0.02B,102.95,$4.54B,$0.98B,21.55%,$4.54B,$-0.28B,-6.23%,$4.54B,$-0.28B,-6.23%,$4.54B,$-0.02B,-0.48%,$4.54B,$-0.39B,-8.61%,$4.54B,$-0.53B,-11.70%,$-0.53B,$0.02B,-170.19%,$-0.53B,$-1.53B,36.61%,$-0.53B,$4.70B,-10.66%,$-0.28B,$2.36B,-12.71%,$1119,$891,$228,$37,$216,$1253,$-134,$-39,$-173,$46,$-219,$-219,$-213,$-70,$-134,$76,76,$-2.79,$-2.79,$449,$847,$201,$2442,$321,$24,$1555,$100,$2256,$4698,$1580,$2337,$103,$3096,$4675,$114,$-3,$-292,$23,$4698,$-417,$195,$167,$362,$-21,$-143,$7,$-165,$-314,$-372,$-30,$0,$-6,$0,$149,$149,$-23,$90,$399,$185,$584,$-3,$-3,$-8,$-377,$197,$-100,$27,$-8
1,2018-06-30,11.95,$3.43,3.48,$60.01,0.2,$-9.57,0.0,$-4.66,0.0,$2.29B,$1.65B,1.39,$1.82B,$0.26B,6.96,$4.54B,$0.99B,21.79%,$4.54B,$-0.16B,-3.48%,$4.54B,$-0.16B,-3.48%,$4.54B,$0.11B,2.38%,$4.54B,$-0.25B,-5.46%,$4.54B,$-0.35B,-7.79%,$-0.35B,$0.26B,-77.08%,$-0.35B,$-1.44B,25.48%,$-0.35B,$4.81B,-6.88%,$-0.16B,$2.08B,-7.03%,$1106,$886,$220,$41,$220,$1237,$-132,$-32,$-163,$-30,$-133,$-133,$-139,$-68,$-132,$76,76,$-1.82,$-1.82,$314,$821,$220,$2292,$338,$97,$1703,$93,$2516,$4809,$1652,$1817,$99,$2895,$4548,$114,$216,$-274,$261,$4809,$-197,$131,$37,$168,$-5,$-112,$15,$-93,$-226,$-257,$-20,$0,$-6,$0,$67,$67,$-11,$30,$-23,$65,$42,$-3,$-3,$-8,$-30,$1,$-236,$20,$-8
2,2018-03-31,15.4,$6.10,2.53,$60.48,0.25,$-8.59,0.0,$-3.25,0.0,$2.41B,$1.85B,1.31,$1.71B,$0.46B,3.7,$4.57B,$1.01B,22.05%,$4.57B,$-0.06B,-1.23%,$4.57B,$-0.06B,-1.23%,$4.57B,$0.20B,4.46%,$4.57B,$-0.15B,-3.17%,$4.57B,$-0.25B,-5.38%,$-0.25B,$0.46B,-44.71%,$-0.25B,$-1.44B,18.39%,$-0.25B,$5.18B,-4.63%,$-0.06B,$2.18B,-2.40%,$1064,$823,$241,$42,$228,$1085,$-21,$-23,$-44,$19,$-63,$-63,$-71,$46,$-21,$76,76,$-0.94,$-0.94,$386,$831,$207,$2414,$366,$98,$1900,$90,$2765,$5178,$1847,$1713,$101,$2868,$4715,$114,$354,$-206,$463,$5178,$-63,$67,$-12,$55,$-18,$-93,$-4,$-18,$-132,$-142,$-11,$0,$-6,$0,$59,$59,$-3,$39,$-6,$-75,$-81,$-3,$-3,$-8,$-1,$-91,$-173,$14,$-8
3,2017-12-31,16.24,$6.64,2.45,$61.09,0.27,$-7.58,0.0,$-3.09,0.0,$2.50B,$1.80B,1.39,$1.79B,$0.50B,3.56,$4.61B,$1.01B,21.91%,$4.61B,$-0.08B,-1.82%,$4.61B,$-0.08B,-1.82%,$4.61B,$0.17B,3.64%,$4.61B,$-0.18B,-3.82%,$4.61B,$-0.23B,-5.08%,$-0.23B,$0.50B,-40.59%,$-0.23B,$-1.39B,18.31%,$-0.23B,$5.24B,-4.39%,$-0.08B,$2.29B,-3.57%,$1250,$961,$289,$41,$241,$1246,$4,$-14,$-11,$90,$-100,$-100,$-108,$71,$4,$76,76,$-1.42,$-1.42,$625,$729,$178,$2500,$365,$97,$1891,$96,$2742,$5242,$1797,$1787,$111,$2944,$4741,$113,$394,$-196,$501,$5242,$-206,$252,$54,$306,$23,$18,$-6,$-64,$-67,$37,$-69,$0,$15,$0,$-34,$-34,$-41,$-129,$-85,$75,$-10,$-5,$-5,$-31,$-19,$-64,$-118,$34,$-31
4,2017-09-30,22.57,$8.10,2.79,$62.53,0.36,$-7.31,0.0,$-2.70,0.0,$2.58B,$1.76B,1.47,$1.84B,$0.61B,3.0,$4.60B,$0.95B,20.66%,$4.60B,$-0.17B,-3.61%,$4.60B,$-0.17B,-3.61%,$4.60B,$0.08B,1.76%,$4.60B,$-0.27B,-5.91%,$4.60B,$-0.20B,-4.43%,$-0.20B,$0.61B,-28.83%,$-0.20B,$-1.29B,18.27%,$-0.20B,$5.36B,-3.83%,$-0.17B,$2.45B,-6.75%,$1123,$883,$240,$34,$209,$1131,$-9,$-22,$-30,$-1,$-29,$-29,$-36,$60,$-9,$76,76,$-0.48,$-0.48,$445,$808,$215,$2576,$368,$93,$1899,$71,$2785,$5361,$1758,$1835,$107,$2991,$4750,$113,$515,$-199,$612,$5361,$-107,$185,$-13,$173,$-58,$-46,$10,$-160,$-300,$-235,$-27,$0,$-6,$0,$-11,$-11,$-27,$-71,$-53,$120,$68,$-5,$-5,$-23,$-17,$23,$-264,$23,$-23
5,2017-06-30,27.51,$8.27,3.33,$61.53,0.45,$-6.51,0.0,$-3.67,0.0,$2.64B,$1.88B,1.4,$1.79B,$0.63B,2.86,$4.46B,$0.91B,20.37%,$4.46B,$-0.24B,-5.47%,$4.46B,$-0.24B,-5.47%,$4.46B,$-0.02B,-0.49%,$4.46B,$-0.36B,-8.02%,$4.46B,$-0.27B,-6.05%,$-0.27B,$0.63B,-32.10%,$-0.27B,$-1.24B,27.74%,$-0.27B,$5.46B,-4.97%,$-0.24B,$2.41B,-9.52%,$1134,$896,$238,$39,$237,$1164,$-30,$-30,$-60,$-36,$-24,$-24,$-31,$28,$-30,$76,76,$-0.41,$-0.41,$528,$779,$208,$2642,$392,$94,$1861,$90,$2814,$5456,$1882,$1788,$134,$2948,$4831,$113,$558,$-212,$625,$5456,$-76,$117,$-53,$63,$-86,$-32,$36,$-93,$-176,$-186,$-15,$0,$-2,$0,$-29,$-29,$-18,$-64,$-46,$119,$73,$-4,$-4,$-15,$-17,$36,$-201,$15,$-15
6,2017-03-31,30.05,$7.53,3.99,$55.40,0.54,$-7.17,0.0,$-3.58,0.0,$2.60B,$1.85B,1.41,$1.69B,$0.57B,2.98,$3.91B,$0.83B,21.13%,$3.91B,$-0.20B,-5.22%,$3.91B,$-0.20B,-5.22%,$3.91B,$-0.02B,-0.61%,$3.91B,$-0.33B,-8.54%,$3.91B,$-0.26B,-6.65%,$-0.26B,$0.57B,-31.12%,$-0.26B,$-1.20B,46.76%,$-0.26B,$5.25B,-5.11%,$-0.20B,$2.26B,-7.61%,$1103,$860,$243,$41,$247,$1151,$-49,$-26,$-75,$-23,$-52,$-52,$-59,$10,$-49,$75,75,$-0.78,$-0.78,$568,$761,$206,$2602,$382,$95,$1765,$66,$2643,$5245,$1846,$1690,$108,$2831,$4677,$113,$596,$-296,$568,$5245,$-52,$59,$1,$59,$-37,$-17,$-22,$2,$-74,$-66,$-10,$0,$0,$0,$-10,$-10,$-9,$-29,$-65,$20,$-45,$-4,$-4,$-8,$-16,$-73,$-163,$7,$-8
7,2016-12-31,24.53,$13.64,1.8,$48.52,0.51,$-7.98,0.0,$-0.24,0.0,$2.62B,$1.83B,1.44,$1.69B,$1.03B,1.65,$3.32B,$0.72B,21.77%,$3.32B,$-0.16B,-4.86%,$3.32B,$-0.16B,-4.86%,$3.32B,$-0.03B,-0.75%,$3.32B,$-0.24B,-7.21%,$3.32B,$-0.03B,-1.00%,$-0.03B,$1.03B,-3.89%,$-0.03B,$-0.75B,22.96%,$-0.03B,$5.27B,-0.76%,$-0.16B,$2.72B,-6.77%,$1243,$1013,$230,$43,$255,$1321,$-78,$-29,$-107,$-33,$-73,$-73,$-78,$-17,$-78,$69,69,$-1.30,$-1.28,$717,$738,$183,$2620,$387,$95,$1771,$63,$2651,$5270,$1825,$1691,$88,$2421,$4246,$112,$663,$-341,$1025,$5270,$-27,$135,$-217,$-82,$101,$124,$-112,$90,$151,$29,$-40,$0,$-853,$0,$-19,$-19,$350,$-561,$1175,$-178,$997,$-2,$-2,$-65,$-49,$881,$339,$22,$-65
8,2016-09-30,24.08,$15.26,1.58,$39.83,0.6,$-8.06,0.0,$1.34,17.97,$3.30B,$2.18B,1.51,$1.72B,$1.15B,1.5,$2.68B,$0.66B,24.75%,$2.68B,$-0.06B,-2.16%,$2.68B,$-0.06B,-2.16%,$2.68B,$0.03B,1.23%,$2.68B,$-0.11B,-3.91%,$2.68B,$0.08B,2.91%,$0.08B,$1.15B,11.13%,$0.08B,$-0.71B,82.76%,$0.08B,$5.78B,2.18%,$-0.06B,$2.87B,-2.96%,$983,$786,$198,$31,$254,$1070,$-87,$-29,$-116,$-19,$-97,$-97,$-102,$-43,$-87,$71,71,$-1.44,$-1.44,$788,$888,$257,$3296,$411,$83,$1861,$33,$2485,$5781,$2182,$1723,$153,$2452,$4635,$112,$748,$-274,$1147,$5781,$46,$74,$-196,$-122,$-85,$-19,$14,$71,$-110,$-195,$5,$0,$-891,$0,$9,$9,$360,$-517,$1407,$-168,$1239,$-2,$-2,$-57,$-41,$1138,$435,$14,$-57
9,2016-06-30,23.86,$9.23,2.58,$34.94,0.68,$-7.74,0.0,$3.11,7.67,$3.46B,$0.92B,3.77,$2.27B,$0.60B,3.78,$2.29B,$0.62B,26.90%,$2.29B,$0.04B,1.79%,$2.29B,$0.04B,1.79%,$2.29B,$0.10B,4.54%,$2.29B,$0.02B,0.92%,$2.29B,$0.20B,8.82%,$0.20B,$0.60B,38.77%,$0.20B,$0.43B,61.21%,$0.20B,$4.04B,7.46%,$0.04B,$2.88B,2.73%,$580,$425,$155,$18,$127,$570,$10,$-46,$-36,$-15,$-21,$-21,$-21,$26,$10,$65,65,$-0.32,$-0.32,$2185,$431,$149,$3458,$166,$84,$169,$80,$582,$4041,$918,$2274,$33,$2521,$3439,$100,$869,$-269,$602,$4041,$148,$31,$-157,$-126,$-94,$-46,$-27,$-50,$-228,$-206,$-11,$0,$0,$0,$21,$21,$-1370,$-1359,$1551,$142,$1693,$-2,$-2,$-38,$-68,$1585,$22,$10,$-38
