,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,37.72,$23.09,1.63,$5.15,7.32,$0.25,151.61,$0.71,53.13,$0.30B,$0.15B,1.96,$4.12B,$3.92B,1.05,$0.86B,$0.59B,68.37%,$0.86B,$0.26B,30.36%,$0.86B,$0.26B,30.36%,$0.86B,$0.54B,62.57%,$0.86B,$0.14B,15.87%,$0.86B,$0.12B,14.02%,$0.12B,$3.92B,3.09%,$0.12B,$3.92B,3.09%,$0.12B,$8.35B,1.45%,$0.26B,$8.05B,3.26%,$223,$73,$150,$0,$9,$157,$66,$-31,$35,$0,$35,$35,$31,$137,$66,$170,170,$0.18,$0.18,$172,$0,$0,$296,$7787,$0,$3,$261,$8052,$8348,$151,$4122,$151,$4273,$4424,$2,$-917,$95,$3924,$8348,$105,$209,$-7,$202,$0,$0,$0,$-2,$20,$332,$-164,$0,$-9,$0,$0,$0,$6,$-168,$2,$0,$2,$-0,$-0,$-127,$-43,$-168,$-4,$9,$-127
1,2018-06-30,40.18,$23.13,1.74,$5.10,7.88,$0.39,102.95,$0.68,59.09,$0.29B,$0.13B,2.3,$4.11B,$3.93B,1.05,$0.85B,$0.58B,68.32%,$0.85B,$0.26B,30.39%,$0.85B,$0.26B,30.39%,$0.85B,$0.53B,62.66%,$0.85B,$0.13B,15.43%,$0.85B,$0.12B,13.66%,$0.12B,$3.93B,2.98%,$0.12B,$3.93B,2.99%,$0.12B,$8.32B,1.40%,$0.26B,$8.04B,3.23%,$219,$69,$151,$0,$9,$152,$68,$-31,$37,$0,$37,$37,$32,$137,$68,$170,170,$0.19,$0.19,$170,$0,$0,$289,$7787,$0,$4,$238,$8029,$8318,$125,$4106,$156,$4262,$4388,$2,$-905,$87,$3930,$8318,$70,$138,$-5,$133,$0,$0,$0,$5,$10,$216,$-100,$0,$0,$0,$0,$0,$4,$-96,$-12,$0,$-12,$-0,$-0,$-85,$-29,$-126,$-6,$6,$-85
2,2018-03-31,36.53,$23.11,1.58,$5.09,7.18,$-1.77,0.0,$0.62,58.92,$0.30B,$0.14B,2.17,$4.10B,$3.93B,1.04,$0.83B,$0.57B,68.07%,$0.83B,$0.25B,29.88%,$0.83B,$0.25B,29.88%,$0.83B,$0.52B,62.65%,$0.83B,$0.12B,13.98%,$0.83B,$0.10B,12.53%,$0.10B,$3.93B,2.77%,$0.10B,$3.92B,2.78%,$0.10B,$8.32B,1.27%,$0.25B,$8.03B,3.14%,$212,$67,$145,$0,$10,$149,$63,$-30,$33,$0,$33,$33,$28,$132,$63,$170,170,$0.17,$0.17,$184,$0,$0,$297,$7780,$0,$4,$243,$8026,$8324,$137,$4099,$162,$4261,$4397,$2,$-894,$74,$3926,$8324,$33,$69,$-2,$67,$0,$0,$0,$-0,$17,$118,$-36,$0,$0,$0,$0,$0,$2,$-34,$-18,$0,$-18,$0,$0,$-42,$-16,$-76,$7,$3,$-42
3,2017-12-31,40.53,$23.01,1.76,$5.10,7.94,$-1.78,0.0,$0.57,71.1,$0.29B,$0.10B,2.75,$4.12B,$3.90B,1.06,$0.81B,$0.55B,68.23%,$0.81B,$0.24B,29.68%,$0.81B,$0.24B,29.68%,$0.81B,$0.51B,62.68%,$0.81B,$0.11B,12.93%,$0.81B,$0.10B,11.70%,$0.10B,$3.90B,2.71%,$0.10B,$3.90B,2.71%,$0.10B,$8.29B,1.19%,$0.24B,$8.02B,3.12%,$209,$65,$144,$0,$9,$145,$65,$-33,$32,$0,$32,$32,$30,$134,$65,$161,161,$0.18,$0.18,$177,$0,$0,$286,$7816,$0,$4,$186,$8007,$8293,$104,$4117,$169,$4287,$4391,$2,$-880,$43,$3902,$8293,$104,$270,$0,$270,$0,$0,$0,$3,$28,$403,$-709,$0,$-4,$0,$0,$0,$44,$-670,$-288,$0,$-288,$583,$583,$-146,$182,$331,$64,$18,$-146
4,2017-09-30,38.67,$22.34,1.73,$5.08,7.62,$-6.75,0.0,$0.53,72.97,$0.27B,$0.12B,2.31,$4.05B,$3.79B,1.07,$0.80B,$0.54B,67.92%,$0.80B,$0.23B,29.07%,$0.80B,$0.23B,29.07%,$0.80B,$0.50B,62.28%,$0.80B,$0.10B,11.90%,$0.80B,$0.09B,10.65%,$0.09B,$3.79B,2.59%,$0.09B,$3.78B,2.59%,$0.09B,$8.11B,1.09%,$0.23B,$7.84B,3.07%,$209,$69,$140,$0,$8,$147,$62,$-33,$29,$0,$29,$29,$26,$129,$62,$165,166,$0.15,$0.15,$168,$0,$0,$273,$7676,$0,$5,$159,$7840,$8113,$118,$4049,$159,$4208,$4326,$2,$-867,$23,$3787,$8113,$72,$200,$-5,$194,$0,$0,$0,$-3,$37,$309,$-122,$0,$-3,$0,$0,$0,$-490,$-615,$-320,$0,$-320,$593,$593,$-107,$196,$361,$55,$8,$-107
5,2017-06-30,37.27,$21.09,1.77,$5.07,7.35,$-14.93,0.0,$0.59,63.16,$0.28B,$0.09B,2.98,$4.31B,$3.39B,1.27,$0.78B,$0.53B,67.99%,$0.78B,$0.23B,29.07%,$0.78B,$0.23B,29.07%,$0.78B,$0.48B,61.72%,$0.78B,$0.10B,13.06%,$0.78B,$0.09B,11.65%,$0.09B,$3.39B,2.95%,$0.09B,$3.39B,2.96%,$0.09B,$7.96B,1.18%,$0.23B,$7.71B,3.05%,$200,$64,$136,$0,$9,$141,$58,$-36,$22,$0,$22,$22,$20,$125,$58,$156,156,$0.13,$0.13,$173,$0,$0,$275,$7514,$0,$5,$162,$7681,$7955,$92,$4314,$158,$4472,$4565,$2,$-854,$21,$3391,$7955,$44,$132,$-3,$129,$0,$0,$0,$6,$23,$199,$-429,$0,$-3,$0,$0,$0,$30,$-402,$-53,$0,$-53,$277,$277,$-70,$109,$263,$60,$5,$-70
6,2017-03-31,37.23,$19.27,1.93,$5.01,7.43,$-19.28,0.0,$0.58,64.19,$0.19B,$0.10B,1.91,$4.39B,$2.95B,1.49,$0.77B,$0.52B,68.10%,$0.77B,$0.23B,29.43%,$0.77B,$0.23B,29.43%,$0.77B,$0.48B,62.24%,$0.77B,$0.10B,13.28%,$0.77B,$0.09B,11.59%,$0.09B,$2.95B,3.06%,$0.09B,$2.95B,3.06%,$0.09B,$7.59B,1.18%,$0.23B,$7.34B,3.11%,$194,$61,$134,$0,$10,$138,$56,$-34,$22,$0,$22,$22,$19,$121,$56,$152,154,$0.12,$0.12,$86,$0,$0,$186,$7176,$0,$5,$220,$7401,$7587,$97,$4391,$147,$4538,$4635,$2,$-837,$23,$2951,$7587,$22,$65,$-3,$62,$0,$0,$0,$-1,$21,$108,$-35,$0,$0,$0,$0,$0,$-23,$-58,$20,$0,$20,$0,$0,$-35,$-62,$-77,$-27,$3,$-35
7,2016-12-31,35.23,$19.89,1.77,$4.86,7.25,$-27.57,0.0,$0.56,62.91,$0.21B,$0.08B,2.77,$4.37B,$3.01B,1.45,$0.74B,$0.50B,67.83%,$0.74B,$0.22B,29.74%,$0.74B,$0.22B,29.74%,$0.74B,$0.46B,62.18%,$0.74B,$0.10B,12.92%,$0.74B,$0.09B,11.44%,$0.09B,$3.01B,3.02%,$0.09B,$3.01B,3.03%,$0.09B,$7.61B,1.14%,$0.22B,$7.38B,3.07%,$195,$62,$132,$0,$9,$139,$56,$-33,$22,$0,$22,$22,$20,$122,$56,$149,153,$0.13,$0.12,$113,$0,$0,$208,$7208,$0,$5,$192,$7405,$7614,$75,$4370,$155,$4524,$4600,$2,$-821,$15,$3014,$7614,$96,$240,$-18,$222,$0,$0,$0,$7,$17,$339,$-1391,$0,$0,$0,$0,$0,$25,$-1366,$774,$0,$774,$49,$49,$-131,$346,$1038,$11,$17,$-131
8,2016-09-30,35.07,$19.63,1.79,$4.66,7.53,$-20.03,0.0,$0.52,67.44,$0.25B,$0.10B,2.65,$4.40B,$2.97B,1.48,$0.71B,$0.48B,67.80%,$0.71B,$0.21B,29.94%,$0.71B,$0.21B,29.94%,$0.71B,$0.44B,61.86%,$0.71B,$0.09B,12.85%,$0.71B,$0.08B,11.16%,$0.08B,$2.97B,3.00%,$0.08B,$2.96B,3.01%,$0.08B,$7.65B,1.12%,$0.21B,$7.37B,3.11%,$192,$63,$129,$0,$8,$135,$57,$-22,$36,$0,$36,$36,$32,$114,$57,$151,153,$0.21,$0.21,$158,$0,$0,$251,$7227,$0,$5,$162,$7394,$7645,$95,$4402,$182,$4583,$4678,$2,$-806,$-24,$2967,$7645,$74,$174,$-23,$151,$0,$0,$0,$2,$39,$266,$-1348,$0,$0,$0,$0,$0,$23,$-1325,$803,$0,$803,$49,$49,$-98,$362,$1116,$57,$7,$-98
9,2016-06-30,33.81,$18.19,1.86,$4.47,7.57,$-12.57,0.0,$0.39,86.69,$0.17B,$0.07B,2.4,$4.28B,$2.71B,1.58,$0.68B,$0.46B,67.46%,$0.68B,$0.20B,29.73%,$0.68B,$0.20B,29.73%,$0.68B,$0.42B,62.13%,$0.68B,$0.07B,10.21%,$0.68B,$0.06B,8.73%,$0.06B,$2.71B,2.40%,$0.06B,$2.71B,2.41%,$0.06B,$7.26B,0.89%,$0.20B,$7.00B,3.13%,$187,$59,$128,$0,$9,$131,$57,$-35,$22,$0,$22,$22,$18,$121,$57,$148,153,$0.12,$0.12,$77,$0,$0,$167,$6885,$0,$4,$202,$7092,$7259,$70,$4281,$194,$4475,$4545,$1,$-804,$-37,$2714,$7259,$38,$118,$-11,$107,$0,$0,$0,$9,$21,$167,$-1058,$0,$0,$0,$0,$0,$15,$-1043,$681,$0,$681,$-1,$-1,$-65,$236,$852,$-25,$-3,$-65
