,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,165.39,$63.38,2.61,$42.57,3.88,$12.17,13.59,$15.54,10.64,$0.12B,$0.04B,3.4,$0.00B,$0.22B,0.0,$0.15B,$0.15B,100.00%,$0.15B,$0.07B,46.31%,$0.15B,$0.07B,46.31%,$0.15B,$0.07B,47.65%,$0.15B,$0.08B,55.03%,$0.15B,$0.05B,36.24%,$0.05B,$0.22B,27.20%,$0.05B,$0.22B,27.20%,$0.05B,$0.35B,18.06%,$0.07B,$0.22B,34.76%,$37,$0,$37,$0,$20,$21,$17,$5,$22,$6,$16,$16,$15,$17,$17,$4,4,$4.31,$4.31,$101,$0,$0,$122,$4,$212,$0,$0,$224,$346,$36,$0,$25,$86,$122,$131,$116,$0,$224,$346,$44,$1,$2,$2,$-0,$0,$0,$-42,$-37,$10,$-1,$0,$-4,$0,$2,$2,$0,$-3,$0,$0,$0,$0,$0,$0,$18,$18,$24,$6,$0
1,2018-06-30,194.43,$58.61,3.32,$42.59,4.57,$21.23,9.16,$14.90,13.05,$0.10B,$0.04B,2.86,$0.00B,$0.21B,0.0,$0.15B,$0.15B,100.00%,$0.15B,$0.07B,46.31%,$0.15B,$0.07B,46.31%,$0.15B,$0.07B,47.65%,$0.15B,$0.08B,53.69%,$0.15B,$0.05B,34.90%,$0.05B,$0.21B,27.55%,$0.05B,$0.21B,27.55%,$0.05B,$0.32B,18.82%,$0.07B,$0.21B,36.56%,$36,$0,$36,$0,$19,$20,$16,$4,$20,$5,$15,$15,$14,$17,$16,$4,4,$4.08,$4.08,$78,$0,$0,$101,$4,$205,$0,$0,$217,$318,$35,$0,$24,$75,$111,$130,$101,$0,$207,$318,$28,$1,$3,$4,$-2,$0,$0,$-42,$-39,$-7,$-1,$0,$-3,$0,$2,$2,$0,$-2,$0,$0,$0,$0,$0,$0,$11,$11,$2,$4,$0
2,2018-03-31,206.56,$54.25,3.81,$42.69,4.84,$29.73,6.95,$14.48,14.27,$0.08B,$0.03B,3.11,$0.00B,$0.19B,0.0,$0.15B,$0.15B,100.00%,$0.15B,$0.07B,46.31%,$0.15B,$0.07B,46.31%,$0.15B,$0.07B,46.98%,$0.15B,$0.08B,53.02%,$0.15B,$0.05B,34.23%,$0.05B,$0.19B,28.37%,$0.05B,$0.19B,28.37%,$0.05B,$0.28B,20.06%,$0.07B,$0.19B,38.39%,$38,$0,$38,$0,$19,$20,$18,$-2,$17,$4,$13,$13,$13,$18,$18,$3,3,$3.72,$3.72,$59,$0,$0,$80,$4,$192,$0,$0,$202,$282,$26,$0,$24,$66,$91,$128,$86,$0,$191,$282,$13,$0,$4,$5,$0,$0,$0,$-41,$-36,$-19,$-0,$0,$-3,$0,$1,$1,$0,$-2,$0,$0,$0,$0,$0,$0,$3,$3,$-18,$2,$0
3,2017-12-31,206.66,$49.70,4.16,$42.09,4.91,$37.26,5.55,$14.47,14.28,$0.10B,$0.04B,2.62,$0.00B,$0.17B,0.0,$0.15B,$0.15B,100.00%,$0.15B,$0.07B,45.89%,$0.15B,$0.07B,45.89%,$0.15B,$0.07B,46.58%,$0.15B,$0.08B,56.16%,$0.15B,$0.05B,34.93%,$0.05B,$0.17B,29.78%,$0.05B,$0.17B,29.78%,$0.05B,$0.25B,21.56%,$0.07B,$0.17B,39.12%,$38,$0,$38,$0,$18,$19,$18,$4,$23,$10,$12,$12,$12,$19,$18,$3,3,$3.42,$3.44,$77,$0,$0,$98,$4,$138,$0,$4,$152,$250,$37,$0,$20,$41,$78,$118,$73,$0,$172,$250,$52,$1,$2,$3,$-2,$0,$0,$11,$7,$61,$-1,$0,$-20,$0,$3,$3,$0,$-19,$0,$0,$0,$0,$0,$-24,$1,$-23,$19,$9,$-24
4,2017-09-30,205.53,$53.24,3.86,$42.89,4.79,$25.67,8.01,$15.03,13.67,$0.11B,$0.03B,3.49,$0.00B,$0.19B,0.0,$0.15B,$0.15B,100.00%,$0.15B,$0.07B,46.62%,$0.15B,$0.07B,46.62%,$0.15B,$0.07B,46.62%,$0.15B,$0.08B,54.73%,$0.15B,$0.05B,35.81%,$0.05B,$0.19B,32.52%,$0.05B,$0.19B,32.52%,$0.05B,$0.26B,23.66%,$0.07B,$0.19B,42.33%,$37,$0,$37,$0,$19,$20,$17,$3,$20,$6,$13,$13,$13,$17,$17,$3,3,$3.68,$3.67,$90,$0,$0,$110,$4,$130,$0,$2,$145,$255,$31,$0,$20,$39,$71,$119,$86,$0,$185,$255,$39,$1,$-3,$-3,$0,$0,$0,$4,$4,$41,$-1,$0,$-13,$0,$3,$3,$0,$-11,$0,$0,$0,$0,$0,$0,$3,$3,$33,$6,$0
5,2017-06-30,193.0,$49.37,3.91,$41.89,4.61,$16.37,11.79,$15.29,12.62,$0.09B,$0.02B,4.05,$0.00B,$0.17B,0.0,$0.14B,$0.14B,100.00%,$0.14B,$0.07B,46.53%,$0.14B,$0.07B,46.53%,$0.14B,$0.07B,46.53%,$0.14B,$0.08B,56.94%,$0.14B,$0.05B,36.81%,$0.05B,$0.17B,34.70%,$0.05B,$0.17B,34.70%,$0.05B,$0.23B,25.70%,$0.07B,$0.17B,43.86%,$36,$0,$36,$0,$19,$20,$16,$3,$19,$6,$13,$13,$13,$16,$16,$3,3,$3.67,$3.66,$71,$0,$0,$90,$4,$126,$0,$0,$140,$230,$22,$0,$19,$37,$59,$117,$73,$0,$171,$230,$26,$0,$-3,$-2,$0,$0,$0,$-3,$-2,$22,$-0,$0,$-11,$0,$2,$2,$0,$-10,$0,$0,$0,$0,$0,$0,$1,$1,$13,$4,$0
6,2017-03-31,188.3,$45.62,4.13,$41.15,4.58,$15.19,12.4,$14.47,13.01,$0.08B,$0.02B,4.26,$0.00B,$0.16B,0.0,$0.14B,$0.14B,100.00%,$0.14B,$0.07B,46.81%,$0.14B,$0.07B,46.81%,$0.14B,$0.07B,46.81%,$0.14B,$0.08B,55.32%,$0.14B,$0.05B,35.46%,$0.05B,$0.16B,35.15%,$0.05B,$0.16B,35.15%,$0.05B,$0.21B,26.35%,$0.07B,$0.16B,46.40%,$35,$0,$35,$0,$18,$19,$16,$4,$20,$6,$13,$13,$13,$16,$16,$3,3,$3.72,$3.71,$59,$0,$0,$81,$4,$117,$0,$0,$130,$211,$19,$0,$0,$35,$54,$114,$60,$0,$157,$211,$13,$0,$-2,$-2,$-0,$0,$0,$-11,$-4,$7,$-0,$0,$-6,$0,$1,$1,$0,$-5,$0,$0,$0,$0,$0,$0,$-0,$-0,$2,$2,$0
7,2016-12-31,203.63,$40.80,4.99,$39.90,5.1,$11.88,17.14,$13.49,15.09,$0.08B,$0.03B,2.4,$0.00B,$0.14B,0.0,$0.14B,$0.14B,100.00%,$0.14B,$0.06B,47.06%,$0.14B,$0.06B,47.06%,$0.14B,$0.06B,47.06%,$0.14B,$0.07B,52.94%,$0.14B,$0.05B,33.82%,$0.05B,$0.14B,34.78%,$0.05B,$0.14B,34.78%,$0.05B,$0.20B,26.63%,$0.06B,$0.14B,48.39%,$40,$0,$40,$0,$19,$21,$20,$3,$22,$8,$14,$14,$14,$20,$20,$3,3,$4.01,$3.99,$57,$0,$0,$78,$4,$108,$0,$1,$122,$200,$32,$0,$14,$28,$60,$109,$48,$0,$139,$200,$47,$1,$-6,$-5,$0,$0,$0,$-29,$-21,$20,$-0,$0,$-25,$0,$20,$20,$0,$-6,$0,$0,$0,$0,$0,$-20,$6,$-15,$-0,$8,$-20
8,2016-09-30,173.87,$42.13,4.13,$37.79,4.6,$21.17,8.21,$12.93,13.45,$0.08B,$0.02B,3.61,$0.00B,$0.14B,0.0,$0.13B,$0.13B,100.00%,$0.13B,$0.06B,47.66%,$0.13B,$0.06B,47.66%,$0.13B,$0.06B,47.66%,$0.13B,$0.07B,53.13%,$0.13B,$0.04B,34.38%,$0.04B,$0.14B,35.56%,$0.04B,$0.14B,35.56%,$0.04B,$0.18B,27.67%,$0.06B,$0.14B,49.29%,$33,$0,$33,$0,$17,$18,$15,$6,$21,$8,$14,$14,$13,$15,$15,$3,3,$3.93,$3.93,$64,$0,$0,$83,$4,$87,$0,$1,$101,$184,$23,$0,$13,$18,$41,$109,$54,$0,$144,$184,$33,$0,$-6,$-6,$2,$0,$0,$-26,$-19,$8,$-0,$0,$1,$0,$1,$1,$0,$2,$0,$0,$0,$0,$0,$0,$-4,$-4,$6,$6,$0
9,2016-06-30,177.28,$37.55,4.72,$37.45,4.73,$29.11,6.09,$10.99,16.13,$0.09B,$0.02B,5.11,$0.00B,$0.13B,0.0,$0.13B,$0.13B,100.00%,$0.13B,$0.06B,47.62%,$0.13B,$0.06B,47.62%,$0.13B,$0.06B,47.62%,$0.13B,$0.06B,46.03%,$0.13B,$0.04B,30.16%,$0.04B,$0.13B,33.12%,$0.04B,$0.13B,33.12%,$0.04B,$0.16B,25.42%,$0.06B,$0.13B,52.29%,$33,$0,$33,$0,$17,$18,$15,$1,$15,$6,$10,$10,$10,$15,$15,$3,3,$2.85,$2.84,$71,$0,$0,$89,$4,$58,$0,$3,$75,$164,$17,$0,$13,$18,$36,$110,$41,$0,$129,$164,$19,$0,$-3,$-2,$2,$0,$0,$-4,$1,$18,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$-4,$13,$4,$0
