,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,112.48,$52.18,2.16,$15.16,7.42,$15.45,7.28,$1.33,84.57,$0.36B,$1.06B,0.34,$9.18B,$9.51B,0.97,$3.00B,$1.93B,64.22%,$3.00B,$0.54B,18.14%,$3.00B,$0.54B,18.14%,$3.00B,$1.79B,59.62%,$3.00B,$0.38B,12.54%,$3.00B,$0.27B,9.04%,$0.27B,$10.76B,2.49%,$0.27B,$7.39B,3.61%,$0.27B,$21.46B,1.26%,$0.54B,$19.94B,2.73%,$769,$283,$485,$0,$42,$630,$139,$-46,$93,$2,$90,$90,$67,$450,$139,$206,207,$0.33,$0.33,$54,$0,$0,$363,$14056,$0,$3373,$481,$21099,$21462,$1059,$9180,$442,$9639,$10699,$2,$-2455,$-103,$10763,$21462,$289,$940,$-85,$855,$-37,$0,$0,$-76,$-110,$1034,$169,$0,$0,$0,$-947,$-947,$-16,$-794,$637,$0,$637,$5,$5,$-911,$60,$-209,$41,$0,$-850
1,2018-06-30,111.58,$52.40,2.13,$15.03,7.43,$13.49,8.27,$0.98,113.86,$0.31B,$1.03B,0.3,$9.11B,$9.55B,0.95,$2.84B,$1.83B,64.30%,$2.84B,$0.47B,16.58%,$2.84B,$0.47B,16.58%,$2.84B,$1.61B,56.76%,$2.84B,$0.30B,10.49%,$2.84B,$0.20B,7.04%,$0.20B,$10.80B,1.82%,$0.20B,$7.42B,2.63%,$0.20B,$21.41B,0.93%,$0.47B,$19.90B,2.37%,$755,$260,$495,$0,$46,$611,$144,$-54,$90,$2,$88,$88,$65,$462,$144,$206,207,$0.32,$0.32,$27,$0,$0,$309,$13967,$0,$3378,$488,$21102,$21411,$1032,$9106,$424,$9583,$10615,$2,$-2314,$-107,$10797,$21411,$198,$630,$-58,$572,$-9,$0,$0,$-37,$-97,$673,$119,$0,$0,$0,$-614,$-614,$-30,$-526,$541,$0,$541,$2,$2,$-674,$-3,$-134,$14,$0,$-633
2,2018-03-31,104.39,$53.12,1.97,$14.87,7.02,$12.65,8.25,$1.02,102.34,$0.34B,$1.01B,0.34,$9.15B,$9.69B,0.94,$2.65B,$1.69B,63.82%,$2.65B,$0.46B,17.28%,$2.65B,$0.46B,17.28%,$2.65B,$1.47B,55.30%,$2.65B,$0.29B,10.94%,$2.65B,$0.19B,7.28%,$0.19B,$10.94B,2.02%,$0.19B,$7.53B,2.83%,$0.19B,$21.58B,1.01%,$0.46B,$20.08B,2.58%,$744,$265,$480,$0,$37,$601,$144,$-30,$113,$3,$110,$110,$86,$455,$144,$206,207,$0.42,$0.42,$30,$0,$0,$339,$13922,$0,$3405,$544,$21243,$21582,$1012,$9148,$435,$9633,$10645,$2,$-2177,$-104,$10937,$21582,$110,$311,$-41,$270,$-30,$0,$0,$-30,$-143,$237,$137,$0,$0,$0,$-290,$-290,$-25,$-177,$396,$0,$396,$2,$2,$-437,$-5,$-43,$17,$0,$-416
3,2017-12-31,111.76,$53.78,2.08,$14.70,7.6,$12.12,9.22,$1.01,110.65,$0.29B,$1.18B,0.25,$8.65B,$9.80B,0.88,$2.46B,$1.56B,63.63%,$2.46B,$0.45B,18.35%,$2.46B,$0.45B,18.35%,$2.46B,$1.33B,54.11%,$2.46B,$0.26B,10.74%,$2.46B,$0.17B,7.04%,$0.17B,$11.05B,2.14%,$0.17B,$7.66B,2.88%,$0.17B,$21.40B,1.02%,$0.45B,$19.70B,2.91%,$731,$265,$466,$0,$46,$614,$117,$-37,$80,$1,$80,$80,$53,$421,$117,$174,175,$0.23,$0.24,$13,$0,$0,$290,$13678,$0,$3390,$619,$21115,$21404,$1180,$8649,$472,$9175,$10355,$2,$-2056,$-108,$11049,$21404,$256,$878,$-4,$875,$-74,$0,$0,$-18,$-108,$1023,$-326,$0,$0,$0,$-1244,$-1244,$213,$-1357,$816,$0,$816,$411,$229,$-715,$-9,$321,$-9,$0,$-646
4,2017-09-30,115.18,$54.39,2.12,$14.34,8.03,$10.77,10.69,$1.24,92.89,$0.47B,$1.02B,0.46,$8.48B,$9.92B,0.86,$2.30B,$1.48B,64.06%,$2.30B,$0.49B,21.05%,$2.30B,$0.49B,21.05%,$2.30B,$1.24B,53.91%,$2.30B,$0.28B,12.24%,$2.30B,$0.20B,8.59%,$0.20B,$11.17B,3.00%,$0.20B,$7.79B,3.82%,$0.20B,$21.23B,1.36%,$0.49B,$19.66B,3.64%,$610,$225,$385,$0,$44,$544,$66,$-51,$15,$2,$12,$12,$-4,$274,$66,$170,170,$-0.02,$-0.02,$210,$0,$0,$469,$13354,$0,$3384,$553,$20764,$21233,$1024,$8484,$486,$9035,$10059,$2,$-1916,$-117,$11173,$21233,$177,$575,$27,$602,$-42,$0,$0,$-3,$-97,$682,$-24,$0,$0,$0,$-771,$-771,$78,$-718,$689,$0,$689,$411,$229,$-693,$-0,$224,$188,$0,$-647
5,2017-06-30,109.1,$31.02,3.52,$14.42,7.57,$7.67,14.23,$2.51,43.47,$0.27B,$0.85B,0.32,$6.44B,$4.20B,1.54,$2.24B,$1.44B,64.15%,$2.24B,$0.54B,23.88%,$2.24B,$0.54B,23.88%,$2.24B,$1.27B,56.56%,$2.24B,$0.49B,22.01%,$2.24B,$0.39B,17.37%,$0.39B,$5.03B,7.62%,$0.39B,$4.25B,8.96%,$0.39B,$12.58B,3.15%,$0.54B,$11.47B,4.76%,$566,$205,$361,$0,$38,$435,$131,$-48,$82,$3,$80,$80,$58,$316,$131,$161,162,$0.36,$0.36,$41,$0,$0,$271,$9253,$0,$779,$360,$12309,$12580,$851,$6438,$260,$6698,$7548,$2,$-1723,$-111,$5031,$12580,$164,$367,$6,$373,$-24,$0,$0,$-11,$-18,$519,$-35,$0,$0,$0,$-482,$-482,$53,$-463,$429,$0,$429,$214,$32,$-480,$-0,$-19,$19,$0,$-448
6,2017-03-31,101.94,$31.78,3.21,$14.40,7.08,$7.59,13.43,$2.34,43.57,$0.22B,$0.80B,0.28,$6.20B,$4.06B,1.53,$2.19B,$1.40B,64.05%,$2.19B,$0.52B,23.57%,$2.19B,$0.52B,23.57%,$2.19B,$1.25B,56.88%,$2.19B,$0.46B,21.20%,$2.19B,$0.36B,16.40%,$0.36B,$5.07B,7.28%,$0.36B,$4.31B,8.40%,$0.36B,$12.33B,2.98%,$0.52B,$11.27B,4.70%,$551,$199,$352,$0,$35,$413,$137,$-50,$87,$2,$85,$85,$66,$319,$137,$159,160,$0.42,$0.41,$25,$0,$0,$221,$9076,$0,$757,$355,$12109,$12330,$804,$6201,$253,$6455,$7259,$2,$-1630,$-123,$5070,$12330,$85,$182,$-1,$180,$9,$0,$0,$-17,$-46,$219,$-14,$0,$0,$0,$-260,$-260,$58,$-216,$307,$0,$307,$3,$3,$-312,$-0,$-3,$3,$0,$-295
7,2016-12-31,93.31,$32.27,2.89,$14.39,6.49,$7.77,12.01,$2.20,42.41,$0.23B,$0.97B,0.23,$5.84B,$4.12B,1.42,$2.14B,$1.37B,63.96%,$2.14B,$0.50B,23.20%,$2.14B,$0.50B,23.20%,$2.14B,$1.22B,56.86%,$2.14B,$0.44B,20.59%,$2.14B,$0.33B,15.50%,$0.33B,$5.13B,6.95%,$0.33B,$4.38B,7.86%,$0.33B,$12.19B,2.81%,$0.50B,$10.97B,4.60%,$577,$199,$378,$0,$41,$426,$151,$-53,$98,$2,$96,$96,$78,$333,$151,$150,151,$0.48,$0.49,$22,$0,$0,$226,$8890,$0,$753,$389,$11967,$12193,$969,$5839,$253,$6091,$7060,$2,$-1547,$-136,$5132,$12193,$432,$721,$-197,$524,$-14,$0,$0,$-70,$-45,$911,$-514,$0,$-44,$0,$-758,$-758,$12,$-1304,$177,$0,$177,$1090,$803,$-605,$-24,$351,$-53,$0,$-522
8,2016-09-30,91.4,$32.70,2.8,$14.16,6.45,$11.49,7.95,$1.43,63.91,$0.26B,$0.82B,0.31,$6.03B,$4.18B,1.44,$2.07B,$1.31B,63.24%,$2.07B,$0.39B,18.74%,$2.07B,$0.39B,18.74%,$2.07B,$1.10B,53.27%,$2.07B,$0.33B,15.84%,$2.07B,$0.21B,10.36%,$0.21B,$5.20B,4.63%,$0.21B,$4.42B,5.12%,$0.21B,$12.30B,1.84%,$0.39B,$11.22B,3.62%,$546,$200,$346,$0,$46,$431,$116,$110,$226,$4,$222,$222,$187,$299,$116,$147,149,$1.27,$1.25,$48,$0,$0,$256,$8946,$0,$780,$377,$12043,$12299,$824,$6025,$253,$6278,$7102,$2,$-1483,$-132,$5197,$12299,$336,$539,$-165,$375,$-46,$0,$0,$-164,$-83,$627,$-514,$0,$-36,$0,$-549,$-549,$25,$-1074,$230,$0,$230,$5,$803,$-588,$-24,$421,$-27,$0,$-522
9,2016-06-30,101.61,$29.55,3.44,$13.66,7.44,$15.62,6.5,$0.46,220.89,$0.22B,$0.60B,0.36,$6.14B,$3.04B,2.02,$1.96B,$1.23B,63.07%,$1.96B,$0.38B,19.18%,$1.96B,$0.38B,19.18%,$1.96B,$1.04B,53.25%,$1.96B,$0.16B,8.24%,$1.96B,$0.07B,3.38%,$0.07B,$4.33B,1.52%,$0.07B,$4.00B,1.61%,$0.07B,$11.29B,0.61%,$0.38B,$10.46B,3.72%,$515,$189,$326,$0,$34,$403,$112,$-59,$53,$2,$51,$51,$28,$294,$112,$147,148,$0.19,$0.19,$52,$0,$0,$217,$8539,$0,$331,$465,$11075,$11292,$599,$6135,$233,$6368,$6967,$1,$-1541,$-130,$4326,$11292,$113,$356,$0,$356,$-1,$0,$0,$-82,$-73,$397,$34,$0,$-7,$0,$-332,$-332,$6,$-299,$322,$0,$322,$2,$2,$-435,$-9,$-120,$-24,$0,$-390
