,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,36.9,$25.06,1.47,$11.72,3.15,$8.34,4.43,$1.27,29.06,$0.92B,$0.95B,0.97,$0.07B,$0.11B,0.64,$0.05B,$0.04B,82.35%,$0.05B,$0.01B,25.49%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,23.53%,$0.05B,$0.01B,17.65%,$0.01B,$0.11B,8.59%,$0.01B,$0.09B,10.14%,$0.01B,$1.13B,0.81%,$0.01B,$0.18B,6.84%,$13,$2,$11,$0,$7,$9,$4,$-0,$4,$1,$3,$3,$3,$0,$0,$4,4,$0.70,$0.70,$11,$0,$0,$917,$8,$161,$16,$23,$211,$1128,$945,$70,$6,$76,$1020,$4,$40,$-4,$108,$1128,$8,$1,$2,$3,$-1,$0,$0,$0,$-0,$11,$-0,$0,$0,$0,$11,$11,$-61,$-50,$-31,$-8,$-39,$0,$0,$-1,$78,$39,$-0,$0,$-1
1,2018-06-30,35.05,$24.48,1.43,$11.56,3.03,$8.73,4.02,$1.83,19.15,$0.92B,$0.94B,0.98,$0.08B,$0.11B,0.78,$0.05B,$0.04B,84.00%,$0.05B,$0.01B,24.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,22.00%,$0.05B,$0.01B,16.00%,$0.01B,$0.11B,7.75%,$0.01B,$0.09B,9.17%,$0.01B,$1.13B,0.73%,$0.01B,$0.19B,6.37%,$13,$2,$10,$0,$8,$10,$3,$-0,$2,$0,$2,$2,$2,$0,$0,$4,4,$0.48,$0.47,$33,$0,$0,$917,$8,$166,$16,$24,$217,$1134,$940,$82,$6,$88,$1028,$4,$37,$-4,$105,$1134,$5,$1,$2,$2,$-0,$0,$0,$0,$0,$7,$-0,$0,$0,$0,$7,$7,$-39,$-32,$-18,$-6,$-25,$0,$0,$-1,$73,$48,$23,$0,$-1
2,2018-03-31,35.58,$24.15,1.47,$11.45,3.11,$8.70,4.09,$1.89,18.83,$0.88B,$0.90B,0.97,$0.09B,$0.10B,0.84,$0.05B,$0.04B,87.76%,$0.05B,$0.01B,24.49%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,24.49%,$0.05B,$0.01B,16.33%,$0.01B,$0.10B,7.86%,$0.01B,$0.09B,9.33%,$0.01B,$1.10B,0.74%,$0.01B,$0.19B,6.53%,$12,$2,$10,$0,$7,$9,$3,$0,$3,$1,$3,$3,$3,$0,$0,$4,4,$0.61,$0.61,$14,$0,$0,$877,$8,$171,$16,$25,$223,$1100,$903,$87,$6,$93,$996,$4,$35,$-4,$104,$1100,$3,$0,$1,$1,$-0,$0,$-0,$0,$0,$4,$0,$0,$0,$0,$2,$2,$-18,$-16,$-13,$-1,$-15,$0,$0,$-0,$31,$16,$3,$0,$-0
3,2017-12-31,33.57,$23.78,1.41,$11.38,2.95,$8.67,3.87,$1.85,18.15,$0.86B,$0.87B,0.98,$0.10B,$0.10B,0.99,$0.05B,$0.04B,89.80%,$0.05B,$0.01B,26.53%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,24.49%,$0.05B,$0.01B,14.29%,$0.01B,$0.10B,7.00%,$0.01B,$0.09B,8.33%,$0.01B,$1.08B,0.65%,$0.01B,$0.20B,7.30%,$13,$2,$11,$0,$8,$9,$3,$0,$3,$3,$1,$1,$1,$0,$0,$4,4,$0.19,$0.19,$11,$0,$0,$855,$9,$174,$16,$25,$226,$1082,$874,$101,$5,$106,$980,$4,$32,$-2,$102,$1082,$8,$2,$4,$5,$-0,$0,$0,$1,$1,$14,$-0,$0,$0,$0,$8,$8,$-34,$-26,$26,$0,$26,$1,$1,$-1,$-25,$1,$-11,$1,$-1
4,2017-09-30,34.99,$23.90,1.46,$12.13,2.89,$7.73,4.53,$2.21,15.83,$0.84B,$0.89B,0.94,$0.07B,$0.10B,0.69,$0.05B,$0.04B,91.67%,$0.05B,$0.01B,29.17%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,25.00%,$0.05B,$0.01B,16.67%,$0.01B,$0.10B,8.14%,$0.01B,$0.09B,9.73%,$0.01B,$1.07B,0.74%,$0.01B,$0.17B,8.25%,$12,$1,$11,$0,$7,$9,$3,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.57,$0.56,$19,$0,$0,$838,$9,$175,$16,$23,$228,$1066,$887,$70,$6,$77,$964,$4,$32,$-2,$102,$1066,$7,$1,$1,$3,$-0,$0,$-0,$3,$2,$12,$0,$0,$0,$0,$7,$7,$-7,$0,$-4,$3,$-1,$0,$0,$-1,$-14,$-15,$-3,$0,$-1
5,2017-06-30,34.03,$23.35,1.46,$11.92,2.85,$3.00,11.35,$1.65,20.62,$0.85B,$0.91B,0.94,$0.07B,$0.10B,0.7,$0.04B,$0.04B,90.91%,$0.04B,$0.01B,29.55%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.45%,$0.04B,$0.01B,13.64%,$0.01B,$0.10B,6.86%,$0.01B,$0.08B,7.95%,$0.01B,$1.08B,0.60%,$0.01B,$0.17B,8.58%,$12,$1,$11,$0,$8,$9,$3,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.54,$0.53,$36,$0,$0,$851,$9,$177,$16,$23,$230,$1081,$909,$69,$3,$73,$982,$4,$30,$-2,$99,$1081,$5,$1,$1,$2,$-0,$0,$0,$0,$0,$7,$-0,$0,$0,$0,$5,$5,$-4,$1,$-5,$4,$-2,$0,$0,$-1,$8,$6,$14,$0,$-1
6,2017-03-31,33.66,$22.88,1.47,$11.73,2.87,$1.89,17.83,$1.51,22.29,$0.86B,$0.92B,0.94,$0.07B,$0.10B,0.72,$0.04B,$0.04B,90.00%,$0.04B,$0.01B,30.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,17.50%,$0.04B,$0.01B,12.50%,$0.01B,$0.10B,6.43%,$0.01B,$0.08B,7.19%,$0.01B,$1.09B,0.54%,$0.01B,$0.17B,8.96%,$12,$1,$11,$0,$7,$8,$4,$-0,$3,$1,$2,$2,$2,$0,$0,$4,4,$0.57,$0.57,$44,$0,$0,$859,$9,$178,$16,$23,$231,$1090,$918,$70,$5,$75,$993,$4,$28,$-2,$97,$1090,$2,$0,$0,$1,$-0,$0,$-0,$1,$0,$4,$-0,$0,$0,$0,$4,$4,$-1,$3,$-4,$-0,$-5,$0,$0,$-0,$21,$16,$22,$0,$-0
7,2016-12-31,28.05,$22.36,1.25,$11.91,2.36,$0.91,30.77,$1.48,18.96,$0.84B,$0.90B,0.93,$0.08B,$0.10B,0.79,$0.04B,$0.03B,91.67%,$0.04B,$0.01B,27.78%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,16.67%,$0.04B,$0.01B,13.89%,$0.01B,$0.10B,7.35%,$0.01B,$0.08B,7.84%,$0.01B,$1.07B,0.59%,$0.01B,$0.17B,8.58%,$12,$1,$11,$0,$6,$8,$4,$-1,$3,$1,$2,$2,$2,$0,$0,$3,3,$0.62,$0.62,$22,$0,$0,$838,$9,$182,$16,$20,$233,$1071,$898,$75,$3,$78,$976,$4,$26,$-2,$95,$1071,$5,$2,$1,$3,$-0,$0,$0,$3,$3,$11,$-3,$0,$-5,$0,$40,$40,$-29,$3,$-43,$-21,$-64,$0,$0,$-1,$51,$-13,$1,$1,$-1
8,2016-09-30,24.99,$20.76,1.2,$10.84,2.3,$0.89,27.95,$1.41,17.72,$0.54B,$0.67B,0.81,$0.04B,$0.06B,0.67,$0.03B,$0.03B,93.55%,$0.03B,$0.01B,25.81%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,16.13%,$0.03B,$0.00B,12.90%,$0.00B,$0.06B,6.90%,$0.00B,$0.06B,6.93%,$0.00B,$0.77B,0.53%,$0.01B,$0.10B,7.98%,$8,$1,$7,$0,$5,$6,$2,$-2,$0,$0,$0,$0,$0,$0,$0,$3,3,$0.00,$0.00,$30,$0,$0,$537,$9,$195,$0,$25,$233,$770,$665,$39,$6,$46,$711,$3,$24,$-1,$59,$770,$3,$1,$-1,$1,$-0,$0,$-0,$-5,$-5,$-2,$-3,$0,$0,$0,$26,$26,$-27,$-4,$-10,$-13,$-23,$0,$0,$-1,$39,$16,$9,$1,$-1
9,2016-06-30,23.19,$20.90,1.11,$10.72,2.16,$4.67,4.97,$1.86,12.47,$0.51B,$0.66B,0.78,$0.04B,$0.06B,0.66,$0.03B,$0.03B,93.33%,$0.03B,$0.01B,26.67%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,23.33%,$0.03B,$0.01B,16.67%,$0.01B,$0.06B,8.66%,$0.01B,$0.06B,8.70%,$0.01B,$0.76B,0.66%,$0.01B,$0.10B,8.00%,$8,$1,$7,$0,$5,$6,$2,$-0,$1,$0,$1,$1,$1,$0,$0,$3,3,$0.39,$0.39,$20,$0,$0,$512,$9,$223,$0,$18,$252,$764,$660,$39,$5,$45,$705,$3,$24,$-1,$60,$764,$3,$1,$-0,$1,$0,$0,$0,$1,$1,$4,$-3,$0,$0,$0,$-1,$-1,$-12,$-15,$-10,$-15,$-25,$0,$0,$-0,$35,$10,$-1,$1,$-0
