,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,88.53,$18.78,4.71,$51.66,1.71,$6.38,13.87,$4.68,18.92,$2.46B,$1.89B,1.3,$2.98B,$2.75B,1.09,$8.00B,$2.95B,36.84%,$8.00B,$0.92B,11.49%,$8.00B,$0.92B,11.49%,$8.00B,$1.31B,16.34%,$8.00B,$0.90B,11.28%,$8.00B,$0.72B,9.05%,$0.72B,$2.75B,20.09%,$0.72B,$-2.17B,-43.20%,$0.72B,$8.46B,7.59%,$0.92B,$5.73B,13.93%,$1747,$1101,$647,$0,$426,$1527,$220,$-27,$193,$36,$157,$157,$157,$288,$220,$147,149,$1.07,$1.05,$209,$804,$0,$2459,$807,$0,$4915,$281,$6003,$8462,$1890,$2982,$511,$3824,$5714,$258,$7744,$-193,$2748,$8462,$429,$206,$6,$212,$-120,$-130,$88,$-35,$-222,$419,$-130,$0,$-66,$0,$0,$0,$-14,$-210,$-350,$68,$-282,$-893,$-893,$-213,$639,$-749,$-545,$16,$-213
1,2018-06-30,73.2,$19.23,3.81,$51.06,1.43,$6.54,11.19,$4.77,15.35,$2.45B,$1.81B,1.35,$2.98B,$2.84B,1.05,$8.00B,$2.95B,36.86%,$8.00B,$0.94B,11.73%,$8.00B,$0.94B,11.73%,$8.00B,$1.33B,16.64%,$8.00B,$0.92B,11.45%,$8.00B,$0.75B,9.33%,$0.75B,$2.84B,18.71%,$0.75B,$-2.10B,-44.97%,$0.75B,$8.47B,7.43%,$0.94B,$5.82B,13.44%,$1798,$1133,$665,$0,$429,$1562,$236,$-25,$211,$45,$166,$166,$140,$276,$236,$152,154,$0.92,$0.91,$243,$764,$0,$2448,$805,$0,$4944,$276,$6025,$8473,$1814,$2975,$508,$3819,$5633,$257,$7658,$-180,$2841,$8473,$271,$138,$15,$153,$-108,$-85,$65,$-39,$-249,$175,$-94,$0,$-66,$0,$0,$0,$-14,$-174,$-350,$54,$-296,$-745,$-745,$-142,$667,$-517,$-511,$10,$-142
2,2018-03-31,78.5,$28.74,2.73,$50.41,1.56,$6.79,11.56,$4.90,16.02,$2.95B,$2.08B,1.42,$3.03B,$4.45B,0.68,$7.94B,$2.94B,37.01%,$7.94B,$0.94B,11.78%,$7.94B,$0.94B,11.78%,$7.94B,$1.33B,16.78%,$7.94B,$0.90B,11.37%,$7.94B,$0.77B,9.70%,$0.77B,$4.45B,17.93%,$0.77B,$-1.85B,-45.41%,$0.77B,$10.54B,7.34%,$0.94B,$7.48B,12.85%,$1922,$1213,$709,$0,$514,$1727,$195,$-34,$161,$29,$131,$131,$131,$293,$195,$155,157,$0.85,$0.84,$367,$973,$0,$2952,$1031,$0,$6293,$268,$7591,$10543,$2081,$3032,$547,$4017,$6097,$257,$8527,$-152,$4446,$10543,$131,$98,$7,$105,$-3,$-73,$3,$-30,$-202,$35,$-56,$0,$-66,$0,$0,$0,$-14,$-136,$-350,$195,$-155,$-45,$-45,$-73,$-17,$-289,$-387,$7,$-73
3,2017-12-31,80.34,$28.31,2.84,$49.69,1.62,$7.16,11.23,$5.15,15.6,$2.79B,$2.14B,1.3,$2.99B,$4.38B,0.68,$7.83B,$2.89B,36.91%,$7.83B,$0.92B,11.69%,$7.83B,$0.92B,11.69%,$7.83B,$1.31B,16.73%,$7.83B,$0.97B,12.44%,$7.83B,$0.81B,10.36%,$0.81B,$4.38B,19.44%,$0.81B,$-0.59B,-44.61%,$0.81B,$10.66B,7.78%,$0.92B,$7.37B,12.86%,$2532,$1606,$926,$0,$658,$2264,$268,$69,$337,$-0,$337,$337,$296,$450,$268,$156,158,$1.90,$1.88,$754,$677,$0,$2790,$788,$0,$4969,$246,$7868,$10658,$2142,$2987,$534,$4133,$6275,$257,$8456,$-195,$4383,$10658,$812,$394,$-375,$19,$-105,$-13,$124,$-32,$-9,$822,$-181,$0,$337,$0,$0,$0,$21,$176,$0,$-183,$-183,$-105,$-105,$-284,$-23,$-595,$405,$27,$-284
4,2017-09-30,72.35,$27.45,2.64,$44.99,1.61,$7.66,9.44,$4.30,16.83,$2.87B,$2.17B,1.32,$2.99B,$4.28B,0.7,$7.08B,$2.58B,36.52%,$7.08B,$0.81B,11.46%,$7.08B,$0.81B,11.46%,$7.08B,$1.12B,15.84%,$7.08B,$0.85B,12.05%,$7.08B,$0.68B,9.55%,$0.68B,$4.28B,16.79%,$0.68B,$-2.10B,-29.23%,$0.68B,$10.49B,6.57%,$0.81B,$7.26B,11.54%,$1748,$1099,$649,$0,$410,$1509,$239,$-32,$207,$47,$159,$159,$179,$312,$239,$156,158,$1.15,$1.14,$322,$982,$0,$2869,$1013,$0,$6375,$237,$7625,$10493,$2167,$2985,$455,$4050,$6218,$257,$8232,$-192,$4276,$10493,$515,$212,$-127,$85,$-65,$-66,$67,$-3,$-147,$454,$-124,$0,$96,$0,$0,$0,$21,$-8,$0,$-280,$-280,$0,$0,$-211,$-17,$-507,$-27,$20,$-211
5,2017-06-30,63.15,$26.15,2.42,$44.79,1.41,$8.55,7.39,$3.99,15.83,$2.76B,$2.22B,1.25,$2.93B,$4.07B,0.72,$7.04B,$2.57B,36.48%,$7.04B,$0.78B,11.13%,$7.04B,$0.78B,11.13%,$7.04B,$1.11B,15.72%,$7.04B,$0.83B,11.75%,$7.04B,$0.63B,8.91%,$0.63B,$4.07B,16.06%,$0.63B,$-2.25B,-28.24%,$0.63B,$10.29B,6.28%,$0.78B,$7.00B,11.49%,$1737,$1083,$654,$0,$421,$1505,$233,$-35,$198,$56,$142,$142,$164,$277,$233,$156,158,$1.05,$1.04,$302,$962,$0,$2760,$979,$0,$6322,$232,$7533,$10292,$2215,$2925,$449,$4005,$6220,$257,$8127,$-287,$4072,$10292,$336,$140,$-112,$28,$-62,$-80,$72,$-12,$-166,$198,$-77,$0,$96,$0,$0,$0,$21,$40,$0,$-157,$-157,$0,$0,$-137,$-15,$-310,$-48,$17,$-137
6,2017-03-31,62.92,$25.40,2.48,$44.53,1.41,$9.53,6.6,$3.71,16.96,$2.76B,$2.32B,1.19,$2.89B,$3.95B,0.73,$6.99B,$2.54B,36.42%,$6.99B,$0.74B,10.65%,$6.99B,$0.74B,10.65%,$6.99B,$1.11B,15.91%,$6.99B,$0.79B,11.35%,$6.99B,$0.58B,8.32%,$0.58B,$3.95B,15.23%,$0.58B,$-2.34B,-27.50%,$0.58B,$10.24B,6.02%,$0.74B,$6.84B,11.20%,$1813,$1152,$661,$0,$486,$1638,$175,$57,$232,$60,$172,$172,$172,$271,$175,$156,157,$1.11,$1.09,$416,$942,$0,$2762,$946,$0,$6291,$239,$7476,$10238,$2319,$2888,$434,$3966,$6285,$257,$8032,$-313,$3953,$10238,$172,$96,$-77,$18,$-23,$-76,$44,$-14,$-112,$79,$-42,$0,$120,$0,$0,$0,$2,$81,$0,$-16,$-16,$0,$0,$-69,$-9,$-93,$66,$13,$-69
7,2016-12-31,58.35,$24.45,2.39,$43.40,1.34,$9.91,5.89,$3.26,17.9,$2.59B,$1.94B,1.33,$3.21B,$3.80B,0.84,$6.79B,$2.47B,36.39%,$6.79B,$0.72B,10.52%,$6.79B,$0.72B,10.52%,$6.79B,$1.07B,15.81%,$6.79B,$0.69B,10.14%,$6.79B,$0.51B,7.48%,$0.51B,$3.80B,13.55%,$0.51B,$-2.57B,-25.42%,$0.51B,$10.12B,5.44%,$0.72B,$7.01B,10.98%,$1778,$1158,$620,$0,$456,$1614,$164,$52,$216,$55,$161,$161,$161,$261,$164,$155,157,$1.04,$1.02,$349,$870,$0,$2589,$946,$0,$6366,$216,$7527,$10116,$1940,$3207,$459,$4376,$6316,$257,$7928,$-359,$3800,$10116,$509,$361,$-153,$208,$-45,$26,$59,$-23,$145,$862,$-147,$0,$-1355,$0,$0,$0,$-1,$-1504,$654,$255,$909,$8,$8,$-268,$-16,$634,$-13,$21,$-268
8,2016-09-30,57.0,$24.39,2.34,$42.70,1.33,$10.44,5.46,$3.14,18.15,$2.74B,$1.89B,1.45,$2.61B,$3.79B,0.69,$6.71B,$2.47B,36.75%,$6.71B,$0.75B,11.18%,$6.71B,$0.75B,11.18%,$6.71B,$1.10B,16.45%,$6.71B,$0.64B,9.57%,$6.71B,$0.49B,7.29%,$0.49B,$3.79B,13.18%,$0.49B,$-1.73B,-28.21%,$0.49B,$9.30B,5.45%,$0.75B,$6.40B,11.87%,$1708,$1076,$632,$0,$421,$1497,$211,$-30,$181,$51,$130,$130,$130,$297,$211,$155,157,$0.84,$0.83,$515,$828,$77,$2739,$839,$0,$5516,$204,$6559,$9298,$1891,$2614,$418,$3618,$5509,$256,$7835,$-268,$3789,$9298,$348,$263,$3,$267,$-32,$-21,$39,$-43,$-41,$573,$-106,$0,$-455,$0,$0,$0,$-1,$-561,$0,$355,$355,$7,$7,$-200,$-13,$149,$153,$18,$-200
9,2016-06-30,53.33,$23.93,2.23,$43.22,1.23,$10.85,4.92,$3.50,15.24,$2.38B,$1.64B,1.45,$2.61B,$3.71B,0.7,$6.79B,$2.51B,36.92%,$6.79B,$0.82B,12.02%,$6.79B,$0.82B,12.02%,$6.79B,$1.16B,17.10%,$6.79B,$0.71B,10.40%,$6.79B,$0.55B,8.03%,$0.55B,$3.71B,14.91%,$0.55B,$-1.82B,-34.53%,$0.55B,$8.98B,6.22%,$0.82B,$6.32B,13.23%,$1686,$1055,$631,$0,$437,$1493,$194,$-29,$164,$46,$118,$118,$118,$282,$194,$155,157,$0.76,$0.76,$255,$834,$0,$2380,$854,$0,$5534,$211,$6599,$8979,$1640,$2607,$424,$3625,$5265,$256,$7774,$-282,$3714,$8979,$218,$177,$-22,$154,$0,$-16,$5,$-5,$-31,$341,$-67,$0,$-428,$0,$0,$0,$-0,$-495,$0,$186,$186,$4,$4,$-131,$-7,$51,$-107,$14,$-131
