,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,19.41,$10.27,1.89,$72.41,0.27,$3.39,5.73,$0.03,647.0,$0.55B,$0.58B,0.95,$0.44B,$0.77B,0.58,$5.29B,$0.43B,8.21%,$5.29B,$0.03B,0.57%,$5.29B,$0.03B,0.57%,$5.29B,$0.13B,2.36%,$5.29B,$-0.01B,-0.09%,$5.29B,$0.00B,0.06%,$0.00B,$0.77B,0.40%,$0.00B,$-0.41B,-0.67%,$0.00B,$1.80B,0.16%,$0.03B,$1.21B,2.46%,$1373,$1280,$93,$0,$83,$1363,$10,$-10,$0,$-0,$0,$0,$0,$35,$10,$74,75,$0.00,$0.00,$8,$170,$0,$550,$41,$0,$1175,$5,$1251,$1801,$578,$441,$4,$457,$1036,$629,$87,$-0,$765,$1801,$-4,$76,$19,$95,$-31,$37,$-72,$8,$-58,$33,$-18,$0,$0,$0,$0,$0,$0,$-18,$-83,$-10,$-93,$4,$4,$0,$-3,$-92,$-76,$16,$0
1,2018-06-30,25.56,$10.20,2.51,$70.39,0.36,$3.33,7.67,$0.04,639.0,$0.55B,$0.60B,0.91,$0.44B,$0.76B,0.58,$5.04B,$0.41B,8.06%,$5.04B,$0.02B,0.44%,$5.04B,$0.02B,0.44%,$5.04B,$0.11B,2.16%,$5.04B,$-0.01B,-0.10%,$5.04B,$0.00B,0.08%,$0.00B,$0.76B,0.55%,$0.00B,$-0.44B,-1.23%,$0.00B,$1.82B,0.24%,$0.02B,$1.20B,1.98%,$1416,$1318,$98,$0,$91,$1408,$8,$-10,$-2,$2,$-4,$-4,$-4,$34,$8,$74,74,$-0.05,$-0.05,$7,$170,$0,$545,$39,$0,$1194,$6,$1272,$1818,$597,$443,$7,$464,$1060,$625,$87,$-1,$757,$1818,$-4,$51,$13,$64,$-23,$36,$-8,$1,$7,$67,$-11,$0,$-1,$0,$0,$0,$0,$-13,$-80,$-53,$-133,$3,$3,$0,$-1,$-131,$-77,$10,$0
2,2018-03-31,20.15,$10.18,1.98,$67.81,0.3,$3.50,5.75,$0.14,143.93,$0.54B,$0.62B,0.88,$0.45B,$0.75B,0.59,$4.75B,$0.38B,7.90%,$4.75B,$0.02B,0.40%,$4.75B,$0.02B,0.40%,$4.75B,$0.10B,2.04%,$4.75B,0,0.00%,$4.75B,$0.01B,0.25%,$0.01B,$0.75B,1.72%,$0.01B,$-0.46B,-6.15%,$0.01B,$1.83B,0.80%,$0.02B,$1.20B,1.91%,$1342,$1232,$111,$0,$102,$1334,$9,$-10,$-1,$-1,$-0,$-0,$-0,$34,$9,$74,74,$-0.01,$-0.01,$6,$195,$0,$544,$40,$0,$1211,$6,$1288,$1832,$615,$445,$4,$463,$1078,$622,$91,$0,$754,$1832,$-0,$25,$4,$30,$0,$12,$12,$-4,$19,$49,$-3,$0,$0,$0,$0,$0,$0,$-3,$-77,$-48,$-125,$2,$2,$0,$-1,$-124,$-78,$3,$0
3,2017-12-31,20.07,$10.15,1.98,$65.58,0.31,$3.51,5.72,$0.21,95.57,$0.63B,$0.65B,0.97,$0.52B,$0.75B,0.7,$4.49B,$0.35B,7.78%,$4.49B,$0.02B,0.42%,$4.49B,$0.02B,0.42%,$4.49B,$0.09B,1.94%,$4.49B,$0.01B,0.18%,$4.49B,$0.02B,0.36%,$0.02B,$0.75B,2.41%,$0.02B,$-0.48B,-27.00%,$0.02B,$1.94B,1.21%,$0.02B,$1.27B,2.15%,$1155,$1023,$132,$0,$129,$1152,$3,$-5,$-2,$-8,$7,$7,$7,$22,$3,$68,69,$0.10,$0.11,$84,$207,$0,$634,$39,$0,$1225,$6,$1306,$1940,$651,$521,$4,$539,$1191,$619,$92,$0,$750,$1940,$15,$69,$10,$79,$8,$14,$24,$-5,$41,$135,$-10,$0,$-623,$0,$-0,$-0,$0,$-633,$439,$149,$588,$8,$8,$0,$-22,$574,$76,$7,$0
4,2017-09-30,20.71,$9.41,2.2,$65.61,0.32,$1.88,11.04,$0.10,207.1,$0.51B,$0.38B,1.34,$0.12B,$0.65B,0.18,$4.48B,$0.30B,6.73%,$4.48B,$0.02B,0.51%,$4.48B,$0.02B,0.51%,$4.48B,$0.09B,1.92%,$4.48B,$0.01B,0.22%,$4.48B,$0.01B,0.18%,$0.01B,$0.65B,1.27%,$0.01B,$0.07B,9.55%,$0.01B,$1.15B,0.72%,$0.02B,$0.76B,3.09%,$1125,$1060,$65,$0,$63,$1123,$2,$-2,$0,$-1,$1,$1,$1,$19,$2,$68,69,$0.01,$0.01,$27,$195,$0,$509,$21,$0,$578,$1,$645,$1154,$381,$117,$9,$126,$507,$525,$85,$0,$647,$1154,$9,$50,$14,$64,$4,$22,$-3,$-3,$21,$94,$-83,$0,$0,$0,$0,$0,$-0,$-83,$19,$-18,$1,$8,$8,$0,$0,$9,$19,$5,$0
5,2017-06-30,14.8,$9.34,1.58,$66.53,0.22,$1.97,7.52,$0.17,87.06,$0.48B,$0.34B,1.4,$0.12B,$0.64B,0.19,$4.53B,$0.32B,6.95%,$4.53B,$0.02B,0.49%,$4.53B,$0.02B,0.49%,$4.53B,$0.08B,1.81%,$4.53B,$0.01B,0.22%,$4.53B,$0.01B,0.26%,$0.01B,$0.64B,1.93%,$0.01B,$0.08B,13.52%,$0.01B,$1.10B,1.09%,$0.02B,$0.76B,3.01%,$1126,$1060,$67,$0,$62,$1122,$5,$-2,$3,$-1,$3,$3,$4,$22,$5,$68,68,$0.05,$0.05,$8,$178,$0,$476,$21,$0,$553,$1,$623,$1099,$340,$119,$4,$123,$464,$516,$84,$0,$636,$1099,$8,$33,$10,$43,$-3,$37,$-14,$-3,$17,$67,$-5,$0,$-54,$0,$0,$0,$-0,$-58,$22,$-37,$-15,$6,$6,$0,$0,$-9,$-0,$4,$0
6,2017-03-31,15.95,$9.26,1.72,$66.02,0.24,$1.57,10.19,$0.25,63.8,$0.48B,$0.34B,1.41,$0.12B,$0.62B,0.2,$4.49B,$0.33B,7.37%,$4.49B,$0.03B,0.69%,$4.49B,$0.03B,0.69%,$4.49B,$0.09B,1.91%,$4.49B,$0.02B,0.42%,$4.49B,$0.02B,0.38%,$0.02B,$0.62B,2.77%,$0.02B,$0.09B,19.88%,$0.02B,$1.09B,1.52%,$0.03B,$0.74B,4.30%,$1079,$994,$85,$0,$77,$1070,$9,$-2,$7,$2,$4,$4,$4,$24,$9,$67,68,$0.07,$0.06,$17,$200,$0,$480,$20,$0,$534,$1,$606,$1086,$339,$122,$4,$125,$464,$507,$81,$0,$622,$1086,$4,$16,$6,$21,$21,$15,$-21,$3,$19,$44,$-2,$0,$-27,$0,$0,$0,$-0,$-28,$24,$-34,$-10,$3,$3,$0,$0,$-7,$9,$1,$0
7,2016-12-31,12.6,$9.19,1.37,$64.78,0.19,$0.77,16.31,$0.42,30.0,$0.51B,$0.39B,1.31,$0.10B,$0.61B,0.16,$4.41B,$0.33B,7.37%,$4.41B,$0.05B,1.07%,$4.41B,$0.05B,1.07%,$4.41B,$0.10B,2.20%,$4.41B,$0.04B,0.82%,$4.41B,$0.03B,0.63%,$0.03B,$0.61B,4.70%,$0.03B,$0.10B,33.73%,$0.03B,$1.10B,2.54%,$0.05B,$0.71B,6.72%,$1145,$1061,$84,$0,$77,$1138,$7,$-6,$0,$2,$-1,$-1,$-1,$21,$7,$66,68,$-0.02,$-0.02,$8,$215,$0,$505,$20,$0,$516,$1,$594,$1099,$385,$100,$0,$100,$486,$504,$76,$0,$614,$1099,$25,$51,$20,$71,$-15,$-44,$-6,$0,$-65,$31,$-19,$0,$-67,$0,$0,$0,$0,$-86,$-6,$39,$33,$4,$4,$0,$-3,$35,$-20,$5,$0
8,2016-09-30,28.01,$9.20,3.05,$63.60,0.44,$0.79,35.38,$0.49,57.16,$0.53B,$0.40B,1.31,$0.10B,$0.61B,0.17,$4.25B,$0.32B,7.48%,$4.25B,$0.05B,1.11%,$4.25B,$0.05B,1.11%,$4.25B,$0.09B,2.19%,$4.25B,$0.04B,0.99%,$4.25B,$0.03B,0.78%,$0.03B,$0.61B,5.77%,$0.03B,$0.09B,48.89%,$0.03B,$1.13B,3.07%,$0.05B,$0.72B,6.95%,$1181,$1103,$79,$0,$77,$1180,$1,$-2,$-0,$-3,$3,$3,$5,$15,$1,$67,68,$0.08,$0.08,$17,$197,$0,$529,$20,$5,$524,$1,$602,$1130,$403,$102,$0,$114,$517,$503,$77,$0,$613,$1130,$26,$37,$11,$48,$-24,$-26,$5,$1,$-43,$31,$-15,$0,$-69,$0,$0,$0,$0,$-84,$-5,$46,$41,$4,$4,$0,$-3,$42,$-11,$5,$0
9,2016-06-30,35.0,$9.14,3.83,$60.77,0.58,$0.41,85.03,$0.65,53.85,$0.53B,$0.43B,1.25,$0.10B,$0.61B,0.17,$4.02B,$0.32B,7.84%,$4.02B,$0.07B,1.82%,$4.02B,$0.07B,1.82%,$4.02B,$0.12B,2.86%,$4.02B,$0.07B,1.67%,$4.02B,$0.04B,1.09%,$0.04B,$0.61B,8.09%,$0.04B,$0.07B,89.80%,$0.04B,$1.15B,4.23%,$0.07B,$0.71B,11.22%,$1089,$1005,$83,$0,$69,$1075,$14,$-1,$12,$4,$8,$8,$9,$26,$14,$66,68,$0.13,$0.13,$8,$182,$0,$529,$20,$5,$538,$1,$616,$1146,$425,$104,$0,$114,$539,$499,$72,$0,$607,$1146,$23,$23,$9,$32,$-49,$-11,$53,$-2,$-10,$46,$-11,$0,$-69,$0,$0,$0,$0,$-80,$-3,$17,$14,$1,$1,$0,$-1,$14,$-20,$3,$0
