,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,116.04,$18.33,6.33,$65.25,1.78,$9.96,11.65,$5.11,22.71,$0.55B,$1.32B,0.41,$0.93B,$2.28B,0.41,$8.21B,$1.77B,21.61%,$8.21B,$0.78B,9.52%,$8.21B,$0.78B,9.52%,$8.21B,$1.10B,13.42%,$8.21B,$0.62B,7.58%,$8.21B,$0.64B,7.85%,$0.64B,$2.28B,30.05%,$0.64B,$0.14B,5480.85%,$0.64B,$5.50B,11.85%,$0.78B,$3.20B,25.43%,$2061,$1621,$441,$0,$171,$1872,$189,$-13,$176,$7,$169,$169,$166,$270,$189,$124,126,$1.34,$1.32,$152,$195,$11,$545,$2474,$0,$2135,$344,$4952,$5497,$1324,$927,$523,$1897,$3222,$1667,$694,$-76,$2275,$5497,$166,$81,$24,$105,$15,$11,$-21,$-36,$-65,$206,$-111,$0,$0,$0,$0,$0,$2,$-109,$-2,$0,$-2,$2,$2,$-93,$0,$-92,$5,$18,$-93
1,2018-05-31,86.82,$17.77,4.89,$64.07,1.36,$9.85,8.82,$4.72,18.39,$0.55B,$1.39B,0.4,$0.93B,$2.20B,0.42,$8.08B,$1.75B,21.61%,$8.08B,$0.77B,9.49%,$8.08B,$0.77B,9.49%,$8.08B,$1.08B,13.39%,$8.08B,$0.61B,7.50%,$8.08B,$0.60B,7.39%,$0.60B,$2.20B,28.58%,$0.60B,$0.06B,-1511.39%,$0.60B,$5.47B,11.12%,$0.77B,$3.12B,25.40%,$2134,$1649,$486,$0,$172,$1904,$230,$-13,$217,$41,$175,$175,$175,$309,$230,$124,126,$1.41,$1.40,$147,$205,$12,$554,$2430,$0,$2135,$352,$4916,$5470,$1385,$927,$532,$1890,$3275,$1632,$658,$-85,$2195,$5470,$596,$315,$74,$388,$-7,$-27,$13,$39,$36,$1020,$-416,$0,$-40,$0,$0,$0,$5,$-451,$-114,$0,$-114,$-197,$-197,$-314,$-13,$-637,$-86,$43,$-314
2,2018-02-28,90.91,$17.16,5.3,$62.49,1.45,$9.86,9.22,$4.31,21.09,$0.57B,$1.47B,0.39,$0.93B,$2.13B,0.44,$7.88B,$1.70B,21.55%,$7.88B,$0.71B,8.97%,$7.88B,$0.71B,8.97%,$7.88B,$1.01B,12.87%,$7.88B,$0.55B,6.95%,$7.88B,$0.55B,6.93%,$0.55B,$2.13B,26.43%,$0.55B,$-0.01B,-814.93%,$0.55B,$5.46B,10.26%,$0.71B,$3.05B,23.57%,$2128,$1647,$481,$0,$169,$1895,$233,$-117,$116,$-103,$219,$219,$218,$313,$233,$124,126,$1.76,$1.73,$147,$208,$11,$570,$2405,$0,$2132,$348,$4885,$5455,$1468,$926,$519,$1862,$3330,$1628,$586,$-80,$2125,$5455,$422,$235,$50,$285,$26,$-29,$29,$72,$45,$751,$-306,$0,$-40,$0,$0,$0,$4,$-342,$-112,$51,$-62,$-172,$-172,$-235,$-12,$-480,$-86,$32,$-235
3,2017-11-30,82.61,$16.00,5.16,$60.48,1.37,$10.11,8.17,$3.90,21.18,$0.49B,$1.42B,0.34,$0.94B,$1.98B,0.47,$7.63B,$1.66B,21.69%,$7.63B,$0.70B,9.21%,$7.63B,$0.70B,9.21%,$7.63B,$1.00B,13.09%,$7.63B,$0.65B,8.54%,$7.63B,$0.49B,6.47%,$0.49B,$1.98B,24.36%,$0.49B,$-0.15B,748.48%,$0.49B,$5.32B,9.63%,$0.70B,$2.91B,24.76%,$1882,$1517,$365,$0,$157,$1753,$129,$-16,$113,$25,$89,$89,$85,$209,$129,$124,126,$0.69,$0.67,$115,$199,$11,$485,$2386,$0,$2123,$323,$4832,$5318,$1418,$936,$543,$1924,$3342,$1607,$447,$-68,$1976,$5318,$204,$156,$41,$197,$10,$-20,$-9,$-50,$-86,$314,$-205,$0,$-40,$4,$0,$4,$0,$-241,$591,$-440,$151,$-172,$-172,$-157,$-8,$-186,$-118,$18,$-157
4,2017-08-31,79.81,$16.65,4.79,$58.64,1.36,$10.46,7.63,$3.87,20.62,$0.48B,$1.26B,0.38,$0.94B,$2.06B,0.46,$7.39B,$1.61B,21.79%,$7.39B,$0.69B,9.35%,$7.39B,$0.69B,9.35%,$7.39B,$0.98B,13.19%,$7.39B,$0.65B,8.74%,$7.39B,$0.49B,6.61%,$0.49B,$2.06B,24.49%,$0.49B,$-0.06B,239.41%,$0.49B,$5.22B,9.95%,$0.69B,$3.00B,25.73%,$1936,$1522,$414,$0,$164,$1762,$175,$-15,$160,$38,$121,$121,$119,$251,$175,$125,127,$0.95,$0.93,$147,$176,$11,$483,$2319,$0,$2122,$299,$4741,$5224,$1258,$937,$526,$1907,$3165,$1620,$515,$-66,$2059,$5224,$119,$76,$32,$108,$19,$3,$-6,$-58,$-48,$179,$-98,$0,$0,$0,$0,$0,$1,$-97,$-1,$0,$-1,$-84,$-84,$-79,$0,$-164,$-86,$8,$-79
5,2017-05-31,85.85,$16.76,5.12,$56.96,1.51,$10.69,8.03,$3.81,22.53,$0.59B,$1.29B,0.46,$0.94B,$2.10B,0.45,$7.17B,$1.57B,21.88%,$7.17B,$0.68B,9.44%,$7.17B,$0.68B,9.44%,$7.17B,$0.95B,13.28%,$7.17B,$0.64B,8.88%,$7.17B,$0.48B,6.69%,$0.48B,$2.10B,24.84%,$0.48B,$-0.05B,155.47%,$0.48B,$5.29B,10.21%,$0.68B,$3.04B,27.11%,$1935,$1496,$438,$0,$198,$1764,$170,$-12,$159,$33,$125,$125,$124,$241,$170,$124,126,$0.99,$0.97,$233,$179,$13,$588,$2272,$0,$2152,$280,$4704,$5292,$1289,$937,$536,$1901,$3191,$1615,$560,$-63,$2102,$5292,$479,$274,$11,$285,$-7,$5,$-9,$120,$152,$916,$-310,$0,$-764,$0,$0,$0,$5,$-1070,$502,$0,$502,$-117,$-117,$-279,$24,$129,$-42,$41,$-279
6,2017-02-28,71.61,$15.87,4.51,$55.45,1.29,$12.79,5.6,$3.92,18.27,$0.89B,$1.23B,0.72,$0.44B,$1.97B,0.22,$7.03B,$1.54B,21.90%,$7.03B,$0.69B,9.85%,$7.03B,$0.69B,9.85%,$7.03B,$0.96B,13.71%,$7.03B,$0.65B,9.29%,$7.03B,$0.50B,7.06%,$0.50B,$1.97B,26.18%,$0.50B,$0.53B,110.84%,$0.50B,$4.68B,10.96%,$0.69B,$2.41B,29.63%,$1879,$1440,$439,$0,$142,$1649,$230,$-9,$220,$54,$166,$166,$166,$298,$230,$124,126,$1.33,$1.32,$391,$168,$13,$885,$2069,$0,$1448,$278,$3795,$4680,$1232,$441,$496,$1475,$2707,$1547,$520,$-84,$1973,$4680,$355,$203,$7,$210,$25,$7,$-47,$108,$136,$701,$-225,$0,$0,$0,$0,$0,$4,$-220,$-3,$0,$-3,$-152,$-152,$-209,$13,$-351,$117,$27,$-209
7,2016-11-30,69.74,$14.93,4.67,$54.80,1.27,$14.67,4.75,$3.42,20.39,$0.68B,$1.15B,0.59,$0.44B,$1.85B,0.24,$7.00B,$1.53B,21.92%,$7.00B,$0.68B,9.78%,$7.00B,$0.68B,9.78%,$7.00B,$0.95B,13.62%,$7.00B,$0.57B,8.16%,$7.00B,$0.44B,6.23%,$0.44B,$1.85B,23.18%,$0.44B,$0.41B,100.46%,$0.44B,$4.46B,9.73%,$0.68B,$2.29B,29.46%,$1643,$1322,$321,$0,$137,$1526,$117,$-10,$107,$27,$80,$80,$80,$185,$117,$123,125,$0.65,$0.64,$117,$184,$13,$683,$2057,$0,$1448,$274,$3779,$4462,$1151,$441,$490,$1457,$2609,$1523,$424,$-83,$1853,$4462,$190,$135,$5,$140,$-2,$-8,$-4,$3,$-35,$294,$-142,$0,$0,$1,$0,$1,$0,$-141,$-2,$0,$-2,$-169,$-169,$-140,$9,$-301,$-158,$18,$-140
8,2016-08-31,58.12,$14.64,3.97,$54.04,1.08,$16.37,3.55,$3.11,18.69,$0.61B,$1.13B,0.54,$0.44B,$1.80B,0.24,$6.96B,$1.54B,22.08%,$6.96B,$0.65B,9.32%,$6.96B,$0.65B,9.32%,$6.96B,$0.93B,13.30%,$6.96B,$0.49B,7.01%,$6.96B,$0.40B,5.73%,$0.40B,$1.80B,20.83%,$0.40B,$0.35B,85.21%,$0.40B,$4.37B,8.56%,$0.65B,$2.24B,27.56%,$1714,$1343,$372,$0,$151,$1553,$161,$-10,$151,$40,$111,$111,$110,$228,$161,$125,127,$0.88,$0.87,$115,$162,$17,$611,$2036,$0,$1447,$277,$3760,$4370,$1132,$440,$482,$1437,$2569,$1472,$429,$-89,$1801,$4370,$110,$67,$-5,$63,$12,$14,$-28,$-21,$0,$173,$-63,$0,$0,$0,$0,$0,$0,$-63,$-1,$0,$-1,$-192,$-192,$-71,$1,$-263,$-160,$6,$-71
9,2016-05-31,63.39,$15.47,4.1,$53.55,1.18,$17.07,3.71,$2.91,21.78,$0.82B,$1.19B,0.69,$0.44B,$1.95B,0.23,$6.93B,$1.54B,22.22%,$6.93B,$0.62B,8.97%,$6.93B,$0.62B,8.97%,$6.93B,$0.92B,13.20%,$6.93B,$0.45B,6.48%,$6.93B,$0.38B,5.41%,$0.38B,$1.95B,18.11%,$0.38B,$0.51B,60.10%,$0.38B,$4.58B,7.39%,$0.62B,$2.39B,22.53%,$1790,$1382,$408,$0,$154,$1605,$185,$-10,$175,$35,$140,$140,$140,$252,$185,$127,129,$1.09,$1.08,$275,$175,$20,$820,$2042,$0,$1447,$274,$3762,$4583,$1187,$440,$499,$1444,$2631,$1503,$548,$-87,$1952,$4583,$375,$294,$97,$391,$14,$-12,$46,$35,$54,$820,$74,$0,$0,$0,$0,$0,$2,$75,$-1100,$0,$-1100,$-86,$-86,$-268,$333,$-1121,$-261,$37,$-268
