,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2016-03-31,1.53,$4.78,0.32,$2.78,0.55,$-0.23,0.0,$-0.31,0.0,$0.05B,$0.01B,4.71,$0.00B,$0.08B,0.0,$0.04B,$0.00B,9.09%,$0.04B,$-0.01B,-13.64%,$0.04B,$-0.01B,-13.64%,$0.04B,$-0.00B,-4.55%,$0.04B,$-0.00B,-9.09%,$0.04B,$-0.00B,-9.09%,$-0.00B,$0.08B,-5.05%,$-0.00B,$0.08B,-5.05%,$-0.00B,$0.09B,-4.34%,$-0.01B,$0.08B,-7.57%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$0,0,$0.00,$0.00,$31,$8,$1,$51,$32,$5,$0,$0,$37,$88,$11,$0,$0,$0,$11,$53,$13,$5,$77,$88,$-5,$2,$2,$4,$0,$3,$-1,$-0,$1,$1,$1,$0,$0,$-4,$2,$-2,$0,$-1,$0,$0,$0,$0,$0,$-2,$0,$-2,$-2,$0,$-2
1,2015-12-31,1.26,$4.89,0.26,$2.76,0.46,$-0.45,0.0,$-0.24,0.0,$0.05B,$0.01B,4.32,$0.00B,$0.08B,0.0,$0.04B,$0.01B,11.36%,$0.04B,$-0.00B,-9.09%,$0.04B,$-0.00B,-9.09%,$0.04B,$-0.00B,-2.27%,$0.04B,$-0.00B,-6.82%,$0.04B,$-0.00B,-6.82%,$-0.00B,$0.08B,-3.70%,$-0.00B,$0.08B,-3.70%,$-0.00B,$0.09B,-3.18%,$-0.00B,$0.08B,-4.94%,$8,$7,$1,$0,$2,$10,$-2,$1,$-1,$-0,$-1,$-1,$-1,$-0,$-2,$16,16,$-0.07,$-0.07,$30,$9,$0,$53,$35,$3,$0,$0,$38,$91,$12,$0,$0,$0,$12,$53,$15,$5,$79,$91,$-4,$2,$1,$3,$-3,$2,$1,$-1,$-1,$-1,$0,$0,$0,$-3,$2,$-1,$0,$-1,$0,$0,$0,$0,$0,$-2,$0,$-2,$-4,$0,$-2
2,2015-09-30,1.33,$4.95,0.27,$2.65,0.5,$-0.53,0.0,$-0.29,0.0,$0.06B,$0.01B,4.12,$0.00B,$0.08B,0.0,$0.04B,$0.01B,11.90%,$0.04B,$-0.01B,-11.90%,$0.04B,$-0.01B,-11.90%,$0.04B,$-0.00B,-4.76%,$0.04B,$-0.00B,-9.52%,$0.04B,$-0.00B,-9.52%,$-0.00B,$0.08B,-4.85%,$-0.00B,$0.08B,-4.85%,$-0.00B,$0.09B,-4.18%,$-0.01B,$0.08B,-6.06%,$13,$11,$1,$0,$2,$13,$-1,$1,$-0,$0,$-0,$-0,$-0,$-0,$-1,$16,16,$-0.02,$-0.02,$32,$10,$0,$56,$35,$2,$0,$0,$37,$93,$14,$0,$0,$0,$14,$53,$16,$5,$79,$93,$-3,$1,$1,$3,$-3,$1,$1,$-0,$-1,$-2,$0,$0,$0,$-3,$-0,$-3,$0,$-3,$0,$0,$0,$0,$0,$-1,$0,$-1,$-5,$0,$-1
3,2015-06-30,1.52,$5.13,0.3,$2.52,0.6,$-0.55,0.0,$-0.25,0.0,$0.06B,$0.01B,4.12,$0.00B,$0.08B,0.0,$0.04B,$0.01B,12.50%,$0.04B,$-0.01B,-15.00%,$0.04B,$-0.01B,-15.00%,$0.04B,$-0.00B,-7.50%,$0.04B,$-0.00B,-10.00%,$0.04B,$-0.00B,-10.00%,$-0.00B,$0.08B,-4.73%,$-0.00B,$0.08B,-4.73%,$-0.00B,$0.10B,-4.11%,$-0.01B,$0.08B,-7.10%,$12,$11,$1,$0,$2,$13,$-1,$-1,$-2,$0,$-2,$-2,$-2,$-1,$-1,$16,16,$-0.15,$-0.15,$34,$11,$0,$59,$36,$2,$0,$0,$37,$97,$14,$0,$0,$0,$14,$53,$18,$5,$82,$97,$-1,$1,$0,$1,$-3,$-0,$2,$-0,$-2,$-2,$0,$0,$0,$-1,$-2,$-3,$0,$-3,$0,$0,$0,$0,$0,$0,$0,$0,$-5,$0,$0
4,2015-03-31,1.52,$5.24,0.29,$2.36,0.64,$-0.47,0.0,$-0.18,0.0,$0.06B,$0.01B,4.71,$0.00B,$0.08B,0.0,$0.04B,$0.01B,13.16%,$0.04B,$-0.01B,-13.16%,$0.04B,$-0.01B,-13.16%,$0.04B,$-0.00B,-5.26%,$0.04B,$-0.00B,-7.89%,$0.04B,$-0.00B,-7.89%,$-0.00B,$0.08B,-3.48%,$-0.00B,$0.08B,-3.48%,$-0.00B,$0.10B,-3.05%,$-0.01B,$0.08B,-5.80%,$11,$11,$1,$0,$2,$13,$-2,$1,$-1,$0,$-1,$-1,$-1,$0,$-2,$16,16,$-0.07,$-0.07,$36,$11,$0,$58,$37,$2,$0,$0,$38,$96,$12,$0,$0,$0,$12,$53,$20,$5,$84,$96,$-3,$3,$-1,$2,$-2,$-0,$1,$-0,$-1,$-2,$0,$0,$0,$-3,$-0,$-4,$0,$-4,$0,$0,$0,$0,$0,$-3,$0,$-3,$-9,$0,$-3
5,2014-12-31,1.42,$5.32,0.27,$2.30,0.62,$-0.43,0.0,$-0.37,0.0,$0.06B,$0.01B,5.0,$0.00B,$0.09B,0.0,$0.04B,$0.00B,10.81%,$0.04B,$-0.01B,-21.62%,$0.04B,$-0.01B,-21.62%,$0.04B,$-0.00B,-10.81%,$0.04B,$-0.01B,-13.51%,$0.04B,$-0.01B,-16.22%,$-0.01B,$0.09B,-6.84%,$-0.01B,$0.09B,-6.84%,$-0.01B,$0.10B,-6.03%,$-0.01B,$0.09B,-9.12%,$8,$6,$2,$0,$2,$9,$-0,$1,$0,$0,$0,$0,$0,$-1,$-0,$16,16,$0.01,$0.01,$38,$10,$0,$60,$37,$0,$0,$0,$37,$97,$12,$0,$0,$0,$12,$53,$21,$5,$85,$97,$-3,$2,$-0,$2,$-3,$1,$1,$-0,$-1,$-2,$-0,$0,$0,$-4,$-0,$-5,$0,$-5,$0,$0,$0,$0,$0,$-2,$0,$-2,$-9,$0,$-2
6,2014-09-30,1.73,$5.39,0.32,$2.29,0.76,$-0.42,0.0,$-0.39,0.0,$0.06B,$0.01B,4.82,$0.00B,$0.09B,0.0,$0.04B,$0.00B,10.81%,$0.04B,$-0.01B,-18.92%,$0.04B,$-0.01B,-18.92%,$0.04B,$-0.00B,-8.11%,$0.04B,$-0.01B,-13.51%,$0.04B,$-0.01B,-16.22%,$-0.01B,$0.09B,-6.69%,$-0.01B,$0.09B,-6.69%,$-0.01B,$0.10B,-5.90%,$-0.01B,$0.09B,-7.80%,$11,$10,$1,$0,$3,$13,$-2,$1,$-1,$0,$-1,$-1,$-1,$-1,$-2,$16,16,$-0.07,$-0.07,$38,$10,$0,$62,$38,$0,$0,$0,$38,$99,$13,$0,$0,$0,$13,$53,$23,$5,$87,$99,$-2,$1,$-0,$1,$-3,$1,$1,$1,$-1,$-2,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$0,$-2,$0,$-2,$-4,$0,$-2
7,2014-06-30,1.59,$5.54,0.29,$2.39,0.67,$-0.40,0.0,$-0.36,0.0,$0.06B,$0.01B,5.29,$0.00B,$0.09B,0.0,$0.04B,$0.00B,10.26%,$0.04B,$-0.01B,-17.95%,$0.04B,$-0.01B,-17.95%,$0.04B,$-0.00B,-7.69%,$0.04B,$-0.00B,-10.26%,$0.04B,$-0.01B,-12.82%,$-0.01B,$0.09B,-5.43%,$-0.01B,$0.09B,-5.43%,$-0.01B,$0.10B,-4.78%,$-0.01B,$0.09B,-7.61%,$10,$9,$1,$0,$3,$12,$-2,$0,$-2,$0,$-2,$-2,$-2,$-0,$-2,$16,16,$-0.11,$-0.11,$40,$11,$0,$63,$38,$0,$0,$0,$38,$101,$12,$0,$0,$0,$12,$53,$25,$5,$89,$101,$0,$1,$-1,$0,$-2,$0,$0,$1,$-1,$-1,$0,$0,$0,$0,$-0,$-0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$-1,$-2,$0,$-1
8,2014-03-31,1.56,$5.58,0.28,$2.52,0.62,$-0.41,0.0,$-0.47,0.0,$0.06B,$0.01B,5.61,$0.00B,$0.09B,0.0,$0.04B,$0.00B,9.76%,$0.04B,$-0.01B,-17.07%,$0.04B,$-0.01B,-17.07%,$0.04B,$-0.00B,-7.32%,$0.04B,$-0.01B,-14.63%,$0.04B,$-0.01B,-17.07%,$-0.01B,$0.09B,-7.43%,$-0.01B,$0.09B,-7.43%,$-0.01B,$0.10B,-6.53%,$-0.01B,$0.09B,-7.43%,$9,$8,$1,$0,$2,$10,$-1,$1,$0,$0,$0,$0,$0,$-2,$-1,$16,16,$0.00,$0.00,$41,$11,$0,$62,$39,$0,$0,$0,$39,$101,$11,$0,$0,$0,$11,$53,$26,$5,$90,$101,$-7,$4,$2,$5,$0,$0,$-0,$0,$0,$-2,$0,$0,$0,$0,$-3,$-3,$0,$-2,$0,$0,$0,$-1,$-1,$-4,$0,$-5,$-9,$0,$-4
9,2013-12-31,1.65,$5.82,0.28,$2.61,0.63,$0.16,10.65,$-0.40,0.0,$0.07B,$0.01B,5.18,$0.00B,$0.09B,0.0,$0.04B,$0.00B,9.30%,$0.04B,$-0.01B,-13.95%,$0.04B,$-0.01B,-13.95%,$0.04B,$-0.00B,-4.65%,$0.04B,$-0.01B,-11.63%,$0.04B,$-0.01B,-13.95%,$-0.01B,$0.09B,-6.17%,$-0.01B,$0.09B,-6.19%,$-0.01B,$0.11B,-5.44%,$-0.01B,$0.09B,-6.17%,$7,$7,$1,$0,$2,$10,$-3,$0,$-2,$0,$-3,$-3,$-3,$-0,$-3,$16,16,$-0.19,$-0.19,$42,$12,$0,$65,$40,$0,$0,$0,$41,$106,$13,$0,$0,$0,$13,$53,$30,$5,$93,$106,$-4,$3,$0,$3,$-2,$-0,$0,$0,$-1,$-2,$-0,$0,$0,$0,$-3,$-3,$0,$-3,$0,$0,$0,$-1,$-1,$-3,$0,$-4,$-9,$0,$-3
