,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.12,$0.00,0.0,$2.08,1.98,$-0.19,0.0,$-4.32,0.0,$0.22B,$0.00B,0.0,$0.61B,$0.00B,0.0,$0.21B,$0.11B,51.89%,$0.21B,$-0.41B,-191.51%,$0.21B,$-0.41B,-191.51%,$0.21B,$-0.41B,-191.51%,$0.21B,$-0.42B,-199.53%,$0.21B,$-0.43B,-201.89%,$-0.43B,$0.64B,-68.18%,$-0.43B,$0.64B,-68.18%,$-0.43B,$1.27B,-34.50%,$-0.41B,$1.25B,-33.31%,$53,$25,$28,$0,$7,$45,$8,$-6,$2,$0,$2,$2,$1,$8,$8,$104,104,$0.00,$0.00,$82,$0,$17,$133,$0,$3,$0,$52,$1086,$1219,$0,$572,$23,$595,$595,$0,$0,$0,$624,$1219,$0,$0,$0,$0,$0,$0,$0,$0,$0,$28,$0,$0,$0,$0,$0,$0,$0,$47,$0,$0,$0,$0,$0,$0,$0,$-33,$42,$0,$0
1,2018-06-30,4.81,$0.00,0.0,$1.92,2.5,$-0.58,0.0,$-4.57,0.0,$0.13B,$0.00B,0.0,$0.57B,$0.00B,0.0,$0.19B,$0.09B,47.42%,$0.19B,$-0.44B,-226.80%,$0.19B,$-0.44B,-226.80%,$0.19B,$-0.44B,-226.80%,$0.19B,$-0.46B,-238.14%,$0.19B,$-0.47B,-240.72%,$-0.47B,$0.62B,-63.71%,$-0.47B,$0.62B,-63.71%,$-0.47B,$1.22B,-34.61%,$-0.44B,$1.20B,-33.12%,$48,$25,$23,$0,$8,$46,$2,$-6,$-3,$0,$-3,$-3,$-4,$2,$2,$103,103,$-0.04,$-0.04,$90,$0,$68,$158,$1042,$3,$0,$26,$1071,$1229,$0,$587,$20,$607,$607,$0,$0,$0,$622,$1229,$0,$0,$0,$0,$0,$0,$0,$0,$0,$10,$0,$0,$0,$0,$0,$0,$0,$30,$0,$0,$0,$0,$0,$0,$0,$-16,$24,$0,$0
2,2018-03-31,3.66,$0.00,0.0,$1.80,2.03,$-0.81,0.0,$-4.83,0.0,$0.16B,$0.00B,0.0,$0.59B,$0.00B,0.0,$0.18B,$0.08B,43.02%,$0.18B,$-0.46B,-259.22%,$0.18B,$-0.46B,-259.22%,$0.18B,$-0.46B,-259.22%,$0.18B,$-0.49B,-272.63%,$0.18B,$-0.49B,-275.42%,$-0.49B,$0.62B,-58.12%,$-0.49B,$0.62B,-58.12%,$-0.49B,$1.23B,-33.33%,$-0.46B,$1.21B,-31.80%,$49,$27,$22,$0,$9,$481,$-432,$-5,$-437,$0,$-437,$-437,$-438,$-432,$-432,$96,96,$-4.56,$-4.56,$40,$0,$16,$139,$0,$3,$0,$51,$1108,$1247,$0,$601,$21,$622,$622,$0,$0,$0,$625,$1247,$-512,$88,$445,$534,$1,$0,$2,$-4,$1,$23,$-124,$0,$0,$11,$-40,$-28,$0,$-152,$2,$0,$2,$0,$77,$-6,$-0,$74,$-55,$8,$-6
3,2017-12-31,4.07,$0.00,0.0,$1.72,2.37,$-0.92,0.0,$-5.13,0.0,$0.16B,$0.00B,0.0,$0.60B,$0.00B,0.0,$0.16B,$0.06B,38.89%,$0.16B,$-0.48B,-298.77%,$0.16B,$-0.48B,-298.77%,$0.16B,$-0.48B,-298.77%,$0.16B,$-0.51B,-315.43%,$0.16B,$-0.52B,-319.14%,$-0.52B,$0.63B,-54.39%,$-0.52B,$0.63B,-54.39%,$-0.52B,$1.25B,-32.42%,$-0.48B,$1.23B,-30.71%,$44,$25,$19,$0,$6,$62,$-18,$-6,$-24,$0,$-24,$-24,$-26,$-18,$-18,$102,102,$-0.25,$-0.25,$63,$0,$28,$91,$23,$3,$0,$7,$1612,$1702,$0,$622,$19,$641,$641,$0,$0,$0,$1061,$1702,$0,$0,$0,$0,$0,$0,$0,$0,$0,$11,$0,$0,$0,$0,$0,$0,$0,$-166,$0,$0,$0,$0,$0,$0,$0,$96,$-58,$0,$0
4,2017-09-30,3.63,$0.00,0.0,$1.55,2.34,$-0.76,0.0,$-1.16,0.0,$0.09B,$0.00B,0.0,$0.62B,$0.00B,0.0,$0.14B,$0.05B,33.33%,$0.14B,$-0.07B,-48.23%,$0.14B,$-0.07B,-48.23%,$0.14B,$-0.07B,-48.23%,$0.14B,$-0.10B,-68.79%,$0.14B,$-0.10B,-73.76%,$-0.10B,$1.06B,-9.83%,$-0.10B,$1.06B,-9.83%,$-0.10B,$1.70B,-6.12%,$-0.07B,$1.68B,-4.08%,$38,$24,$13,$0,$7,$53,$-16,$-8,$-24,$0,$-24,$-24,$-25,$-16,$-16,$97,97,$-0.26,$-0.26,$68,$0,$18,$169,$1559,$4,$0,$7,$1571,$1739,$0,$634,$20,$654,$654,$0,$0,$0,$1085,$1739,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3,$0,$0,$0,$0,$0,$0,$0,$-166,$0,$0,$0,$0,$0,$0,$0,$109,$-53,$0,$0
5,2017-06-30,4.06,$0.00,0.0,$1.46,2.78,$-1.10,0.0,$-1.90,0.0,$0.17B,$0.00B,0.0,$0.63B,$0.00B,0.0,$0.12B,$0.03B,25.81%,$0.12B,$-0.07B,-58.87%,$0.12B,$-0.07B,-58.87%,$0.12B,$-0.07B,-58.87%,$0.12B,$-0.15B,-121.77%,$0.12B,$-0.16B,-127.42%,$-0.16B,$1.09B,-14.86%,$-0.16B,$1.09B,-14.86%,$-0.16B,$1.74B,-9.29%,$-0.07B,$1.72B,-4.38%,$31,$22,$9,$0,$6,$50,$-18,$-8,$-26,$0,$-26,$-26,$-28,$-18,$-18,$81,81,$-0.34,$-0.34,$84,$0,$17,$101,$1512,$4,$0,$29,$1590,$1691,$0,$645,$15,$661,$661,$0,$0,$0,$1031,$1691,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$-58,$0,$0,$0,$0,$0,$0,$0,$46,$-13,$0,$0
6,2017-03-31,4.62,$0.00,0.0,$1.42,3.25,$-1.30,0.0,$-2.05,0.0,$0.10B,$0.00B,0.0,$0.65B,$0.00B,0.0,$0.11B,$0.02B,19.30%,$0.11B,$-0.08B,-71.05%,$0.11B,$-0.08B,-71.05%,$0.11B,$-0.08B,-71.05%,$0.11B,$-0.16B,-138.60%,$0.11B,$-0.17B,-145.61%,$-0.17B,$1.03B,-15.36%,$-0.17B,$1.03B,-15.36%,$-0.17B,$1.69B,-9.69%,$-0.08B,$1.68B,-4.81%,$28,$22,$6,$0,$7,$44,$-16,$-7,$-23,$0,$-23,$-23,$-25,$-16,$-16,$80,80,$-0.30,$-0.30,$98,$6,$0,$115,$1427,$6,$0,$23,$1553,$1669,$78,$533,$1,$534,$612,$1,$70,$0,$1057,$1669,$-164,$83,$64,$147,$2,$0,$-2,$-3,$-4,$-21,$-51,$0,$0,$0,$0,$0,$10,$-42,$-3,$0,$-3,$0,$0,$-6,$-0,$-9,$-72,$8,$-6
7,2016-12-31,3.02,$12.48,0.24,$1.42,2.12,$-1.41,0.0,$-2.12,0.0,$0.12B,$0.08B,1.47,$0.53B,$1.06B,0.51,$0.11B,$0.02B,13.16%,$0.11B,$-0.09B,-77.19%,$0.11B,$-0.09B,-77.19%,$0.11B,$-0.09B,-77.19%,$0.11B,$-0.16B,-142.98%,$0.11B,$-0.17B,-150.00%,$-0.17B,$1.06B,-15.26%,$-0.17B,$1.06B,-15.26%,$-0.17B,$1.67B,-9.80%,$-0.09B,$1.59B,-5.13%,$27,$23,$4,$0,$6,$50,$-23,$-55,$-78,$0,$-78,$-78,$-80,$-23,$-23,$81,81,$-0.99,$-0.99,$108,$0,$13,$122,$1446,$8,$0,$29,$1580,$1702,$0,$609,$14,$622,$622,$0,$0,$0,$1079,$1702,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-19,$0,$0,$0,$0,$0,$0,$0,$-46,$0,$0,$0,$0,$0,$0,$0,$3,$-62,$0,$0
8,2016-09-30,2.62,$0.00,0.0,$1.55,1.69,$-2.17,0.0,$-2.11,0.0,$0.12B,$0.00B,0.0,$0.61B,$0.00B,0.0,$0.12B,$0.02B,16.13%,$0.12B,$-0.09B,-70.97%,$0.12B,$-0.09B,-70.97%,$0.12B,$-0.09B,-70.97%,$0.12B,$-0.16B,-130.65%,$0.12B,$-0.17B,-137.10%,$-0.17B,$1.08B,-14.65%,$-0.17B,$1.08B,-14.65%,$-0.17B,$1.70B,-9.51%,$-0.09B,$1.69B,-5.00%,$28,$25,$3,$0,$7,$53,$-24,$-7,$-31,$0,$-31,$-31,$-33,$-24,$-24,$81,81,$-0.41,$-0.41,$126,$0,$20,$145,$1466,$58,$0,$30,$1645,$1791,$0,$619,$15,$634,$634,$0,$0,$0,$1157,$1791,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-14,$0,$0,$0,$0,$0,$0,$0,$-46,$0,$0,$0,$0,$0,$0,$0,$15,$-45,$0,$0
9,2016-06-30,2.43,$0.00,0.0,$1.71,1.42,$-1.66,0.0,$-1.36,0.0,$0.15B,$0.00B,0.0,$0.62B,$0.00B,0.0,$0.14B,$0.03B,22.06%,$0.14B,$-0.08B,-55.88%,$0.14B,$-0.08B,-55.88%,$0.14B,$-0.08B,-55.88%,$0.14B,$-0.10B,-74.26%,$0.14B,$-0.11B,-80.15%,$-0.11B,$1.16B,-9.08%,$-0.11B,$1.16B,-9.08%,$-0.11B,$1.79B,-5.99%,$-0.08B,$1.78B,-4.26%,$31,$29,$2,$0,$7,$56,$-25,$-7,$-31,$0,$-31,$-31,$-33,$-25,$-25,$80,80,$-0.41,$-0.41,$149,$0,$22,$171,$1471,$60,$0,$30,$1649,$1820,$0,$616,$16,$632,$632,$0,$0,$0,$1188,$1820,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-9,$0,$0,$0,$0,$0,$0,$0,$-27,$0,$0,$0,$0,$0,$0,$0,$13,$-23,$0,$0
10,2016-03-31,2.67,$0.00,0.0,$1.84,1.45,$-1.31,0.0,$-1.14,0.0,$0.17B,$0.00B,0.0,$0.62B,$0.00B,0.0,$0.15B,$0.04B,27.21%,$0.15B,$-0.06B,-43.54%,$0.15B,$-0.06B,-43.54%,$0.15B,$-0.06B,-43.54%,$0.15B,$-0.08B,-57.14%,$0.15B,$-0.09B,-62.59%,$-0.09B,$1.19B,-7.51%,$-0.09B,$1.19B,-7.51%,$-0.09B,$1.82B,-5.00%,$-0.06B,$1.80B,-3.58%,$38,$27,$11,$0,$8,$54,$-16,$-7,$-22,$0,$-22,$-22,$-24,$-16,$-16,$80,80,$-0.31,$-0.31,$172,$6,$0,$194,$1441,$62,$0,$22,$1643,$1837,$59,$559,$1,$560,$619,$1,$240,$0,$1218,$1837,$-65,$78,$14,$92,$4,$1,$-1,$-8,$-3,$24,$-156,$0,$0,$0,$-0,$-0,$0,$-156,$120,$0,$120,$-3,$-3,$-6,$-7,$104,$-28,$8,$0
11,2015-12-31,4.35,$14.76,0.29,$1.98,2.19,$-1.09,0.0,$-0.88,0.0,$0.19B,$0.06B,3.29,$0.56B,$1.22B,0.46,$0.16B,$0.05B,33.54%,$0.16B,$-0.05B,-29.75%,$0.16B,$-0.05B,-29.75%,$0.16B,$-0.05B,-29.75%,$0.16B,$-0.06B,-40.51%,$0.16B,$-0.07B,-44.94%,$-0.07B,$1.22B,-7.65%,$-0.07B,$1.22B,-7.65%,$-0.07B,$1.84B,-5.12%,$-0.05B,$1.78B,-3.52%,$39,$25,$14,$0,$6,$50,$-11,$-6,$-17,$0,$-17,$-17,$-19,$-11,$-11,$80,80,$-0.24,$-0.24,$243,$0,$20,$262,$1411,$65,$0,$6,$1565,$1827,$54,$533,$1,$534,$588,$0,$0,$0,$1239,$1827,$0,$0,$0,$0,$0,$0,$0,$0,$0,$22,$0,$0,$0,$0,$0,$0,$0,$-77,$0,$0,$0,$0,$0,$0,$0,$78,$23,$0,$0
