,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,2.65,$2.65,1.0,$6.56,0.4,$-1.72,0.0,$-1.03,0.0,$0.07B,$0.02B,3.49,$0.00B,$0.07B,0.0,$0.17B,$0.08B,47.93%,$0.17B,$-0.03B,-14.79%,$0.17B,$-0.03B,-14.79%,$0.17B,$-0.02B,-11.24%,$0.17B,$-0.03B,-15.98%,$0.17B,$-0.03B,-15.38%,$-0.03B,$0.07B,-31.90%,$-0.03B,$0.06B,-33.66%,$-0.03B,$0.11B,-22.81%,$-0.03B,$0.07B,-30.67%,$31,$17,$13,$0,$24,$42,$-11,$0,$-11,$-3,$-8,$-8,$-8,$-9,$-11,$26,26,$-0.30,$-0.30,$30,$26,$0,$71,$25,$0,$5,$0,$35,$105,$20,$0,$10,$16,$36,$86,$-20,$0,$69,$105,$-9,$3,$2,$5,$0,$0,$0,$-12,$-12,$-15,$-1,$-2,$0,$0,$0,$0,$0,$-3,$0,$0,$0,$0,$0,$0,$0,$0,$-18,$-0,$0
1,2018-04-30,3.92,$3.05,1.28,$6.71,0.58,$-1.34,0.0,$-0.89,0.0,$0.08B,$0.02B,4.86,$0.00B,$0.08B,0.0,$0.17B,$0.08B,47.98%,$0.17B,$-0.02B,-11.56%,$0.17B,$-0.02B,-11.56%,$0.17B,$-0.01B,-8.09%,$0.17B,$-0.02B,-12.72%,$0.17B,$-0.02B,-12.72%,$-0.02B,$0.08B,-24.93%,$-0.02B,$0.07B,-25.96%,$-0.02B,$0.11B,-18.53%,$-0.02B,$0.08B,-22.66%,$36,$18,$18,$0,$19,$37,$-1,$0,$-1,$-0,$-1,$-1,$-1,$0,$-1,$26,26,$-0.04,$-0.04,$42,$20,$1,$77,$28,$0,$5,$0,$36,$112,$16,$0,$11,$18,$33,$88,$-12,$0,$79,$112,$-1,$1,$1,$2,$0,$0,$0,$-7,$-7,$-6,$-1,$-1,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-8,$0,$0
2,2018-01-31,3.95,$3.04,1.3,$6.76,0.58,$-1.35,0.0,$-0.86,0.0,$0.08B,$0.02B,4.15,$0.00B,$0.08B,0.0,$0.17B,$0.08B,47.70%,$0.17B,$-0.02B,-10.92%,$0.17B,$-0.02B,-10.92%,$0.17B,$-0.01B,-6.90%,$0.17B,$-0.02B,-12.07%,$0.17B,$-0.02B,-12.07%,$-0.02B,$0.08B,-22.34%,$-0.02B,$0.08B,-23.08%,$-0.02B,$0.12B,-17.18%,$-0.02B,$0.08B,-20.21%,$68,$33,$35,$0,$41,$75,$-6,$-1,$-8,$5,$-12,$-12,$-12,$-5,$-6,$26,26,$-0.49,$-0.49,$49,$19,$0,$79,$28,$0,$3,$0,$36,$115,$19,$0,$10,$17,$36,$87,$-11,$0,$79,$115,$-22,$8,$26,$34,$0,$0,$0,$-4,$-4,$8,$-7,$-2,$0,$0,$0,$0,$0,$-10,$0,$0,$0,$1,$1,$0,$0,$1,$-1,$2,$0
3,2017-10-31,4.25,$3.83,1.11,$11.63,0.37,$-1.85,0.0,$-0.31,0.0,$0.07B,$0.02B,4.87,$0.00B,$0.10B,0.0,$0.29B,$0.14B,48.63%,$0.29B,$-0.02B,-5.48%,$0.29B,$-0.02B,-5.48%,$0.29B,$-0.00B,-1.03%,$0.29B,$-0.02B,-5.14%,$0.29B,$-0.01B,-3.08%,$-0.01B,$0.10B,-7.61%,$-0.01B,$0.10B,-7.81%,$-0.01B,$0.12B,-5.96%,$-0.02B,$0.10B,-13.53%,$34,$20,$15,$0,$22,$41,$-7,$-0,$-7,$-2,$-5,$-5,$-5,$-5,$-7,$26,26,$-0.20,$-0.20,$29,$30,$1,$72,$38,$0,$3,$0,$52,$124,$15,$0,$3,$10,$25,$89,$1,$0,$99,$124,$-10,$6,$5,$11,$0,$0,$0,$-17,$-17,$-16,$-6,$-1,$0,$0,$0,$0,$0,$-7,$0,$0,$0,$1,$1,$0,$0,$1,$-22,$1,$0
4,2017-07-31,6.0,$3.74,1.6,$11.65,0.52,$-2.24,0.0,$-0.26,0.0,$0.07B,$0.02B,3.94,$0.00B,$0.10B,0.0,$0.29B,$0.14B,48.97%,$0.29B,$-0.01B,-4.79%,$0.29B,$-0.01B,-4.79%,$0.29B,$-0.00B,-0.34%,$0.29B,$-0.01B,-4.45%,$0.29B,$-0.01B,-2.74%,$-0.01B,$0.10B,-6.78%,$-0.01B,$0.09B,-6.94%,$-0.01B,$0.12B,-5.35%,$-0.01B,$0.10B,-11.86%,$35,$19,$15,$0,$21,$40,$-6,$-0,$-6,$-2,$-4,$-4,$-4,$-4,$-6,$26,26,$-0.17,$-0.17,$43,$22,$0,$74,$37,$0,$2,$0,$50,$124,$19,$0,$3,$9,$28,$84,$6,$0,$96,$124,$-4,$4,$2,$6,$0,$0,$0,$-5,$-5,$-3,$-4,$-1,$0,$0,$0,$0,$0,$-4,$0,$0,$0,$1,$1,$0,$0,$1,$-6,$1,$0
5,2017-04-30,6.25,$3.98,1.57,$11.59,0.54,$-2.37,0.0,$-0.17,0.0,$0.08B,$0.01B,5.21,$0.00B,$0.10B,0.0,$0.29B,$0.14B,49.48%,$0.29B,$-0.01B,-3.46%,$0.29B,$-0.01B,-3.46%,$0.29B,$0.00B,0.69%,$0.29B,$-0.01B,-3.11%,$0.29B,$-0.01B,-2.08%,$-0.01B,$0.10B,-5.03%,$-0.01B,$0.10B,-5.14%,$-0.01B,$0.13B,-4.01%,$-0.01B,$0.10B,-8.39%,$37,$18,$18,$0,$18,$37,$0,$0,$0,$0,$-0,$-0,$-0,$2,$0,$25,25,$-0.01,$-0.01,$42,$21,$1,$75,$39,$0,$2,$0,$51,$126,$14,$0,$4,$10,$24,$199,$-107,$0,$102,$126,$-0,$2,$1,$2,$0,$0,$0,$-7,$-7,$-5,$-1,$-0,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$1,$1,$0,$0,$1,$-6,$0,$0
6,2017-01-31,6.6,$6.90,0.96,$11.45,0.58,$-2.23,0.0,$-0.12,0.0,$0.14B,$0.04B,3.9,$0.00B,$0.18B,0.0,$0.29B,$0.14B,49.65%,$0.29B,$-0.01B,-2.80%,$0.29B,$-0.01B,-2.80%,$0.29B,$0.00B,1.05%,$0.29B,$-0.01B,-2.45%,$0.29B,$-0.01B,-1.75%,$-0.01B,$0.18B,-4.23%,$-0.01B,$0.17B,-4.31%,$-0.01B,$0.23B,-3.40%,$-0.01B,$0.18B,-6.77%,$186,$91,$94,$0,$97,$188,$-3,$0,$-2,$-2,$-0,$-0,$-0,$4,$-3,$25,25,$-0.02,$-0.02,$85,$41,$1,$139,$67,$0,$4,$0,$90,$230,$36,$0,$8,$18,$54,$347,$-188,$0,$176,$230,$-5,$12,$20,$32,$0,$0,$0,$-12,$-12,$15,$-27,$-2,$0,$0,$0,$0,$0,$-29,$0,$0,$0,$4,$4,$0,$0,$4,$-11,$3,$0
7,2016-10-31,10.55,$3.93,2.69,$6.82,1.55,$-1.78,0.0,$0.24,43.96,$0.07B,$0.01B,4.9,$0.00B,$0.10B,0.0,$0.16B,$0.08B,50.96%,$0.16B,$0.01B,7.01%,$0.16B,$0.01B,7.01%,$0.16B,$0.02B,10.19%,$0.16B,$0.02B,9.55%,$0.16B,$0.01B,7.01%,$0.01B,$0.10B,10.97%,$0.01B,$0.10B,11.17%,$0.01B,$0.12B,9.13%,$0.01B,$0.10B,10.97%,$34,$18,$16,$0,$21,$39,$-5,$0,$-5,$-1,$-4,$-4,$-4,$-3,$-5,$25,25,$-0.15,$-0.15,$25,$33,$1,$69,$41,$0,$2,$0,$49,$118,$14,$0,$0,$6,$20,$200,$-110,$0,$98,$118,$-4,$5,$5,$9,$0,$0,$0,$-24,$-24,$-19,$-12,$-1,$0,$0,$0,$0,$0,$-12,$0,$0,$0,$1,$1,$0,$0,$1,$-30,$1,$0
8,2016-07-31,13.42,$4.10,3.28,$6.98,1.92,$-1.61,0.0,$0.36,37.28,$0.08B,$0.02B,4.28,$0.00B,$0.10B,0.0,$0.15B,$0.08B,51.66%,$0.15B,$0.02B,9.93%,$0.15B,$0.02B,9.93%,$0.15B,$0.02B,12.58%,$0.15B,$0.02B,12.58%,$0.15B,$0.01B,9.27%,$0.01B,$0.10B,14.36%,$0.01B,$0.10B,14.62%,$0.01B,$0.13B,11.94%,$0.02B,$0.10B,15.38%,$32,$16,$15,$0,$18,$34,$-2,$0,$-2,$-0,$-2,$-2,$-2,$-1,$-2,$25,25,$-0.07,$-0.07,$47,$19,$0,$76,$41,$0,$2,$0,$49,$125,$18,$0,$0,$6,$23,$201,$-108,$0,$101,$125,$-1,$3,$1,$4,$0,$0,$0,$-6,$-6,$-2,$-8,$-0,$0,$0,$0,$0,$0,$-8,$0,$0,$0,$1,$1,$0,$0,$1,$-9,$1,$0
9,2016-04-30,11.21,$3.99,2.81,$7.08,1.58,$-1.72,0.0,$-1.79,0.0,$0.07B,$0.01B,5.42,$0.00B,$0.10B,0.0,$0.15B,$0.08B,52.41%,$0.15B,$0.02B,10.34%,$0.15B,$0.02B,10.34%,$0.15B,$0.02B,13.10%,$0.15B,$-0.02B,-14.48%,$0.15B,$-0.03B,-17.93%,$-0.03B,$0.10B,-27.23%,$-0.03B,$0.10B,-27.81%,$-0.03B,$0.12B,-22.86%,$0.02B,$0.10B,15.71%,$34,$16,$17,$0,$16,$32,$2,$0,$2,$0,$1,$1,$1,$3,$2,$24,26,$0.05,$0.05,$52,$13,$0,$72,$35,$0,$2,$0,$44,$116,$13,$0,$0,$5,$18,$196,$-103,$0,$98,$116,$1,$1,$0,$2,$0,$0,$0,$-4,$-4,$-1,$-2,$-0,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-3,$0,$0
