,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,80.02,$60.33,1.33,$34.33,2.33,$-6.06,0.0,$4.10,19.52,$9.52B,$13.92B,0.68,$50.51B,$43.01B,1.17,$24.21B,$16.84B,69.56%,$24.21B,$5.18B,21.40%,$24.21B,$5.18B,21.40%,$24.21B,$9.68B,40.00%,$24.21B,$3.51B,14.48%,$24.21B,$2.91B,12.00%,$2.91B,$43.01B,6.87%,$2.91B,$23.71B,12.69%,$2.91B,$143.17B,2.08%,$5.18B,$93.52B,5.64%,$6628,$1989,$4639,$0,$1907,$5049,$1579,$-349,$1230,$168,$1062,$1062,$1082,$2776,$1579,$713,714,$1.51,$1.51,$303,$3140,$2998,$9520,$89865,$1328,$19303,$3112,$133645,$143165,$13922,$50507,$26418,$86230,$100152,$1,$3313,$-66,$43013,$143165,$2190,$3447,$1124,$4571,$-288,$104,$389,$-1421,$-1094,$5667,$-6752,$0,$0,$0,$-343,$-343,$-175,$-7270,$1832,$674,$2506,$834,$834,$-1835,$42,$1547,$-56,$0,$-1835
1,2018-06-30,78.19,$59.71,1.31,$34.31,2.28,$-5.78,0.0,$3.95,19.8,$8.48B,$12.79B,0.66,$49.86B,$42.52B,1.17,$24.06B,$16.75B,69.62%,$24.06B,$5.26B,21.87%,$24.06B,$5.26B,21.87%,$24.06B,$9.60B,39.92%,$24.06B,$3.60B,14.95%,$24.06B,$2.78B,11.54%,$2.78B,$42.52B,6.62%,$2.78B,$23.12B,12.33%,$2.78B,$140.26B,2.01%,$5.26B,$92.38B,5.77%,$5643,$1663,$3980,$0,$1859,$4664,$979,$-372,$607,$100,$507,$507,$500,$2140,$979,$703,704,$0.71,$0.71,$304,$3177,$2178,$8476,$88495,$1168,$19396,$3087,$131783,$140259,$12791,$49863,$26565,$84953,$97744,$1,$2894,$-70,$42515,$140259,$1124,$2250,$341,$2591,$-27,$70,$-142,$-256,$-413,$3302,$-4375,$0,$0,$0,$-182,$-182,$-88,$-4645,$537,$1131,$1668,$820,$820,$-1199,$-24,$1265,$-78,$0,$-1199
2,2018-03-31,75.69,$59.63,1.27,$34.23,2.21,$-5.87,0.0,$4.22,17.94,$8.28B,$13.00B,0.64,$49.03B,$41.80B,1.17,$23.97B,$16.71B,69.70%,$23.97B,$5.64B,23.51%,$23.97B,$5.64B,23.51%,$23.97B,$9.78B,40.80%,$23.97B,$4.01B,16.72%,$23.97B,$2.96B,12.36%,$2.96B,$41.80B,7.12%,$2.96B,$22.40B,13.34%,$2.96B,$138.54B,2.16%,$5.64B,$90.83B,6.27%,$6135,$1989,$4146,$0,$1780,$4879,$1256,$-453,$803,$181,$622,$622,$620,$2345,$1256,$701,701,$0.88,$0.88,$421,$3149,$1966,$8279,$87373,$1189,$19396,$3062,$130262,$138541,$12998,$49030,$26305,$83745,$96743,$1,$3021,$-69,$41798,$138541,$622,$1089,$153,$1242,$64,$101,$-327,$-204,$-473,$1391,$-2087,$0,$0,$0,$-102,$-102,$-75,$-2264,$753,$791,$1544,$21,$21,$-599,$-19,$947,$74,$0,$-599
3,2017-12-31,81.23,$59.62,1.36,$33.66,2.41,$-6.18,0.0,$4.36,18.63,$8.45B,$12.48B,0.68,$49.04B,$41.74B,1.18,$23.57B,$16.58B,70.37%,$23.57B,$5.78B,24.53%,$23.57B,$5.78B,24.53%,$23.57B,$9.83B,41.70%,$23.57B,$4.27B,18.10%,$23.57B,$3.06B,12.98%,$3.06B,$41.74B,7.38%,$3.06B,$22.34B,13.87%,$3.06B,$137.91B,2.25%,$5.78B,$90.77B,6.48%,$5799,$1727,$4072,$0,$1712,$4434,$1365,$-499,$866,$161,$705,$705,$703,$2421,$1365,$700,700,$1.00,$1.00,$358,$3250,$2071,$8453,$86391,$1175,$19396,$2960,$129461,$137914,$12482,$49035,$26397,$83695,$96177,$1,$3013,$-67,$41737,$137914,$3064,$4046,$744,$4790,$-83,$268,$-204,$-1350,$-1220,$6634,$-8052,$0,$-13,$0,$-387,$-387,$2,$-8450,$4593,$-362,$4231,$0,$0,$-2450,$1,$1782,$-34,$0,$-2450
4,2017-09-30,80.25,$59.49,1.35,$33.45,2.4,$-5.72,0.0,$3.03,26.48,$7.71B,$10.82B,0.71,$48.93B,$41.64B,1.18,$23.34B,$16.40B,70.27%,$23.34B,$5.30B,22.72%,$23.34B,$5.30B,22.72%,$23.34B,$9.33B,39.96%,$23.34B,$3.91B,16.76%,$23.34B,$2.13B,9.12%,$2.13B,$41.64B,5.16%,$2.13B,$22.22B,9.74%,$2.13B,$136.33B,1.58%,$5.30B,$90.57B,6.01%,$6482,$1931,$4551,$0,$1789,$4821,$1661,$-340,$1321,$364,$957,$957,$954,$2698,$1661,$700,700,$1.36,$1.36,$282,$3265,$1542,$7706,$84862,$1366,$19418,$2792,$128619,$136325,$10820,$48929,$18237,$83863,$94683,$1,$2936,$-80,$41642,$136325,$2361,$2990,$519,$3509,$80,$248,$-554,$-899,$-892,$4978,$-5841,$0,$0,$0,$-341,$-341,$-149,$-6331,$3675,$-619,$3056,$0,$0,$-1825,$8,$1239,$-114,$0,$-1825
5,2017-06-30,79.12,$58.99,1.34,$33.71,2.35,$-3.97,0.0,$3.37,23.48,$7.67B,$12.47B,0.62,$46.04B,$41.29B,1.12,$23.44B,$16.39B,69.93%,$23.44B,$5.60B,23.88%,$23.44B,$5.60B,23.88%,$23.44B,$9.56B,40.80%,$23.44B,$4.11B,17.52%,$23.44B,$2.35B,10.03%,$2.35B,$41.29B,5.73%,$2.35B,$21.87B,10.51%,$2.35B,$135.00B,1.77%,$5.60B,$87.34B,6.46%,$5555,$1617,$3938,$0,$1748,$4202,$1353,$-335,$1018,$327,$691,$691,$686,$2315,$1353,$700,700,$0.98,$0.98,$298,$3369,$1628,$7673,$84404,$1267,$19425,$2826,$127331,$135004,$12466,$46043,$18864,$81244,$93710,$1,$2607,$-82,$41294,$135004,$1406,$1953,$209,$2162,$293,$153,$-505,$-750,$-768,$2800,$-3931,$0,$0,$0,$-260,$-260,$-153,$-4344,$1725,$981,$2706,$0,$0,$-1200,$-32,$1474,$-70,$0,$-1200
6,2017-03-31,76.83,$58.84,1.31,$33.33,2.31,$-2.60,0.0,$3.13,24.55,$8.01B,$10.94B,0.73,$47.02B,$41.19B,1.14,$23.10B,$16.14B,69.86%,$23.10B,$5.50B,23.83%,$23.10B,$5.50B,23.83%,$23.10B,$9.44B,40.89%,$23.10B,$3.97B,17.17%,$23.10B,$2.17B,9.41%,$2.17B,$41.19B,5.34%,$2.17B,$21.76B,9.54%,$2.17B,$134.11B,1.67%,$5.50B,$88.21B,6.49%,$5729,$1707,$4022,$0,$1772,$4327,$1402,$-341,$1061,$344,$717,$717,$716,$2393,$1402,$700,700,$1.02,$1.02,$878,$3366,$1456,$8005,$83516,$1122,$19425,$2754,$126103,$134108,$10941,$47021,$18865,$81981,$92922,$1,$2521,$-85,$41186,$134108,$717,$991,$112,$1103,$343,$155,$-463,$-581,$-574,$1246,$-2160,$0,$0,$0,$-156,$-156,$-45,$-2361,$1155,$1063,$2218,$0,$0,$-600,$-22,$1596,$481,$0,$-600
7,2016-12-31,71.91,$58.63,1.23,$32.95,2.18,$-1.24,0.0,$3.12,23.05,$8.04B,$11.55B,0.7,$45.58B,$41.04B,1.11,$22.74B,$15.85B,69.70%,$22.74B,$5.34B,23.48%,$22.74B,$5.34B,23.48%,$22.74B,$9.22B,40.54%,$22.74B,$3.73B,16.42%,$22.74B,$2.15B,9.46%,$2.15B,$41.04B,5.33%,$2.15B,$21.62B,9.26%,$2.15B,$132.76B,1.70%,$5.34B,$86.62B,6.49%,$5577,$1686,$3891,$0,$2113,$4689,$888,$-376,$512,$136,$376,$376,$-227,$1921,$888,$691,691,$-0.34,$-0.34,$392,$3522,$1481,$8039,$82520,$0,$19425,$3694,$124722,$132761,$11551,$45576,$18834,$80169,$91720,$1,$2384,$-93,$41041,$132761,$2170,$3880,$662,$4542,$-372,$272,$296,$-327,$105,$6817,$-7901,$0,$-4778,$0,$1194,$1194,$-48,$-11533,$7315,$-1447,$5868,$731,$731,$-2332,$-16,$4251,$9,$0,$-2332
8,2016-09-30,73.31,$58.85,1.25,$30.98,2.37,$0.23,312.48,$4.14,17.71,$13.53B,$12.08B,1.12,$43.96B,$40.55B,1.08,$21.40B,$14.92B,69.70%,$21.40B,$5.14B,24.02%,$21.40B,$5.14B,24.02%,$21.40B,$8.92B,41.69%,$21.40B,$3.69B,17.26%,$21.40B,$2.86B,13.35%,$2.86B,$40.55B,7.13%,$2.86B,$24.19B,12.02%,$2.86B,$129.69B,2.31%,$5.14B,$84.51B,6.44%,$6576,$2037,$4539,$0,$1762,$4622,$1954,$-438,$1516,$515,$1001,$1001,$1176,$2933,$1954,$689,691,$1.70,$1.70,$6179,$3351,$1282,$13534,$78216,$604,$16354,$2948,$116152,$129686,$12076,$43964,$18383,$77064,$89140,$1,$3212,$-721,$40546,$129686,$2392,$2847,$295,$3142,$-276,$455,$-207,$105,$77,$5611,$-5252,$0,$0,$0,$-139,$-139,$-164,$-5555,$7659,$-640,$7019,$0,$0,$-1731,$-22,$5266,$5333,$0,$-1731
9,2016-06-30,77.78,$57.98,1.34,$30.88,2.52,$0.81,95.91,$3.79,20.52,$8.10B,$9.91B,0.82,$39.93B,$39.95B,1.0,$21.31B,$14.67B,68.83%,$21.31B,$4.88B,22.88%,$21.31B,$4.88B,22.88%,$21.31B,$8.57B,40.23%,$21.31B,$3.54B,16.60%,$21.31B,$2.61B,12.26%,$2.61B,$39.95B,6.55%,$2.61B,$23.59B,11.06%,$2.61B,$122.65B,2.15%,$4.88B,$79.88B,6.25%,$5213,$1530,$3683,$0,$1641,$3954,$1259,$-382,$877,$253,$624,$624,$509,$2196,$1259,$689,690,$0.74,$0.74,$676,$3627,$1276,$8097,$77329,$613,$16357,$2972,$114557,$122654,$9906,$39931,$18295,$72800,$82706,$1,$2627,$-717,$39948,$122654,$1211,$1868,$100,$1968,$-38,$178,$-153,$-157,$46,$3225,$-3393,$0,$0,$0,$-110,$-110,$-105,$-3608,$2719,$-1341,$1378,$7,$7,$-1140,$-43,$202,$-102,$0,$-1140
