,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,143.04,$6.33,22.59,$10.34,13.83,$0.55,260.12,$-0.05,0.0,$0.91B,$0.19B,4.71,$0.34B,$0.56B,0.6,$0.92B,$0.60B,65.14%,$0.92B,$-0.01B,-1.09%,$0.92B,$-0.01B,-1.09%,$0.92B,$0.02B,1.64%,$0.92B,$0.06B,6.56%,$0.92B,$0.04B,4.81%,$0.04B,$0.56B,9.34%,$0.04B,$0.54B,9.62%,$0.04B,$1.11B,4.49%,$-0.01B,$0.90B,-1.24%,$267,$98,$169,$50,$105,$253,$14,$31,$45,$-2,$47,$47,$47,$22,$14,$89,90,$0.53,$0.52,$669,$55,$0,$914,$170,$0,$18,$12,$200,$1114,$194,$339,$19,$358,$552,$0,$-619,$-0,$562,$1114,$53,$21,$9,$29,$-36,$-10,$0,$-3,$8,$90,$-49,$0,$-11,$0,$-110,$-110,$0,$-171,$0,$0,$0,$11,$11,$0,$-2,$9,$-74,$77,$0
1,2018-06-30,94.98,$5.45,17.42,$9.51,9.98,$0.13,711.46,$-0.07,0.0,$0.84B,$0.17B,4.9,$0.34B,$0.48B,0.7,$0.83B,$0.55B,66.51%,$0.83B,$-0.03B,-3.00%,$0.83B,$-0.03B,-3.00%,$0.83B,$-0.00B,-0.36%,$0.83B,$0.01B,1.44%,$0.83B,$-0.01B,-0.60%,$-0.01B,$0.48B,-1.17%,$-0.01B,$0.47B,-1.21%,$-0.01B,$1.01B,-0.55%,$-0.03B,$0.82B,-3.31%,$243,$89,$154,$47,$111,$247,$-5,$35,$30,$-1,$30,$30,$30,$2,$-5,$88,89,$0.34,$0.34,$606,$46,$0,$836,$157,$0,$12,$3,$172,$1008,$171,$335,$20,$355,$525,$0,$-666,$-1,$482,$1008,$6,$13,$12,$25,$-28,$-1,$0,$-0,$2,$33,$-26,$0,$0,$0,$-150,$-150,$0,$-175,$0,$0,$0,$5,$5,$0,$-2,$3,$-141,$50,$0
2,2018-03-31,74.16,$4.79,15.49,$8.75,8.47,$-0.18,0.0,$-0.38,0.0,$0.73B,$0.13B,5.83,$0.33B,$0.42B,0.79,$0.76B,$0.52B,68.07%,$0.76B,$-0.03B,-4.47%,$0.76B,$-0.03B,-4.47%,$0.76B,$-0.02B,-1.97%,$0.76B,$-0.03B,-4.20%,$0.76B,$-0.03B,-4.20%,$-0.03B,$0.42B,-8.11%,$-0.03B,$0.41B,-8.37%,$-0.03B,$0.90B,-3.72%,$-0.03B,$0.75B,-4.72%,$184,$66,$119,$45,$105,$215,$-31,$7,$-24,$0,$-24,$-24,$-24,$-25,$-31,$87,87,$-0.28,$-0.28,$534,$52,$0,$729,$152,$0,$12,$3,$168,$897,$125,$331,$19,$350,$475,$0,$-696,$-5,$422,$897,$-24,$6,$20,$26,$11,$-6,$0,$-3,$-11,$-9,$-15,$0,$0,$0,$-0,$-0,$0,$-15,$0,$0,$0,$4,$4,$0,$0,$4,$-21,$25,$0
3,2017-12-31,57.39,$4.82,11.9,$8.31,6.9,$-0.17,0.0,$-0.59,0.0,$0.75B,$0.14B,5.36,$0.33B,$0.42B,0.78,$0.72B,$0.49B,68.57%,$0.72B,$-0.04B,-5.98%,$0.72B,$-0.04B,-5.98%,$0.72B,$-0.03B,-3.76%,$0.72B,$-0.05B,-6.68%,$0.72B,$-0.05B,-6.95%,$-0.05B,$0.42B,-13.94%,$-0.05B,$0.41B,-14.42%,$-0.05B,$0.90B,-6.64%,$-0.04B,$0.75B,-7.15%,$221,$68,$154,$49,$93,$209,$12,$-3,$9,$18,$-9,$-9,$-9,$16,$12,$86,86,$-0.10,$-0.10,$549,$45,$0,$745,$146,$0,$12,$2,$159,$904,$139,$328,$18,$346,$485,$0,$-672,$-3,$419,$904,$-50,$16,$124,$140,$-32,$0,$0,$-2,$3,$92,$-66,$0,$0,$0,$-78,$-78,$0,$-144,$389,$0,$389,$10,$10,$0,$0,$399,$347,$106,$0
4,2017-09-30,48.93,$4.42,11.07,$7.80,6.27,$-0.46,0.0,$-0.57,0.0,$0.69B,$0.12B,5.86,$0.32B,$0.38B,0.84,$0.67B,$0.46B,68.16%,$0.67B,$-0.06B,-9.12%,$0.67B,$-0.06B,-9.12%,$0.67B,$-0.05B,-6.88%,$0.67B,$-0.06B,-9.57%,$0.67B,$-0.05B,-7.17%,$-0.05B,$0.38B,-14.77%,$-0.05B,$0.37B,-15.32%,$-0.05B,$0.84B,-7.65%,$-0.06B,$0.71B,-12.55%,$185,$58,$127,$43,$84,$185,$-1,$-2,$-3,$-1,$-2,$-2,$-2,$4,$-1,$87,87,$-0.02,$-0.02,$526,$43,$0,$693,$136,$0,$12,$2,$150,$843,$118,$324,$17,$341,$459,$0,$-662,$-2,$384,$843,$-41,$12,$72,$84,$-8,$2,$0,$-0,$8,$51,$-48,$0,$0,$0,$-95,$-95,$0,$-143,$389,$0,$389,$10,$10,$0,$0,$399,$308,$81,$0
5,2017-06-30,73.15,$4.09,17.89,$7.44,9.84,$-0.43,0.0,$-0.77,0.0,$0.66B,$0.11B,6.25,$0.32B,$0.35B,0.91,$0.63B,$0.43B,67.93%,$0.63B,$-0.08B,-12.48%,$0.63B,$-0.08B,-12.48%,$0.63B,$-0.06B,-10.11%,$0.63B,$-0.08B,-12.64%,$0.63B,$-0.07B,-10.27%,$-0.07B,$0.35B,-22.07%,$-0.07B,$0.34B,-23.03%,$-0.07B,$0.80B,-12.82%,$-0.08B,$0.67B,-21.09%,$171,$53,$118,$45,$86,$184,$-14,$-1,$-14,$-17,$3,$3,$3,$-10,$-14,$86,87,$0.03,$0.03,$497,$43,$0,$657,$125,$0,$12,$2,$139,$796,$105,$321,$16,$337,$442,$0,$-660,$-2,$354,$796,$-39,$8,$47,$55,$1,$3,$0,$-4,$-1,$15,$-35,$0,$0,$0,$-72,$-72,$0,$-107,$389,$0,$389,$6,$6,$0,$0,$395,$301,$56,$0
6,2017-03-31,84.73,$3.22,26.32,$7.13,11.89,$-0.23,0.0,$-1.04,0.0,$0.33B,$0.17B,1.93,$0.00B,$0.28B,0.0,$0.60B,$0.40B,66.44%,$0.60B,$-0.09B,-14.19%,$0.60B,$-0.09B,-14.19%,$0.60B,$-0.07B,-11.69%,$0.60B,$-0.09B,-14.36%,$0.60B,$-0.09B,-14.69%,$-0.09B,$0.28B,-32.90%,$-0.09B,$0.27B,-34.51%,$-0.09B,$0.47B,-22.49%,$-0.09B,$0.28B,-31.78%,$142,$48,$94,$48,$86,$183,$-40,$0,$-40,$1,$-42,$-42,$-42,$-37,$-40,$85,85,$-0.49,$-0.49,$181,$47,$0,$331,$123,$0,$11,$2,$137,$467,$172,$0,$18,$18,$189,$0,$-663,$-1,$278,$467,$-42,$4,$31,$35,$16,$-1,$0,$-6,$7,$0,$-23,$0,$0,$0,$2,$2,$0,$-21,$0,$75,$75,$5,$5,$0,$0,$80,$59,$31,$0
7,2016-12-31,59.7,$3.35,17.8,$6.87,8.69,$-0.10,0.0,$-0.78,0.0,$0.28B,$0.10B,2.73,$0.00B,$0.28B,0.0,$0.57B,$0.38B,66.14%,$0.57B,$-0.06B,-11.17%,$0.57B,$-0.06B,-11.17%,$0.57B,$-0.05B,-8.55%,$0.57B,$-0.07B,-11.34%,$0.57B,$-0.07B,-11.34%,$-0.07B,$0.28B,-25.42%,$-0.07B,$0.27B,-26.53%,$-0.07B,$0.40B,-18.61%,$-0.06B,$0.28B,-25.02%,$171,$55,$117,$44,$79,$177,$-6,$-1,$-7,$0,$-7,$-7,$-7,$-3,$-6,$84,84,$-0.09,$-0.09,$124,$45,$0,$280,$109,$0,$11,$2,$123,$403,$102,$0,$17,$17,$119,$0,$-621,$-1,$284,$403,$-66,$15,$113,$128,$-27,$-10,$0,$1,$-6,$56,$-56,$0,$0,$0,$-1,$-1,$0,$-56,$-2,$0,$-2,$10,$10,$0,$0,$8,$8,$111,$0
8,2016-09-30,87.66,$3.10,28.29,$6.46,13.56,$0.09,1016.94,$-0.67,0.0,$0.26B,$0.09B,3.0,$0.00B,$0.26B,0.0,$0.53B,$0.35B,66.23%,$0.53B,$-0.06B,-10.51%,$0.53B,$-0.06B,-10.51%,$0.53B,$-0.04B,-7.88%,$0.53B,$-0.06B,-10.51%,$0.53B,$-0.06B,-10.51%,$-0.06B,$0.26B,-23.33%,$-0.06B,$0.25B,-24.30%,$-0.06B,$0.36B,-17.42%,$-0.06B,$0.26B,-23.33%,$149,$48,$101,$44,$76,$167,$-19,$-0,$-19,$0,$-19,$-19,$-19,$-14,$-19,$84,84,$-0.22,$-0.22,$127,$45,$0,$259,$88,$0,$13,$2,$103,$362,$86,$0,$14,$14,$100,$0,$-614,$-1,$262,$362,$-58,$11,$82,$94,$-2,$-9,$0,$-2,$7,$43,$-38,$0,$0,$0,$-1,$-1,$0,$-39,$-2,$0,$-2,$10,$10,$0,$0,$8,$12,$82,$0
9,2016-06-30,79.33,$2.94,26.98,$6.00,13.21,$0.23,348.09,$-0.98,0.0,$0.24B,$0.07B,3.26,$0.00B,$0.25B,0.0,$0.49B,$0.33B,66.87%,$0.49B,$-0.08B,-16.16%,$0.49B,$-0.08B,-16.16%,$0.49B,$-0.07B,-13.91%,$0.49B,$-0.08B,-16.36%,$0.49B,$-0.08B,-16.36%,$-0.08B,$0.25B,-35.91%,$-0.08B,$0.23B,-37.17%,$-0.08B,$0.33B,-27.10%,$-0.08B,$0.25B,-35.43%,$137,$52,$86,$36,$69,$157,$-20,$0,$-20,$0,$-20,$-20,$-20,$-16,$-20,$84,84,$-0.24,$-0.24,$116,$43,$0,$241,$77,$0,$14,$1,$92,$333,$74,$0,$13,$13,$86,$0,$-595,$-1,$246,$333,$-39,$7,$53,$60,$1,$-7,$0,$-2,$-1,$20,$-22,$0,$0,$0,$1,$1,$0,$-21,$-2,$0,$-2,$5,$5,$0,$0,$3,$1,$53,$0
