,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-10-31,67.88,$26.11,2.6,$74.23,0.91,$-4.92,0.0,$1.47,46.18,$1.15B,$0.30B,3.78,$0.87B,$0.82B,1.06,$2.38B,$0.45B,18.92%,$2.38B,$0.12B,5.09%,$2.38B,$0.12B,5.09%,$2.38B,$0.27B,11.40%,$2.38B,$0.10B,4.33%,$2.38B,$0.08B,3.15%,$0.08B,$0.82B,9.77%,$0.08B,$0.33B,27.65%,$0.08B,$2.13B,3.84%,$0.12B,$1.69B,7.89%,$848,$687,$161,$0,$69,$801,$47,$-8,$38,$10,$28,$28,$28,$98,$47,$31,32,$0.89,$0.87,$22,$91,$181,$1149,$428,$0,$492,$64,$984,$2133,$304,$868,$72,$1012,$1316,$10,$785,$-1,$817,$2133,$75,$151,$16,$167,$-214,$0,$36,$-132,$-260,$-18,$-108,$0,$-21,$0,$0,$0,$2,$-128,$92,$0,$92,$1,$1,$0,$-8,$84,$-62,$18,$0
1,2018-07-31,89.16,$25.08,3.55,$71.30,1.25,$1.85,48.15,$2.37,37.62,$1.01B,$0.31B,3.24,$0.73B,$0.78B,0.93,$2.29B,$0.44B,19.42%,$2.29B,$0.12B,5.34%,$2.29B,$0.12B,5.34%,$2.29B,$0.27B,11.77%,$2.29B,$0.11B,4.77%,$2.29B,$0.08B,3.32%,$0.08B,$0.78B,10.32%,$0.08B,$0.29B,31.97%,$0.08B,$1.95B,4.04%,$0.12B,$1.51B,8.31%,$799,$642,$157,$0,$65,$752,$48,$-6,$41,$12,$30,$30,$30,$98,$48,$31,32,$0.96,$0.94,$24,$88,$201,$1005,$424,$0,$498,$25,$947,$1952,$310,$727,$67,$859,$1169,$10,$757,$-1,$783,$1952,$47,$99,$5,$104,$-49,$0,$24,$-123,$-114,$37,$-66,$0,$-21,$0,$0,$0,$2,$-85,$-12,$0,$-12,$0,$0,$0,$-0,$-12,$-59,$11,$0
2,2018-04-30,103.86,$23.95,4.34,$46.28,2.24,$2.74,37.9,$1.43,72.63,$0.94B,$0.28B,3.39,$0.73B,$0.75B,0.98,$1.49B,$0.29B,19.30%,$1.49B,$0.07B,4.98%,$1.49B,$0.07B,4.98%,$1.49B,$0.17B,11.50%,$1.49B,$0.07B,4.57%,$1.49B,$0.05B,3.09%,$0.05B,$0.75B,8.51%,$0.05B,$0.24B,27.63%,$0.05B,$1.88B,3.30%,$0.07B,$1.48B,6.78%,$731,$600,$132,$0,$62,$705,$26,$-2,$24,$6,$17,$17,$17,$75,$26,$31,32,$0.55,$0.53,$58,$84,$133,$936,$416,$0,$504,$27,$947,$1883,$276,$732,$66,$860,$1136,$10,$727,$-1,$747,$1883,$17,$49,$2,$51,$-9,$0,$13,$-55,$-43,$25,$-26,$0,$-21,$0,$0,$0,$2,$-46,$-5,$0,$-5,$0,$0,$0,$-0,$-5,$-26,$5,$0
3,2018-01-31,116.71,$0.00,0.0,$48.35,2.41,$2.48,47.09,$2.12,55.05,$0.91B,$0.26B,3.49,$0.73B,$0.73B,1.01,$1.54B,$0.32B,20.75%,$1.54B,$0.11B,7.39%,$1.54B,$0.11B,7.39%,$1.54B,$0.21B,13.29%,$1.54B,$0.11B,6.87%,$1.54B,$0.07B,4.41%,$0.07B,$0.73B,13.35%,$0.07B,$0.23B,51.03%,$0.07B,$1.84B,4.88%,$0.11B,$1.46B,10.56%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$84,$79,$409,$905,$415,$0,$493,$28,$936,$1841,$260,$734,$65,$856,$1116,$10,$710,$-1,$725,$1841,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2017-10-31,87.83,$22.29,3.94,$70.15,1.25,$2.22,39.59,$2.86,30.71,$0.89B,$0.28B,3.16,$0.74B,$0.69B,1.07,$2.24B,$0.46B,20.51%,$2.24B,$0.82B,36.34%,$2.24B,$0.11B,5.08%,$2.24B,$0.95B,42.22%,$2.24B,$0.14B,6.42%,$2.24B,$0.09B,4.10%,$0.09B,$0.69B,19.09%,$0.09B,$0.19B,88.04%,$0.09B,$1.85B,6.70%,$0.82B,$1.43B,77.32%,$756,$601,$155,$0,$65,$708,$48,$-4,$44,$16,$29,$29,$29,$96,$48,$31,32,$0.93,$0.90,$25,$84,$436,$893,$423,$0,$499,$37,$959,$1853,$283,$736,$66,$880,$1163,$10,$674,$-1,$690,$1853,$111,$136,$8,$144,$-30,$0,$10,$-18,$-6,$249,$-160,$0,$-26,$0,$0,$0,$1,$-185,$-14,$0,$-14,$-54,$-54,$0,$-0,$-68,$-4,$17,$0
5,2017-07-31,90.6,$0.00,0.0,$71.26,1.27,$-3.04,0.0,$3.55,25.52,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$2.29B,$0.49B,21.39%,$2.29B,$0.86B,37.45%,$2.29B,$0.16B,6.78%,$2.29B,$0.94B,41.12%,$2.29B,$0.18B,7.92%,$2.29B,$0.11B,4.99%,$0.11B,$0.00B,24.62%,$0.11B,$0.00B,134.12%,$0.11B,$0.00B,8.32%,$0.86B,$0.00B,81.95%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2017-04-30,105.66,$20.04,5.27,$71.26,1.48,$-3.04,0.0,$3.55,29.76,$0.95B,$0.29B,3.29,$0.81B,$0.62B,1.3,$2.29B,$0.49B,21.39%,$2.29B,$0.86B,37.45%,$2.29B,$0.16B,6.78%,$2.29B,$0.94B,41.12%,$2.29B,$0.18B,7.92%,$2.29B,$0.11B,4.99%,$0.11B,$0.62B,24.62%,$0.11B,$0.11B,134.12%,$0.11B,$1.88B,8.32%,$0.86B,$1.43B,81.95%,$786,$621,$165,$0,$61,$720,$66,$-5,$62,$23,$39,$39,$39,$109,$66,$31,32,$1.24,$1.22,$19,$88,$465,$950,$378,$0,$513,$34,$926,$1876,$289,$812,$65,$964,$1253,$10,$609,$-1,$623,$1876,$39,$43,$-4,$39,$-31,$0,$13,$-50,$-35,$42,$-53,$0,$-26,$0,$0,$0,$1,$-78,$62,$0,$62,$-37,$-37,$0,$1,$26,$-10,$5,$0
7,2017-01-31,80.66,$19.58,4.12,$66.73,1.21,$-4.34,0.0,$3.33,24.22,$0.89B,$0.26B,3.38,$0.74B,$0.62B,1.2,$2.17B,$0.47B,21.62%,$2.17B,$0.85B,39.08%,$2.17B,$0.15B,6.70%,$2.17B,$0.99B,45.64%,$2.17B,$0.17B,7.90%,$2.17B,$0.11B,4.99%,$0.11B,$0.62B,24.96%,$0.11B,$0.12B,132.92%,$0.11B,$1.77B,8.30%,$0.85B,$1.36B,85.24%,$701,$561,$140,$0,$0,$0,$701,$0,$38,$14,$0,$0,$24,$742,$0,$32,32,$0.75,$0.74,$29,$85,$418,$888,$344,$0,$498,$36,$878,$1766,$263,$741,$64,$888,$1151,$10,$601,$-1,$615,$1766,$75,$81,$10,$90,$19,$0,$-15,$-47,$-101,$64,$-73,$0,$2,$0,$0,$0,$-0,$-71,$31,$0,$31,$-25,$-25,$0,$-4,$3,$-4,$11,$0
8,2016-10-31,76.93,$19.50,3.94,$61.62,1.25,$-5.32,0.0,$3.05,25.22,$0.97B,$0.31B,3.1,$0.78B,$0.61B,1.26,$2.02B,$0.44B,21.60%,$2.02B,$0.70B,34.80%,$2.02B,$0.15B,7.17%,$2.02B,$0.84B,41.52%,$2.02B,$0.16B,7.81%,$2.02B,$0.10B,4.89%,$0.10B,$0.61B,23.57%,$0.10B,$0.11B,109.70%,$0.10B,$1.84B,8.01%,$0.70B,$1.39B,74.28%,$799,$615,$184,$0,$60,$710,$89,$-8,$81,$30,$51,$51,$51,$89,$89,$31,32,$1.62,$1.59,$22,$81,$510,$967,$338,$0,$500,$33,$871,$1838,$312,$775,$59,$913,$1225,$10,$589,$-1,$614,$1838,$51,$40,$5,$45,$-2,$0,$1,$-129,$-137,$-42,$-38,$0,$0,$0,$0,$0,$-0,$-38,$68,$0,$68,$0,$0,$0,$-0,$68,$-12,$6,$0
9,2016-07-31,94.05,$0.00,0.0,$56.26,1.67,$-4.87,0.0,$2.37,39.68,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$1.88B,$0.41B,21.51%,$1.88B,$0.69B,36.54%,$1.88B,$0.13B,6.85%,$1.88B,$0.82B,43.76%,$1.88B,$0.13B,6.69%,$1.88B,$0.08B,4.20%,$0.08B,$0.00B,19.63%,$0.08B,$0.00B,84.04%,$0.08B,$0.00B,6.82%,$0.69B,$0.00B,76.81%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
