,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,37.66,$0.00,0.0,$51.12,0.74,$6.46,5.83,$2.85,13.21,$49.47B,$35.26B,1.4,$23.11B,$59.14B,0.39,$92.39B,$27.37B,29.62%,$92.39B,$15.12B,16.37%,$92.39B,$15.12B,16.37%,$92.39B,$23.04B,24.93%,$92.39B,$13.80B,14.94%,$92.39B,$6.80B,7.35%,$6.80B,$59.14B,11.67%,$6.80B,$55.60B,12.42%,$6.80B,$143.23B,4.90%,$15.12B,$82.25B,18.55%,$23147,$16101,$7046,$0,$919,$19137,$4010,$-171,$3839,$2060,$1779,$1779,$1778,$5884,$4010,$1820,1820,$0.98,$0.98,$19569,$5895,$5830,$49469,$69496,$5548,$3543,$2900,$93761,$143231,$35261,$23109,$16699,$48825,$84086,$4657,$4333,$0,$59144,$143231,$4343,$6174,$5057,$11231,$-1069,$-735,$820,$973,$-10,$10839,$-5933,$-220,$169,$-366,$16,$-350,$1105,$-5230,$1653,$-386,$1267,$0,$0,$-3433,$0,$-2166,$3463,$0,$-3433
1,2018-06-30,37.12,$0.00,0.0,$49.19,0.75,$4.49,8.27,$3.08,12.05,$45.35B,$32.23B,1.41,$22.70B,$60.19B,0.38,$87.79B,$24.69B,28.12%,$87.79B,$12.28B,13.99%,$87.79B,$12.28B,13.99%,$87.79B,$20.89B,23.79%,$87.79B,$11.15B,12.70%,$87.79B,$5.42B,6.17%,$5.42B,$60.19B,9.49%,$5.42B,$56.62B,10.11%,$5.42B,$141.11B,3.96%,$12.28B,$82.90B,15.24%,$22471,$16238,$6233,$0,$843,$19324,$3147,$11,$3158,$1659,$1499,$1499,$1493,$5192,$3147,$1789,1789,$0.84,$0.84,$16596,$5628,$4434,$45346,$71161,$5765,$3568,$2952,$95766,$141112,$32229,$22704,$17021,$48691,$80920,$4776,$2621,$0,$60192,$141112,$2630,$4301,$2846,$7146,$-1082,$-216,$-304,$838,$-763,$6225,$-4018,$-132,$500,$-347,$-41,$-388,$773,$-3265,$-872,$-290,$-1162,$0,$0,$-1721,$0,$-2883,$92,$0,$-1721
2,2018-03-31,34.74,$0.00,0.0,$36.63,0.95,$3.25,10.67,$2.24,15.51,$44.09B,$30.44B,1.45,$24.42B,$59.29B,0.41,$82.68B,$22.13B,26.76%,$82.68B,$9.76B,11.80%,$82.68B,$9.76B,11.80%,$82.68B,$18.51B,22.39%,$82.68B,$8.36B,10.11%,$82.68B,$3.95B,4.77%,$3.95B,$59.29B,7.11%,$3.95B,$55.65B,7.58%,$3.95B,$140.53B,2.95%,$9.76B,$83.70B,12.37%,$22208,$15773,$6435,$0,$1037,$19259,$2949,$-192,$2757,$1592,$1165,$1165,$1163,$5204,$2949,$1819,1819,$0.64,$0.64,$14907,$5318,$3218,$44089,$76690,$5352,$3636,$3850,$96438,$140527,$30437,$24417,$19217,$50803,$81240,$4923,$1163,$0,$59287,$140527,$1165,$2256,$1828,$4083,$-2355,$231,$117,$730,$-1277,$2688,$-3074,$-42,$21,$-290,$9,$-281,$-208,$-3584,$-1299,$207,$-1093,$0,$0,$-1,$0,$-1094,$-2013,$0,$-1
3,2017-12-31,32.63,$29.91,1.09,$35.48,0.92,$3.32,9.82,$2.18,14.97,$41.18B,$27.96B,1.47,$22.81B,$54.34B,0.42,$80.23B,$20.93B,26.09%,$80.23B,$9.06B,11.29%,$80.23B,$9.06B,11.29%,$80.23B,$17.51B,21.83%,$80.23B,$7.74B,9.64%,$80.23B,$3.81B,4.75%,$3.81B,$54.34B,6.95%,$3.81B,$51.04B,7.41%,$3.81B,$129.90B,2.88%,$9.06B,$77.15B,11.69%,$24565,$16914,$7652,$0,$819,$19551,$5014,$-967,$4047,$1686,$2361,$2361,$2361,$6755,$5014,$1801,1801,$1.31,$1.31,$15352,$5223,$2818,$41180,$71387,$4216,$3306,$3389,$88723,$129903,$27958,$22808,$18026,$47601,$75559,$4527,$3814,$0,$54344,$129903,$3817,$8458,$1586,$10044,$743,$-391,$321,$998,$1671,$11435,$-6494,$-214,$3009,$-104,$-32,$-136,$-425,$-4259,$-1278,$-657,$-1935,$0,$0,$-3259,$0,$-5194,$1909,$0,$-3259
4,2017-09-30,32.52,$0.00,0.0,$31.99,1.02,$-0.26,0.0,$1.00,32.52,$40.46B,$31.82B,1.27,$23.98B,$54.74B,0.44,$73.93B,$17.99B,24.33%,$73.93B,$6.32B,8.55%,$73.93B,$6.32B,8.55%,$73.93B,$14.96B,20.23%,$73.93B,$5.31B,7.18%,$73.93B,$1.83B,2.48%,$1.83B,$54.74B,3.27%,$1.83B,$51.27B,3.49%,$1.83B,$136.20B,1.37%,$6.32B,$78.72B,8.04%,$18550,$14179,$4371,$0,$825,$17377,$1173,$15,$1188,$783,$405,$405,$404,$3735,$1173,$1720,1720,$0.24,$0.24,$14372,$5451,$2874,$40463,$76789,$5385,$3474,$2120,$95733,$136196,$31824,$23976,$18583,$49631,$81454,$4707,$1560,$0,$54742,$136196,$1563,$6717,$2894,$9610,$1093,$-263,$-1410,$778,$197,$7991,$-6746,$-172,$354,$-212,$-492,$-704,$1684,$-5584,$1309,$-45,$1265,$0,$0,$-3388,$0,$-2124,$222,$0,$-3388
5,2017-06-30,28.7,$0.00,0.0,$29.82,0.96,$-2.54,0.0,$0.41,70.01,$37.51B,$28.51B,1.32,$22.03B,$53.82B,0.41,$70.51B,$16.87B,23.92%,$70.51B,$5.36B,7.60%,$70.51B,$5.36B,7.60%,$70.51B,$13.53B,19.19%,$70.51B,$3.83B,5.44%,$70.51B,$0.80B,1.14%,$0.80B,$53.82B,1.42%,$0.80B,$50.47B,1.52%,$0.80B,$129.59B,0.60%,$5.36B,$75.85B,6.76%,$17361,$13690,$3670,$0,$856,$16742,$619,$-254,$365,$345,$20,$20,$20,$2820,$619,$0,0,$0.00,$0.00,$12367,$5343,$2385,$37513,$74337,$4595,$3347,$1972,$92077,$129590,$28508,$22034,$18171,$47265,$75773,$4405,$1081,$0,$53817,$129590,$1083,$4154,$2092,$6246,$1135,$-392,$-1455,$470,$-242,$5101,$-4656,$-140,$0,$-54,$12,$-42,$202,$-4635,$535,$-180,$354,$0,$0,$-1587,$0,$-1233,$-808,$0,$-1587
6,2017-03-31,30.39,$0.00,0.0,$38.18,0.8,$-3.60,0.0,$0.14,217.07,$40.84B,$30.45B,1.34,$21.55B,$56.62B,0.38,$68.63B,$16.52B,24.07%,$68.63B,$4.99B,7.27%,$68.63B,$4.99B,7.27%,$68.63B,$13.29B,19.37%,$68.63B,$3.61B,5.26%,$68.63B,$0.28B,0.41%,$0.28B,$56.62B,0.48%,$0.28B,$53.15B,0.51%,$0.28B,$133.43B,0.20%,$4.99B,$78.18B,6.16%,$19750,$14514,$5236,$0,$836,$17500,$2250,$-114,$2136,$1105,$1031,$1031,$1028,$4203,$2250,$1785,1785,$0.58,$0.58,$12655,$5039,$2438,$40838,$75348,$4618,$3476,$1981,$92591,$133429,$30448,$21554,$17650,$46357,$76805,$4268,$1028,$0,$56624,$133429,$1031,$1953,$1097,$3050,$-1600,$-233,$274,$571,$-988,$2059,$-2313,$-111,$0,$-69,$-38,$-108,$96,$-2435,$731,$-571,$160,$0,$0,$0,$0,$160,$-223,$0,$0
7,2016-12-31,29.93,$32.33,0.93,$34.86,0.86,$-4.12,0.0,$-0.92,0.0,$42.02B,$30.65B,1.37,$22.76B,$58.75B,0.39,$62.74B,$13.91B,22.17%,$62.74B,$2.39B,3.80%,$62.74B,$2.39B,3.80%,$62.74B,$10.75B,17.14%,$62.74B,$0.99B,1.57%,$62.74B,$-1.62B,-2.58%,$-1.62B,$58.75B,-2.80%,$-1.62B,$55.13B,-2.96%,$-1.62B,$137.82B,-1.19%,$2.39B,$81.50B,2.93%,$18265,$13557,$4708,$0,$896,$15987,$2278,$-657,$1621,$767,$855,$855,$381,$4198,$2278,$1801,1801,$0.21,$0.21,$13366,$5131,$4053,$42019,$78340,$4776,$3617,$1492,$95803,$137822,$30648,$22756,$18294,$48428,$79077,$4432,$-1620,$0,$58745,$137822,$-1155,$8365,$2626,$10991,$1423,$-302,$1654,$-414,$2361,$8491,$-10013,$-125,$227,$-1456,$-726,$-2182,$7176,$-4917,$2079,$-2927,$-848,$0,$0,$-3193,$0,$-4040,$515,$0,$-3193
8,2016-09-30,26.81,$0.00,0.0,$26.62,1.01,$-2.25,0.0,$-6.26,0.0,$41.82B,$26.33B,1.59,$25.54B,$55.96B,0.46,$47.90B,$9.03B,18.85%,$47.90B,$-5.23B,-10.92%,$47.90B,$-5.23B,-10.92%,$47.90B,$2.89B,6.04%,$47.90B,$-7.02B,-14.66%,$47.90B,$-11.36B,-23.72%,$-11.36B,$55.96B,-19.54%,$-11.36B,$52.80B,-20.63%,$-11.36B,$133.91B,-8.15%,$-5.23B,$81.50B,-6.44%,$15131,$11876,$3254,$0,$791,$14916,$214,$-503,$-289,$337,$-626,$-626,$-627,$2307,$214,$1756,1756,$-0.36,$-0.36,$12413,$5087,$3273,$41821,$75756,$4957,$3164,$1123,$92086,$133907,$26325,$25540,$18814,$51621,$77946,$4470,$-2013,$0,$55961,$133907,$-1546,$6445,$1874,$8319,$2158,$-143,$-371,$-887,$758,$4938,$-7667,$-54,$588,$-1414,$-754,$-2168,$7083,$-2217,$1953,$-1917,$36,$0,$0,$-3183,$0,$-3147,$-454,$0,$-3183
9,2016-06-30,29.1,$0.00,0.0,$29.45,0.99,$-0.76,0.0,$-6.48,0.0,$44.64B,$28.52B,1.57,$23.87B,$59.08B,0.4,$53.74B,$10.37B,19.29%,$53.74B,$-5.38B,-10.01%,$53.74B,$-5.38B,-10.01%,$53.74B,$3.61B,6.71%,$53.74B,$-6.81B,-12.66%,$53.74B,$-11.80B,-21.95%,$-11.80B,$59.08B,-19.28%,$-11.80B,$55.83B,-20.36%,$-11.80B,$138.20B,-8.07%,$-5.38B,$82.95B,-6.46%,$15488,$12165,$3323,$0,$831,$15239,$249,$-107,$141,$643,$-502,$-502,$-504,$2585,$249,$1852,1852,$-0.27,$-0.27,$12934,$4985,$4112,$44644,$76616,$5340,$3256,$1135,$93552,$138196,$28519,$23873,$18913,$50596,$79115,$4524,$-1403,$0,$59081,$138196,$-931,$4352,$1183,$5535,$1736,$34,$-45,$-844,$881,$3502,$-5465,$-36,$535,$-1376,$-773,$-2148,$7200,$86,$151,$-2209,$-2058,$0,$0,$-1631,$0,$-3689,$-124,$0,$-1631
