,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,65.83,$19.26,3.42,$13.90,4.73,$6.09,10.8,$1.96,33.59,$0.56B,$0.10B,5.52,$0.01B,$0.97B,0.01,$0.71B,$0.42B,58.78%,$0.71B,$0.13B,18.70%,$0.71B,$0.13B,18.70%,$0.71B,$0.18B,25.78%,$0.71B,$0.13B,18.56%,$0.71B,$0.10B,14.16%,$0.10B,$0.97B,10.82%,$0.10B,$0.81B,13.13%,$0.10B,$1.17B,8.99%,$0.13B,$0.98B,14.07%,$174,$73,$100,$37,$42,$152,$21,$0,$22,$1,$21,$21,$21,$34,$21,$50,51,$0.42,$0.41,$340,$126,$0,$563,$435,$0,$157,$6,$610,$1174,$102,$13,$26,$105,$207,$0,$371,$-5,$967,$1174,$66,$37,$33,$70,$66,$17,$-6,$-3,$71,$208,$-49,$0,$0,$0,$0,$0,$0,$-49,$0,$0,$0,$11,$11,$0,$-9,$3,$161,$17,$0
1,2018-06-30,50.49,$18.76,2.69,$13.49,3.74,$4.76,10.62,$2.23,22.64,$0.54B,$0.10B,5.59,$0.01B,$0.94B,0.01,$0.68B,$0.42B,61.67%,$0.68B,$0.16B,23.35%,$0.68B,$0.16B,23.35%,$0.68B,$0.21B,30.25%,$0.68B,$0.16B,22.76%,$0.68B,$0.11B,16.59%,$0.11B,$0.94B,13.31%,$0.11B,$0.78B,15.97%,$0.11B,$1.14B,10.51%,$0.16B,$0.95B,17.25%,$220,$89,$131,$25,$40,$153,$67,$-1,$66,$16,$50,$50,$50,$79,$67,$50,51,$1.00,$0.98,$191,$139,$0,$541,$419,$0,$161,$5,$598,$1139,$97,$13,$27,$104,$201,$0,$350,$-4,$938,$1139,$45,$25,$23,$48,$-46,$3,$-4,$-6,$-59,$34,$-23,$0,$0,$0,$0,$0,$0,$-23,$0,$0,$0,$8,$8,$0,$-7,$1,$12,$12,$0
2,2018-03-31,52.65,$17.69,2.98,$11.20,4.7,$5.86,8.99,$1.36,38.71,$0.48B,$0.09B,5.49,$0.01B,$0.88B,0.02,$0.56B,$0.36B,63.17%,$0.56B,$0.10B,17.97%,$0.56B,$0.10B,17.97%,$0.56B,$0.15B,25.80%,$0.56B,$0.10B,17.08%,$0.56B,$0.07B,12.10%,$0.07B,$0.88B,8.84%,$0.07B,$0.72B,10.45%,$0.07B,$1.07B,6.58%,$0.10B,$0.90B,11.21%,$118,$58,$60,$29,$40,$127,$-9,$0,$-9,$-5,$-5,$-5,$-5,$3,$-9,$50,50,$-0.10,$-0.10,$165,$155,$0,$477,$411,$0,$165,$3,$592,$1068,$87,$13,$27,$100,$187,$0,$300,$-3,$881,$1068,$-5,$12,$4,$16,$22,$-12,$4,$-14,$-12,$-1,$-12,$0,$0,$0,$0,$0,$0,$-12,$0,$0,$0,$5,$5,$0,$-7,$-2,$-15,$7,$0
3,2017-12-31,46.47,$18.47,2.52,$11.17,4.16,$6.54,7.1,$1.69,27.5,$0.49B,$0.10B,4.85,$0.01B,$0.91B,0.02,$0.56B,$0.37B,65.24%,$0.56B,$0.13B,22.28%,$0.56B,$0.13B,22.28%,$0.56B,$0.17B,29.77%,$0.56B,$0.12B,21.21%,$0.56B,$0.08B,14.80%,$0.08B,$0.91B,11.83%,$0.08B,$0.74B,13.70%,$0.08B,$1.07B,8.27%,$0.13B,$0.93B,14.02%,$194,$70,$124,$28,$42,$141,$53,$-1,$52,$18,$34,$34,$34,$66,$53,$42,50,$0.80,$0.69,$179,$143,$0,$485,$407,$0,$169,$6,$585,$1070,$100,$13,$27,$58,$158,$0,$337,$-4,$912,$1070,$83,$43,$29,$72,$-5,$6,$16,$11,$54,$208,$-55,$0,$-195,$0,$0,$0,$0,$-250,$0,$-20,$-20,$-14,$-14,$0,$-18,$-51,$-93,$15,$0
4,2017-09-30,40.45,$16.04,2.52,$10.40,3.89,$3.06,13.22,$1.69,23.93,$0.56B,$0.08B,7.37,$0.25B,$0.66B,0.38,$0.52B,$0.36B,68.40%,$0.52B,$0.12B,23.70%,$0.52B,$0.12B,23.70%,$0.52B,$0.16B,31.21%,$0.52B,$0.12B,22.35%,$0.52B,$0.09B,16.57%,$0.09B,$0.66B,13.81%,$0.09B,$0.59B,15.63%,$0.09B,$1.02B,8.78%,$0.12B,$0.91B,14.12%,$149,$45,$105,$23,$35,$102,$48,$-1,$46,$13,$34,$34,$34,$58,$48,$41,50,$0.81,$0.68,$342,$69,$0,$556,$386,$0,$70,$7,$468,$1024,$75,$249,$11,$285,$360,$0,$303,$-4,$664,$1024,$49,$30,$32,$62,$9,$5,$3,$12,$20,$131,$-42,$0,$0,$0,$0,$0,$0,$-42,$0,$0,$0,$11,$11,$0,$-29,$-19,$69,$12,$0
5,2017-06-30,33.91,$15.10,2.25,$10.33,3.28,$1.53,22.12,$1.46,23.23,$0.51B,$0.07B,6.99,$0.25B,$0.62B,0.4,$0.51B,$0.35B,68.81%,$0.51B,$0.11B,21.44%,$0.51B,$0.11B,21.44%,$0.51B,$0.15B,29.24%,$0.51B,$0.10B,20.27%,$0.51B,$0.07B,14.23%,$0.07B,$0.62B,12.29%,$0.07B,$0.55B,14.05%,$0.07B,$0.97B,7.64%,$0.11B,$0.87B,13.07%,$101,$35,$66,$26,$32,$92,$9,$-2,$7,$2,$5,$5,$5,$18,$9,$41,50,$0.11,$0.11,$316,$71,$0,$510,$380,$0,$72,$4,$461,$970,$73,$249,$11,$277,$350,$0,$270,$-4,$621,$970,$15,$20,$14,$34,$36,$3,$4,$17,$47,$96,$-30,$0,$0,$0,$0,$0,$0,$-30,$0,$0,$0,$5,$5,$0,$-26,$-22,$44,$8,$0
6,2017-03-31,29.04,$14.90,1.95,$10.58,2.74,$0.24,122.48,$1.08,26.89,$0.49B,$0.07B,7.23,$0.25B,$0.61B,0.41,$0.50B,$0.35B,69.38%,$0.50B,$0.10B,19.68%,$0.50B,$0.10B,19.68%,$0.50B,$0.14B,27.63%,$0.50B,$0.09B,18.69%,$0.50B,$0.06B,11.33%,$0.06B,$0.61B,9.39%,$0.06B,$0.54B,10.89%,$0.06B,$0.95B,5.83%,$0.10B,$0.86B,11.59%,$117,$46,$71,$20,$35,$102,$15,$-1,$14,$3,$10,$10,$10,$25,$15,$41,50,$0.26,$0.23,$270,$71,$0,$489,$381,$0,$73,$3,$462,$952,$68,$248,$11,$274,$341,$0,$265,$-4,$610,$952,$10,$10,$9,$19,$11,$3,$0,$11,$12,$42,$-20,$0,$0,$0,$0,$0,$0,$-20,$0,$0,$0,$3,$3,$0,$-26,$-23,$-1,$4,$0
7,2016-12-31,32.84,$14.69,2.23,$10.36,3.17,$0.30,108.49,$0.95,34.57,$0.51B,$0.11B,4.82,$0.25B,$0.60B,0.42,$0.49B,$0.36B,73.01%,$0.49B,$0.11B,21.47%,$0.49B,$0.11B,21.47%,$0.49B,$0.14B,29.45%,$0.49B,$0.10B,20.45%,$0.49B,$0.05B,10.43%,$0.05B,$0.60B,8.21%,$0.05B,$0.52B,9.65%,$0.05B,$0.97B,5.11%,$0.11B,$0.84B,12.09%,$152,$38,$113,$27,$35,$101,$51,$-2,$49,$17,$32,$32,$37,$61,$51,$40,49,$0.94,$0.85,$272,$74,$0,$510,$376,$0,$75,$2,$460,$970,$106,$248,$12,$268,$374,$0,$254,$-4,$596,$970,$52,$38,$9,$47,$-22,$-9,$-15,$3,$-44,$55,$-76,$0,$0,$0,$0,$0,$0,$-76,$0,$0,$0,$17,$17,$0,$-37,$-20,$-41,$18,$0
8,2016-09-30,31.53,$13.53,2.33,$10.28,3.07,$0.69,45.52,$0.99,31.85,$0.48B,$0.11B,4.35,$0.25B,$0.55B,0.45,$0.48B,$0.36B,75.10%,$0.48B,$0.14B,29.08%,$0.48B,$0.14B,29.08%,$0.48B,$0.18B,37.24%,$0.48B,$0.14B,28.24%,$0.48B,$0.05B,9.83%,$0.05B,$0.55B,7.38%,$0.05B,$0.47B,8.66%,$0.05B,$0.93B,4.63%,$0.14B,$0.80B,15.72%,$143,$40,$103,$27,$41,$107,$35,$-2,$34,$13,$20,$20,$21,$46,$35,$40,49,$0.52,$0.45,$299,$81,$0,$480,$363,$0,$76,$2,$452,$932,$110,$248,$22,$274,$384,$0,$215,$-4,$548,$932,$14,$28,$13,$42,$45,$-16,$-1,$-4,$11,$67,$-56,$0,$0,$0,$0,$0,$0,$-56,$0,$0,$0,$15,$15,$0,$-40,$-25,$-14,$15,$0
9,2016-06-30,26.35,$16.64,1.58,$10.70,2.46,$0.63,41.67,$1.33,19.81,$0.53B,$0.10B,5.08,$0.25B,$0.67B,0.37,$0.49B,$0.38B,76.88%,$0.49B,$0.17B,33.87%,$0.49B,$0.17B,33.87%,$0.49B,$0.20B,41.38%,$0.49B,$0.16B,33.06%,$0.49B,$0.06B,12.78%,$0.06B,$0.67B,9.67%,$0.06B,$0.57B,11.49%,$0.06B,$1.06B,6.14%,$0.17B,$0.92B,18.56%,$91,$29,$62,$28,$36,$93,$-2,$-1,$-3,$-1,$-2,$-2,$-11,$7,$-2,$40,40,$-0.27,$-0.27,$333,$97,$0,$528,$359,$0,$108,$44,$528,$1056,$104,$247,$24,$280,$384,$0,$344,$-3,$673,$1056,$-7,$18,$3,$21,$54,$-20,$11,$-0,$26,$40,$-39,$0,$0,$0,$0,$0,$0,$-39,$0,$0,$0,$15,$15,$0,$5,$20,$21,$10,$0
