,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,73.75,$16.06,4.59,$24.64,2.99,$5.92,12.45,$3.03,24.34,$0.18B,$0.08B,2.23,$0.28B,$0.35B,0.78,$0.54B,$0.17B,31.73%,$0.54B,$0.07B,12.73%,$0.54B,$0.07B,12.73%,$0.54B,$0.11B,20.66%,$0.54B,$0.06B,11.25%,$0.54B,$0.07B,12.18%,$0.07B,$0.35B,19.58%,$0.07B,$-0.06B,-90.72%,$0.07B,$0.85B,8.05%,$0.07B,$0.63B,11.24%,$151,$104,$47,$0,$24,$131,$20,$-3,$17,$3,$13,$13,$13,$31,$20,$22,22,$0.61,$0.61,$26,$0,$0,$184,$247,$0,$413,$10,$669,$853,$82,$277,$77,$417,$499,$0,$180,$-8,$354,$853,$36,$32,$13,$45,$-28,$0,$0,$1,$-25,$55,$-25,$0,$-21,$0,$-1,$-1,$1,$-47,$0,$0,$0,$2,$2,$-12,$-1,$-10,$-2,$3,$-12
1,2018-06-30,63.52,$15.49,4.1,$23.90,2.66,$5.66,11.22,$2.80,22.69,$0.18B,$0.07B,2.45,$0.28B,$0.34B,0.81,$0.53B,$0.16B,31.05%,$0.53B,$0.06B,12.19%,$0.53B,$0.06B,12.19%,$0.53B,$0.11B,20.38%,$0.53B,$0.06B,10.86%,$0.53B,$0.06B,11.62%,$0.06B,$0.34B,18.91%,$0.06B,$-0.07B,-67.78%,$0.06B,$0.83B,7.55%,$0.06B,$0.62B,10.68%,$137,$95,$41,$0,$21,$117,$20,$-3,$17,$4,$13,$13,$13,$31,$20,$22,22,$0.60,$0.60,$53,$0,$0,$178,$232,$0,$405,$9,$647,$825,$72,$277,$77,$412,$484,$0,$170,$-10,$340,$825,$22,$21,$3,$24,$-2,$0,$0,$2,$1,$48,$-15,$0,$0,$0,$-0,$-0,$0,$-15,$0,$0,$0,$1,$1,$-8,$-1,$-7,$25,$2,$-8
2,2018-03-31,52.98,$15.06,3.52,$23.44,2.26,$4.76,11.12,$2.43,21.8,$0.15B,$0.06B,2.59,$0.28B,$0.33B,0.84,$0.51B,$0.16B,30.74%,$0.51B,$0.06B,11.67%,$0.51B,$0.06B,11.67%,$0.51B,$0.11B,21.01%,$0.51B,$0.05B,9.34%,$0.51B,$0.05B,10.31%,$0.05B,$0.33B,17.14%,$0.05B,$-0.08B,-49.07%,$0.05B,$0.80B,6.64%,$0.06B,$0.61B,10.23%,$120,$84,$36,$0,$22,$107,$13,$-1,$13,$4,$9,$9,$9,$24,$13,$22,22,$0.42,$0.42,$44,$0,$0,$150,$232,$0,$409,$10,$651,$801,$58,$277,$78,$413,$471,$0,$161,$-9,$330,$801,$9,$10,$2,$12,$15,$0,$0,$-0,$7,$29,$-8,$0,$0,$0,$-0,$-0,$0,$-8,$0,$0,$0,$1,$1,$-4,$-0,$-4,$17,$1,$-4
3,2017-12-31,50.52,$14.83,3.41,$23.02,2.19,$4.42,11.43,$2.25,22.45,$0.15B,$0.07B,2.23,$0.28B,$0.32B,0.86,$0.50B,$0.15B,30.56%,$0.50B,$0.06B,11.71%,$0.50B,$0.06B,11.71%,$0.50B,$0.11B,21.23%,$0.50B,$0.04B,8.53%,$0.50B,$0.05B,9.72%,$0.05B,$0.32B,16.46%,$0.05B,$-0.09B,-39.60%,$0.05B,$0.80B,6.19%,$0.06B,$0.60B,10.30%,$134,$86,$48,$0,$22,$117,$16,$-3,$14,$-17,$31,$31,$31,$26,$16,$22,22,$1.42,$1.40,$27,$0,$0,$147,$234,$0,$412,$9,$655,$802,$66,$277,$78,$412,$478,$0,$156,$-9,$324,$802,$49,$48,$-13,$35,$-14,$0,$0,$-1,$-3,$81,$-35,$0,$0,$0,$-2,$-2,$2,$-35,$-6,$-2,$-8,$1,$1,$-16,$-3,$-26,$20,$4,$-16
4,2017-09-30,53.12,$13.53,3.93,$22.29,2.38,$4.17,12.75,$1.20,44.27,$0.14B,$0.07B,2.0,$0.28B,$0.30B,0.94,$0.49B,$0.14B,29.16%,$0.49B,$0.06B,12.11%,$0.49B,$0.06B,12.11%,$0.49B,$0.11B,22.18%,$0.49B,$0.04B,8.42%,$0.49B,$0.03B,5.34%,$0.03B,$0.30B,9.07%,$0.03B,$-0.13B,-18.74%,$0.03B,$0.80B,3.31%,$0.06B,$0.57B,10.51%,$134,$96,$38,$0,$22,$119,$15,$-2,$13,$5,$8,$8,$8,$26,$15,$22,22,$0.38,$0.38,$9,$0,$0,$139,$231,$0,$424,$9,$663,$803,$70,$277,$79,$437,$507,$0,$129,$-10,$296,$803,$19,$38,$1,$39,$-20,$0,$0,$2,$-8,$49,$-25,$0,$0,$0,$-0,$-0,$0,$-25,$-6,$-2,$-8,$1,$1,$-12,$-3,$-22,$2,$3,$-12
5,2017-06-30,49.69,$13.16,3.78,$21.91,2.27,$4.65,10.69,$1.28,38.82,$0.13B,$0.07B,1.91,$0.28B,$0.29B,0.97,$0.48B,$0.14B,29.92%,$0.48B,$0.07B,13.60%,$0.48B,$0.07B,13.60%,$0.48B,$0.11B,23.85%,$0.48B,$0.04B,9.21%,$0.48B,$0.03B,5.86%,$0.03B,$0.29B,9.96%,$0.03B,$-0.14B,-19.28%,$0.03B,$0.79B,3.60%,$0.07B,$0.56B,11.71%,$126,$90,$36,$0,$20,$110,$16,$-8,$8,$3,$5,$5,$5,$32,$16,$22,22,$0.23,$0.23,$5,$0,$0,$126,$230,$0,$424,$9,$663,$789,$66,$277,$79,$436,$502,$0,$124,$-12,$287,$789,$10,$27,$0,$28,$-14,$0,$0,$1,$-7,$31,$-17,$0,$0,$0,$-0,$-0,$0,$-17,$-6,$-2,$-8,$1,$1,$-8,$-0,$-16,$-2,$2,$-8
6,2017-03-31,45.92,$13.00,3.53,$21.76,2.11,$5.15,8.91,$1.46,31.45,$0.11B,$0.06B,1.96,$0.27B,$0.28B,0.95,$0.47B,$0.14B,30.38%,$0.47B,$0.07B,13.92%,$0.47B,$0.07B,13.92%,$0.47B,$0.11B,23.00%,$0.47B,$0.05B,10.76%,$0.47B,$0.03B,6.75%,$0.03B,$0.28B,11.58%,$0.03B,$-0.14B,-21.05%,$0.03B,$0.77B,4.13%,$0.07B,$0.55B,11.98%,$110,$78,$32,$0,$20,$98,$12,$-4,$8,$3,$5,$5,$5,$23,$12,$22,22,$0.24,$0.24,$10,$0,$0,$114,$226,$0,$426,$7,$658,$772,$58,$270,$78,$430,$488,$0,$123,$-14,$284,$772,$5,$11,$1,$12,$3,$0,$0,$2,$4,$21,$-7,$0,$0,$0,$-0,$-0,$0,$-7,$-5,$-2,$-7,$0,$0,$-4,$-0,$-10,$3,$1,$-4
7,2016-12-31,48.0,$12.86,3.73,$21.93,2.19,$5.59,8.59,$1.57,30.57,$0.12B,$0.06B,1.84,$0.27B,$0.28B,0.98,$0.48B,$0.15B,30.82%,$0.48B,$0.07B,14.68%,$0.48B,$0.07B,14.68%,$0.48B,$0.11B,23.48%,$0.48B,$0.06B,11.53%,$0.48B,$0.04B,7.34%,$0.04B,$0.28B,12.93%,$0.04B,$-0.15B,-22.01%,$0.04B,$0.78B,4.52%,$0.07B,$0.55B,12.77%,$117,$81,$36,$0,$20,$101,$16,$-4,$12,$4,$8,$8,$8,$27,$16,$22,22,$0.35,$0.35,$7,$0,$0,$115,$226,$0,$428,$7,$661,$776,$63,$274,$78,$434,$496,$0,$122,$-15,$280,$776,$34,$42,$-2,$40,$11,$0,$0,$1,$1,$75,$-35,$0,$-7,$0,$-2,$-2,$2,$-42,$-18,$2,$-16,$0,$0,$-16,$-0,$-32,$1,$3,$-16
8,2016-09-30,43.61,$12.57,3.47,$22.91,1.9,$5.28,8.26,$1.57,27.78,$0.12B,$0.06B,1.89,$0.28B,$0.27B,1.0,$0.50B,$0.16B,31.12%,$0.50B,$0.08B,15.26%,$0.50B,$0.08B,15.26%,$0.50B,$0.12B,24.10%,$0.50B,$0.06B,11.45%,$0.50B,$0.04B,7.03%,$0.04B,$0.27B,13.22%,$0.04B,$-0.15B,-21.12%,$0.04B,$0.77B,4.53%,$0.08B,$0.55B,13.91%,$125,$85,$39,$0,$18,$104,$21,$-5,$16,$6,$10,$10,$10,$32,$21,$22,22,$0.47,$0.46,$6,$0,$0,$119,$219,$0,$428,$7,$654,$773,$63,$275,$82,$437,$500,$0,$118,$-16,$274,$773,$27,$31,$-3,$28,$9,$0,$0,$-2,$2,$56,$-22,$0,$-7,$0,$-1,$-1,$1,$-29,$-17,$2,$-15,$0,$0,$-12,$-0,$-27,$0,$2,$-12
9,2016-06-30,44.52,$12.27,3.63,$24.01,1.85,$5.16,8.63,$1.57,28.36,$0.12B,$0.07B,1.78,$0.28B,$0.27B,1.05,$0.52B,$0.16B,31.09%,$0.52B,$0.08B,14.78%,$0.52B,$0.08B,14.78%,$0.52B,$0.12B,23.42%,$0.52B,$0.06B,11.13%,$0.52B,$0.04B,6.72%,$0.04B,$0.27B,13.50%,$0.04B,$-0.16B,-20.14%,$0.04B,$0.78B,4.40%,$0.08B,$0.55B,13.72%,$122,$85,$37,$0,$20,$105,$17,$-2,$15,$6,$9,$9,$9,$27,$17,$22,22,$0.41,$0.41,$13,$0,$0,$124,$215,$0,$431,$7,$654,$778,$70,$280,$80,$441,$511,$0,$112,$-16,$267,$778,$16,$21,$-3,$18,$7,$0,$0,$0,$4,$39,$-14,$0,$-2,$0,$-1,$-1,$1,$-17,$-12,$4,$-8,$0,$0,$-8,$-0,$-15,$7,$2,$-8
