,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,25.0,$1.68,14.87,$40.61,0.62,$6.42,3.9,$2.06,12.14,$0.59B,$0.64B,0.92,$0.30B,$0.08B,3.9,$1.82B,$0.53B,29.21%,$1.82B,$0.27B,15.05%,$1.82B,$0.27B,15.05%,$1.82B,$0.30B,16.20%,$1.82B,$0.15B,7.96%,$1.82B,$0.09B,5.11%,$0.09B,$0.08B,112.39%,$0.09B,$0.08B,112.39%,$0.09B,$1.31B,6.40%,$0.27B,$0.37B,78.68%,$431,$320,$111,$0,$53,$381,$50,$-10,$40,$13,$27,$27,$27,$52,$50,$45,45,$0.61,$0.61,$100,$27,$161,$591,$589,$0,$0,$0,$716,$1307,$639,$297,$281,$591,$1231,$28,$49,$-1,$76,$1307,$67,$13,$144,$157,$-124,$-14,$176,$-1,$31,$235,$-128,$0,$0,$0,$-24,$-24,$31,$-122,$-30,$0,$-30,$0,$0,$0,$0,$-30,$90,$0,$0
1,2018-06-30,32.49,$1.47,22.17,$39.29,0.83,$3.26,9.97,$1.82,17.85,$0.62B,$0.71B,0.87,$0.28B,$0.07B,4.35,$1.77B,$0.53B,29.86%,$1.77B,$0.27B,15.13%,$1.77B,$0.27B,15.13%,$1.77B,$0.29B,16.49%,$1.77B,$0.13B,7.25%,$1.77B,$0.08B,4.70%,$0.08B,$0.07B,105.06%,$0.08B,$0.07B,105.06%,$0.08B,$1.42B,5.74%,$0.27B,$0.35B,85.03%,$444,$327,$117,$0,$53,$389,$55,$-65,$-11,$-2,$-9,$-9,$-9,$60,$55,$45,45,$-0.03,$-0.03,$54,$27,$204,$615,$730,$0,$0,$0,$800,$1415,$709,$281,$342,$640,$1349,$38,$30,$-1,$66,$1415,$54,$11,$141,$153,$-84,$-10,$130,$-10,$22,$214,$-98,$0,$0,$-3,$-52,$-55,$7,$-146,$-41,$0,$-41,$0,$0,$0,$0,$-41,$29,$0,$0
2,2018-03-31,57.53,$2.78,20.66,$37.71,1.53,$-0.25,0.0,$1.92,29.96,$0.70B,$0.76B,0.92,$0.23B,$0.13B,1.84,$1.69B,$0.49B,29.03%,$1.69B,$0.23B,13.68%,$1.69B,$0.23B,13.68%,$1.69B,$0.26B,15.23%,$1.69B,$0.13B,7.76%,$1.69B,$0.09B,5.27%,$0.09B,$0.13B,119.87%,$0.09B,$0.13B,119.87%,$0.09B,$1.56B,6.24%,$0.23B,$0.36B,80.98%,$560,$361,$200,$0,$57,$429,$132,$-27,$105,$31,$74,$74,$74,$138,$132,$45,45,$1.64,$1.64,$28,$25,$225,$695,$795,$0,$0,$0,$867,$1562,$755,$230,$391,$682,$1437,$46,$45,$-1,$125,$1562,$74,$7,$75,$82,$-129,$-5,$106,$-12,$-17,$137,$-51,$0,$0,$0,$-44,$-44,$-39,$-134,$0,$0,$0,$0,$0,$0,$0,$0,$3,$0,$0
3,2017-12-31,49.7,$1.41,35.15,$32.88,1.51,$-3.02,0.0,$0.92,54.02,$0.56B,$0.76B,0.74,$0.25B,$0.06B,3.95,$1.47B,$0.40B,27.46%,$1.47B,$0.15B,10.27%,$1.47B,$0.15B,10.27%,$1.47B,$0.18B,12.03%,$1.47B,$0.07B,4.62%,$1.47B,$0.04B,2.86%,$0.04B,$0.06B,75.34%,$0.04B,$0.06B,75.34%,$0.04B,$1.53B,3.11%,$0.15B,$0.32B,59.92%,$386,$282,$104,$0,$60,$349,$37,$-26,$11,$11,$1,$1,$1,$45,$37,$45,45,$0.02,$0.02,$6,$24,$175,$559,$895,$0,$0,$0,$969,$1528,$757,$253,$435,$707,$1464,$54,$-31,$-2,$64,$1528,$41,$26,$150,$176,$-104,$-1,$109,$8,$-3,$198,$-219,$0,$2,$0,$-41,$-41,$14,$-244,$35,$0,$35,$0,$0,$0,$0,$35,$-11,$0,$0
4,2017-09-30,39.75,$1.34,29.66,$30.03,1.32,$-1.86,0.0,$0.92,43.21,$0.42B,$0.66B,0.64,$0.18B,$0.06B,2.89,$1.34B,$0.38B,27.94%,$1.34B,$0.20B,15.20%,$1.34B,$0.20B,15.20%,$1.34B,$0.23B,16.99%,$1.34B,$0.13B,9.54%,$1.34B,$0.09B,6.56%,$0.09B,$0.06B,192.35%,$0.09B,$0.06B,192.35%,$0.09B,$1.28B,6.83%,$0.20B,$0.24B,90.37%,$375,$269,$106,$0,$48,$332,$43,$-20,$23,$6,$17,$17,$17,$48,$43,$45,45,$0.38,$0.38,$15,$19,$93,$417,$791,$0,$0,$0,$866,$1282,$655,$175,$373,$566,$1221,$52,$-31,$-1,$61,$1282,$38,$18,$101,$119,$-56,$3,$47,$-3,$-23,$121,$-155,$0,$0,$-83,$0,$-83,$114,$-124,$-8,$0,$-8,$0,$0,$0,$0,$-8,$-11,$0,$0
5,2017-06-30,31.9,$1.04,30.69,$26.79,1.19,$-0.56,0.0,$-0.46,0.0,$0.44B,$0.68B,0.64,$0.19B,$0.05B,3.93,$1.20B,$0.27B,22.59%,$1.20B,$0.11B,9.46%,$1.20B,$0.11B,9.46%,$1.20B,$0.14B,11.46%,$1.20B,$0.04B,3.10%,$1.20B,$0.03B,2.26%,$0.03B,$0.05B,106.93%,$0.03B,$0.05B,106.93%,$0.03B,$1.33B,2.13%,$0.11B,$0.23B,54.85%,$367,$287,$80,$0,$53,$348,$19,$-27,$-8,$-5,$-3,$-3,$-3,$26,$19,$44,44,$-0.08,$-0.08,$7,$18,$103,$440,$812,$0,$0,$0,$889,$1329,$684,$185,$393,$598,$1282,$57,$-52,$-2,$47,$1329,$24,$13,$65,$78,$-53,$0,$55,$-14,$-29,$63,$-103,$0,$2,$37,$0,$37,$-2,$-66,$-8,$0,$-8,$0,$0,$0,$0,$-8,$-12,$0,$0
6,2017-03-31,34.8,$1.14,30.66,$22.74,1.53,$1.16,29.89,$-2.04,0.0,$0.43B,$0.61B,0.71,$0.17B,$0.05B,3.33,$1.02B,$0.15B,14.62%,$1.02B,$-0.01B,-0.79%,$1.02B,$-0.01B,-0.79%,$1.02B,$0.02B,1.47%,$1.02B,$-0.07B,-7.16%,$1.02B,$-0.05B,-4.42%,$-0.05B,$0.05B,-230.77%,$-0.05B,$0.05B,-230.77%,$-0.05B,$1.26B,-3.75%,$-0.01B,$0.22B,-4.00%,$343,$229,$114,$0,$53,$291,$52,$-10,$42,$15,$27,$27,$27,$58,$52,$45,45,$0.60,$0.60,$108,$17,$3,$433,$758,$0,$0,$0,$830,$1263,$609,$171,$412,$602,$1212,$57,$-49,$-2,$51,$1263,$27,$6,$36,$42,$-44,$2,$11,$-13,$-60,$9,$-47,$0,$0,$36,$0,$36,$-10,$-21,$0,$0,$0,$0,$0,$0,$0,$0,$-12,$1,$0
7,2016-12-31,27.85,$0.54,51.53,$19.74,1.41,$2.11,13.2,$-2.83,0.0,$0.45B,$0.65B,0.69,$0.19B,$0.02B,7.65,$0.88B,$0.06B,6.67%,$0.88B,$-0.04B,-4.86%,$0.88B,$-0.04B,-4.86%,$0.88B,$-0.02B,-2.38%,$0.88B,$-0.13B,-14.71%,$0.88B,$-0.08B,-9.16%,$-0.08B,$0.02B,-259.20%,$-0.08B,$0.02B,-259.20%,$-0.08B,$1.28B,-7.10%,$-0.04B,$0.21B,-19.82%,$257,$182,$75,$0,$56,$168,$90,$-19,$71,$24,$47,$47,$47,$96,$90,$45,45,$1.04,$1.04,$18,$19,$135,$448,$758,$0,$0,$3,$833,$1282,$647,$188,$402,$610,$1257,$61,$-80,$-3,$24,$1282,$-80,$24,$-38,$-14,$-129,$-10,$347,$19,$293,$198,$-168,$0,$0,$6,$0,$6,$1,$-161,$-15,$0,$-15,$0,$0,$0,$-18,$-33,$9,$1,$0
8,2016-09-30,19.8,$-0.47,-42.23,$15.27,1.3,$4.06,4.88,$-2.54,0.0,$0.39B,$0.66B,0.59,$0.18B,$-0.02B,-8.41,$0.69B,$-0.21B,-30.22%,$0.69B,$0.22B,31.97%,$0.69B,$0.22B,31.97%,$0.69B,$0.24B,35.47%,$0.69B,$-0.23B,-33.14%,$0.69B,$-0.12B,-16.79%,$-0.12B,$-0.02B,-172.28%,$-0.12B,$-0.02B,-172.28%,$-0.12B,$1.19B,-9.80%,$0.22B,$0.16B,63.76%,$228,$228,$1,$0,$44,$277,$-48,$-20,$-68,$-24,$-44,$-44,$-44,$-43,$-48,$45,45,$-0.98,$-0.98,$6,$16,$134,$386,$710,$0,$0,$3,$803,$1188,$655,$179,$356,$554,$1210,$60,$-123,$-3,$-21,$1188,$-123,$17,$9,$26,$-92,$-7,$296,$9,$223,$126,$-102,$0,$0,$-4,$0,$-4,$1,$-105,$-24,$0,$-24,$0,$0,$0,$0,$-24,$-3,$0,$0
9,2016-06-30,17.51,$0.53,33.19,$12.69,1.38,$5.75,3.04,$-0.41,0.0,$0.30B,$0.50B,0.6,$0.18B,$0.02B,7.71,$0.57B,$-0.18B,-31.93%,$0.57B,$0.23B,40.70%,$0.57B,$0.23B,40.70%,$0.57B,$0.26B,45.44%,$0.57B,$-0.12B,-21.58%,$0.57B,$-0.05B,-8.42%,$-0.05B,$0.02B,-44.55%,$-0.05B,$0.02B,-44.55%,$-0.05B,$1.07B,-4.01%,$0.23B,$0.21B,59.79%,$191,$232,$-41,$0,$53,$293,$-102,$-16,$-118,$-44,$-75,$-75,$-75,$-96,$-102,$45,45,$-1.66,$-1.66,$22,$9,$145,$300,$706,$0,$0,$3,$770,$1070,$502,$184,$342,$544,$1046,$63,$-83,$-3,$24,$1070,$-83,$12,$8,$20,$30,$1,$120,$-6,$175,$111,$-75,$0,$0,$-15,$0,$-15,$1,$-89,$-10,$0,$-10,$0,$0,$0,$0,$-10,$13,$0,$0
