,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,78.6,$0.00,0.0,$16.67,4.72,$3.64,21.61,$1.64,47.93,$2.91B,$1.73B,1.68,$0.00B,$2.01B,0.0,$2.65B,$1.48B,56.05%,$2.65B,$0.26B,9.94%,$2.65B,$0.26B,9.94%,$2.65B,$0.26B,9.94%,$2.65B,$0.32B,12.06%,$2.65B,$0.26B,9.83%,$0.26B,$2.01B,13.06%,$0.26B,$1.96B,13.37%,$0.26B,$3.96B,6.98%,$0.26B,$2.01B,13.21%,$860,$367,$492,$0,$333,$699,$161,$-13,$148,$26,$122,$121,$123,$161,$161,$159,159,$0.78,$0.77,$2632,$36,$0,$2906,$474,$457,$51,$27,$1056,$3961,$1731,$0,$0,$220,$1951,$0,$0,$0,$2011,$3961,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2018-05-31,99.47,$0.00,0.0,$15.44,6.44,$3.64,27.35,$1.87,53.19,$2.94B,$1.75B,1.68,$0.00B,$2.01B,0.0,$2.45B,$1.38B,56.48%,$2.45B,$0.26B,10.75%,$2.45B,$0.26B,10.75%,$2.45B,$0.26B,10.75%,$2.45B,$0.36B,14.59%,$2.45B,$0.30B,12.06%,$0.30B,$2.01B,15.11%,$0.30B,$1.96B,15.42%,$0.30B,$3.98B,8.33%,$0.26B,$2.01B,13.47%,$701,$299,$402,$0,$345,$644,$57,$24,$80,$16,$64,$64,$65,$57,$57,$158,159,$0.41,$0.41,$2715,$40,$0,$2942,$450,$473,$44,$23,$1036,$3978,$1751,$0,$0,$219,$1970,$0,$0,$0,$2008,$3978,$297,$79,$39,$118,$1,$-6,$14,$274,$366,$781,$-204,$-5,$-1,$-280,$83,$-196,$0,$-407,$0,$0,$0,$-7,$-7,$-71,$4,$-75,$342,$57,$-71
2,2018-02-28,91.39,$0.00,0.0,$14.10,6.48,$3.29,27.78,$1.81,50.49,$2.73B,$1.50B,1.83,$0.00B,$2.08B,0.0,$2.23B,$1.27B,56.77%,$2.23B,$0.26B,11.56%,$2.23B,$0.26B,11.56%,$2.23B,$0.26B,11.56%,$2.23B,$0.35B,15.59%,$2.23B,$0.29B,12.77%,$0.29B,$2.08B,15.16%,$0.29B,$2.03B,15.43%,$0.29B,$3.58B,8.69%,$0.26B,$2.08B,13.72%,$618,$269,$349,$0,$291,$560,$58,$22,$80,$13,$67,$67,$68,$58,$58,$158,159,$0.43,$0.43,$2518,$42,$0,$2732,$419,$335,$45,$11,$843,$3575,$1496,$0,$0,$3,$1499,$0,$0,$0,$2076,$3575,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-11-30,84.86,$0.00,0.0,$12.98,6.54,$3.29,25.79,$1.81,46.88,$2.66B,$1.51B,1.76,$0.00B,$1.87B,0.0,$2.05B,$1.17B,57.12%,$2.05B,$0.26B,12.57%,$2.05B,$0.26B,12.57%,$2.05B,$0.26B,12.57%,$2.05B,$0.35B,16.81%,$2.05B,$0.29B,13.89%,$0.29B,$1.87B,16.15%,$0.29B,$1.83B,16.42%,$0.29B,$3.38B,9.35%,$0.26B,$1.87B,14.62%,$467,$227,$240,$0,$253,$480,$-13,$24,$11,$3,$8,$8,$4,$-13,$-13,$158,158,$0.03,$0.03,$2428,$35,$0,$2657,$365,$275,$41,$11,$720,$3377,$1507,$0,$0,$4,$1511,$0,$0,$0,$1866,$3377,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2017-08-31,81.32,$0.00,0.0,$12.19,6.67,$3.29,24.72,$1.85,43.95,$2.58B,$1.38B,1.87,$0.00B,$1.86B,0.0,$1.93B,$1.11B,57.63%,$1.93B,$0.27B,14.07%,$1.93B,$0.27B,14.07%,$1.93B,$0.27B,14.07%,$1.93B,$0.35B,18.17%,$1.93B,$0.29B,15.11%,$0.29B,$1.86B,17.27%,$0.29B,$1.83B,17.50%,$0.29B,$3.24B,10.22%,$0.27B,$1.86B,16.09%,$661,$270,$391,$0,$230,$500,$161,$25,$186,$27,$159,$159,$158,$161,$161,$158,158,$1.00,$1.00,$2393,$32,$0,$2575,$334,$259,$26,$17,$662,$3237,$1375,$0,$0,$3,$1377,$0,$0,$0,$1860,$3237,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,2017-05-31,71.29,$10.91,6.54,$11.39,6.26,$3.29,21.67,$1.74,40.97,$2.33B,$1.20B,1.93,$0.00B,$1.72B,0.0,$1.80B,$1.05B,58.37%,$1.80B,$0.26B,14.62%,$1.80B,$0.26B,14.62%,$1.80B,$0.26B,14.62%,$1.80B,$0.33B,18.40%,$1.80B,$0.27B,15.23%,$0.27B,$1.72B,17.00%,$0.27B,$1.70B,17.20%,$0.27B,$2.93B,10.28%,$0.26B,$1.72B,16.32%,$486,$199,$287,$0,$235,$435,$52,$19,$71,$14,$56,$56,$55,$52,$52,$158,158,$0.34,$0.35,$2166,$32,$0,$2326,$283,$241,$22,$22,$599,$2925,$1203,$0,$0,$2,$1205,$2,$1171,$39,$1720,$2925,$277,$55,$22,$77,$-0,$-5,$4,$211,$268,$623,$-103,$0,$-1,$-454,$-113,$-567,$-2,$-672,$0,$0,$0,$-4,$-4,$0,$9,$5,$-68,$20,$0
6,2017-02-28,48.15,$0.00,0.0,$10.82,4.45,$2.89,16.66,$1.66,29.01,$2.13B,$1.05B,2.03,$0.00B,$0.00B,0.0,$1.71B,$0.99B,58.20%,$1.71B,$0.25B,14.52%,$1.71B,$0.25B,14.52%,$1.71B,$0.25B,14.52%,$1.71B,$0.31B,18.38%,$1.71B,$0.26B,15.28%,$0.26B,$1.61B,16.94%,$0.26B,$1.59B,17.14%,$0.26B,$2.66B,10.34%,$0.25B,$1.61B,16.10%,$438,$184,$254,$0,$197,$380,$58,$20,$77,$11,$67,$66,$68,$58,$58,$158,158,$0.43,$0.43,$1971,$28,$0,$2126,$259,$217,$24,$8,$533,$2659,$1046,$0,$0,$2,$1048,$0,$0,$0,$1611,$2659,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
7,2016-11-30,49.9,$0.00,0.0,$10.25,4.87,$2.89,17.27,$1.54,32.4,$2.06B,$1.02B,2.02,$0.00B,$0.00B,0.0,$1.62B,$0.94B,58.26%,$1.62B,$0.23B,14.35%,$1.62B,$0.23B,14.35%,$1.62B,$0.23B,14.35%,$1.62B,$0.30B,18.24%,$1.62B,$0.24B,14.90%,$0.24B,$1.55B,16.41%,$0.24B,$1.53B,16.59%,$0.24B,$2.57B,10.08%,$0.23B,$1.55B,15.79%,$341,$163,$178,$0,$178,$341,$0,$16,$16,$3,$13,$12,$10,$0,$0,$157,158,$0.07,$0.07,$1898,$30,$0,$2059,$250,$222,$16,$6,$511,$2570,$1020,$0,$0,$2,$1022,$0,$0,$0,$1548,$2570,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2016-08-31,39.27,$0.00,0.0,$9.98,3.93,$2.89,13.59,$1.51,26.01,$2.01B,$0.94B,2.14,$0.00B,$0.00B,0.0,$1.55B,$0.91B,58.43%,$1.55B,$0.22B,14.29%,$1.55B,$0.22B,14.29%,$1.55B,$0.22B,14.29%,$1.55B,$0.29B,18.40%,$1.55B,$0.24B,15.25%,$0.24B,$1.57B,16.84%,$0.24B,$1.55B,17.05%,$0.24B,$2.51B,10.42%,$0.22B,$1.57B,15.77%,$534,$203,$331,$0,$178,$381,$153,$14,$167,$23,$144,$142,$141,$153,$153,$157,158,$0.90,$0.89,$1864,$29,$0,$2006,$251,$216,$17,$4,$504,$2511,$940,$0,$0,$2,$941,$0,$0,$0,$1569,$2511,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2016-05-31,42.03,$9.11,4.61,$9.52,4.41,$2.89,14.54,$1.44,29.18,$1.87B,$0.92B,2.04,$0.00B,$1.44B,0.0,$1.48B,$0.86B,58.46%,$1.48B,$0.20B,13.46%,$1.48B,$0.20B,13.46%,$1.48B,$0.20B,13.46%,$1.48B,$0.27B,18.06%,$1.48B,$0.23B,15.22%,$0.23B,$1.44B,16.91%,$0.23B,$1.42B,17.14%,$0.23B,$2.36B,10.39%,$0.20B,$1.44B,14.95%,$395,$163,$231,$0,$198,$358,$37,$17,$54,$11,$43,$42,$42,$37,$37,$157,157,$0.26,$0.26,$1734,$27,$0,$1869,$238,$194,$17,$11,$485,$2355,$918,$0,$0,$2,$920,$2,$932,$63,$1435,$2355,$225,$49,$19,$67,$-0,$-6,$5,$171,$226,$518,$-63,$0,$3,$-182,$-64,$-246,$-3,$-310,$0,$0,$0,$2,$2,$-63,$66,$6,$178,$17,$-63
