,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,12.0,$2.86,4.19,$14.12,0.85,$1.97,6.1,$0.76,15.79,$0.04B,$0.02B,1.62,$0.02B,$0.02B,0.83,$0.12B,$0.08B,70.69%,$0.12B,$0.01B,6.90%,$0.12B,$0.01B,6.90%,$0.12B,$0.01B,8.62%,$0.12B,$0.01B,6.90%,$0.12B,$0.01B,5.17%,$0.01B,$0.02B,28.24%,$0.01B,$0.02B,28.24%,$0.01B,$0.07B,9.38%,$0.01B,$0.04B,19.51%,$25,$8,$16,$0,$14,$23,$2,$0,$2,$1,$1,$1,$1,$2,$2,$8,8,$0.18,$0.18,$1,$34,$0,$39,$28,$0,$0,$0,$28,$67,$24,$19,$0,$20,$44,$2,$24,$0,$23,$67,$3,$1,$1,$1,$-0,$-7,$0,$-0,$-7,$-2,$-1,$0,$0,$0,$0,$0,$0,$-1,$2,$0,$2,$0,$0,$-0,$0,$2,$-2,$0,$-0
1,2018-05-31,22.5,$2.67,8.44,$14.06,1.6,$2.15,10.47,$0.71,31.91,$0.04B,$0.02B,1.61,$0.02B,$0.02B,0.9,$0.12B,$0.08B,72.17%,$0.12B,$0.01B,6.96%,$0.12B,$0.01B,6.96%,$0.12B,$0.01B,8.70%,$0.12B,$0.01B,6.96%,$0.12B,$0.01B,5.22%,$0.01B,$0.02B,30.38%,$0.01B,$0.02B,30.38%,$0.01B,$0.06B,9.56%,$0.01B,$0.04B,20.00%,$30,$10,$20,$0,$18,$28,$2,$0,$2,$1,$2,$2,$2,$3,$2,$8,8,$0.22,$0.22,$4,$28,$0,$36,$28,$0,$0,$0,$28,$64,$22,$20,$0,$20,$42,$1,$23,$0,$22,$64,$2,$0,$0,$1,$0,$-1,$0,$0,$0,$3,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$-0,$-0,$0,$0,$-0,$2,$0,$0
2,2018-02-28,19.27,$2.49,7.72,$13.68,1.41,$1.84,10.48,$0.64,30.34,$0.03B,$0.02B,1.57,$0.02B,$0.02B,0.97,$0.11B,$0.08B,72.32%,$0.11B,$0.01B,7.14%,$0.11B,$0.01B,7.14%,$0.11B,$0.01B,8.04%,$0.11B,$0.01B,7.14%,$0.11B,$0.01B,4.46%,$0.01B,$0.02B,27.40%,$0.01B,$0.02B,27.40%,$0.01B,$0.06B,8.03%,$0.01B,$0.04B,20.51%,$22,$4,$18,$0,$17,$21,$1,$0,$1,$-0,$1,$1,$1,$1,$1,$8,8,$0.10,$0.10,$3,$27,$0,$34,$28,$0,$0,$0,$28,$62,$21,$20,$0,$20,$41,$2,$21,$0,$20,$62,$5,$1,$1,$2,$-0,$7,$0,$-0,$2,$9,$-1,$0,$0,$0,$0,$0,$0,$-1,$-6,$0,$-6,$-0,$-0,$0,$0,$-6,$2,$0,$0
3,2017-11-30,13.89,$2.39,5.8,$14.34,0.97,$0.39,35.76,$0.62,22.58,$0.04B,$0.02B,1.56,$0.02B,$0.02B,1.06,$0.12B,$0.08B,71.79%,$0.12B,$0.01B,6.84%,$0.12B,$0.01B,6.84%,$0.12B,$0.01B,7.69%,$0.12B,$0.01B,6.84%,$0.12B,$0.01B,4.27%,$0.01B,$0.02B,29.41%,$0.01B,$0.02B,29.41%,$0.01B,$0.06B,7.91%,$0.01B,$0.04B,21.05%,$39,$10,$28,$0,$25,$36,$3,$0,$3,$1,$2,$2,$2,$4,$3,$8,8,$0.26,$0.26,$6,$24,$0,$35,$27,$0,$0,$0,$28,$63,$23,$21,$0,$21,$44,$1,$21,$0,$20,$63,$4,$1,$1,$2,$-1,$10,$0,$1,$5,$11,$-1,$0,$0,$0,$0,$0,$0,$-1,$-5,$0,$-5,$-0,$-0,$0,$0,$-5,$5,$0,$0
4,2017-08-31,10.5,$2.13,4.92,$13.34,0.79,$-1.12,0.0,$0.51,20.59,$0.03B,$0.02B,1.48,$0.02B,$0.02B,1.22,$0.11B,$0.08B,71.56%,$0.11B,$0.01B,6.42%,$0.11B,$0.01B,6.42%,$0.11B,$0.01B,6.42%,$0.11B,$0.01B,6.42%,$0.11B,$0.00B,3.67%,$0.00B,$0.02B,25.40%,$0.00B,$0.02B,25.40%,$0.00B,$0.06B,6.13%,$0.01B,$0.04B,22.05%,$24,$8,$17,$0,$15,$23,$2,$0,$2,$1,$1,$1,$1,$2,$2,$8,8,$0.13,$0.13,$0,$29,$0,$34,$28,$0,$0,$0,$28,$62,$23,$21,$0,$21,$44,$1,$19,$0,$17,$62,$2,$1,$0,$1,$0,$5,$0,$-0,$-4,$-1,$-1,$0,$0,$0,$0,$0,$0,$-1,$2,$0,$2,$-0,$-0,$0,$0,$2,$-0,$0,$0
5,2017-05-31,9.8,$2.01,4.88,$13.56,0.72,$-1.31,0.0,$0.43,23.07,$0.03B,$0.03B,1.39,$0.02B,$0.02B,1.24,$0.11B,$0.08B,71.17%,$0.11B,$0.01B,4.50%,$0.11B,$0.01B,4.50%,$0.11B,$0.01B,5.41%,$0.11B,$0.01B,5.41%,$0.11B,$0.00B,2.70%,$0.00B,$0.02B,20.00%,$0.00B,$0.02B,20.00%,$0.00B,$0.06B,4.55%,$0.01B,$0.04B,16.26%,$27,$9,$18,$0,$16,$25,$2,$0,$2,$1,$1,$1,$1,$2,$2,$8,8,$0.15,$0.15,$1,$30,$0,$34,$27,$0,$0,$0,$27,$62,$25,$20,$0,$21,$45,$1,$18,$0,$16,$62,$1,$0,$0,$1,$-0,$4,$0,$-0,$-2,$-0,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$0
6,2017-02-28,9.51,$1.86,5.11,$13.06,0.73,$-1.53,0.0,$0.35,27.16,$0.04B,$0.03B,1.28,$0.02B,$0.02B,1.36,$0.11B,$0.08B,71.96%,$0.11B,$0.00B,3.74%,$0.11B,$0.00B,3.74%,$0.11B,$0.01B,4.67%,$0.11B,$0.01B,4.67%,$0.11B,$0.00B,2.80%,$0.00B,$0.02B,20.69%,$0.00B,$0.02B,20.69%,$0.00B,$0.07B,4.62%,$0.00B,$0.04B,13.68%,$27,$6,$21,$0,$19,$26,$1,$0,$1,$0,$1,$1,$1,$1,$1,$8,8,$0.08,$0.08,$1,$0,$0,$39,$27,$0,$0,$0,$27,$66,$30,$21,$0,$21,$51,$1,$16,$0,$15,$66,$3,$1,$2,$3,$-1,$-17,$0,$-2,$-7,$-2,$-2,$0,$0,$0,$0,$0,$0,$-2,$5,$0,$5,$0,$0,$-1,$0,$4,$-0,$0,$-1
7,2016-11-30,8.92,$1.78,5.02,$11.82,0.76,$-3.28,0.0,$0.26,34.99,$0.04B,$0.06B,0.75,$0.00B,$0.02B,0.0,$0.10B,$0.07B,70.10%,$0.10B,$0.00B,3.09%,$0.10B,$0.00B,3.09%,$0.10B,$0.00B,4.12%,$0.10B,$0.00B,4.12%,$0.10B,$0.00B,2.06%,$0.00B,$0.02B,14.29%,$0.00B,$0.02B,14.29%,$0.00B,$0.07B,3.28%,$0.00B,$0.02B,10.71%,$31,$8,$22,$0,$21,$29,$2,$0,$2,$1,$1,$1,$1,$2,$2,$8,8,$0.16,$0.16,$1,$34,$0,$42,$28,$0,$0,$0,$29,$71,$56,$0,$0,$0,$56,$1,$16,$0,$15,$71,$2,$1,$0,$1,$-2,$-17,$0,$7,$-4,$-0,$-2,$0,$0,$0,$0,$0,$0,$-2,$3,$0,$3,$0,$0,$-1,$0,$2,$-0,$0,$-1
8,2016-08-31,11.83,$1.66,7.12,$11.07,1.07,$-1.95,0.0,$0.26,46.41,$0.04B,$0.03B,1.21,$0.02B,$0.01B,1.56,$0.09B,$0.06B,70.00%,$0.09B,$0.00B,3.33%,$0.09B,$0.00B,3.33%,$0.09B,$0.00B,4.44%,$0.09B,$0.00B,4.44%,$0.09B,$0.00B,2.22%,$0.00B,$0.01B,14.55%,$0.00B,$0.01B,14.55%,$0.00B,$0.07B,4.02%,$0.00B,$0.04B,10.81%,$26,$7,$18,$0,$18,$26,$0,$0,$1,$0,$0,$0,$0,$1,$0,$8,8,$0.04,$0.04,$2,$29,$0,$37,$28,$0,$0,$0,$28,$65,$30,$21,$0,$21,$52,$1,$15,$0,$14,$65,$1,$1,$0,$1,$-1,$-12,$0,$2,$-4,$-2,$-2,$0,$0,$0,$0,$0,$0,$-2,$5,$0,$5,$0,$0,$-1,$0,$5,$1,$0,$-1
9,2016-05-31,10.33,$1.66,6.22,$9.45,1.09,$-1.42,0.0,$0.30,35.03,$0.03B,$0.03B,1.11,$0.02B,$0.01B,1.3,$0.08B,$0.05B,68.83%,$0.08B,$0.00B,5.19%,$0.08B,$0.00B,5.19%,$0.08B,$0.00B,5.19%,$0.08B,$0.00B,5.19%,$0.08B,$0.00B,3.90%,$0.00B,$0.01B,22.22%,$0.00B,$0.01B,22.22%,$0.00B,$0.06B,7.69%,$0.00B,$0.03B,17.98%,$23,$7,$16,$0,$15,$22,$1,$0,$1,$0,$1,$1,$1,$1,$1,$8,8,$0.08,$0.08,$1,$23,$0,$30,$28,$0,$0,$0,$28,$58,$27,$18,$0,$18,$44,$1,$15,$0,$14,$58,$1,$0,$0,$0,$-1,$-5,$0,$0,$-2,$-1,$-1,$0,$0,$0,$0,$0,$0,$-1,$2,$0,$2,$0,$0,$-0,$0,$2,$-0,$0,$-0
