,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.01,$20.45,0.78,$4.02,3.99,$-39.85,0.0,$1.81,8.85,$0.81B,$0.45B,1.8,$1.93B,$0.62B,3.12,$0.12B,$0.12B,93.50%,$0.12B,$0.09B,72.36%,$0.12B,$0.09B,72.36%,$0.12B,$0.14B,109.76%,$0.12B,$0.06B,47.15%,$0.12B,$0.06B,45.53%,$0.06B,$0.62B,9.10%,$0.06B,$0.62B,9.10%,$0.06B,$3.72B,1.65%,$0.09B,$2.54B,3.88%,$36,$2,$34,$0,$4,$9,$27,$-20,$7,$0,$7,$7,$7,$40,$27,$30,30,$0.22,$0.22,$54,$0,$0,$809,$0,$0,$0,$2906,$2906,$3715,$449,$1925,$724,$2648,$3098,$583,$0,$0,$617,$3715,$51,$35,$-628,$-592,$-208,$0,$0,$327,$120,$-421,$0,$0,$0,$0,$0,$0,$0,$0,$56,$427,$483,$-18,$-18,$-38,$0,$427,$6,$0,$-38
1,2018-06-30,15.61,$20.34,0.77,$3.51,4.45,$-29.75,0.0,$1.78,8.77,$0.75B,$0.45B,1.66,$1.70B,$0.61B,2.78,$0.11B,$0.10B,92.66%,$0.11B,$0.08B,71.56%,$0.11B,$0.08B,71.56%,$0.11B,$0.12B,108.26%,$0.11B,$0.06B,53.21%,$0.11B,$0.06B,50.46%,$0.06B,$0.61B,8.89%,$0.06B,$0.61B,8.89%,$0.06B,$3.67B,1.75%,$0.08B,$2.32B,3.69%,$33,$2,$31,$0,$3,$9,$24,$-2,$22,$0,$22,$22,$21,$37,$24,$30,30,$0.69,$0.69,$22,$0,$0,$745,$0,$0,$0,$2927,$2927,$3672,$447,$1703,$908,$2611,$3059,$589,$0,$0,$613,$3672,$44,$23,$-374,$-351,$-223,$0,$0,$306,$83,$-224,$0,$0,$0,$0,$0,$0,$0,$0,$38,$212,$250,$-18,$-18,$-26,$-8,$199,$-25,$0,$-26
2,2018-03-31,14.44,$20.07,0.72,$3.12,4.63,$-25.93,0.0,$1.25,11.55,$0.64B,$0.26B,2.5,$1.60B,$0.61B,2.63,$0.10B,$0.09B,90.91%,$0.10B,$0.07B,70.71%,$0.10B,$0.07B,70.71%,$0.10B,$0.11B,110.10%,$0.10B,$0.04B,41.41%,$0.10B,$0.04B,39.39%,$0.04B,$0.61B,6.24%,$0.04B,$0.61B,6.24%,$0.04B,$3.20B,1.33%,$0.07B,$2.21B,3.51%,$29,$2,$27,$0,$2,$7,$22,$-0,$21,$0,$21,$21,$21,$32,$22,$31,31,$0.67,$0.67,$26,$0,$0,$644,$0,$0,$0,$2553,$2553,$3196,$258,$1601,$727,$2329,$2586,$584,$0,$0,$610,$3196,$21,$10,$-247,$-237,$-26,$0,$0,$116,$91,$-125,$0,$0,$0,$0,$0,$0,$0,$0,$14,$896,$910,$-14,$-14,$-13,$-780,$103,$-22,$0,$-13
3,2017-12-31,13.75,$19.82,0.69,$2.92,4.7,$-25.23,0.0,$1.05,13.09,$0.66B,$0.22B,3.07,$1.48B,$0.62B,2.38,$0.09B,$0.08B,89.36%,$0.09B,$0.07B,70.21%,$0.09B,$0.07B,70.21%,$0.09B,$0.10B,105.32%,$0.09B,$0.04B,38.30%,$0.09B,$0.03B,35.11%,$0.03B,$0.62B,5.19%,$0.03B,$0.62B,5.19%,$0.03B,$2.99B,1.15%,$0.07B,$2.10B,3.48%,$25,$2,$23,$0,$2,$9,$16,$-8,$8,$0,$8,$8,$7,$26,$16,$32,32,$0.22,$0.22,$48,$0,$0,$664,$0,$0,$0,$2329,$2329,$2993,$216,$1477,$679,$2156,$2372,$590,$0,$0,$621,$2993,$36,$33,$-544,$-511,$-10,$0,$0,$22,$13,$-463,$0,$0,$0,$0,$0,$0,$0,$0,$275,$174,$449,$-15,$-15,$-58,$10,$387,$-76,$0,$-58
4,2017-09-30,14.56,$19.68,0.74,$2.77,5.26,$-8.67,0.0,$0.87,16.74,$0.72B,$0.19B,3.9,$1.20B,$0.63B,1.91,$0.09B,$0.08B,87.78%,$0.09B,$0.06B,70.00%,$0.09B,$0.06B,70.00%,$0.09B,$0.09B,102.22%,$0.09B,$0.03B,33.33%,$0.09B,$0.03B,31.11%,$0.03B,$0.63B,4.36%,$0.03B,$0.63B,4.36%,$0.03B,$2.73B,1.03%,$0.06B,$1.83B,3.51%,$22,$2,$20,$0,$3,$6,$16,$-9,$7,$0,$7,$7,$6,$23,$16,$32,32,$0.19,$0.19,$112,$0,$0,$719,$0,$0,$0,$2008,$2008,$2727,$185,$1204,$708,$1912,$2097,$605,$0,$0,$630,$2727,$28,$23,$-172,$-149,$-65,$0,$0,$62,$-3,$-124,$0,$0,$0,$0,$0,$0,$0,$0,$160,$-4,$156,$-5,$-5,$-44,$5,$112,$-12,$0,$-44
5,2017-06-30,14.53,$19.84,0.73,$2.61,5.57,$0.22,67.58,$0.70,20.76,$0.68B,$0.24B,2.86,$1.21B,$0.64B,1.9,$0.09B,$0.07B,87.06%,$0.09B,$0.06B,68.24%,$0.09B,$0.06B,68.24%,$0.09B,$0.09B,103.53%,$0.09B,$0.02B,28.24%,$0.09B,$0.02B,27.06%,$0.02B,$0.64B,3.54%,$0.02B,$0.64B,3.54%,$0.02B,$2.80B,0.85%,$0.06B,$1.84B,3.30%,$23,$2,$20,$0,$2,$7,$16,$-11,$5,$0,$5,$5,$5,$28,$16,$32,32,$0.16,$0.16,$135,$0,$0,$682,$0,$0,$0,$2115,$2115,$2797,$239,$1207,$714,$1922,$2160,$616,$0,$0,$637,$2797,$21,$16,$-191,$-175,$-120,$0,$0,$158,$39,$-115,$0,$0,$0,$0,$0,$0,$0,$0,$70,$86,$155,$-3,$-3,$-30,$3,$126,$11,$0,$-30
6,2017-03-31,13.82,$20.35,0.68,$2.51,5.5,$6.52,2.12,$0.69,20.03,$0.71B,$0.33B,2.19,$1.15B,$0.65B,1.75,$0.08B,$0.07B,86.59%,$0.08B,$0.06B,67.07%,$0.08B,$0.06B,67.07%,$0.08B,$0.08B,96.34%,$0.08B,$0.02B,29.27%,$0.08B,$0.02B,28.05%,$0.02B,$0.65B,3.48%,$0.02B,$0.65B,3.48%,$0.02B,$2.93B,0.86%,$0.06B,$1.80B,3.17%,$24,$2,$21,$0,$2,$6,$18,$-2,$16,$0,$16,$16,$15,$22,$18,$32,32,$0.47,$0.47,$105,$0,$0,$713,$0,$0,$0,$2218,$2218,$2931,$326,$1148,$802,$1950,$2277,$626,$0,$0,$654,$2931,$16,$4,$-164,$-160,$-217,$0,$0,$254,$37,$-108,$0,$0,$0,$0,$0,$0,$0,$0,$42,$3050,$3092,$-2,$-2,$-15,$-2987,$89,$-19,$0,$-15
7,2016-12-31,13.17,$19.97,0.66,$2.44,5.4,$9.29,1.42,$-0.47,0.0,$0.66B,$0.11B,6.19,$1.06B,$0.65B,1.64,$0.08B,$0.07B,86.25%,$0.08B,$0.05B,65.00%,$0.08B,$0.05B,65.00%,$0.08B,$0.08B,95.00%,$0.08B,$-0.02B,-18.75%,$0.08B,$-0.02B,-18.75%,$-0.02B,$0.65B,-2.24%,$-0.02B,$0.65B,-2.24%,$-0.02B,$2.41B,-0.56%,$0.05B,$1.70B,2.97%,$21,$2,$18,$0,$3,$7,$13,$-12,$2,$0,$2,$2,$2,$19,$13,$33,33,$0.04,$0.04,$124,$0,$0,$663,$0,$0,$0,$1751,$1751,$2413,$107,$1058,$604,$1661,$1768,$628,$0,$0,$645,$2413,$-16,$25,$9,$33,$180,$0,$0,$-128,$52,$70,$0,$0,$0,$0,$0,$0,$0,$0,$41,$-92,$-51,$-14,$-14,$-65,$0,$-130,$-61,$0,$-65
8,2016-09-30,13.76,$20.38,0.68,$2.53,5.44,$26.73,0.51,$-0.47,0.0,$0.88B,$0.25B,3.45,$1.02B,$0.67B,1.53,$0.08B,$0.07B,86.75%,$0.08B,$0.06B,67.47%,$0.08B,$0.06B,67.47%,$0.08B,$0.09B,106.02%,$0.08B,$-0.02B,-18.07%,$0.08B,$-0.02B,-18.07%,$-0.02B,$0.67B,-2.16%,$-0.02B,$0.67B,-2.16%,$-0.02B,$2.65B,-0.53%,$0.06B,$1.68B,3.10%,$17,$2,$15,$0,$2,$7,$11,$-10,$1,$0,$1,$1,$1,$19,$11,$33,33,$0.02,$0.02,$185,$0,$0,$875,$0,$0,$0,$1777,$1777,$2652,$253,$1015,$719,$1734,$1987,$646,$0,$0,$665,$2652,$-18,$19,$122,$141,$86,$0,$0,$-45,$40,$164,$0,$0,$0,$0,$0,$0,$0,$0,$31,$-142,$-111,$-9,$-9,$-50,$2,$-168,$-4,$0,$-50
9,2016-06-30,13.75,$20.74,0.66,$2.80,4.9,$33.36,0.41,$-0.38,0.0,$0.88B,$0.30B,2.93,$1.08B,$0.68B,1.6,$0.09B,$0.08B,87.10%,$0.09B,$0.07B,70.97%,$0.09B,$0.07B,70.97%,$0.09B,$0.09B,101.08%,$0.09B,$-0.01B,-12.90%,$0.09B,$-0.01B,-12.90%,$-0.01B,$0.68B,-1.67%,$-0.01B,$0.68B,-1.67%,$-0.01B,$2.75B,-0.40%,$0.07B,$1.76B,3.44%,$20,$3,$17,$0,$3,$7,$13,$-8,$5,$0,$5,$5,$5,$19,$13,$33,33,$0.15,$0.15,$144,$0,$0,$880,$0,$0,$0,$1873,$1873,$2753,$300,$1083,$691,$1774,$2074,$664,$0,$0,$679,$2753,$-18,$10,$-20,$-9,$160,$0,$0,$-42,$117,$89,$0,$0,$0,$0,$0,$0,$0,$0,$13,$-104,$-91,$-7,$-7,$-34,$-2,$-133,$-44,$0,$-34
