,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,21.25,$2.53,8.41,$3.49,6.09,$-0.21,0.0,$-1.49,0.0,$0.18B,$0.07B,2.65,$0.00B,$0.24B,0.0,$0.32B,$0.25B,75.62%,$0.32B,$-0.07B,-21.60%,$0.32B,$-0.07B,-21.60%,$0.32B,$-0.05B,-15.43%,$0.32B,$-0.07B,-20.68%,$0.32B,$-0.14B,-42.59%,$-0.14B,$0.24B,-59.35%,$-0.14B,$0.19B,-76.45%,$-0.14B,$0.31B,-46.86%,$-0.07B,$0.24B,-30.11%,$86,$21,$64,$14,$72,$108,$-22,$1,$-21,$0,$-21,$-21,$-21,$-16,$-22,$94,94,$-0.23,$-0.23,$129,$0,$14,$175,$42,$0,$52,$11,$134,$310,$66,$0,$4,$4,$70,$0,$-198,$-7,$239,$310,$-37,$11,$22,$33,$-3,$0,$8,$-5,$-1,$-5,$-14,$0,$-3,$0,$17,$17,$0,$-0,$-1,$0,$-1,$-1,$-1,$0,$0,$-2,$-7,$19,$0
1,2018-06-30,20.05,$2.70,7.43,$3.37,5.95,$0.01,1806.31,$-1.27,0.0,$0.19B,$0.06B,3.06,$0.00B,$0.25B,0.0,$0.31B,$0.24B,76.13%,$0.31B,$-0.05B,-16.77%,$0.31B,$-0.05B,-16.77%,$0.31B,$-0.04B,-11.29%,$0.31B,$-0.05B,-16.13%,$0.31B,$-0.12B,-38.06%,$-0.12B,$0.25B,-47.29%,$-0.12B,$0.20B,-60.67%,$-0.12B,$0.32B,-38.50%,$-0.05B,$0.25B,-20.84%,$83,$21,$62,$13,$65,$99,$-16,$1,$-15,$0,$-15,$-15,$-15,$-11,$-16,$93,93,$-0.16,$-0.16,$144,$0,$11,$186,$38,$0,$53,$11,$130,$316,$61,$0,$3,$3,$64,$0,$-177,$-7,$252,$316,$-15,$5,$10,$16,$-1,$0,$4,$-2,$0,$1,$-6,$0,$-3,$-8,$18,$11,$0,$2,$-0,$0,$-0,$1,$1,$0,$0,$1,$3,$9,$0
2,2018-03-31,18.65,$2.36,7.91,$3.23,5.78,$0.09,207.22,$-1.13,0.0,$0.18B,$0.06B,3.17,$0.00B,$0.22B,0.0,$0.30B,$0.23B,76.69%,$0.30B,$-0.04B,-13.85%,$0.30B,$-0.04B,-13.85%,$0.30B,$-0.03B,-8.78%,$0.30B,$-0.04B,-12.84%,$0.30B,$-0.11B,-35.47%,$-0.11B,$0.22B,-39.70%,$-0.11B,$0.17B,-50.72%,$-0.11B,$0.28B,-33.07%,$-0.04B,$0.22B,-15.50%,$79,$20,$60,$10,$63,$93,$-14,$1,$-13,$0,$-13,$-13,$-13,$-9,$-14,$92,92,$-0.15,$-0.15,$152,$0,$10,$179,$36,$0,$52,$11,$99,$277,$56,$0,$2,$2,$58,$0,$-201,$-6,$219,$277,$-104,$16,$104,$120,$-2,$0,$12,$-3,$7,$22,$-22,$0,$0,$0,$13,$13,$1,$-7,$-1,$0,$-1,$-15,$-15,$0,$-0,$-16,$-1,$29,$0
3,2017-12-31,14.1,$2.39,5.9,$3.10,4.55,$0.24,58.24,$-1.02,0.0,$0.19B,$0.05B,3.55,$0.00B,$0.22B,0.0,$0.28B,$0.22B,77.03%,$0.28B,$-0.03B,-10.95%,$0.28B,$-0.03B,-10.95%,$0.28B,$-0.02B,-6.36%,$0.28B,$-0.03B,-9.89%,$0.28B,$-0.10B,-33.57%,$-0.10B,$0.22B,-33.69%,$-0.10B,$0.17B,-42.89%,$-0.10B,$0.28B,-28.64%,$-0.03B,$0.22B,-10.99%,$76,$17,$59,$9,$59,$94,$-18,$1,$-18,$71,$-89,$-89,$-89,$-14,$-18,$92,92,$-0.96,$-0.96,$161,$0,$10,$189,$33,$0,$52,$1,$86,$275,$53,$0,$1,$1,$55,$0,$-188,$-6,$220,$275,$-91,$11,$96,$107,$-3,$0,$9,$-2,$4,$19,$-15,$0,$0,$0,$5,$5,$1,$-9,$-1,$0,$-1,$-19,$-19,$0,$-0,$-20,$-9,$21,$0
4,2017-09-30,13.5,$3.34,4.04,$2.98,4.53,$0.33,41.35,$-0.07,0.0,$0.19B,$0.05B,3.94,$0.00B,$0.31B,0.0,$0.27B,$0.21B,76.75%,$0.27B,$-0.02B,-5.54%,$0.27B,$-0.02B,-5.54%,$0.27B,$-0.00B,-1.11%,$0.27B,$-0.01B,-4.06%,$0.27B,$-0.01B,-2.58%,$-0.01B,$0.31B,-2.35%,$-0.01B,$0.24B,-2.98%,$-0.01B,$0.36B,-2.03%,$-0.02B,$0.31B,-5.04%,$72,$18,$55,$8,$51,$77,$-4,$0,$-4,$-3,$-1,$-1,$-1,$-1,$-4,$92,92,$-0.01,$-0.01,$167,$0,$12,$194,$30,$0,$62,$0,$164,$358,$49,$0,$2,$2,$51,$0,$-100,$-6,$307,$358,$-3,$7,$8,$15,$-1,$0,$3,$-3,$-1,$11,$-9,$0,$0,$0,$2,$2,$1,$-6,$-1,$0,$-1,$-11,$-11,$0,$-0,$-12,$-6,$13,$0
5,2017-06-30,14.55,$3.40,4.28,$2.87,5.07,$0.37,39.68,$-0.06,0.0,$0.20B,$0.05B,4.35,$0.00B,$0.31B,0.0,$0.26B,$0.20B,76.34%,$0.26B,$-0.01B,-4.20%,$0.26B,$-0.01B,-4.20%,$0.26B,0,0.00%,$0.26B,$-0.01B,-2.67%,$0.26B,$-0.01B,-2.29%,$-0.01B,$0.31B,-2.06%,$-0.01B,$0.25B,-2.63%,$-0.01B,$0.36B,-1.79%,$-0.01B,$0.31B,-3.78%,$69,$17,$53,$8,$50,$75,$-5,$2,$-3,$-1,$-2,$-2,$-2,$-2,$-5,$92,92,$-0.02,$-0.02,$178,$0,$10,$202,$27,$0,$63,$0,$158,$360,$46,$0,$2,$2,$48,$0,$-99,$-8,$312,$360,$-2,$4,$4,$7,$-0,$0,$3,$-2,$1,$6,$-4,$0,$0,$-16,$25,$9,$1,$6,$-0,$0,$-0,$-0,$-0,$0,$0,$-1,$12,$6,$0
6,2017-03-31,15.25,$3.15,4.83,$2.78,5.48,$0.39,38.65,$-0.05,0.0,$0.20B,$0.04B,4.55,$0.00B,$0.29B,0.0,$0.25B,$0.19B,75.49%,$0.25B,$-0.01B,-2.77%,$0.25B,$-0.01B,-2.77%,$0.25B,$0.00B,1.58%,$0.25B,$-0.00B,-1.58%,$0.25B,$-0.01B,-1.98%,$-0.01B,$0.29B,-1.77%,$-0.01B,$0.23B,-2.28%,$-0.01B,$0.33B,-1.54%,$-0.01B,$0.29B,-2.48%,$66,$15,$51,$7,$48,$70,$-4,$1,$-3,$-0,$-3,$-3,$-3,$-1,$-4,$90,90,$-0.03,$-0.03,$175,$0,$8,$197,$24,$0,$63,$0,$137,$334,$43,$0,$2,$2,$45,$0,$-115,$-10,$289,$334,$-5,$10,$22,$32,$-5,$0,$8,$-2,$1,$28,$-14,$0,$-3,$0,$-5,$-5,$0,$-22,$-1,$0,$-1,$2,$2,$0,$0,$2,$7,$21,$0
7,2016-12-31,14.3,$3.10,4.61,$2.70,5.3,$0.43,33.58,$-0.03,0.0,$0.19B,$0.04B,5.0,$0.00B,$0.28B,0.0,$0.24B,$0.18B,74.59%,$0.24B,$-0.01B,-2.46%,$0.24B,$-0.01B,-2.46%,$0.24B,$0.00B,1.64%,$0.24B,$-0.00B,-1.64%,$0.24B,$-0.00B,-1.23%,$-0.00B,$0.28B,-1.08%,$-0.00B,$0.22B,-1.40%,$-0.00B,$0.32B,-0.94%,$-0.01B,$0.28B,-2.15%,$64,$15,$49,$7,$44,$65,$-2,$0,$-1,$0,$-1,$-1,$-1,$1,$-2,$91,91,$-0.01,$-0.01,$173,$1,$6,$192,$15,$0,$61,$7,$131,$324,$38,$0,$3,$3,$42,$0,$-112,$-10,$282,$324,$-2,$8,$16,$24,$-3,$0,$4,$-1,$0,$22,$-10,$0,$0,$0,$-10,$-10,$0,$-21,$-0,$0,$-0,$-0,$-0,$0,$-0,$-1,$-0,$16,$0
8,2016-09-30,15.43,$3.11,4.97,$2.60,5.94,$0.42,36.86,$-0.04,0.0,$0.19B,$0.04B,5.08,$0.00B,$0.28B,0.0,$0.23B,$0.17B,73.39%,$0.23B,$-0.01B,-3.00%,$0.23B,$-0.01B,-3.00%,$0.23B,$0.00B,1.29%,$0.23B,$-0.01B,-2.15%,$0.23B,$-0.00B,-1.72%,$-0.00B,$0.28B,-1.45%,$-0.00B,$0.22B,-1.92%,$-0.00B,$0.32B,-1.27%,$-0.01B,$0.28B,-2.54%,$63,$17,$47,$7,$40,$64,$-0,$0,$0,$-0,$0,$0,$0,$2,$-0,$90,93,$0.00,$0.00,$170,$0,$7,$189,$15,$0,$64,$5,$133,$322,$37,$0,$3,$3,$41,$0,$-110,$-8,$281,$322,$-1,$5,$10,$15,$-2,$0,$3,$-2,$-1,$13,$-8,$0,$0,$0,$-8,$-8,$0,$-16,$-0,$0,$-0,$2,$2,$0,$-0,$1,$-1,$10,$0
9,2016-06-30,14.61,$3.09,4.73,$2.50,5.85,$0.41,36.03,$-0.06,0.0,$0.19B,$0.04B,5.22,$0.00B,$0.28B,0.0,$0.22B,$0.16B,72.85%,$0.22B,$-0.01B,-4.07%,$0.22B,$-0.01B,-4.07%,$0.22B,$0.00B,0.90%,$0.22B,$-0.01B,-2.71%,$0.22B,$-0.01B,-2.71%,$-0.01B,$0.28B,-2.20%,$-0.01B,$0.21B,-2.96%,$-0.01B,$0.32B,-1.95%,$-0.01B,$0.28B,-3.31%,$60,$16,$44,$7,$38,$61,$-1,$0,$-0,$0,$-1,$-1,$-1,$2,$-1,$89,89,$-0.01,$-0.01,$167,$0,$5,$185,$13,$0,$65,$4,$131,$316,$35,$0,$3,$3,$39,$0,$-110,$-7,$277,$316,$-1,$3,$5,$8,$-1,$0,$1,$-0,$-1,$7,$-2,$0,$0,$0,$-10,$-10,$0,$-13,$-0,$0,$-0,$0,$0,$0,$-0,$0,$-6,$5,$0
