,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,77.95,$16.01,4.87,$42.13,1.85,$12.52,6.23,$3.26,23.91,$0.64B,$0.61B,1.05,$2.50B,$1.58B,1.58,$4.20B,$4.20B,100.00%,$4.20B,$0.68B,16.13%,$4.20B,$0.68B,16.13%,$4.20B,$0.88B,20.95%,$4.20B,$0.55B,13.20%,$4.20B,$0.33B,7.77%,$0.33B,$1.58B,21.91%,$0.33B,$-0.94B,-33.98%,$0.33B,$5.13B,6.50%,$0.68B,$4.09B,16.77%,$1068,$0,$1068,$0,$681,$895,$173,$-34,$140,$30,$109,$109,$89,$224,$173,$98,100,$0.90,$0.89,$119,$0,$61,$638,$1591,$0,$2524,$296,$4494,$5132,$610,$2504,$198,$2939,$3548,$1,$-928,$0,$1584,$5132,$328,$147,$62,$209,$12,$0,$0,$33,$47,$584,$-185,$0,$-136,$0,$0,$0,$-6,$-326,$-46,$0,$-46,$0,$0,$-74,$-133,$-254,$4,$66,$-74
1,2018-06-30,67.72,$15.18,4.46,$41.37,1.64,$11.93,5.68,$3.04,22.28,$0.67B,$0.57B,1.17,$2.60B,$1.50B,1.73,$4.11B,$4.11B,100.00%,$4.11B,$0.67B,16.20%,$4.11B,$0.67B,16.20%,$4.11B,$0.86B,21.00%,$4.11B,$0.54B,13.19%,$4.11B,$0.30B,7.37%,$0.30B,$1.50B,21.11%,$0.30B,$-1.02B,-31.08%,$0.30B,$5.09B,6.12%,$0.67B,$4.10B,16.63%,$1068,$0,$1068,$0,$672,$891,$177,$-34,$142,$29,$113,$113,$92,$226,$177,$98,100,$0.93,$0.92,$125,$0,$90,$672,$1566,$0,$2518,$259,$4418,$5089,$574,$2601,$190,$3014,$3588,$1,$-1017,$0,$1501,$5089,$218,$96,$49,$145,$10,$0,$-0,$23,$22,$386,$-119,$0,$-136,$0,$0,$0,$-7,$-261,$46,$0,$46,$0,$0,$-50,$-113,$-117,$8,$48,$-50
2,2018-03-31,56.96,$14.58,3.91,$40.42,1.41,$11.50,4.95,$2.82,20.2,$0.71B,$0.57B,1.24,$2.54B,$1.44B,1.77,$4.01B,$4.01B,100.00%,$4.01B,$0.65B,16.09%,$4.01B,$0.65B,16.09%,$4.01B,$0.84B,20.93%,$4.01B,$0.51B,12.67%,$4.01B,$0.27B,6.84%,$0.27B,$1.44B,19.71%,$0.27B,$-0.93B,-28.00%,$0.27B,$4.94B,5.60%,$0.65B,$3.99B,16.26%,$1046,$0,$1046,$0,$671,$877,$169,$-33,$136,$30,$106,$106,$84,$215,$169,$98,99,$0.85,$0.84,$156,$0,$90,$709,$1554,$0,$2369,$239,$4231,$4940,$572,$2544,$184,$2927,$3499,$1,$-1109,$0,$1441,$4940,$105,$46,$25,$70,$8,$0,$1,$41,$41,$216,$-60,$0,$-1,$0,$0,$0,$-0,$-61,$0,$0,$0,$0,$0,$-25,$-91,$-117,$39,$26,$-25
3,2017-12-31,49.01,$14.49,3.38,$39.56,1.24,$11.33,4.32,$2.68,18.29,$0.70B,$0.52B,1.36,$2.55B,$1.43B,1.79,$3.92B,$3.92B,100.00%,$3.92B,$0.64B,16.31%,$3.92B,$0.64B,16.31%,$3.92B,$0.83B,21.23%,$3.92B,$0.50B,12.66%,$3.92B,$0.26B,6.56%,$0.26B,$1.43B,20.16%,$0.26B,$-0.95B,-23.67%,$0.26B,$4.89B,5.32%,$0.64B,$3.97B,16.20%,$1014,$0,$1014,$0,$636,$856,$158,$-23,$136,$49,$87,$87,$61,$214,$158,$94,99,$0.61,$0.62,$117,$0,$113,$702,$1517,$0,$2376,$235,$4192,$4894,$518,$2545,$185,$2952,$3469,$1,$-1191,$-1,$1425,$4894,$335,$193,$187,$379,$-84,$0,$8,$-9,$-61,$657,$-233,$0,$-39,$-2,$-9,$-10,$-3,$-285,$-202,$0,$-202,$-12,$-12,$-92,$-54,$-359,$14,$48,$-92
4,2017-09-30,45.75,$13.97,3.27,$38.76,1.18,$11.64,3.93,$2.75,16.64,$0.69B,$0.51B,1.35,$2.59B,$1.37B,1.89,$3.84B,$3.84B,100.00%,$3.84B,$0.64B,16.56%,$3.84B,$0.64B,16.56%,$3.84B,$0.83B,21.61%,$3.84B,$0.48B,12.55%,$3.84B,$0.26B,6.80%,$0.26B,$1.37B,22.68%,$0.26B,$-1.00B,-21.74%,$0.26B,$4.88B,5.46%,$0.64B,$3.97B,16.19%,$982,$0,$982,$0,$618,$820,$162,$-34,$128,$43,$85,$85,$66,$208,$162,$98,99,$0.67,$0.67,$68,$0,$178,$687,$1482,$0,$2377,$245,$4196,$4883,$511,$2591,$186,$2999,$3510,$1,$-1252,$-1,$1373,$4883,$249,$137,$110,$247,$-12,$0,$6,$6,$11,$507,$-170,$0,$-37,$0,$0,$0,$8,$-199,$-139,$0,$-139,$-12,$-12,$-67,$-53,$-271,$37,$38,$-67
5,2017-06-30,47.51,$14.73,3.23,$38.02,1.25,$11.94,3.98,$2.72,17.47,$0.69B,$0.49B,1.41,$2.63B,$1.32B,1.98,$3.77B,$3.77B,100.00%,$3.77B,$0.64B,16.87%,$3.77B,$0.64B,16.87%,$3.77B,$0.83B,21.96%,$3.77B,$0.47B,12.57%,$3.77B,$0.26B,6.82%,$0.26B,$1.32B,24.80%,$0.26B,$-1.03B,-19.73%,$0.26B,$4.84B,5.45%,$0.64B,$3.95B,16.27%,$966,$0,$966,$0,$617,$811,$156,$-48,$108,$29,$79,$79,$63,$202,$156,$90,99,$0.70,$0.70,$71,$0,$196,$694,$1452,$0,$2354,$238,$4147,$4840,$493,$2625,$183,$3024,$3517,$1,$-1318,$-1,$1323,$4840,$164,$91,$90,$181,$4,$0,$-0,$-15,$-12,$332,$-110,$0,$-21,$0,$0,$0,$11,$-120,$-95,$0,$-95,$9,$9,$-44,$-39,$-170,$43,$29,$-44
6,2017-03-31,41.82,$10.94,3.82,$37.35,1.12,$12.06,3.47,$2.67,15.66,$0.68B,$0.49B,1.4,$2.92B,$0.98B,2.98,$3.71B,$3.71B,100.00%,$3.71B,$0.64B,17.36%,$3.71B,$0.64B,17.36%,$3.71B,$0.83B,22.46%,$3.71B,$0.49B,13.21%,$3.71B,$0.26B,6.93%,$0.26B,$0.98B,28.00%,$0.26B,$-1.36B,-18.21%,$0.26B,$4.70B,5.51%,$0.64B,$3.90B,16.52%,$957,$0,$957,$0,$604,$795,$163,$-38,$124,$40,$85,$85,$67,$208,$163,$89,99,$0.75,$0.70,$61,$0,$183,$682,$1406,$0,$2336,$244,$4022,$4704,$487,$2916,$169,$3237,$3725,$1,$-1380,$-1,$979,$4704,$84,$45,$59,$105,$-4,$0,$-2,$0,$-8,$181,$-41,$0,$-16,$0,$0,$0,$9,$-49,$-67,$0,$-67,$9,$9,$-22,$-26,$-106,$25,$8,$-22
7,2016-12-31,40.06,$10.44,3.84,$36.67,1.09,$11.96,3.35,$2.58,15.53,$0.66B,$0.48B,1.38,$2.98B,$0.93B,3.21,$3.65B,$3.65B,100.00%,$3.65B,$0.64B,17.59%,$3.65B,$0.64B,17.59%,$3.65B,$0.83B,22.72%,$3.65B,$0.48B,13.25%,$3.65B,$0.25B,6.80%,$0.25B,$0.93B,28.21%,$0.25B,$-1.41B,-17.19%,$0.25B,$4.68B,5.35%,$0.64B,$3.91B,16.44%,$935,$0,$935,$0,$589,$781,$155,$-33,$122,$40,$82,$82,$65,$212,$155,$89,100,$0.73,$0.69,$101,$0,$0,$655,$1392,$0,$2339,$221,$4027,$4682,$476,$2979,$160,$3278,$3753,$1,$-1448,$-1,$929,$4682,$318,$186,$227,$413,$-128,$0,$6,$3,$-97,$634,$-179,$0,$-48,$-15,$-1,$-16,$-2,$-245,$-193,$0,$-193,$-66,$-66,$-84,$-68,$-411,$-21,$27,$-84
8,2016-09-30,39.18,$10.18,3.85,$35.84,1.09,$10.84,3.61,$2.39,16.39,$0.67B,$0.48B,1.4,$2.97B,$0.91B,3.26,$3.58B,$3.58B,100.00%,$3.58B,$0.62B,17.20%,$3.58B,$0.62B,17.23%,$3.58B,$0.80B,22.41%,$3.58B,$0.47B,13.15%,$3.58B,$0.23B,6.43%,$0.23B,$0.91B,27.33%,$0.23B,$-1.41B,-15.62%,$0.23B,$4.63B,4.98%,$0.62B,$3.89B,15.76%,$912,$0,$912,$0,$563,$750,$162,$-42,$120,$42,$78,$78,$62,$206,$162,$89,99,$0.69,$0.64,$76,$0,$170,$666,$1353,$0,$2326,$214,$3965,$4631,$476,$2974,$158,$3242,$3718,$1,$-1514,$-1,$914,$4631,$236,$129,$192,$321,$-76,$0,$2,$2,$-58,$499,$-131,$0,$-20,$-7,$0,$-7,$2,$-156,$-175,$0,$-175,$-24,$-24,$-62,$-67,$-328,$15,$17,$-62
9,2016-06-30,37.27,$9.46,3.94,$34.23,1.09,$9.72,3.83,$2.27,16.42,$0.66B,$0.46B,1.44,$3.05B,$0.85B,3.59,$3.43B,$3.43B,100.00%,$3.43B,$0.59B,17.17%,$3.43B,$0.59B,17.20%,$3.43B,$0.77B,22.30%,$3.43B,$0.45B,13.20%,$3.43B,$0.22B,6.38%,$0.22B,$0.85B,27.02%,$0.22B,$-1.47B,-17.11%,$0.22B,$4.63B,4.84%,$0.59B,$3.90B,15.39%,$905,$0,$905,$0,$555,$741,$164,$-40,$124,$42,$81,$81,$63,$207,$164,$89,99,$0.70,$0.65,$70,$0,$169,$660,$1337,$0,$2314,$207,$3973,$4633,$459,$3050,$154,$3324,$3783,$1,$-1575,$-1,$849,$4633,$158,$85,$128,$213,$-60,$0,$1,$-10,$-49,$322,$-87,$0,$-9,$-12,$0,$-12,$2,$-106,$-93,$0,$-93,$-24,$-24,$-42,$-49,$-208,$9,$13,$-42
