,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.8,$1.09,8.05,$8.22,1.07,$2.75,3.2,$-0.05,0.0,$0.23B,$0.52B,0.44,$1.80B,$0.16B,11.46,$1.16B,$0.61B,53.07%,$1.16B,$0.13B,10.98%,$1.16B,$0.13B,10.98%,$1.16B,$0.31B,26.79%,$1.16B,$-0.02B,-1.73%,$1.16B,$-0.01B,-0.69%,$-0.01B,$0.16B,-6.02%,$-0.01B,$-2.07B,0.37%,$-0.01B,$2.62B,-0.30%,$0.13B,$1.95B,6.47%,$284,$129,$155,$23,$90,$241,$43,$-37,$5,$12,$-6,$-6,$-6,$82,$43,$143,143,$-0.04,$-0.04,$92,$0,$0,$232,$79,$15,$2227,$62,$2387,$2618,$522,$1795,$12,$1940,$2462,$0,$-796,$-1,$157,$2618,$-8,$120,$36,$155,$2,$0,$0,$0,$-14,$134,$-22,$0,$0,$0,$0,$0,$0,$-22,$-81,$0,$-81,$1,$1,$0,$-6,$-87,$22,$22,$0
1,2018-06-30,9.95,$1.03,9.62,$8.38,1.19,$2.68,3.71,$-0.30,0.0,$0.22B,$0.53B,0.41,$1.82B,$0.15B,12.31,$1.17B,$0.60B,50.94%,$1.17B,$0.08B,7.11%,$1.17B,$0.08B,7.11%,$1.17B,$0.28B,23.80%,$1.17B,$-0.06B,-5.31%,$1.17B,$-0.04B,-3.60%,$-0.04B,$0.15B,-38.44%,$-0.04B,$-2.11B,1.92%,$-0.04B,$2.64B,-1.59%,$0.08B,$1.97B,4.21%,$288,$131,$157,$22,$97,$250,$38,$-38,$-0,$2,$-2,$-2,$-2,$78,$38,$142,142,$-0.01,$-0.01,$77,$0,$0,$220,$83,$15,$2253,$63,$2417,$2638,$532,$1819,$12,$1958,$2490,$0,$-797,$-1,$148,$2638,$-9,$80,$21,$101,$4,$0,$0,$-0,$-10,$82,$-13,$0,$0,$0,$0,$0,$0,$-13,$-54,$0,$-54,$0,$0,$0,$-5,$-59,$8,$14,$0
2,2018-03-31,7.4,$1.03,7.21,$8.49,0.87,$2.66,2.78,$-0.58,0.0,$0.24B,$0.55B,0.42,$1.84B,$0.14B,12.77,$1.17B,$0.58B,49.83%,$1.17B,$0.06B,4.95%,$1.17B,$0.06B,4.95%,$1.17B,$0.26B,22.53%,$1.17B,$-0.10B,-8.11%,$1.17B,$-0.08B,-6.74%,$-0.08B,$0.14B,-85.18%,$-0.08B,$-2.14B,3.52%,$-0.08B,$2.68B,-2.97%,$0.06B,$1.99B,2.92%,$291,$134,$157,$20,$106,$260,$31,$-36,$-4,$3,$-7,$-7,$-7,$71,$31,$140,140,$-0.05,$-0.05,$88,$0,$0,$235,$88,$15,$2281,$56,$2443,$2678,$554,$1841,$14,$1979,$2534,$0,$-795,$1,$144,$2678,$-7,$40,$9,$48,$2,$0,$0,$8,$11,$52,$-5,$0,$0,$0,$0,$0,$0,$-5,$-28,$0,$-28,$0,$0,$0,$0,$-28,$19,$7,$0
3,2017-12-31,8.4,$0.59,14.19,$8.60,0.98,$2.51,3.35,$-0.79,0.0,$0.17B,$0.53B,0.32,$1.87B,$0.08B,22.48,$1.18B,$0.57B,48.72%,$1.18B,$0.04B,3.49%,$1.18B,$0.04B,3.49%,$1.18B,$0.26B,21.77%,$1.18B,$-0.12B,-9.95%,$1.18B,$-0.11B,-9.10%,$-0.11B,$0.08B,-129.70%,$-0.11B,$-2.22B,4.66%,$-0.11B,$2.60B,-4.00%,$0.04B,$1.95B,2.05%,$294,$150,$145,$18,$99,$280,$15,$-36,$-21,$-29,$7,$7,$7,$79,$15,$137,137,$0.06,$0.06,$69,$0,$0,$168,$95,$15,$2306,$13,$2433,$2601,$527,$1866,$14,$1991,$2518,$0,$-848,$-1,$83,$2601,$-100,$216,$67,$282,$-3,$0,$0,$13,$19,$201,$-43,$-2,$0,$0,$0,$0,$1,$-44,$-112,$0,$-112,$2,$2,$0,$-37,$-147,$13,$60,$0
4,2017-09-30,8.2,$0.45,18.35,$8.65,0.95,$2.24,3.67,$-1.10,0.0,$0.17B,$0.52B,0.33,$1.92B,$0.06B,31.15,$1.17B,$0.58B,48.98%,$1.17B,$0.05B,4.26%,$1.17B,$0.05B,4.26%,$1.17B,$0.26B,21.72%,$1.17B,$-0.12B,-9.97%,$1.17B,$-0.15B,-12.69%,$-0.15B,$0.06B,-160.65%,$-0.15B,$-2.30B,6.41%,$-0.15B,$2.65B,-5.49%,$0.05B,$1.98B,2.46%,$295,$159,$136,$20,$118,$296,$-1,$-36,$-37,$3,$-40,$-40,$-40,$50,$-1,$138,138,$-0.29,$-0.29,$73,$0,$0,$172,$89,$15,$2359,$13,$2479,$2651,$517,$1922,$13,$2072,$2589,$0,$-855,$-1,$62,$2651,$-107,$151,$79,$230,$-1,$0,$0,$14,$6,$129,$-32,$-2,$0,$0,$0,$0,$0,$-34,$-46,$0,$-46,$2,$2,$0,$-37,$-81,$16,$49,$0
5,2017-06-30,8.35,$0.59,14.07,$8.69,0.96,$2.08,4.02,$-1.05,0.0,$0.18B,$0.52B,0.35,$1.94B,$0.08B,23.75,$1.17B,$0.58B,49.66%,$1.17B,$0.06B,5.13%,$1.17B,$0.06B,5.13%,$1.17B,$0.26B,22.48%,$1.17B,$-0.12B,-10.00%,$1.17B,$-0.14B,-12.05%,$-0.14B,$0.08B,-122.88%,$-0.14B,$-2.33B,6.02%,$-0.14B,$2.72B,-5.12%,$0.06B,$2.02B,2.91%,$292,$147,$146,$20,$113,$280,$13,$-45,$-33,$3,$-35,$-35,$-39,$64,$13,$137,137,$-0.29,$-0.29,$85,$0,$0,$182,$95,$16,$2407,$13,$2534,$2716,$523,$1938,$13,$2111,$2635,$0,$-815,$-2,$82,$2716,$-67,$100,$42,$142,$1,$0,$0,$15,$8,$82,$-19,$-2,$0,$0,$0,$0,$0,$-21,$-26,$0,$-26,$1,$1,$0,$-11,$-36,$28,$29,$0
6,2017-03-31,7.85,$0.76,10.32,$8.75,0.9,$1.95,4.02,$-0.97,0.0,$0.17B,$0.52B,0.34,$1.95B,$0.10B,18.83,$1.17B,$0.57B,49.02%,$1.17B,$0.04B,3.51%,$1.17B,$0.04B,3.51%,$1.17B,$0.26B,21.98%,$1.17B,$-0.13B,-11.21%,$1.17B,$-0.13B,-11.12%,$-0.13B,$0.10B,-95.41%,$-0.13B,$-2.34B,5.53%,$-0.13B,$2.74B,-4.65%,$0.04B,$2.05B,1.96%,$295,$149,$146,$20,$112,$282,$14,$-39,$-26,$6,$-32,$-32,$-35,$63,$14,$135,135,$-0.26,$-0.26,$73,$0,$0,$174,$93,$16,$2438,$14,$2566,$2739,$518,$1945,$17,$2118,$2636,$0,$-776,$-3,$103,$2739,$-32,$49,$17,$66,$2,$0,$0,$10,$-1,$34,$-9,$-0,$0,$0,$0,$0,$0,$-9,$-11,$0,$-11,$1,$1,$0,$-1,$-11,$16,$13,$0
7,2016-12-31,9.3,$0.92,10.08,$8.34,1.12,$1.78,5.22,$-0.55,0.0,$0.15B,$0.52B,0.3,$1.95B,$0.12B,15.69,$1.11B,$0.53B,47.52%,$1.11B,$-0.04B,-3.51%,$1.11B,$-0.04B,-3.51%,$1.11B,$0.17B,15.66%,$1.11B,$-0.19B,-17.10%,$1.11B,$-0.07B,-6.57%,$-0.07B,$0.12B,-44.58%,$-0.07B,$-2.35B,3.10%,$-0.07B,$2.76B,-2.57%,$-0.04B,$2.08B,-1.83%,$292,$145,$147,$20,$103,$268,$24,$-45,$-21,$11,$-32,$-32,$-35,$78,$24,$133,133,$-0.27,$-0.26,$57,$0,$0,$154,$95,$16,$2472,$14,$2602,$2756,$517,$1952,$16,$2115,$2632,$0,$-740,$-4,$124,$2756,$-81,$213,$-44,$169,$-2,$0,$0,$49,$67,$155,$-37,$-0,$-890,$0,$0,$0,$-6,$-932,$928,$0,$928,$3,$3,$0,$-134,$796,$21,$58,$0
8,2016-09-30,8.75,$1.12,7.79,$7.62,1.15,$2.01,4.35,$-0.36,0.0,$0.17B,$0.55B,0.3,$1.96B,$0.15B,13.07,$1.01B,$0.47B,46.05%,$1.01B,$-0.05B,-4.84%,$1.01B,$-0.05B,-4.84%,$1.01B,$0.14B,14.23%,$1.01B,$-0.17B,-16.80%,$1.01B,$-0.05B,-4.64%,$-0.05B,$0.15B,-26.44%,$-0.05B,$-2.36B,2.22%,$-0.05B,$2.81B,-1.81%,$-0.05B,$2.11B,-2.56%,$291,$149,$142,$24,$109,$282,$9,$-46,$-37,$-7,$-30,$-30,$-32,$58,$9,$134,134,$-0.24,$-0.24,$67,$0,$0,$166,$97,$21,$2510,$15,$2648,$2814,$546,$1964,$17,$2118,$2663,$0,$-705,$-3,$150,$2814,$-49,$159,$-71,$88,$1,$0,$0,$49,$63,$102,$-29,$-0,$-890,$0,$0,$0,$-6,$-925,$976,$0,$976,$2,$2,$0,$-126,$852,$30,$48,$0
9,2016-06-30,8.99,$1.26,7.14,$6.87,1.31,$2.31,3.89,$-0.24,0.0,$0.18B,$0.56B,0.33,$1.97B,$0.17B,11.74,$0.91B,$0.40B,44.18%,$0.91B,$-0.05B,-5.38%,$0.91B,$-0.05B,-5.38%,$0.91B,$0.13B,14.07%,$0.91B,$-0.14B,-15.16%,$0.91B,$-0.03B,-3.30%,$-0.03B,$0.17B,-16.24%,$-0.03B,$-2.36B,1.61%,$-0.03B,$2.87B,-1.28%,$-0.05B,$2.14B,-2.90%,$291,$153,$138,$28,$116,$297,$-6,$-41,$-47,$-14,$-33,$-33,$-28,$58,$-6,$133,133,$-0.21,$-0.21,$79,$0,$0,$183,$105,$35,$2528,$15,$2688,$2871,$564,$1973,$7,$2139,$2703,$0,$-674,$-3,$168,$2871,$-19,$110,$-93,$17,$2,$0,$0,$40,$68,$66,$-21,$-0,$-900,$0,$0,$0,$-6,$-927,$952,$0,$952,$1,$1,$0,$-51,$902,$43,$33,$0
