,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,18.64,$13.17,1.42,$21.06,0.89,$-0.40,0.0,$0.33,56.48,$1.25B,$1.47B,0.85,$3.84B,$3.39B,1.13,$7.40B,$1.62B,21.90%,$7.40B,$0.45B,6.06%,$7.40B,$0.45B,6.06%,$7.40B,$1.03B,13.87%,$7.40B,$0.29B,3.85%,$7.40B,$0.12B,1.65%,$0.12B,$4.67B,2.58%,$0.12B,$2.84B,4.27%,$0.12B,$10.07B,1.26%,$0.45B,$8.51B,5.33%,$2114,$1697,$418,$0,$154,$2022,$93,$-40,$53,$1,$52,$52,$5,$240,$93,$352,354,$0.01,$0.01,$64,$153,$13,$1245,$6876,$85,$1827,$41,$8828,$10074,$1474,$3836,$42,$3929,$5403,$2520,$0,$-2,$4671,$10074,$230,$433,$27,$460,$-292,$-93,$0,$0,$-146,$544,$-639,$0,$0,$0,$3,$3,$4,$-633,$515,$0,$515,$41,$41,$-557,$124,$122,$33,$32,$-497
1,2018-06-30,15.15,$13.37,1.13,$19.10,0.79,$-0.50,0.0,$0.31,48.87,$0.91B,$1.27B,0.72,$3.59B,$3.43B,1.05,$6.68B,$1.55B,23.16%,$6.68B,$0.43B,6.41%,$6.68B,$0.43B,6.41%,$6.68B,$1.00B,15.01%,$6.68B,$0.26B,3.91%,$6.68B,$0.11B,1.62%,$0.11B,$4.71B,2.26%,$0.11B,$2.85B,3.76%,$0.11B,$9.66B,1.14%,$0.43B,$8.30B,5.11%,$1765,$1326,$439,$0,$143,$1615,$150,$-39,$111,$-2,$113,$113,$59,$296,$150,$350,352,$0.17,$0.17,$37,$98,$4,$913,$6763,$86,$1858,$40,$8747,$9660,$1270,$3590,$45,$3684,$4954,$2603,$0,$-2,$4706,$9660,$178,$286,$-15,$270,$-47,$-40,$0,$0,$-18,$431,$-404,$0,$0,$0,$2,$2,$1,$-402,$270,$0,$270,$1,$1,$-374,$79,$-23,$6,$15,$-329
2,2018-03-31,12.98,$13.45,0.96,$17.72,0.73,$-0.98,0.0,$0.14,92.69,$0.85B,$0.83B,1.02,$3.84B,$3.46B,1.11,$6.18B,$1.44B,23.28%,$6.18B,$0.35B,5.63%,$6.18B,$0.35B,5.63%,$6.18B,$0.93B,15.00%,$6.18B,$0.18B,2.94%,$6.18B,$0.05B,0.78%,$0.05B,$4.73B,1.01%,$0.05B,$2.84B,1.71%,$0.05B,$9.49B,0.51%,$0.35B,$8.57B,4.17%,$1762,$1382,$380,$0,$135,$1655,$107,$-41,$66,$1,$65,$65,$22,$246,$107,$350,351,$0.06,$0.06,$17,$32,$4,$846,$6659,$86,$1889,$12,$8647,$9492,$826,$3839,$44,$3934,$4760,$2678,$0,$-2,$4732,$9492,$65,$140,$10,$149,$-63,$8,$0,$0,$-22,$193,$-182,$0,$0,$0,$1,$1,$1,$-179,$120,$0,$120,$1,$1,$-179,$31,$-27,$-14,$5,$-163
3,2017-12-31,14.28,$13.68,1.04,$16.55,0.86,$-1.25,0.0,$0.05,285.52,$0.81B,$1.04B,0.77,$3.47B,$3.55B,0.98,$5.74B,$1.38B,24.02%,$5.74B,$0.30B,5.21%,$5.74B,$0.30B,5.21%,$5.74B,$0.87B,15.23%,$5.74B,$0.13B,2.26%,$5.74B,$0.02B,0.30%,$0.02B,$4.81B,0.36%,$0.02B,$2.89B,0.62%,$0.02B,$9.41B,0.18%,$0.30B,$8.27B,3.64%,$1756,$1374,$383,$0,$139,$1658,$98,$-43,$55,$-25,$80,$80,$36,$244,$98,$347,348,$0.10,$0.10,$31,$40,$7,$807,$6587,$89,$1919,$12,$8607,$9414,$1042,$3468,$48,$3567,$4609,$2792,$0,$-2,$4806,$9414,$155,$574,$27,$601,$-190,$-24,$0,$0,$-49,$707,$-789,$0,$0,$0,$190,$190,$-12,$-611,$212,$0,$212,$107,$501,$-654,$-135,$-77,$19,$48,$-632
4,2017-09-30,15.18,$11.94,1.27,$15.18,1.0,$-0.74,0.0,$-0.23,0.0,$0.82B,$0.96B,0.85,$3.47B,$4.87B,0.71,$5.21B,$1.31B,25.19%,$5.21B,$0.24B,4.59%,$5.21B,$0.24B,4.59%,$5.21B,$0.81B,15.61%,$5.21B,$0.04B,0.84%,$5.21B,$-0.08B,-1.52%,$-0.08B,$4.87B,-1.69%,$-0.08B,$2.92B,-2.96%,$-0.08B,$9.43B,-0.86%,$0.24B,$8.33B,2.94%,$1398,$1053,$345,$0,$132,$1325,$73,$-44,$29,$1,$29,$29,$-9,$217,$73,$348,348,$-0.02,$-0.02,$142,$73,$5,$816,$6569,$86,$1950,$5,$8610,$9426,$963,$3467,$53,$3597,$4560,$2874,$0,$-2,$4866,$9426,$75,$429,$34,$463,$-57,$-49,$0,$0,$-4,$533,$-663,$0,$0,$0,$197,$197,$-10,$-475,$-38,$0,$-38,$87,$481,$-469,$99,$72,$130,$39,$-469
5,2017-06-30,15.01,$13.01,1.15,$14.44,1.04,$-0.10,0.0,$-0.24,0.0,$0.56B,$0.83B,0.67,$3.63B,$3.71B,0.98,$4.92B,$1.28B,26.10%,$4.92B,$0.23B,4.74%,$4.92B,$0.23B,4.74%,$4.92B,$0.80B,16.33%,$4.92B,$0.04B,0.71%,$4.92B,$-0.08B,-1.65%,$-0.08B,$4.54B,-1.75%,$-0.08B,$2.56B,-3.11%,$-0.08B,$9.14B,-0.89%,$0.23B,$8.17B,2.90%,$1264,$932,$331,$0,$132,$1193,$70,$-38,$32,$-0,$33,$33,$-1,$220,$70,$347,347,$-0.00,$-0.00,$11,$60,$4,$555,$6512,$84,$1982,$4,$8581,$9136,$829,$3632,$56,$3766,$4595,$2994,$0,$-2,$4541,$9136,$46,$285,$16,$301,$56,$-34,$0,$0,$-14,$332,$-472,$0,$0,$0,$197,$197,$-9,$-284,$128,$0,$128,$72,$72,$-309,$60,$-49,$-0,$29,$-309
6,2017-03-31,15.85,$13.25,1.2,$13.93,1.14,$0.34,46.11,$-0.31,0.0,$0.56B,$0.84B,0.67,$3.48B,$3.80B,0.92,$4.69B,$1.25B,26.74%,$4.69B,$0.21B,4.46%,$4.69B,$0.21B,4.46%,$4.69B,$0.77B,16.39%,$4.69B,$0.00B,0.09%,$4.69B,$-0.10B,-2.22%,$-0.10B,$4.61B,-2.23%,$-0.10B,$2.59B,-4.00%,$-0.10B,$9.06B,-1.15%,$0.21B,$8.09B,2.62%,$1322,$1002,$320,$0,$139,$1264,$58,$-44,$14,$1,$13,$13,$-9,$193,$58,$344,344,$-0.03,$-0.03,$15,$26,$2,$559,$6396,$85,$2017,$2,$8500,$9059,$836,$3478,$56,$3612,$4448,$3110,$0,$0,$4611,$9059,$13,$136,$25,$161,$17,$2,$0,$0,$0,$174,$-256,$0,$0,$0,$193,$193,$-6,$-69,$-40,$0,$-40,$55,$55,$-153,$36,$-102,$3,$19,$-153
7,2016-12-31,15.61,$13.47,1.16,$12.76,1.22,$0.74,20.96,$-2.02,0.0,$0.77B,$0.89B,0.87,$3.27B,$3.85B,0.85,$4.25B,$1.24B,29.09%,$4.25B,$-0.37B,-8.58%,$4.25B,$-0.37B,-8.58%,$4.25B,$0.19B,4.54%,$4.25B,$-0.57B,-13.45%,$4.25B,$-0.66B,-15.57%,$-0.66B,$4.64B,-14.14%,$-0.66B,$2.59B,-25.47%,$-0.66B,$9.15B,-7.31%,$-0.37B,$7.91B,-4.60%,$1225,$909,$316,$0,$131,$1187,$38,$-69,$-31,$0,$-31,$-31,$-60,$183,$38,$333,333,$-0.15,$-0.15,$205,$31,$1,$771,$6257,$77,$2047,$2,$8383,$9153,$887,$3268,$280,$3626,$4513,$3193,$0,$0,$4640,$9153,$-573,$557,$654,$1211,$-118,$10,$0,$0,$25,$663,$-570,$0,$-769,$0,$55,$55,$-74,$-1358,$205,$0,$205,$168,$892,$-589,$194,$701,$6,$30,$-589
8,2016-09-30,14.67,$13.87,1.06,$12.56,1.17,$0.71,20.7,$-4.01,0.0,$0.54B,$0.76B,0.71,$3.22B,$3.96B,0.81,$4.10B,$1.23B,30.04%,$4.10B,$-1.09B,-26.72%,$4.10B,$-1.09B,-26.72%,$4.10B,$-0.58B,-14.24%,$4.10B,$-1.26B,-30.72%,$4.10B,$-1.31B,-31.92%,$-1.31B,$4.73B,-28.24%,$-1.31B,$2.66B,-49.51%,$-1.31B,$9.08B,-14.87%,$-1.09B,$7.95B,-13.96%,$1105,$788,$316,$0,$126,$1038,$67,$-47,$20,$3,$18,$18,$-11,$207,$67,$337,337,$-0.03,$-0.03,$60,$38,$4,$539,$6195,$266,$2073,$2,$8537,$9076,$763,$3223,$280,$3582,$4345,$3326,$0,$0,$4731,$9076,$-542,$413,$604,$1016,$-18,$4,$0,$0,$35,$509,$-419,$0,$-769,$0,$52,$52,$-45,$-1181,$157,$0,$157,$109,$834,$-436,$172,$726,$54,$23,$-436
9,2016-06-30,13.46,$13.73,0.98,$12.85,1.05,$0.62,21.77,$-6.30,0.0,$0.49B,$0.69B,0.71,$3.35B,$3.89B,0.86,$4.16B,$1.22B,29.39%,$4.16B,$-1.89B,-45.47%,$4.16B,$-1.89B,-45.47%,$4.16B,$-1.42B,-34.13%,$4.16B,$-2.03B,-48.83%,$4.16B,$-2.04B,-49.05%,$-2.04B,$4.64B,-42.98%,$-2.04B,$2.55B,-75.73%,$-2.04B,$9.04B,-23.43%,$-1.89B,$7.99B,-24.06%,$1033,$732,$301,$0,$129,$987,$46,$-46,$1,$-2,$3,$3,$-24,$185,$46,$330,330,$-0.07,$-0.07,$10,$38,$5,$490,$6160,$300,$2088,$2,$8551,$9041,$691,$3350,$281,$3710,$4402,$3407,$0,$0,$4639,$9041,$-560,$273,$598,$870,$-18,$4,$0,$0,$-11,$300,$-287,$0,$-769,$0,$15,$15,$-42,$-1084,$281,$0,$281,$51,$775,$-287,$19,$788,$4,$15,$-287
