,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,72.71,$8.64,8.41,$10.35,7.03,$2.17,33.48,$0.35,207.74,$0.19B,$0.11B,1.74,$0.11B,$0.35B,0.32,$0.40B,$0.23B,56.19%,$0.40B,$0.00B,0.99%,$0.40B,$0.00B,0.99%,$0.40B,$0.05B,12.38%,$0.40B,$0.00B,0.74%,$0.40B,$0.01B,2.97%,$0.01B,$0.35B,3.87%,$0.01B,$-0.02B,-20.08%,$0.01B,$0.62B,1.93%,$0.00B,$0.46B,0.89%,$102,$45,$57,$17,$37,$104,$-1,$-1,$-2,$-1,$-1,$-1,$-1,$10,$-1,$40,40,$-0.02,$-0.02,$90,$0,$0,$187,$29,$0,$368,$31,$428,$615,$108,$110,$20,$158,$266,$0,$-182,$-32,$349,$615,$-1,$11,$11,$22,$5,$0,$0,$-12,$-9,$12,$-8,$0,$-9,$0,$0,$0,$0,$-17,$-40,$-0,$-40,$2,$2,$0,$-1,$-39,$-45,$12,$0
1,2018-06-30,49.83,$7.97,6.25,$10.18,4.89,$2.14,23.34,$0.26,191.65,$0.23B,$0.12B,1.85,$0.15B,$0.31B,0.48,$0.39B,$0.22B,56.23%,$0.39B,$0.01B,1.27%,$0.39B,$0.01B,1.27%,$0.39B,$0.05B,13.74%,$0.39B,$0.00B,0.25%,$0.39B,$0.01B,2.29%,$0.01B,$0.31B,3.10%,$0.01B,$-0.05B,-11.36%,$0.01B,$0.64B,1.45%,$0.01B,$0.46B,1.24%,$106,$46,$61,$15,$37,$104,$3,$4,$7,$-4,$11,$11,$11,$14,$3,$38,39,$0.30,$0.30,$135,$0,$0,$229,$29,$0,$362,$17,$407,$636,$123,$150,$20,$202,$325,$0,$-207,$-31,$311,$636,$9,$49,$23,$71,$-10,$0,$0,$1,$-4,$76,$-21,$0,$-14,$0,$-4,$-4,$0,$-39,$-40,$-3,$-42,$4,$4,$0,$-0,$-39,$-3,$34,$0
2,2018-03-31,38.75,$7.73,5.01,$9.95,3.9,$1.61,24.0,$-0.21,0.0,$0.21B,$0.13B,1.67,$0.15B,$0.30B,0.5,$0.38B,$0.21B,54.86%,$0.38B,0,0.00%,$0.38B,0,0.00%,$0.38B,$0.05B,14.17%,$0.38B,$-0.01B,-3.41%,$0.38B,$-0.01B,-2.10%,$-0.01B,$0.30B,-2.88%,$-0.01B,$-0.08B,8.65%,$-0.01B,$0.64B,-1.30%,$0.00B,$0.45B,0.00%,$101,$46,$55,$14,$35,$101,$0,$-1,$-1,$0,$-1,$-1,$-1,$11,$0,$38,38,$-0.03,$-0.03,$105,$0,$0,$213,$28,$0,$375,$20,$422,$635,$128,$150,$22,$210,$337,$0,$-219,$-23,$298,$635,$-2,$38,$20,$57,$-23,$0,$0,$6,$-14,$41,$-15,$0,$-14,$0,$-8,$-8,$0,$-37,$-40,$-2,$-42,$3,$3,$0,$0,$-39,$-32,$25,$0
3,2017-12-31,34.68,$7.38,4.7,$9.58,3.62,$1.61,21.49,$-0.35,0.0,$0.17B,$0.10B,1.71,$0.15B,$0.28B,0.53,$0.37B,$0.20B,54.92%,$0.37B,$-0.00B,-0.55%,$0.37B,$-0.00B,-0.55%,$0.37B,$0.06B,15.03%,$0.37B,$-0.02B,-5.19%,$0.37B,$-0.01B,-3.83%,$-0.01B,$0.28B,-5.16%,$-0.01B,$-0.09B,15.73%,$-0.01B,$0.60B,-2.28%,$-0.00B,$0.43B,-0.65%,$95,$41,$54,$14,$32,$93,$2,$-4,$-1,$-4,$3,$3,$3,$15,$2,$38,39,$0.08,$0.08,$78,$0,$0,$174,$27,$0,$375,$18,$421,$595,$102,$150,$22,$211,$313,$0,$-218,$-30,$282,$595,$-1,$27,$12,$39,$-12,$0,$-0,$-13,$-28,$10,$-9,$0,$-14,$0,$-8,$-8,$0,$-31,$-40,$-2,$-42,$2,$2,$0,$0,$-40,$-61,$17,$0
4,2017-09-30,31.83,$7.10,4.48,$9.45,3.37,$1.66,19.2,$-0.70,0.0,$0.21B,$0.29B,0.73,$0.00B,$0.27B,0.0,$0.36B,$0.19B,54.19%,$0.36B,$-0.02B,-4.19%,$0.36B,$-0.02B,-4.19%,$0.36B,$0.05B,14.25%,$0.36B,$-0.03B,-9.22%,$0.36B,$-0.03B,-7.54%,$-0.03B,$0.27B,-10.07%,$-0.03B,$-0.10B,32.34%,$-0.03B,$0.62B,-4.38%,$-0.02B,$0.27B,-5.60%,$91,$41,$51,$14,$31,$91,$0,$-4,$-4,$0,$-4,$-4,$-4,$14,$0,$38,38,$-0.11,$-0.11,$128,$0,$0,$209,$26,$0,$365,$17,$408,$618,$288,$0,$23,$60,$348,$0,$-221,$-31,$269,$618,$-4,$14,$8,$22,$4,$0,$0,$-14,$-12,$6,$-4,$0,$-1,$0,$2,$2,$0,$-2,$0,$-2,$-2,$2,$2,$0,$0,$-0,$4,$8,$0
5,2017-06-30,25.69,$7.00,3.67,$9.22,2.78,$1.57,16.38,$-0.87,0.0,$0.21B,$0.30B,0.7,$0.00B,$0.26B,0.0,$0.35B,$0.19B,53.71%,$0.35B,$-0.02B,-6.00%,$0.35B,$-0.02B,-6.00%,$0.35B,$0.05B,12.86%,$0.35B,$-0.04B,-11.14%,$0.35B,$-0.03B,-9.71%,$-0.03B,$0.26B,-12.47%,$-0.03B,$-0.10B,43.73%,$-0.03B,$0.62B,-5.49%,$-0.02B,$0.26B,-6.65%,$94,$45,$49,$14,$31,$96,$-2,$-4,$-7,$-1,$-6,$-6,$-6,$14,$-2,$38,38,$-0.16,$-0.16,$127,$0,$0,$208,$26,$0,$366,$18,$410,$617,$296,$0,$22,$59,$355,$0,$-217,$-32,$262,$617,$-33,$66,$24,$89,$-2,$0,$0,$4,$5,$61,$-28,$0,$0,$0,$33,$33,$0,$5,$0,$0,$0,$-37,$-37,$0,$-2,$-39,$27,$32,$0
6,2017-03-31,23.65,$7.16,3.3,$9.08,2.61,$1.74,13.56,$-0.88,0.0,$0.22B,$0.29B,0.75,$0.00B,$0.27B,0.0,$0.34B,$0.19B,54.94%,$0.34B,$-0.02B,-6.10%,$0.34B,$-0.02B,-6.10%,$0.34B,$0.04B,12.50%,$0.34B,$-0.04B,-11.05%,$0.34B,$-0.03B,-9.88%,$-0.03B,$0.27B,-12.10%,$-0.03B,$-0.06B,48.75%,$-0.03B,$0.63B,-5.42%,$-0.02B,$0.27B,-5.73%,$86,$40,$47,$13,$30,$88,$-2,$-4,$-7,$-0,$-7,$-7,$-7,$12,$-2,$38,38,$-0.17,$-0.17,$141,$0,$0,$221,$54,$0,$336,$18,$408,$629,$293,$0,$27,$63,$356,$0,$-211,$-44,$273,$629,$-27,$49,$18,$67,$-1,$0,$0,$6,$6,$46,$-20,$0,$0,$0,$18,$18,$0,$-3,$0,$0,$0,$-12,$-12,$0,$-2,$-14,$27,$24,$0
7,2016-12-31,25.02,$7.09,3.53,$9.07,2.76,$1.91,13.12,$-0.82,0.0,$0.19B,$0.27B,0.71,$0.00B,$0.27B,0.0,$0.34B,$0.19B,55.52%,$0.34B,$-0.02B,-5.52%,$0.34B,$-0.02B,-5.52%,$0.34B,$0.05B,13.08%,$0.34B,$-0.04B,-10.17%,$0.34B,$-0.03B,-9.01%,$-0.03B,$0.27B,-10.51%,$-0.03B,$-0.07B,48.06%,$-0.03B,$0.60B,-4.85%,$-0.02B,$0.27B,-4.49%,$87,$40,$47,$13,$31,$97,$-11,$-4,$-15,$-4,$-10,$-10,$-10,$11,$-11,$38,38,$-0.27,$-0.27,$115,$0,$0,$190,$54,$0,$340,$18,$411,$601,$270,$0,$27,$64,$333,$0,$-204,$-47,$268,$601,$-21,$35,$12,$47,$3,$0,$-0,$-11,$-8,$18,$-15,$0,$0,$0,$19,$19,$0,$4,$0,$0,$0,$-14,$-14,$0,$-2,$-16,$2,$17,$0
8,2016-09-30,23.31,$7.59,3.07,$9.05,2.57,$2.23,10.45,$-0.69,0.0,$0.20B,$0.10B,1.99,$0.17B,$0.29B,0.6,$0.34B,$0.19B,56.56%,$0.34B,$-0.01B,-2.62%,$0.34B,$-0.01B,-2.62%,$0.34B,$0.05B,13.70%,$0.34B,$-0.03B,-7.29%,$0.34B,$-0.03B,-7.58%,$-0.03B,$0.29B,-8.43%,$-0.03B,$-0.07B,43.33%,$-0.03B,$0.63B,-3.98%,$-0.01B,$0.46B,-1.88%,$83,$38,$45,$13,$32,$89,$-6,$-4,$-10,$1,$-11,$-11,$-11,$8,$-6,$38,38,$-0.28,$-0.28,$128,$0,$0,$198,$54,$0,$360,$17,$431,$628,$99,$173,$28,$241,$341,$0,$-194,$-39,$288,$628,$-11,$14,$7,$21,$9,$0,$0,$-11,$-2,$9,$-10,$0,$0,$0,$6,$6,$0,$-4,$0,$0,$0,$-2,$-2,$0,$0,$-2,$2,$8,$0
9,2016-06-30,21.53,$7.80,2.76,$9.04,2.38,$2.40,8.97,$-0.52,0.0,$0.22B,$0.11B,1.93,$0.17B,$0.30B,0.58,$0.34B,$0.20B,57.43%,$0.34B,$-0.00B,-0.87%,$0.34B,$-0.00B,-0.87%,$0.34B,$0.05B,15.45%,$0.34B,$-0.02B,-5.54%,$0.34B,$-0.02B,-5.54%,$-0.02B,$0.30B,-5.97%,$-0.02B,$-0.07B,33.48%,$-0.02B,$0.65B,-2.88%,$-0.00B,$0.47B,-0.62%,$88,$38,$50,$12,$33,$91,$-2,$-4,$-6,$-0,$-6,$-6,$-6,$12,$-2,$38,38,$-0.16,$-0.16,$132,$0,$0,$217,$51,$0,$367,$17,$435,$651,$112,$170,$27,$244,$356,$0,$-184,$-38,$295,$651,$-20,$56,$28,$84,$-1,$0,$0,$3,$4,$67,$-28,$0,$-2,$0,$-16,$-16,$0,$-46,$0,$0,$0,$-40,$-40,$0,$0,$-40,$-24,$30,$0
