,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,52.78,$41.49,1.27,$12.24,4.31,$9.44,5.59,$5.12,10.31,$0.24B,$0.70B,0.34,$3.48B,$5.06B,0.69,$1.10B,$1.10B,100.00%,$1.10B,$0.74B,67.52%,$1.10B,$0.74B,67.52%,$1.10B,$0.93B,84.99%,$1.10B,$0.71B,64.33%,$1.10B,$0.45B,41.13%,$0.45B,$5.06B,11.32%,$0.45B,$3.09B,15.91%,$0.45B,$9.27B,6.57%,$0.74B,$8.54B,11.56%,$365,$0,$365,$0,$77,$131,$234,$-24,$210,$0,$210,$210,$128,$315,$234,$112,112,$1.14,$1.14,$5,$0,$9,$240,$5608,$1300,$1971,$146,$9027,$9266,$700,$3477,$31,$3508,$4208,$5058,$0,$0,$5058,$9266,$707,$158,$-38,$120,$2,$0,$28,$8,$38,$865,$-616,$0,$-1193,$0,$-446,$-446,$3,$-2252,$2500,$-444,$2056,$19,$19,$-528,$-210,$1337,$-50,$1,$-528
1,2018-06-30,50.5,$28.17,1.79,$11.54,4.38,$10.38,4.86,$5.26,9.6,$0.87B,$0.61B,1.42,$3.45B,$2.48B,1.39,$0.94B,$0.94B,100.00%,$0.94B,$0.65B,69.57%,$0.94B,$0.65B,69.57%,$0.94B,$0.79B,83.72%,$0.94B,$0.64B,68.09%,$0.94B,$0.43B,45.43%,$0.43B,$2.48B,13.11%,$0.43B,$1.84B,16.44%,$0.43B,$6.56B,7.91%,$0.65B,$5.93B,12.87%,$270,$0,$270,$0,$49,$87,$182,$-9,$173,$0,$173,$173,$91,$235,$182,$84,84,$1.09,$1.09,$684,$0,$14,$865,$3922,$1003,$635,$137,$5698,$6562,$610,$3454,$21,$3475,$4085,$2477,$0,$0,$2477,$6562,$383,$76,$-22,$55,$1,$0,$8,$-5,$4,$442,$-303,$0,$-1193,$0,$-183,$-183,$2,$-1677,$2500,$-180,$2320,$19,$19,$-258,$-206,$1875,$640,$0,$-258
2,2018-03-31,56.67,$26.86,2.11,$10.75,5.27,$10.84,5.23,$5.44,10.42,$0.15B,$0.16B,0.9,$1.31B,$2.20B,0.59,$0.87B,$0.87B,100.00%,$0.87B,$0.61B,70.70%,$0.87B,$0.61B,70.70%,$0.87B,$0.72B,82.47%,$0.87B,$0.61B,69.90%,$0.87B,$0.44B,50.63%,$0.44B,$2.20B,13.91%,$0.44B,$2.20B,16.53%,$0.44B,$3.69B,9.62%,$0.61B,$3.51B,14.04%,$233,$0,$233,$0,$31,$55,$178,$-1,$177,$0,$177,$177,$130,$202,$178,$81,81,$1.61,$1.61,$9,$0,$17,$147,$2864,$546,$0,$135,$3546,$3693,$164,$1305,$21,$1326,$1490,$2203,$0,$0,$2203,$3693,$177,$23,$-10,$14,$-1,$0,$-3,$-5,$-8,$182,$-84,$0,$0,$0,$0,$0,$-116,$-200,$0,$137,$137,$13,$13,$-126,$0,$24,$6,$0,$-126
3,2017-12-31,69.22,$76.06,0.91,$10.35,6.69,$10.84,6.38,$5.19,13.34,$0.29B,$0.28B,1.04,$1.45B,$6.24B,0.23,$0.83B,$0.83B,100.00%,$0.83B,$0.58B,69.54%,$0.83B,$0.58B,69.54%,$0.83B,$0.68B,81.41%,$0.83B,$0.57B,68.59%,$0.83B,$0.42B,50.24%,$0.42B,$6.24B,13.45%,$0.42B,$4.24B,16.02%,$0.42B,$8.00B,9.46%,$0.58B,$7.69B,13.66%,$231,$0,$231,$0,$49,$83,$148,$-2,$147,$0,$147,$147,$103,$182,$148,$81,81,$1.28,$1.28,$55,$0,$14,$288,$5111,$461,$2003,$137,$7711,$7999,$277,$1453,$30,$1483,$1760,$6065,$0,$0,$6239,$7999,$572,$97,$-27,$70,$-8,$0,$5,$12,$8,$651,$-302,$0,$-160,$0,$0,$0,$4,$-457,$0,$180,$180,$3,$3,$-432,$-2,$-251,$-58,$0,$-432
4,2017-09-30,70.04,$25.70,2.72,$9.94,7.05,$5.92,11.83,$5.22,13.42,$0.12B,$0.14B,0.9,$1.09B,$2.11B,0.52,$0.80B,$0.80B,100.00%,$0.80B,$0.57B,71.05%,$0.80B,$0.57B,71.05%,$0.80B,$0.65B,81.58%,$0.80B,$0.56B,70.30%,$0.80B,$0.42B,52.88%,$0.42B,$2.11B,20.54%,$0.42B,$2.11B,20.54%,$0.42B,$3.35B,13.18%,$0.57B,$3.20B,18.49%,$206,$0,$206,$0,$38,$61,$146,$-3,$143,$0,$143,$143,$103,$168,$146,$81,81,$1.28,$1.28,$5,$0,$8,$123,$2746,$340,$0,$139,$3224,$3347,$137,$1092,$10,$1102,$1239,$2108,$0,$0,$2108,$3347,$425,$64,$-19,$45,$-1,$0,$2,$9,$10,$480,$-225,$0,$0,$0,$-103,$-103,$3,$-325,$0,$105,$105,$0,$0,$-314,$-2,$-211,$-55,$0,$-314
5,2017-06-30,68.88,$25.30,2.72,$9.57,7.19,$1.54,44.72,$5.17,13.32,$0.13B,$0.15B,0.84,$0.99B,$2.08B,0.48,$0.77B,$0.77B,100.00%,$0.77B,$0.55B,71.13%,$0.77B,$0.55B,71.13%,$0.77B,$0.62B,81.14%,$0.77B,$0.56B,72.17%,$0.77B,$0.42B,54.36%,$0.42B,$2.08B,20.80%,$0.42B,$2.08B,20.80%,$0.42B,$3.22B,13.61%,$0.55B,$3.06B,18.72%,$197,$0,$197,$0,$34,$56,$141,$-2,$139,$0,$139,$139,$103,$163,$141,$81,81,$1.27,$1.27,$12,$0,$7,$125,$2696,$261,$0,$138,$3095,$3220,$148,$987,$10,$997,$1145,$2075,$0,$0,$2075,$3220,$282,$42,$-12,$29,$-1,$0,$2,$7,$8,$320,$-149,$0,$0,$0,$-60,$-60,$2,$-207,$0,$40,$40,$0,$0,$-202,$0,$-162,$-49,$0,$-202
6,2017-03-31,70.15,$24.87,2.82,$9.39,7.47,$-0.99,0.0,$5.17,13.57,$0.15B,$0.12B,1.22,$0.99B,$2.04B,0.48,$0.75B,$0.75B,100.00%,$0.75B,$0.54B,71.33%,$0.75B,$0.54B,71.33%,$0.75B,$0.61B,80.67%,$0.75B,$0.55B,73.47%,$0.75B,$0.42B,55.33%,$0.42B,$2.04B,21.14%,$0.42B,$2.04B,21.14%,$0.42B,$3.16B,14.07%,$0.54B,$3.03B,19.10%,$200,$0,$200,$0,$34,$55,$145,$-2,$143,$0,$143,$143,$110,$166,$145,$81,81,$1.36,$1.36,$42,$0,$6,$151,$2632,$237,$0,$139,$3009,$3160,$124,$986,$10,$996,$1120,$2040,$0,$0,$2040,$3160,$143,$21,$-6,$15,$-1,$0,$0,$4,$3,$161,$-63,$0,$0,$0,$0,$0,$-19,$-82,$0,$0,$0,$0,$0,$-98,$0,$-98,$-18,$0,$-98
7,2016-12-31,69.21,$24.30,2.85,$9.30,7.44,$-2.32,0.0,$5.20,13.31,$0.17B,$0.09B,1.98,$0.99B,$1.99B,0.49,$0.74B,$0.74B,100.00%,$0.74B,$0.53B,71.60%,$0.74B,$0.53B,71.60%,$0.74B,$0.59B,80.16%,$0.74B,$0.55B,74.46%,$0.74B,$0.41B,56.11%,$0.41B,$1.99B,22.22%,$0.41B,$1.99B,22.22%,$0.41B,$3.08B,14.94%,$0.53B,$2.98B,20.12%,$195,$0,$195,$0,$41,$60,$135,$1,$136,$0,$136,$136,$106,$154,$135,$79,79,$1.32,$1.32,$60,$0,$10,$172,$2579,$185,$0,$140,$2904,$3076,$87,$986,$10,$995,$1082,$1994,$0,$0,$1994,$3076,$538,$63,$-20,$42,$-3,$0,$-9,$-30,$-42,$538,$-585,$0,$-161,$0,$0,$0,$14,$-732,$500,$-299,$201,$223,$223,$-329,$-201,$-106,$-301,$0,$-329
8,2016-09-30,67.99,$23.51,2.89,$9.49,7.16,$-1.27,0.0,$5.15,13.2,$0.10B,$0.20B,0.49,$0.70B,$1.93B,0.36,$0.73B,$0.73B,100.00%,$0.73B,$0.53B,72.45%,$0.73B,$0.53B,72.45%,$0.73B,$0.58B,80.17%,$0.73B,$0.56B,77.55%,$0.73B,$0.40B,55.23%,$0.40B,$1.93B,22.02%,$0.40B,$1.93B,22.02%,$0.40B,$2.83B,14.83%,$0.53B,$2.62B,21.39%,$177,$0,$177,$0,$36,$51,$126,$11,$137,$3,$134,$134,$99,$141,$126,$81,81,$1.23,$1.23,$0,$0,$3,$96,$2429,$285,$0,$20,$2734,$2829,$196,$696,$9,$705,$901,$1929,$0,$0,$1929,$2829,$402,$43,$-14,$29,$3,$0,$12,$-66,$-52,$380,$-478,$0,$-76,$0,$0,$0,$13,$-541,$0,$-208,$-208,$223,$223,$-237,$23,$-200,$-361,$0,$-237
9,2016-06-30,70.95,$23.02,3.08,$9.39,7.56,$0.15,469.22,$5.04,14.08,$0.18B,$0.15B,1.17,$0.68B,$1.89B,0.36,$0.70B,$0.70B,100.00%,$0.70B,$0.50B,72.06%,$0.70B,$0.50B,72.06%,$0.70B,$0.56B,79.80%,$0.70B,$0.52B,74.50%,$0.70B,$0.38B,54.73%,$0.38B,$1.89B,23.69%,$0.38B,$1.89B,23.69%,$0.38B,$2.73B,15.05%,$0.50B,$2.57B,22.45%,$178,$0,$178,$0,$34,$49,$129,$6,$135,$3,$132,$132,$100,$144,$129,$79,79,$1.27,$1.27,$84,$0,$2,$177,$2276,$260,$0,$20,$2557,$2733,$151,$684,$9,$694,$845,$1888,$0,$0,$1888,$2733,$269,$29,$-6,$23,$2,$0,$6,$-22,$-15,$276,$-309,$0,$-41,$0,$0,$0,$13,$-337,$0,$-299,$-299,$223,$223,$-151,$10,$-216,$-277,$0,$-151
