,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,12.35,$21.53,0.57,$10.79,1.14,$6.06,2.04,$2.34,5.28,$0.12B,$0.03B,3.6,$0.16B,$0.47B,0.34,$0.23B,$0.07B,29.82%,$0.23B,$0.03B,11.40%,$0.23B,$0.03B,11.40%,$0.23B,$0.18B,80.70%,$0.23B,$0.01B,3.95%,$0.23B,$0.08B,35.96%,$0.08B,$0.47B,18.26%,$0.08B,$0.47B,18.30%,$0.08B,$0.77B,10.61%,$0.03B,$0.63B,4.13%,$55,$37,$18,$0,$9,$13,$42,$-3,$39,$8,$31,$31,$31,$51,$42,$21,21,$1.44,$1.44,$48,$20,$3,$115,$613,$27,$1,$18,$659,$774,$32,$160,$2,$274,$306,$0,$24,$0,$468,$774,$19,$31,$1,$32,$-2,$0,$0,$0,$-1,$50,$22,$0,$0,$0,$0,$0,$2,$24,$-43,$0,$-43,$0,$0,$0,$-0,$-43,$31,$2,$0
1,2018-06-30,12.95,$20.11,0.64,$11.17,1.16,$3.17,4.09,$-1.57,0.0,$0.08B,$0.03B,2.44,$0.17B,$0.44B,0.4,$0.23B,$0.07B,28.63%,$0.23B,$-0.14B,-59.40%,$0.23B,$-0.14B,-59.40%,$0.23B,$0.02B,9.83%,$0.23B,$-0.16B,-67.09%,$0.23B,$-0.03B,-12.82%,$-0.03B,$0.44B,-7.01%,$-0.03B,$0.44B,-7.03%,$-0.03B,$0.75B,-3.83%,$-0.14B,$0.61B,-22.34%,$58,$40,$17,$0,$15,$67,$-10,$-4,$-14,$-3,$-11,$-11,$-10,$1,$-10,$21,21,$-0.49,$-0.49,$15,$21,$0,$82,$618,$31,$1,$19,$668,$751,$34,$173,$1,$281,$315,$0,$-7,$0,$436,$751,$-12,$22,$-4,$17,$-1,$0,$0,$-1,$-0,$5,$24,$0,$0,$0,$0,$0,$1,$24,$-30,$0,$-30,$0,$0,$0,$-1,$-31,$-2,$1,$0
2,2018-03-31,9.35,$20.55,0.45,$11.23,0.83,$2.13,4.39,$-1.21,0.0,$0.09B,$0.03B,2.95,$0.19B,$0.45B,0.42,$0.23B,$0.07B,28.63%,$0.23B,$-0.13B,-55.13%,$0.23B,$-0.13B,-55.13%,$0.23B,$0.03B,14.53%,$0.23B,$-0.15B,-62.82%,$0.23B,$-0.02B,-9.83%,$-0.02B,$0.45B,-5.29%,$-0.02B,$0.45B,-5.31%,$-0.02B,$0.78B,-2.77%,$-0.13B,$0.63B,-20.12%,$57,$38,$20,$0,$12,$56,$2,$-4,$-3,$-1,$-2,$-1,$-1,$13,$2,$21,21,$-0.06,$-0.06,$17,$21,$0,$87,$652,$30,$1,$5,$688,$775,$29,$188,$2,$300,$329,$0,$3,$0,$446,$775,$-1,$11,$-5,$7,$-3,$0,$0,$-2,$-6,$-1,$16,$0,$0,$0,$0,$0,$0,$16,$-14,$0,$-14,$0,$0,$0,$-1,$-15,$-0,$1,$0
3,2017-12-31,10.75,$20.91,0.51,$11.16,0.96,$1.60,6.74,$-1.42,0.0,$0.08B,$0.03B,2.55,$0.20B,$0.45B,0.45,$0.23B,$0.06B,27.59%,$0.23B,$-0.14B,-58.62%,$0.23B,$-0.14B,-58.62%,$0.23B,$0.03B,12.07%,$0.23B,$-0.15B,-65.52%,$0.23B,$-0.03B,-12.07%,$-0.03B,$0.45B,-6.38%,$-0.03B,$0.45B,-6.39%,$-0.03B,$0.79B,-3.20%,$-0.14B,$0.65B,-20.76%,$58,$44,$13,$0,$11,$66,$-8,$-5,$-13,$-75,$61,$61,$62,$119,$-8,$21,21,$2.95,$2.95,$14,$21,$5,$83,$674,$30,$1,$4,$710,$792,$32,$202,$1,$314,$346,$0,$4,$0,$446,$792,$-29,$164,$-120,$44,$-5,$0,$0,$3,$5,$20,$-7,$0,$0,$0,$-0,$-0,$1,$-6,$-28,$0,$-28,$-0,$-0,$0,$1,$-27,$-13,$5,$0
4,2017-09-30,11.19,$17.95,0.62,$11.15,1.0,$3.34,3.35,$-4.58,0.0,$0.10B,$0.04B,2.72,$0.22B,$0.38B,0.56,$0.23B,$0.07B,30.43%,$0.23B,$-0.13B,-56.09%,$0.23B,$-0.13B,-56.09%,$0.23B,$-0.08B,-34.78%,$0.23B,$-0.15B,-63.48%,$0.23B,$-0.10B,-41.30%,$-0.10B,$0.38B,-21.37%,$-0.10B,$0.38B,-21.42%,$-0.10B,$0.82B,-10.39%,$-0.13B,$0.60B,-19.32%,$61,$44,$17,$0,$11,$184,$-123,$-4,$-127,$-45,$-81,$-81,$-81,$-110,$-123,$21,21,$-3.91,$-3.91,$27,$22,$2,$95,$685,$30,$1,$5,$721,$816,$35,$215,$1,$398,$433,$0,$-57,$0,$383,$816,$-90,$37,$67,$103,$-5,$0,$0,$1,$5,$18,$-7,$0,$0,$0,$-0,$-0,$1,$-7,$-16,$0,$-16,$-0,$-0,$0,$1,$-15,$-4,$4,$0
5,2017-06-30,9.46,$21.76,0.43,$11.40,0.83,$4.89,1.93,$-0.70,0.0,$0.10B,$0.03B,3.2,$0.22B,$0.46B,0.48,$0.23B,$0.08B,33.33%,$0.23B,$-0.00B,-1.71%,$0.23B,$-0.00B,-1.71%,$0.23B,$0.05B,19.23%,$0.23B,$-0.02B,-8.55%,$0.23B,$-0.02B,-6.41%,$-0.02B,$0.46B,-3.21%,$-0.02B,$0.46B,-3.22%,$-0.02B,$0.94B,-1.57%,$-0.00B,$0.68B,-0.58%,$58,$41,$17,$0,$10,$58,$-0,$-4,$-4,$-1,$-3,$-3,$-3,$12,$-0,$21,21,$-0.13,$-0.13,$29,$24,$3,$95,$810,$30,$1,$6,$847,$941,$30,$221,$1,$449,$478,$0,$24,$0,$463,$941,$-9,$24,$-6,$18,$-0,$0,$0,$1,$4,$13,$-7,$0,$0,$0,$-0,$-0,$0,$-6,$-9,$0,$-9,$-0,$-0,$0,$0,$-9,$-2,$3,$0
6,2017-03-31,13.26,$21.83,0.61,$11.72,1.13,$6.02,2.2,$-0.48,0.0,$0.10B,$0.03B,3.56,$0.23B,$0.46B,0.49,$0.24B,$0.08B,32.22%,$0.24B,$-0.01B,-3.35%,$0.24B,$-0.01B,-3.35%,$0.24B,$0.04B,17.57%,$0.24B,$-0.02B,-9.21%,$0.24B,$-0.01B,-4.18%,$-0.01B,$0.46B,-2.13%,$-0.01B,$0.46B,-2.14%,$-0.01B,$0.95B,-1.03%,$-0.01B,$0.69B,-1.14%,$55,$38,$17,$0,$10,$60,$-5,$-3,$-8,$-2,$-6,$-6,$-6,$7,$-5,$21,21,$-0.27,$-0.27,$26,$25,$4,$98,$811,$30,$1,$6,$848,$946,$28,$226,$1,$454,$482,$0,$27,$0,$464,$946,$-6,$12,$-2,$10,$-2,$0,$0,$-1,$-0,$4,$-1,$0,$0,$0,$-0,$-0,$0,$-1,$-5,$0,$-5,$0,$0,$0,$0,$-4,$-1,$1,$0
7,2016-12-31,16.97,$22.37,0.76,$12.16,1.4,$6.67,2.54,$-0.40,0.0,$0.10B,$0.03B,3.76,$0.23B,$0.47B,0.49,$0.25B,$0.08B,31.58%,$0.25B,$-0.00B,-1.62%,$0.25B,$-0.00B,-1.62%,$0.25B,$0.05B,19.03%,$0.25B,$-0.02B,-7.69%,$0.25B,$-0.01B,-3.24%,$-0.01B,$0.47B,-1.70%,$-0.01B,$0.47B,-1.70%,$-0.01B,$0.96B,-0.82%,$-0.00B,$0.70B,-0.56%,$56,$38,$19,$0,$9,$58,$-1,$-5,$-7,$-1,$-6,$-6,$-5,$11,$-1,$20,20,$-0.26,$-0.26,$27,$25,$4,$96,$822,$29,$1,$7,$859,$955,$26,$230,$1,$461,$487,$0,$33,$0,$468,$955,$-15,$51,$-6,$45,$14,$0,$0,$9,$28,$59,$-11,$0,$0,$0,$0,$0,$-2,$-13,$-33,$0,$-33,$-0,$-0,$0,$-0,$-33,$13,$5,$0
8,2016-09-30,8.05,$22.58,0.36,$13.04,0.62,$4.80,1.68,$-0.30,0.0,$0.10B,$0.03B,3.39,$0.23B,$0.47B,0.49,$0.27B,$0.09B,33.21%,$0.27B,$0.00B,0.75%,$0.27B,$0.00B,0.75%,$0.27B,$0.06B,20.75%,$0.27B,$-0.01B,-3.77%,$0.27B,$-0.01B,-2.64%,$-0.01B,$0.47B,-1.49%,$-0.01B,$0.47B,-1.49%,$-0.01B,$0.97B,-0.71%,$0.00B,$0.71B,0.28%,$65,$40,$25,$0,$10,$63,$2,$-4,$-1,$0,$-1,$-1,$-1,$15,$2,$20,20,$-0.03,$-0.03,$32,$27,$0,$102,$828,$30,$1,$11,$870,$971,$30,$233,$4,$469,$499,$0,$38,$0,$473,$971,$-9,$39,$-5,$33,$11,$0,$0,$2,$22,$46,$-5,$0,$0,$0,$0,$0,$1,$-3,$-27,$0,$-27,$1,$1,$0,$0,$-26,$18,$3,$0
9,2016-06-30,9.4,$22.60,0.42,$13.29,0.71,$3.20,2.94,$-0.23,0.0,$0.12B,$0.03B,3.5,$0.25B,$0.47B,0.54,$0.27B,$0.09B,33.33%,$0.27B,$0.01B,1.85%,$0.27B,$0.01B,1.85%,$0.27B,$0.06B,21.48%,$0.27B,$-0.01B,-2.59%,$0.27B,$-0.01B,-1.85%,$-0.01B,$0.47B,-1.06%,$-0.01B,$0.47B,-1.06%,$-0.01B,$1.00B,-0.50%,$0.01B,$0.73B,0.69%,$63,$47,$16,$0,$8,$67,$-4,$-3,$-6,$-1,$-5,$-5,$2,$9,$-4,$20,20,$0.09,$0.09,$39,$28,$0,$116,$836,$29,$1,$13,$879,$995,$33,$253,$4,$490,$523,$0,$39,$0,$472,$995,$-8,$26,$-6,$20,$12,$0,$0,$-1,$17,$29,$1,$0,$0,$0,$0,$0,$1,$2,$-6,$0,$-6,$-0,$-0,$0,$0,$-6,$25,$2,$0
