,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.28,$0.26,1.08,$0.98,0.29,$-1.34,0.0,$-0.51,0.0,$0.01B,$0.04B,0.34,$0.00B,$0.02B,0.03,$0.07B,$-0.01B,-15.49%,$0.07B,$-0.07B,-95.77%,$0.07B,$-0.07B,-95.77%,$0.07B,$-0.05B,-67.61%,$0.07B,$-0.07B,-104.23%,$0.07B,$-0.07B,-104.23%,$-0.07B,$0.02B,-143.69%,$-0.07B,$0.02B,-143.69%,$-0.07B,$0.06B,-82.22%,$-0.07B,$0.02B,-129.52%,$15,$17,$-2,$0,$4,$47,$-32,$-3,$-35,$0,$-35,$-35,$-35,$-26,$-32,$75,75,$-0.47,$-0.47,$4,$2,$1,$14,$48,$0,$0,$0,$48,$63,$43,$1,$0,$1,$43,$0,$-136,$0,$19,$63,$-65,$17,$25,$42,$5,$1,$-1,$2,$7,$-15,$-3,$0,$0,$0,$0,$0,$0,$-3,$4,$0,$4,$0,$10,$0,$0,$13,$-5,$2,$0
1,2018-06-30,0.65,$0.72,0.9,$0.98,0.66,$-1.66,0.0,$-0.61,0.0,$0.02B,$0.04B,0.47,$0.00B,$0.05B,0.02,$0.07B,$-0.01B,-15.94%,$0.07B,$-0.04B,-60.87%,$0.07B,$-0.04B,-60.87%,$0.07B,$-0.03B,-39.13%,$0.07B,$-0.05B,-66.67%,$0.07B,$-0.05B,-66.67%,$-0.05B,$0.05B,-68.66%,$-0.05B,$0.05B,-68.66%,$-0.05B,$0.09B,-45.21%,$-0.04B,$0.06B,-61.76%,$18,$21,$-2,$0,$4,$33,$-15,$-1,$-17,$-0,$-17,$-17,$-17,$-10,$-15,$75,75,$-0.22,$-0.22,$2,$3,$1,$18,$76,$0,$0,$0,$76,$94,$39,$1,$0,$1,$40,$0,$-101,$0,$54,$94,$-29,$11,$5,$16,$3,$1,$-3,$-1,$-0,$-14,$-6,$0,$0,$0,$0,$0,$0,$-6,$3,$0,$3,$0,$10,$0,$0,$12,$-7,$1,$0
2,2018-03-31,0.95,$0.81,1.17,$1.16,0.82,$-2.18,0.0,$-0.70,0.0,$0.02B,$0.04B,0.59,$0.00B,$0.06B,0.02,$0.06B,$-0.01B,-20.00%,$0.06B,$-0.03B,-56.67%,$0.06B,$-0.03B,-56.67%,$0.06B,$-0.02B,-36.67%,$0.06B,$-0.04B,-58.33%,$0.06B,$-0.04B,-58.33%,$-0.04B,$0.06B,-53.85%,$-0.04B,$0.06B,-53.85%,$-0.04B,$0.10B,-37.33%,$-0.03B,$0.06B,-51.71%,$18,$22,$-4,$0,$3,$30,$-12,$-1,$-13,$0,$-13,$-13,$-13,$-7,$-12,$75,75,$-0.17,$-0.17,$3,$3,$2,$22,$77,$0,$0,$0,$77,$99,$38,$1,$0,$1,$39,$0,$-84,$0,$60,$99,$-13,$5,$1,$6,$3,$0,$3,$-3,$3,$-4,$-2,$0,$0,$0,$0,$0,$0,$-2,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-6,$1,$0
3,2017-12-31,1.26,$0.97,1.29,$1.10,1.15,$-2.67,0.0,$-0.87,0.0,$0.03B,$0.03B,0.93,$0.00B,$0.07B,0.02,$0.05B,$-0.01B,-20.00%,$0.05B,$-0.03B,-57.78%,$0.05B,$-0.03B,-57.78%,$0.05B,$-0.02B,-40.00%,$0.05B,$-0.03B,-62.22%,$0.05B,$-0.03B,-60.00%,$-0.03B,$0.07B,-51.18%,$-0.03B,$0.07B,-51.18%,$-0.03B,$0.10B,-32.14%,$-0.03B,$0.07B,-40.78%,$20,$23,$-3,$0,$2,$28,$-9,$-0,$-9,$0,$-9,$-9,$-9,$-5,$-9,$66,66,$0.34,$0.34,$9,$4,$1,$28,$76,$0,$0,$0,$76,$104,$30,$1,$0,$1,$31,$0,$-71,$0,$73,$104,$-27,$8,$2,$10,$-7,$-2,$13,$-2,$2,$-14,$-35,$0,$0,$0,$0,$0,$0,$-35,$15,$0,$15,$42,$42,$0,$0,$57,$7,$2,$0
4,2017-09-30,1.54,$1.09,1.41,$0.95,1.62,$-2.64,0.0,$-1.09,0.0,$0.04B,$0.03B,1.5,$0.00B,$0.08B,0.01,$0.03B,$-0.01B,-25.93%,$0.03B,$-0.02B,-74.07%,$0.03B,$-0.02B,-74.07%,$0.03B,$-0.02B,-55.56%,$0.03B,$-0.02B,-88.89%,$0.03B,$-0.02B,-85.19%,$-0.02B,$0.08B,-60.13%,$-0.02B,$0.08B,-60.13%,$-0.02B,$0.11B,-32.97%,$-0.02B,$0.08B,-36.53%,$13,$15,$-2,$0,$3,$20,$-6,$-0,$-7,$0,$-7,$-7,$-7,$-5,$-6,$67,67,$-0.10,$-0.10,$22,$5,$0,$41,$68,$0,$0,$0,$69,$110,$28,$1,$0,$1,$29,$0,$-62,$0,$81,$110,$-18,$5,$1,$6,$-6,$-3,$9,$-2,$-2,$-13,$-25,$0,$0,$0,$0,$0,$0,$-25,$16,$0,$16,$42,$42,$0,$0,$58,$20,$1,$0
5,2017-06-30,1.25,$1.02,1.23,$0.91,1.38,$-2.73,0.0,$-1.34,0.0,$0.02B,$0.02B,1.03,$0.00B,$0.05B,0.01,$0.02B,$-0.01B,-37.50%,$0.02B,$-0.02B,-112.50%,$0.02B,$-0.02B,-112.50%,$0.02B,$-0.01B,-75.00%,$0.02B,$-0.02B,-137.50%,$0.02B,$-0.02B,-131.25%,$-0.02B,$0.05B,-92.31%,$-0.02B,$0.05B,-92.31%,$-0.02B,$0.06B,-38.18%,$-0.02B,$0.05B,-40.22%,$9,$11,$-3,$0,$2,$15,$-7,$0,$-6,$0,$-6,$-6,$-6,$-5,$-7,$20,20,$-0.31,$-0.31,$4,$3,$0,$17,$45,$0,$0,$0,$45,$62,$16,$0,$0,$0,$17,$0,$-56,$0,$46,$62,$-11,$3,$1,$4,$-3,$-1,$5,$-2,$-0,$-8,$-8,$0,$0,$0,$0,$0,$0,$-8,$17,$0,$17,$1,$1,$0,$0,$18,$2,$1,$0
6,2017-03-31,1.17,$0.74,1.58,$0.65,1.79,$-2.43,0.0,$-1.30,0.0,$0.02B,$0.01B,2.49,$0.04B,$0.01B,3.72,$0.01B,$-0.00B,-33.33%,$0.01B,$-0.01B,-155.56%,$0.01B,$-0.01B,-155.56%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.02B,-222.22%,$0.01B,$-0.02B,-211.11%,$-0.02B,$0.01B,-111.76%,$-0.02B,$0.01B,-111.76%,$-0.02B,$0.06B,-36.19%,$-0.01B,$0.05B,-31.28%,$3,$4,$-1,$0,$2,$7,$-4,$-1,$-6,$-1,$-5,$-5,$-5,$-3,$-4,$15,15,$-0.34,$-0.34,$11,$2,$0,$19,$41,$0,$0,$0,$41,$60,$8,$41,$0,$41,$49,$0,$-49,$0,$11,$60,$-5,$2,$0,$2,$0,$-0,$-1,$-1,$-2,$-5,$-4,$0,$0,$0,$0,$0,$0,$-4,$17,$0,$17,$1,$1,$0,$0,$18,$9,$0,$0
7,2016-12-31,0.96,$1.04,0.92,$0.61,1.56,$-1.82,0.0,$-1.32,0.0,$0.01B,$0.01B,0.88,$0.02B,$0.02B,1.5,$0.01B,$-0.00B,-25.00%,$0.01B,$-0.01B,-162.50%,$0.01B,$-0.01B,-162.50%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.02B,-237.50%,$0.01B,$-0.02B,-237.50%,$-0.02B,$0.02B,-91.57%,$-0.02B,$0.02B,-91.57%,$-0.02B,$0.05B,-36.54%,$-0.01B,$0.04B,-29.71%,$2,$3,$-1,$0,$1,$6,$-3,$-1,$-5,$0,$-5,$-5,$-5,$-2,$-3,$14,14,$-0.34,$-0.34,$2,$2,$0,$9,$38,$0,$0,$0,$39,$47,$10,$23,$0,$23,$32,$0,$-44,$0,$15,$47,$-18,$5,$1,$6,$5,$-1,$1,$1,$7,$-5,$-5,$0,$0,$0,$0,$0,$0,$-5,$-2,$0,$-2,$2,$2,$0,$0,$-0,$-10,$1,$0
8,2016-09-30,2.14,$1.36,1.58,$0.72,2.99,$-4.34,0.0,$-1.24,0.0,$0.01B,$0.01B,1.15,$0.02B,$0.02B,1.17,$0.01B,$-0.00B,-25.00%,$0.01B,$-0.01B,-162.50%,$0.01B,$-0.01B,-162.50%,$0.01B,$-0.01B,-100.00%,$0.01B,$-0.02B,-212.50%,$0.01B,$-0.02B,-225.00%,$-0.02B,$0.02B,-72.73%,$-0.02B,$0.02B,-72.73%,$-0.02B,$0.05B,-32.29%,$-0.01B,$0.04B,-27.23%,$2,$3,$-1,$0,$1,$6,$-4,$-1,$-5,$0,$-5,$-5,$-5,$-2,$-4,$14,14,$-0.35,$-0.35,$2,$2,$0,$10,$40,$0,$0,$0,$41,$51,$9,$23,$0,$23,$32,$0,$-40,$0,$19,$51,$-13,$4,$1,$4,$4,$-0,$-0,$1,$4,$-5,$-4,$0,$0,$0,$0,$0,$0,$-4,$-3,$0,$-3,$1,$1,$0,$0,$-1,$-10,$1,$0
9,2016-06-30,2.9,$1.67,1.74,$0.90,3.22,$-5.25,0.0,$-1.10,0.0,$0.01B,$0.01B,1.88,$0.02B,$0.02B,1.02,$0.01B,$-0.00B,-10.00%,$0.01B,$-0.01B,-120.00%,$0.01B,$-0.01B,-120.00%,$0.01B,$-0.01B,-80.00%,$0.01B,$-0.02B,-150.00%,$0.01B,$-0.02B,-160.00%,$-0.02B,$0.02B,-56.14%,$-0.02B,$0.02B,-56.14%,$-0.02B,$0.05B,-26.89%,$-0.01B,$0.05B,-23.19%,$2,$2,$-0,$0,$2,$5,$-3,$-1,$-4,$0,$-4,$-4,$-4,$-2,$-3,$14,14,$-0.27,$-0.27,$3,$2,$0,$12,$39,$0,$0,$0,$40,$52,$7,$23,$0,$23,$30,$0,$-35,$0,$23,$52,$-9,$2,$0,$3,$3,$-0,$-1,$1,$2,$-4,$-3,$0,$0,$0,$0,$0,$0,$-3,$-2,$0,$-2,$-0,$-0,$0,$0,$-2,$-9,$0,$0
