,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,125.52,$0.00,0.0,$84.56,1.48,$-7.19,0.0,$4.93,25.46,$2.87B,$2.06B,1.39,$0.52B,$0.00B,0.0,$3.62B,$1.02B,28.32%,$3.62B,$0.36B,9.90%,$3.62B,$0.36B,9.90%,$3.62B,$0.47B,13.05%,$3.62B,$0.31B,8.68%,$3.62B,$0.28B,7.61%,$0.28B,$1.87B,15.36%,$0.28B,$1.07B,27.27%,$0.28B,$5.07B,5.57%,$0.36B,$2.39B,15.86%,$895,$639,$256,$70,$107,$816,$79,$-8,$71,$9,$62,$65,$64,$108,$79,$43,43,$1.50,$1.50,$155,$1069,$0,$2869,$514,$218,$807,$0,$2203,$5073,$2062,$519,$159,$1137,$3199,$0,$0,$0,$1874,$5073,$207,$85,$-31,$54,$-38,$-132,$0,$46,$-281,$-20,$-65,$0,$-130,$-5,$11,$6,$0,$-190,$285,$-22,$263,$0,$0,$-56,$0,$206,$-4,$0,$-56
1,2018-06-30,118.74,$0.00,0.0,$82.36,1.44,$-10.18,0.0,$6.37,18.64,$2.83B,$2.09B,1.36,$0.52B,$1.82B,0.29,$3.52B,$1.02B,28.93%,$3.52B,$0.36B,10.25%,$3.52B,$0.36B,10.25%,$3.52B,$0.48B,13.49%,$3.52B,$0.32B,8.97%,$3.52B,$0.27B,7.72%,$0.27B,$1.82B,15.61%,$0.27B,$1.01B,27.99%,$0.27B,$5.07B,5.61%,$0.36B,$2.34B,16.87%,$892,$642,$250,$77,$107,$780,$112,$-16,$96,$7,$89,$92,$92,$140,$112,$43,43,$2.15,$2.15,$190,$1074,$0,$2833,$519,$220,$814,$0,$2237,$5070,$2088,$519,$184,$1162,$3250,$0,$0,$0,$1819,$5070,$142,$56,$-41,$15,$18,$-137,$0,$52,$-158,$-1,$-47,$0,$-130,$13,$-4,$9,$0,$-169,$340,$-121,$219,$0,$0,$-19,$0,$201,$31,$0,$-19
2,2018-03-31,120.68,$0.00,0.0,$80.63,1.5,$-10.20,0.0,$5.68,21.25,$2.75B,$1.90B,1.45,$0.58B,$0.00B,0.0,$3.45B,$1.01B,29.32%,$3.45B,$0.32B,9.40%,$3.45B,$0.32B,9.40%,$3.45B,$0.44B,12.73%,$3.45B,$0.29B,8.35%,$3.45B,$0.24B,7.05%,$0.24B,$1.75B,14.29%,$0.24B,$1.00B,25.80%,$0.24B,$4.91B,5.15%,$0.32B,$2.33B,15.96%,$819,$583,$235,$68,$104,$755,$63,$-10,$53,$6,$47,$50,$50,$91,$63,$43,43,$1.16,$1.16,$220,$994,$0,$2745,$496,$176,$756,$0,$2161,$4906,$1900,$583,$198,$1255,$3154,$0,$0,$0,$1751,$4906,$50,$28,$1,$29,$23,$-86,$0,$-14,$-227,$-148,$-25,$0,$-4,$-3,$13,$10,$0,$-19,$340,$-115,$225,$0,$0,$0,$0,$225,$58,$0,$0
3,2017-12-31,132.31,$0.00,0.0,$79.01,1.67,$-8.03,0.0,$5.59,23.67,$2.61B,$2.09B,1.25,$0.24B,$0.00B,0.0,$3.38B,$1.00B,29.51%,$3.38B,$0.32B,9.44%,$3.38B,$0.32B,9.44%,$3.38B,$0.43B,12.85%,$3.38B,$0.29B,8.44%,$3.38B,$0.24B,7.08%,$0.24B,$1.72B,14.36%,$0.24B,$0.97B,26.12%,$0.24B,$4.72B,5.18%,$0.32B,$1.96B,16.84%,$1010,$726,$283,$72,$107,$906,$104,$-10,$94,$25,$68,$70,$69,$133,$104,$43,43,$1.62,$1.62,$173,$903,$0,$2611,$496,$172,$752,$0,$2104,$4715,$2089,$244,$182,$908,$2997,$0,$0,$0,$1718,$4715,$241,$114,$26,$140,$-315,$-60,$0,$32,$-279,$101,$-102,$0,$-25,$6,$6,$11,$0,$-116,$-104,$127,$23,$0,$0,$-75,$0,$-52,$-67,$0,$-75
4,2017-09-30,145.54,$0.00,0.0,$77.70,1.87,$-5.68,0.0,$5.54,26.27,$2.66B,$2.12B,1.26,$0.25B,$0.00B,0.0,$3.32B,$1.00B,29.95%,$3.32B,$0.30B,9.09%,$3.32B,$0.30B,9.09%,$3.32B,$0.42B,12.70%,$3.32B,$0.27B,8.10%,$3.32B,$0.24B,7.13%,$0.24B,$1.68B,14.57%,$0.24B,$0.92B,26.82%,$0.24B,$4.69B,5.24%,$0.30B,$1.93B,16.43%,$801,$550,$251,$67,$102,$719,$82,$-9,$73,$15,$58,$62,$61,$111,$82,$43,43,$1.44,$1.44,$143,$926,$0,$2661,$489,$175,$760,$0,$2031,$4692,$2116,$245,$178,$895,$3010,$0,$0,$0,$1681,$4692,$171,$85,$-1,$84,$-272,$-83,$0,$19,$-394,$-140,$-73,$0,$-25,$-24,$38,$15,$0,$-84,$-104,$285,$181,$0,$0,$-56,$0,$125,$-99,$0,$-56
5,2017-06-30,122.06,$0.00,0.0,$77.23,1.58,$-3.48,0.0,$5.58,21.88,$2.57B,$1.99B,1.29,$0.25B,$0.00B,0.0,$3.30B,$0.97B,29.50%,$3.30B,$0.30B,9.02%,$3.30B,$0.30B,9.02%,$3.30B,$0.42B,12.69%,$3.30B,$0.27B,8.09%,$3.30B,$0.24B,7.24%,$0.24B,$1.65B,15.02%,$0.24B,$0.89B,28.00%,$0.24B,$4.57B,5.39%,$0.30B,$1.90B,16.69%,$818,$576,$242,$67,$100,$743,$75,$-7,$68,$10,$58,$63,$63,$104,$75,$43,43,$1.46,$1.46,$171,$893,$0,$2572,$488,$171,$764,$0,$1999,$4571,$1989,$246,$212,$932,$2920,$0,$0,$0,$1650,$4571,$109,$56,$-4,$52,$-157,$-50,$0,$67,$-158,$3,$-52,$0,$-25,$0,$11,$11,$0,$-66,$-78,$105,$27,$0,$0,$-38,$0,$-10,$-73,$0,$-38
6,2017-03-31,111.69,$0.00,0.0,$76.91,1.45,$-4.04,0.0,$5.39,20.72,$2.50B,$1.95B,1.28,$0.18B,$0.00B,0.0,$3.29B,$0.97B,29.43%,$3.29B,$0.29B,8.91%,$3.29B,$0.29B,8.91%,$3.29B,$0.42B,12.62%,$3.29B,$0.26B,8.00%,$3.29B,$0.23B,6.99%,$0.23B,$1.61B,14.85%,$0.23B,$0.89B,28.25%,$0.23B,$4.46B,5.29%,$0.29B,$1.79B,16.64%,$749,$528,$221,$58,$105,$691,$58,$-9,$50,$5,$44,$46,$46,$86,$58,$43,43,$1.07,$1.07,$166,$892,$0,$2498,$485,$181,$723,$0,$1963,$4461,$1954,$182,$261,$897,$2851,$0,$0,$0,$1610,$4461,$46,$28,$-2,$26,$-95,$-51,$0,$47,$-123,$-51,$-29,$0,$-3,$-29,$14,$-15,$0,$-46,$-24,$35,$11,$0,$0,$0,$0,$11,$-87,$0,$0
7,2016-12-31,99.75,$36.66,2.72,$76.26,1.31,$-1.91,0.0,$5.54,18.01,$2.42B,$1.92B,1.26,$0.17B,$1.57B,0.11,$3.26B,$0.96B,29.41%,$3.26B,$0.30B,9.14%,$3.26B,$0.30B,9.14%,$3.26B,$0.42B,12.94%,$3.26B,$0.28B,8.52%,$3.26B,$0.24B,7.24%,$0.24B,$1.57B,15.62%,$0.24B,$0.84B,30.74%,$0.24B,$4.35B,5.50%,$0.30B,$1.74B,16.80%,$954,$673,$281,$67,$126,$866,$87,$-9,$78,$10,$68,$68,$67,$121,$87,$43,43,$1.57,$1.57,$245,$840,$0,$2421,$474,$181,$726,$0,$1931,$4352,$1924,$172,$253,$860,$2785,$12,$1398,$-72,$1567,$4352,$239,$123,$-19,$104,$-297,$-8,$0,$-83,$-135,$208,$-108,$0,$-2,$11,$-19,$-8,$0,$-118,$-104,$5,$-99,$1,$1,$-68,$0,$-167,$-77,$0,$-68
8,2016-09-30,93.45,$0.00,0.0,$74.70,1.25,$3.88,24.06,$5.44,17.18,$2.47B,$1.95B,1.27,$0.18B,$0.00B,0.0,$3.19B,$0.93B,29.15%,$3.19B,$0.29B,9.05%,$3.19B,$0.29B,9.05%,$3.19B,$0.41B,12.87%,$3.19B,$0.28B,8.64%,$3.19B,$0.23B,7.26%,$0.23B,$1.54B,15.79%,$0.23B,$0.80B,32.46%,$0.23B,$4.36B,5.48%,$0.29B,$1.72B,16.17%,$781,$550,$230,$66,$97,$703,$78,$-7,$71,$9,$62,$64,$63,$108,$78,$43,43,$1.48,$1.48,$188,$892,$0,$2469,$481,$182,$738,$0,$1887,$4356,$1950,$179,$261,$868,$2818,$0,$0,$0,$1538,$4356,$171,$89,$-11,$78,$-269,$-60,$0,$-74,$-280,$-31,$-87,$0,$-2,$8,$-19,$-11,$0,$-100,$-104,$149,$45,$0,$0,$-51,$0,$-6,$-137,$0,$-51
9,2016-06-30,88.35,$0.00,0.0,$74.33,1.19,$11.23,7.87,$5.12,17.26,$2.36B,$1.73B,1.37,$0.32B,$0.00B,0.0,$3.18B,$0.92B,29.07%,$3.18B,$0.28B,8.68%,$3.18B,$0.28B,8.68%,$3.18B,$0.40B,12.68%,$3.18B,$0.26B,8.31%,$3.18B,$0.22B,6.89%,$0.22B,$1.48B,15.41%,$0.22B,$0.73B,33.35%,$0.22B,$4.22B,5.28%,$0.28B,$1.80B,15.39%,$805,$568,$236,$67,$99,$735,$70,$-5,$64,$14,$50,$55,$54,$100,$70,$43,43,$1.27,$1.27,$186,$865,$0,$2361,$474,$164,$750,$0,$1857,$4218,$1727,$317,$270,$1011,$2738,$0,$0,$0,$1480,$4218,$107,$59,$-7,$52,$-179,$-33,$0,$-58,$-173,$-14,$-59,$0,$-2,$3,$-17,$-15,$0,$-75,$-80,$60,$-20,$0,$0,$-34,$0,$-54,$-144,$0,$-34
