,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,44.37,$4.92,9.03,0.0,0.0,$-14.66,0.0,$-4.88,0.0,$0.17B,$0.04B,3.98,$0.00B,$0.13B,0.0,$0.00B,0,nan%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$-0.18B,$0.13B,-93.87%,$-0.18B,$0.13B,-93.87%,$-0.18B,$0.17B,-79.38%,$-0.18B,$0.13B,-95.44%,$0,$0,$0,$42,$9,$51,$-51,$1,$-50,$0,$-50,$-50,$-50,$-51,$-51,$27,27,$-1.86,$-1.86,$159,$0,$2,$168,$1,$5,$0,$0,$6,$174,$42,$0,$0,$0,$42,$0,$-538,$-1,$132,$174,$-142,$0,$17,$17,$0,$0,$-2,$6,$5,$-120,$-0,$0,$0,$0,$102,$102,$0,$102,$-1,$0,$-1,$11,$11,$0,$0,$10,$-8,$17,$0
1,2018-06-30,39.19,$6.56,5.97,0.0,0.0,$-14.16,0.0,$-6.74,0.0,$0.19B,$0.04B,5.4,$0.00B,$0.18B,0.0,$0.00B,0,nan%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$-0.18B,$0.18B,-76.67%,$-0.18B,$0.18B,-76.67%,$-0.18B,$0.21B,-66.92%,$-0.18B,$0.18B,-77.98%,$0,$0,$0,$40,$7,$46,$-46,$1,$-46,$0,$-46,$-46,$-46,$-46,$-46,$27,27,$-1.71,$-1.71,$180,$0,$1,$189,$0,$22,$0,$0,$22,$211,$35,$0,$0,$0,$35,$0,$-488,$-1,$176,$211,$-92,$0,$12,$12,$0,$0,$2,$-4,$-2,$-82,$0,$0,$0,$0,$62,$62,$0,$62,$-1,$0,$-1,$11,$11,$0,$0,$10,$-10,$12,$0
2,2018-03-31,72.33,$8.00,9.04,0.0,0.0,$-13.76,0.0,$-6.95,0.0,$0.20B,$0.03B,6.7,$0.00B,$0.21B,0.0,$0.00B,0,nan%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$-0.17B,$0.21B,-77.22%,$-0.17B,$0.21B,-77.22%,$-0.17B,$0.24B,-67.45%,$-0.18B,$0.21B,-79.01%,$0,$0,$0,$41,$6,$47,$-47,$1,$-46,$0,$-46,$-46,$-46,$-47,$-47,$27,27,$-1.73,$-1.73,$197,$0,$1,$201,$0,$42,$0,$0,$43,$244,$30,$0,$0,$0,$30,$0,$-442,$-1,$214,$244,$-46,$0,$6,$6,$0,$0,$-8,$5,$-3,$-43,$0,$0,$0,$0,$30,$30,$0,$30,$-0,$0,$-0,$10,$10,$0,$0,$9,$-4,$6,$0
3,2017-12-31,65.84,$9.30,7.08,0.0,0.0,$-13.66,0.0,$-7.02,0.0,$0.20B,$0.03B,6.15,$0.00B,$0.25B,0.0,$0.00B,0,nan%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$-0.17B,$0.25B,-76.87%,$-0.17B,$0.25B,-76.87%,$-0.17B,$0.28B,-67.41%,$-0.17B,$0.25B,-78.16%,$0,$0,$0,$33,$5,$39,$-39,$1,$-38,$0,$-38,$-38,$-38,$-39,$-39,$24,24,$-1.40,$-1.40,$200,$0,$2,$204,$0,$73,$0,$0,$74,$278,$33,$0,$0,$0,$33,$0,$-396,$-1,$245,$278,$-167,$1,$19,$19,$0,$0,$16,$1,$16,$-131,$-0,$0,$0,$0,$-36,$-36,$0,$-36,$-2,$0,$-2,$165,$165,$0,$0,$163,$-4,$19,$0
4,2017-09-30,50.12,$10.62,4.72,0.0,0.0,$-10.29,0.0,$-6.87,0.0,$0.21B,$0.04B,5.91,$0.00B,$0.28B,0.0,$0.00B,0,nan%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$-0.16B,$0.28B,-74.09%,$-0.16B,$0.28B,-74.09%,$-0.16B,$0.31B,-65.97%,$-0.16B,$0.28B,-74.85%,$0,$0,$0,$40,$6,$46,$-46,$1,$-45,$0,$-45,$-45,$-45,$-46,$-46,$24,24,$-1.86,$-1.86,$203,$0,$2,$207,$0,$106,$0,$0,$106,$313,$35,$0,$0,$0,$35,$0,$-358,$-0,$278,$313,$-129,$1,$14,$15,$0,$0,$15,$3,$18,$-96,$-0,$0,$0,$0,$-84,$-84,$0,$-84,$-1,$0,$-1,$165,$165,$0,$0,$164,$-17,$14,$0
5,2017-06-30,46.28,$6.82,6.78,0.0,0.0,$-7.72,0.0,$-5.78,0.0,$0.17B,$0.03B,5.52,$0.00B,$0.15B,0.0,$0.00B,0,nan%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$-0.13B,$0.15B,-62.73%,$-0.13B,$0.15B,-62.73%,$-0.13B,$0.19B,-57.21%,$-0.13B,$0.15B,-63.39%,$0,$0,$0,$38,$5,$44,$-44,$0,$-43,$0,$-43,$-43,$-43,$-43,$-44,$23,23,$-1.92,$-1.92,$167,$0,$1,$171,$1,$14,$0,$0,$14,$185,$31,$0,$0,$0,$31,$0,$-313,$-0,$154,$185,$-84,$0,$9,$10,$0,$0,$14,$-0,$14,$-61,$-0,$0,$0,$0,$43,$43,$0,$43,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-18,$9,$0
6,2017-03-31,35.31,$8.52,4.15,0.0,0.0,$-5.80,0.0,$-4.48,0.0,$0.19B,$0.02B,8.7,$0.00B,$0.19B,0.0,$0.00B,0,nan%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$0.00B,$-0.10B,inf%,$-0.10B,$0.19B,-42.84%,$-0.10B,$0.19B,-42.84%,$-0.10B,$0.22B,-40.36%,$-0.10B,$0.19B,-42.99%,$0,$0,$0,$36,$5,$41,$-41,$0,$-41,$0,$-41,$-41,$-41,$-41,$-41,$23,23,$-1.80,$-1.80,$182,$0,$1,$188,$1,$26,$0,$0,$27,$215,$22,$1,$0,$1,$22,$0,$-270,$-0,$192,$215,$-41,$0,$4,$4,$0,$0,$7,$-5,$2,$-34,$-0,$0,$0,$0,$16,$16,$0,$16,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-18,$4,$0
7,2016-12-31,12.52,$10.14,1.24,0.0,0.0,$-4.71,0.0,$-3.33,0.0,$0.21B,$0.02B,13.7,$0.00B,$0.23B,0.0,$0.00B,0,nan%,$0.00B,$-0.08B,inf%,$0.00B,$-0.08B,inf%,$0.00B,$-0.07B,inf%,$0.00B,$-0.08B,inf%,$0.00B,$-0.08B,inf%,$-0.08B,$0.23B,-29.15%,$-0.08B,$0.23B,-29.15%,$-0.08B,$0.25B,-27.99%,$-0.08B,$0.23B,-29.34%,$0,$0,$0,$25,$4,$29,$-29,$0,$-29,$0,$-29,$-29,$-29,$-29,$-29,$23,23,$-1.29,$-1.29,$212,$0,$1,$214,$1,$31,$0,$0,$32,$245,$16,$1,$0,$1,$17,$0,$-229,$-0,$229,$245,$-75,$1,$16,$17,$0,$0,$4,$6,$10,$-48,$-0,$0,$0,$0,$10,$10,$0,$10,$-2,$0,$-2,$0,$0,$0,$0,$-2,$-39,$16,$0
8,2016-09-30,13.85,$11.27,1.23,0.0,0.0,$-4.33,0.0,$-2.62,0.0,$0.21B,$0.01B,26.16,$0.00B,$0.25B,0.01,$0.00B,0,nan%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$-0.06B,$0.25B,-21.71%,$-0.06B,$0.25B,-21.71%,$-0.06B,$0.26B,-21.02%,$-0.06B,$0.26B,-21.90%,$0,$0,$0,$13,$4,$18,$-18,$0,$-17,$0,$-17,$-17,$-17,$-17,$-18,$23,23,$-0.77,$-0.77,$210,$0,$2,$213,$1,$50,$0,$0,$50,$264,$8,$1,$0,$1,$10,$0,$-200,$0,$254,$264,$-46,$1,$12,$13,$0,$0,$1,$0,$1,$-31,$-0,$0,$0,$0,$2,$2,$0,$2,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-30,$12,$0
9,2016-06-30,9.88,$11.89,0.83,0.0,0.0,$-4.27,0.0,$-2.42,0.0,$0.21B,$0.01B,27.39,$0.00B,$0.27B,0.01,$0.00B,0,nan%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.06B,inf%,$0.00B,$-0.06B,inf%,$-0.06B,$0.27B,-19.49%,$-0.06B,$0.27B,-19.49%,$-0.06B,$0.28B,-18.88%,$-0.06B,$0.27B,-19.30%,$0,$0,$0,$10,$5,$14,$-14,$0,$-14,$0,$-14,$-14,$-14,$-14,$-14,$23,23,$-0.62,$-0.62,$207,$0,$1,$209,$1,$68,$0,$0,$68,$277,$8,$2,$0,$2,$10,$0,$-183,$0,$268,$277,$-29,$1,$9,$9,$0,$0,$1,$1,$2,$-17,$-0,$0,$0,$0,$-11,$-11,$0,$-11,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-29,$9,$0
