,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,53.13,$9.34,5.69,$13.74,3.87,$1.07,49.64,$2.93,18.13,$2.53B,$0.30B,8.35,$1.26B,$1.11B,1.14,$1.67B,$1.67B,100.00%,$1.67B,$0.55B,32.83%,$1.67B,$0.55B,32.83%,$1.67B,$0.59B,35.29%,$1.67B,$0.54B,32.24%,$1.67B,$0.36B,21.47%,$0.36B,$1.11B,33.31%,$0.36B,$0.76B,49.06%,$0.36B,$3.09B,13.93%,$0.55B,$2.37B,28.93%,$431,$0,$431,$0,$188,$288,$142,$-0,$142,$37,$105,$108,$102,$153,$142,$115,123,$0.89,$0.83,$2312,$0,$0,$2531,$51,$0,$343,$68,$555,$3086,$303,$1262,$106,$1677,$1980,$0,$1086,$-50,$1106,$3086,$293,$32,$78,$110,$-19,$-210,$15,$-38,$-252,$151,$-13,$0,$0,$0,$-22,$-22,$-117,$-153,$133,$3,$136,$-124,$-124,$-110,$53,$-45,$-48,$67,$-110
1,2018-04-30,54.07,$9.14,5.92,$13.60,3.98,$0.72,75.52,$2.68,20.18,$1.94B,$0.24B,8.05,$0.73B,$1.09B,0.67,$1.64B,$1.64B,100.00%,$1.64B,$0.53B,32.29%,$1.64B,$0.53B,32.29%,$1.64B,$0.57B,34.62%,$1.64B,$0.51B,31.31%,$1.64B,$0.32B,19.82%,$0.32B,$1.09B,31.56%,$0.32B,$0.75B,47.75%,$0.32B,$2.50B,13.94%,$0.53B,$1.82B,31.33%,$414,$0,$414,$0,$183,$282,$133,$-5,$127,$34,$93,$96,$97,$144,$133,$116,124,$0.84,$0.78,$1738,$0,$0,$1944,$50,$0,$345,$73,$554,$2498,$241,$728,$101,$1163,$1405,$0,$1021,$-44,$1093,$2498,$185,$21,$85,$106,$-5,$-185,$8,$-101,$-283,$8,$-8,$0,$0,$0,$-13,$-13,$-83,$-104,$77,$3,$80,$-56,$-56,$-74,$47,$-3,$-99,$45,$-74
2,2018-01-31,57.14,$9.13,6.26,$13.48,4.24,$0.85,67.62,$2.52,22.68,$1.85B,$0.20B,9.4,$0.66B,$1.10B,0.6,$1.60B,$1.60B,100.00%,$1.60B,$0.51B,32.14%,$1.60B,$0.51B,32.14%,$1.60B,$0.55B,34.46%,$1.60B,$0.50B,31.58%,$1.60B,$0.30B,18.73%,$0.30B,$1.10B,31.46%,$0.30B,$0.75B,49.81%,$0.30B,$2.40B,13.33%,$0.51B,$1.76B,31.19%,$421,$0,$421,$0,$191,$286,$136,$-2,$134,$49,$85,$89,$78,$145,$136,$115,124,$0.68,$0.63,$1640,$0,$0,$1854,$50,$0,$347,$65,$543,$2397,$197,$656,$140,$1100,$1297,$0,$961,$-35,$1100,$2397,$89,$10,$58,$68,$-13,$-93,$5,$-115,$-217,$-60,$-3,$0,$0,$0,$-20,$-20,$-24,$-47,$24,$1,$25,$8,$8,$-37,$31,$26,$-77,$24,$-37
3,2017-10-31,49.63,$8.54,5.81,$13.17,3.77,$1.04,47.82,$2.42,20.51,$1.74B,$0.32B,5.44,$0.63B,$1.01B,0.62,$1.53B,$1.53B,100.00%,$1.53B,$0.48B,31.50%,$1.53B,$0.48B,31.50%,$1.53B,$0.52B,33.92%,$1.53B,$0.47B,30.65%,$1.53B,$0.28B,18.43%,$0.28B,$1.01B,32.73%,$0.28B,$0.66B,55.11%,$0.28B,$2.33B,13.54%,$0.48B,$1.64B,31.41%,$406,$0,$406,$0,$174,$267,$138,$-2,$136,$50,$87,$90,$82,$148,$138,$111,116,$0.73,$0.69,$1540,$0,$0,$1741,$49,$0,$349,$83,$590,$2331,$320,$631,$116,$999,$1319,$0,$921,$-47,$1012,$2331,$306,$35,$101,$136,$-14,$-397,$7,$26,$-378,$65,$-13,$0,$-64,$0,$16,$16,$-31,$-91,$56,$5,$61,$85,$85,$-126,$191,$210,$186,$80,$-126
4,2017-07-31,47.98,$7.74,6.2,$12.73,3.77,$3.48,13.77,$2.30,20.86,$1.50B,$0.26B,5.74,$0.62B,$0.90B,0.69,$1.47B,$1.47B,100.00%,$1.47B,$0.46B,30.93%,$1.47B,$0.46B,30.93%,$1.47B,$0.49B,33.38%,$1.47B,$0.44B,29.78%,$1.47B,$0.27B,18.01%,$0.27B,$0.90B,33.77%,$0.27B,$0.55B,59.09%,$0.27B,$2.07B,13.71%,$0.46B,$1.52B,31.54%,$394,$0,$394,$0,$179,$273,$121,$-6,$115,$42,$73,$75,$67,$129,$121,$111,117,$0.61,$0.58,$1300,$0,$0,$1502,$47,$0,$352,$69,$572,$2074,$262,$619,$103,$910,$1172,$0,$876,$-42,$902,$2074,$217,$26,$79,$105,$-15,$-222,$10,$4,$-223,$99,$-8,$0,$-64,$0,$11,$11,$0,$-61,$44,$3,$47,$5,$5,$-94,$127,$84,$126,$60,$-94
5,2017-04-30,41.72,$6.83,6.11,$12.37,3.37,$5.06,8.24,$2.27,18.38,$1.61B,$0.20B,7.92,$0.87B,$0.79B,1.1,$1.42B,$1.42B,100.00%,$1.42B,$0.44B,31.10%,$1.42B,$0.44B,31.10%,$1.42B,$0.48B,33.64%,$1.42B,$0.43B,30.04%,$1.42B,$0.26B,18.41%,$0.26B,$0.79B,36.49%,$0.26B,$0.44B,66.45%,$0.26B,$2.17B,13.64%,$0.44B,$1.66B,30.12%,$375,$0,$375,$0,$167,$257,$118,$1,$119,$45,$74,$78,$72,$128,$118,$111,116,$0.65,$0.62,$1414,$0,$0,$1605,$46,$0,$354,$56,$562,$2167,$203,$868,$108,$1176,$1379,$0,$841,$-60,$788,$2167,$142,$18,$47,$65,$-5,$-163,$5,$-23,$-187,$21,$-6,$0,$-64,$0,$6,$6,$0,$-64,$299,$3,$302,$-34,$-34,$-63,$77,$282,$239,$39,$-63
6,2017-01-31,40.49,$6.46,6.27,$11.98,3.38,$6.42,6.31,$2.13,19.01,$1.21B,$0.17B,7.13,$0.57B,$0.74B,0.77,$1.37B,$1.37B,100.00%,$1.37B,$0.42B,30.67%,$1.37B,$0.42B,30.67%,$1.37B,$0.45B,33.24%,$1.37B,$0.41B,30.01%,$1.37B,$0.24B,17.86%,$0.24B,$0.74B,36.30%,$0.24B,$0.40B,67.22%,$0.24B,$1.76B,13.17%,$0.42B,$1.32B,28.99%,$355,$0,$355,$0,$166,$250,$105,$-7,$99,$37,$62,$64,$61,$114,$105,$110,115,$0.55,$0.53,$1025,$0,$0,$1212,$45,$0,$345,$55,$547,$1759,$170,$572,$123,$845,$1015,$0,$801,$-51,$744,$1759,$64,$8,$36,$44,$-0,$-113,$8,$-36,$-142,$-33,$-2,$0,$-52,$0,$4,$4,$0,$-50,$0,$2,$2,$-26,$-26,$-32,$34,$-21,$-104,$20,$-32
7,2016-10-31,33.63,$6.18,5.44,$11.78,2.86,$7.46,4.51,$2.10,16.01,$1.20B,$0.27B,4.45,$0.57B,$0.71B,0.81,$1.34B,$1.34B,100.00%,$1.34B,$0.42B,30.90%,$1.34B,$0.42B,30.90%,$1.34B,$0.45B,33.51%,$1.34B,$0.41B,30.45%,$1.34B,$0.24B,17.94%,$0.24B,$0.71B,38.00%,$0.24B,$0.41B,71.20%,$0.24B,$1.73B,12.78%,$0.42B,$1.28B,27.46%,$347,$0,$347,$0,$155,$236,$111,$-7,$105,$41,$64,$66,$65,$120,$111,$110,114,$0.61,$0.59,$1014,$0,$0,$1200,$44,$0,$295,$86,$530,$1730,$270,$572,$75,$756,$1026,$0,$773,$-58,$705,$1730,$265,$36,$168,$204,$1,$-93,$-5,$-31,$-129,$341,$-11,$-0,$-10,$0,$0,$0,$-88,$-108,$0,$3,$3,$-142,$-142,$-119,$-12,$-270,$-41,$71,$-119
8,2016-07-31,35.99,$5.51,6.53,$11.62,3.1,$6.33,5.68,$2.06,17.47,$1.54B,$0.23B,6.74,$0.98B,$0.62B,1.58,$1.34B,$1.34B,100.00%,$1.34B,$0.42B,31.04%,$1.34B,$0.42B,31.04%,$1.34B,$0.45B,33.66%,$1.34B,$0.40B,29.99%,$1.34B,$0.24B,17.95%,$0.24B,$0.62B,39.12%,$0.24B,$0.33B,75.41%,$0.24B,$2.00B,12.11%,$0.42B,$1.61B,25.80%,$341,$0,$341,$0,$153,$234,$107,$-4,$103,$40,$63,$66,$63,$115,$107,$110,114,$0.57,$0.55,$1340,$0,$22,$1544,$45,$0,$297,$56,$455,$1999,$229,$984,$72,$1146,$1376,$0,$681,$-50,$624,$1999,$198,$27,$137,$164,$5,$-48,$2,$-45,$-86,$276,$-9,$-0,$-10,$0,$-8,$-8,$-82,$-109,$0,$2,$2,$-151,$-151,$-90,$-15,$-253,$-87,$54,$-90
9,2016-04-30,32.63,$5.41,6.04,$11.63,2.81,$5.25,6.22,$2.08,15.69,$1.46B,$0.18B,7.92,$0.97B,$0.62B,1.57,$1.35B,$1.35B,100.00%,$1.35B,$0.43B,31.43%,$1.35B,$0.43B,31.43%,$1.35B,$0.46B,34.10%,$1.35B,$0.41B,30.10%,$1.35B,$0.25B,18.12%,$0.25B,$0.62B,40.00%,$0.25B,$0.32B,77.17%,$0.25B,$1.92B,12.97%,$0.43B,$1.58B,28.22%,$323,$0,$323,$0,$150,$228,$96,$7,$103,$36,$67,$69,$55,$105,$96,$110,114,$0.50,$0.48,$1285,$0,$3,$1457,$46,$0,$299,$56,$464,$1921,$184,$966,$67,$1121,$1305,$0,$665,$-41,$616,$1921,$133,$18,$120,$138,$18,$-24,$-4,$-87,$-97,$174,$-5,$-0,$-10,$0,$9,$9,$-90,$-97,$0,$1,$1,$-118,$-118,$-60,$-15,$-192,$-114,$37,$-60
