,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-05-31,3.5,$3.33,1.05,$4.76,0.74,$0.29,11.97,$-0.12,0.0,$0.12B,$0.09B,1.42,$0.01B,$0.18B,0.04,$0.26B,$0.16B,61.22%,$0.26B,$0.00B,0.76%,$0.26B,$0.00B,0.76%,$0.26B,$0.02B,6.08%,$0.26B,$-0.00B,-0.76%,$0.26B,$-0.01B,-2.66%,$-0.01B,$0.18B,-3.65%,$-0.01B,$0.12B,-5.33%,$-0.01B,$0.29B,-2.53%,$0.00B,$0.19B,1.02%,$72,$29,$43,$16,$26,$77,$-5,$-0,$-5,$1,$-6,$-6,$-6,$1,$-5,$55,55,$-0.11,$-0.11,$19,$38,$2,$124,$45,$0,$69,$1,$167,$291,$88,$7,$2,$20,$108,$92,$119,$-45,$183,$291,$-8,$12,$3,$16,$8,$-0,$0,$1,$6,$13,$-8,$0,$-19,$-0,$-13,$-13,$0,$-40,$-1,$11,$10,$0,$0,$0,$-4,$7,$-20,$1,$0
1,2018-02-28,4.4,$3.50,1.26,$4.52,0.97,$0.29,15.41,$-0.09,0.0,$0.12B,$0.08B,1.5,$0.01B,$0.19B,0.04,$0.25B,$0.15B,60.80%,$0.25B,$0.00B,1.20%,$0.25B,$0.00B,1.20%,$0.25B,$0.01B,5.20%,$0.25B,$0.00B,0.40%,$0.25B,$-0.01B,-2.00%,$-0.01B,$0.19B,-2.61%,$-0.01B,$0.12B,-3.66%,$-0.01B,$0.30B,-1.89%,$0.00B,$0.20B,1.55%,$65,$25,$39,$13,$25,$67,$-2,$-0,$-3,$2,$-5,$-5,$-5,$2,$-2,$55,55,$-0.08,$-0.08,$14,$39,$2,$124,$44,$0,$74,$1,$172,$296,$83,$8,$2,$20,$103,$92,$125,$-42,$193,$296,$-2,$7,$3,$9,$5,$-1,$0,$2,$2,$9,$-4,$0,$-19,$-0,$-13,$-13,$0,$-36,$-0,$2,$2,$0,$0,$0,$0,$2,$-26,$1,$0
2,2017-11-30,4.33,$3.56,1.22,$4.42,0.98,$0.40,10.91,$0.01,432.5,$0.11B,$0.05B,2.11,$0.00B,$0.20B,0.01,$0.25B,$0.15B,61.22%,$0.25B,$0.01B,3.27%,$0.25B,$0.01B,3.27%,$0.25B,$0.02B,6.53%,$0.25B,$0.01B,2.86%,$0.25B,$0.00B,0.41%,$0.00B,$0.20B,0.53%,$0.00B,$0.14B,0.69%,$0.00B,$0.26B,0.40%,$0.01B,$0.20B,4.19%,$63,$23,$40,$11,$23,$60,$4,$1,$4,$2,$3,$3,$3,$6,$4,$55,56,$0.05,$0.05,$19,$37,$0,$109,$41,$10,$54,$1,$150,$259,$52,$2,$0,$12,$64,$91,$130,$-44,$195,$259,$3,$2,$-0,$2,$1,$-2,$0,$-0,$-2,$2,$-2,$0,$-10,$-0,$-10,$-11,$0,$-22,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-20,$0,$0
3,2017-08-31,4.7,$3.60,1.31,$4.41,1.07,$0.35,13.4,$0.02,235.0,$0.13B,$0.05B,2.41,$0.00B,$0.20B,0.0,$0.24B,$0.15B,61.07%,$0.24B,$0.01B,3.69%,$0.24B,$0.01B,3.69%,$0.24B,$0.02B,6.56%,$0.24B,$0.01B,3.28%,$0.24B,$0.00B,0.41%,$0.00B,$0.20B,0.53%,$0.00B,$0.15B,0.67%,$0.00B,$0.26B,0.41%,$0.01B,$0.20B,4.80%,$63,$24,$39,$11,$21,$58,$5,$-3,$2,$1,$1,$1,$1,$7,$5,$54,56,$0.02,$0.02,$39,$34,$0,$127,$40,$0,$46,$1,$132,$259,$53,$0,$0,$10,$62,$90,$127,$-39,$197,$259,$1,$7,$3,$10,$4,$1,$0,$1,$2,$13,$-7,$0,$-13,$3,$0,$3,$0,$-17,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-5,$1,$0
4,2017-05-31,4.85,$3.31,1.46,$4.42,1.1,$0.61,7.9,$0.04,121.25,$0.12B,$0.05B,2.25,$0.00B,$0.18B,0.0,$0.24B,$0.15B,61.07%,$0.24B,$0.01B,3.69%,$0.24B,$0.01B,3.69%,$0.24B,$0.02B,6.15%,$0.24B,$0.01B,4.10%,$0.24B,$0.00B,0.82%,$0.00B,$0.18B,1.09%,$0.00B,$0.14B,1.34%,$0.00B,$0.24B,0.83%,$0.01B,$0.18B,4.90%,$59,$25,$34,$13,$23,$62,$-4,$2,$-2,$2,$-4,$-4,$-4,$-2,$-4,$55,55,$-0.08,$-0.08,$38,$32,$0,$122,$37,$0,$45,$0,$122,$244,$54,$0,$0,$9,$63,$90,$126,$-53,$181,$244,$0,$5,$1,$6,$2,$-0,$0,$2,$4,$11,$-5,$0,$-12,$1,$0,$1,$0,$-17,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-9,$1,$0
5,2017-02-28,5.2,$3.44,1.51,$4.46,1.17,$0.84,6.22,$0.14,37.14,$0.14B,$0.05B,2.7,$0.00B,$0.19B,0.0,$0.25B,$0.15B,61.79%,$0.25B,$0.02B,6.91%,$0.25B,$0.02B,6.91%,$0.25B,$0.02B,8.94%,$0.25B,$0.02B,6.10%,$0.25B,$0.01B,2.85%,$0.01B,$0.19B,3.81%,$0.01B,$0.15B,4.53%,$0.01B,$0.25B,2.91%,$0.02B,$0.19B,9.26%,$60,$23,$37,$11,$21,$57,$3,$-0,$3,$2,$1,$1,$1,$5,$3,$55,56,$0.02,$0.02,$52,$33,$0,$135,$37,$0,$33,$0,$112,$246,$50,$0,$0,$9,$59,$90,$131,$-51,$188,$246,$4,$3,$1,$4,$3,$-0,$0,$3,$6,$14,$-3,$0,$-5,$-0,$0,$-0,$0,$-8,$0,$0,$0,$0,$0,$0,$0,$0,$5,$1,$0
6,2016-11-30,4.3,$3.38,1.27,$4.37,0.99,$0.94,4.55,$0.19,22.63,$0.13B,$0.05B,2.85,$0.00B,$0.18B,0.0,$0.24B,$0.15B,62.50%,$0.24B,$0.02B,7.50%,$0.24B,$0.02B,7.50%,$0.24B,$0.02B,9.17%,$0.24B,$0.02B,7.08%,$0.24B,$0.01B,4.17%,$0.01B,$0.18B,5.56%,$0.01B,$0.15B,6.54%,$0.01B,$0.24B,4.25%,$0.02B,$0.18B,10.01%,$62,$23,$39,$11,$22,$57,$5,$1,$5,$2,$3,$3,$3,$6,$5,$54,55,$0.06,$0.06,$39,$34,$0,$127,$36,$0,$32,$0,$110,$237,$45,$0,$0,$8,$53,$89,$130,$-53,$184,$237,$3,$1,$-0,$1,$-3,$-1,$0,$0,$-5,$-1,$-1,$0,$-5,$-0,$0,$-0,$0,$-7,$0,$0,$0,$0,$0,$0,$0,$0,$-8,$0,$0
7,2016-08-31,3.3,$3.39,0.97,$4.25,0.78,$1.02,3.24,$0.16,20.63,$0.13B,$0.05B,2.78,$0.00B,$0.18B,0.0,$0.23B,$0.15B,62.66%,$0.23B,$0.02B,7.30%,$0.23B,$0.02B,7.30%,$0.23B,$0.02B,9.01%,$0.23B,$0.02B,6.87%,$0.23B,$0.01B,3.86%,$0.01B,$0.18B,5.10%,$0.01B,$0.16B,5.95%,$0.01B,$0.24B,3.88%,$0.02B,$0.18B,9.63%,$63,$24,$39,$11,$22,$58,$5,$-0,$4,$2,$2,$2,$2,$6,$5,$54,55,$0.05,$0.04,$47,$33,$0,$133,$36,$0,$25,$1,$105,$238,$48,$0,$0,$8,$56,$86,$126,$-49,$181,$238,$9,$5,$3,$8,$3,$-5,$0,$4,$8,$24,$-4,$0,$0,$-3,$0,$-3,$0,$-7,$0,$0,$0,$-2,$-2,$0,$0,$-2,$17,$1,$0
8,2016-05-31,3.7,$3.36,1.1,$4.14,0.89,$0.66,5.59,$0.16,23.13,$0.14B,$0.05B,2.66,$0.00B,$0.18B,0.0,$0.23B,$0.14B,62.56%,$0.23B,$0.01B,6.17%,$0.23B,$0.01B,6.17%,$0.23B,$0.02B,7.93%,$0.23B,$0.02B,6.61%,$0.23B,$0.01B,3.96%,$0.01B,$0.18B,5.19%,$0.01B,$0.16B,6.08%,$0.01B,$0.24B,3.97%,$0.01B,$0.18B,8.07%,$61,$24,$37,$11,$21,$57,$4,$-1,$3,$2,$1,$1,$1,$5,$4,$54,55,$0.02,$0.02,$46,$35,$0,$136,$36,$0,$25,$1,$104,$240,$51,$0,$0,$8,$59,$87,$126,$-49,$181,$240,$7,$4,$2,$6,$3,$-7,$0,$5,$8,$21,$-3,$0,$0,$-3,$0,$-3,$0,$-6,$0,$0,$0,$-0,$-0,$0,$0,$0,$16,$1,$0
9,2016-02-29,2.96,$3.21,0.92,$4.09,0.72,$0.38,7.87,$0.15,19.73,$0.12B,$0.05B,2.73,$0.00B,$0.17B,0.0,$0.22B,$0.14B,62.95%,$0.22B,$0.01B,5.36%,$0.22B,$0.01B,5.36%,$0.22B,$0.02B,7.59%,$0.22B,$0.01B,6.25%,$0.22B,$0.01B,4.02%,$0.01B,$0.17B,5.20%,$0.01B,$0.15B,6.13%,$0.01B,$0.23B,4.01%,$0.01B,$0.17B,6.94%,$54,$19,$35,$10,$20,$50,$4,$2,$5,$1,$4,$4,$4,$5,$4,$54,55,$0.07,$0.07,$44,$33,$0,$123,$35,$0,$25,$0,$103,$226,$45,$0,$0,$7,$52,$87,$125,$-56,$173,$226,$6,$2,$0,$3,$9,$-6,$0,$4,$10,$19,$-2,$0,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$-0,$-0,$0,$0,$0,$18,$1,$0
